0	Index      	 *	Score 	Summary	Detail	
49	32531 53611	 * 	200.45	ACR|1BASARM|2ASPD|1DMG|1SELL	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6FEWX|7DMG|8DUR|9SELL|aBASARM
50	32516 63211	 * 	200.45	ACR|1BASARM|2ASPD|1DMG|1SELL	1TLV|2RCVC|3RCR|4LWND|56ASPD|7DMG|8DUR|9SELL|aBASARM
51	32531 63311	 * 	200.35	ACR|1BASARM|2ASPD|1DMG|1SELL	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6DUST|7DMG|8FEWX|9SELL|aBASARM
52	32531 63411	 * 	200.35	ACR|1BASARM|2ASPD|1DMG|1SELL	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6DUST|7DMG|8LHND|9SELL|aBASARM
53	32531 63611	 * 	200.35	ACR|1BASARM|2ASPD|1DMG|1SELL	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6DUST|7DMG|8DUR|9SELL|aBASARM
54	31535 41231	   	199.93	ACR|1BASARM|2BEXP|1ASPD|1VULN	126TLV|2BPWR|3RCR|4ASPD|57BEXP|8DUR|9BASARM|aVULN
55	44236 31321	   	199.87	ACR|1BASARM|2BEXP|1ASPD|1DMG	17BEXP|2RPLT|3MLV|4DMG|5RCR|6ASPD|89RCVC|aBASARM
56	32535 23211	   	199.06	ACR|2DMG|1ASPD|1VULN|1BEXP|1AART	1TLV|26RCVC|3RCR|4ASPD|5BEXP|79DMG|8AART|aVULN
57	32533 42311	   	198.90	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1TLV|25RCVC|3RCR|4ASPD|6DMG|7FEWX|8BEXP|9SELL|aBASARM
58	32533 53311	   	198.90	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1TLV|25RCVC|3RCR|4ASPD|6FEWX|7DMG|8BEXP|9SELL|aBASARM
59	32531 42133	   	198.84	ACR|3ASPD|2VULN|1DMG	15aTLV|2RCVC|3RCR|45aASPD|5aBPWR|6DMG|7FEWX|8RMIN|9aVULN
60	32531 53133	   	198.84	ACR|3ASPD|2VULN|1DMG	15aTLV|2RCVC|3RCR|45aASPD|5aBPWR|6FEWX|7DMG|8RMIN|9aVULN
61	32534 63133	   	198.84	ACR|3ASPD|2VULN|1DMG	1aTLV|2RCVC|3RCR|46aASPD|5DUR|7DMG|8RMIN|9aVULN|aBPWR
62	32536 63133	   	198.84	ACR|3ASPD|2VULN|1DMG	1aTLV|2RCVC|3RCR|46aASPD|5FEWX|7DMG|8RMIN|9aVULN|aBPWR
63	44236 22221	   	198.71	ACR|1BASARM|2BEXP|1ASPD|1DMG	17BEXP|2RPLT|36MLV|4DMG|5RCR|8ASPD|9RCVC|aBASARM
64	32535 34321	   	198.61	ACR|1BASARM|1ASPD|1DMG|1BEXP	1TLV|289RCVC|3RCR|4ASPD|5BEXP|6RPLT|7DMG|aBASARM
65	31116 12221	   	198.51	ACR|1BASARM|2BEXP|1ASPD|1DMG	12TLV|2BPWR|3RPLT|4DMG|5RCR|67BEXP|8ASPD|9RCVC|aBASARM
66	32535 23311	   	198.48	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1TLV|26RCVC|3RCR|4ASPD|5BEXP|7DMG|8FEWX|9SELL|aBASARM
67	32535 23411	   	198.48	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1TLV|26RCVC|3RCR|4ASPD|5BEXP|7DMG|8LHND|9SELL|aBASARM
68	32535 23611	   	198.48	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1TLV|26RCVC|3RCR|4ASPD|5BEXP|7DMG|8DUR|9SELL|aBASARM
69	32536 23311	   	198.48	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1TLV|26RCVC|3RCR|4ASPD|5FEWX|7DMG|8BEXP|9SELL|aBASARM
70	31534 63211	   	198.46	ACR|2ASPD|2DMG|1VULN|1AART	12TLV|2BPWR|3RCR|46ASPD|5DUR|79DMG|8AART|aVULN
71	31536 63211	   	198.46	ACR|2ASPD|2DMG|1VULN|1AART	12TLV|2BPWR|3RCR|46ASPD|5FEWX|79DMG|8AART|aVULN
72	32531 42224	   	198.36	ACR|2ASPD|1VULN|1DMG|1AART|1CDMG	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6DMG|7FEWX|8AART|9VULN|aCDMG
73	32531 53224	   	198.36	ACR|2ASPD|1VULN|1DMG|1AART|1CDMG	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6FEWX|7DMG|8AART|9VULN|aCDMG
74	32531 63224	   	198.26	ACR|2ASPD|1VULN|1DMG|1AART|1CDMG	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6DUST|7DMG|8AART|9VULN|aCDMG
75	32116 52311	 * 	197.93	ACR|1BASARM|2DMG|1VULN|1BEXP	1TLV|2RCVC|3RPLT|49DMG|5RCR|6VULN|7BEXP|8BASARM|aLWND
76	32116 52313	   	197.93	ACR|1BASARM|2DMG|1VULN|1BEXP	1TLV|2RCVC|3RPLT|49DMG|5RCR|6VULN|7BEXP|8BASARM|aDUR
77	32116 52314	   	197.93	ACR|1BASARM|2DMG|1VULN|1BEXP	1TLV|2RCVC|3RPLT|49DMG|5RCR|6VULN|7BEXP|8BASARM|aFEWX
78	32116 52315	   	197.93	ACR|1BASARM|2DMG|1VULN|1BEXP	1TLV|2RCVC|3RPLT|49DMG|5RCR|6VULN|7BEXP|8BASARM|aLHND
79	32116 52316	   	197.83	ACR|1BASARM|2DMG|1VULN|1BEXP	1TLV|2RCVC|3RPLT|49DMG|5RCR|6VULN|7BEXP|8BASARM|aDUST
80	32116 52352	   	197.83	ACR|1BASARM|2DMG|1VULN|1BEXP	1TLV|2RCVC|3RPLT|4aDMG|5RCR|6VULN|7BEXP|8BASARM|9MDPS
81	32116 55312	   	197.83	ACR|1BASARM|2DMG|1VULN|1BEXP	1TLV|2RCVC|3RPLT|49DMG|5RCR|6VULN|7MBVNT|8BASARM|aBEXP
82	32531 41421	   	197.09	ACR|2ASPD|1VULN|1DMG|1BEXP|1AART	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6DMG|7CGEN|8AART|9VULN|aBEXP
83	32531 42222	   	197.09	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6DMG|7FEWX|8AART|9VULN|aBEXP
84	32531 53222	   	197.09	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6FEWX|7DMG|8AART|9VULN|aBEXP
85	32534 63222	   	197.09	ACR|2ASPD|1VULN|1DMG|1BEXP|1AART	1TLV|2RCVC|3RCR|46ASPD|5DUR|7DMG|8AART|9VULN|aBEXP
86	32535 63132	   	197.09	ACR|2ASPD|1VULN|1DMG|1BEXP|1AART	1TLV|2RCVC|3RCR|46ASPD|5BEXP|7DMG|8RMIN|9VULN|aAART
87	32536 63222	   	197.09	ACR|2ASPD|1VULN|1DMG|1BEXP|1AART	1TLV|2RCVC|3RCR|46ASPD|5FEWX|7DMG|8AART|9VULN|aBEXP
88	32535 63213	   	197.04	ACR|2ASPD|2DMG|1BEXP|1AART	1TLV|2RCVC|3RCR|46ASPD|5BEXP|79DMG|8AART|aMDPS
89	32531 43421	   	196.99	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6DMG|7ERES|8AART|9VULN|aBEXP
90	32531 63222	   	196.99	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6DUST|7DMG|8AART|9VULN|aBEXP
91	32535 43211	   	196.99	ACR|2DMG|1ASPD|1VULN|1BEXP|1AART	16TLV|2RCVC|3RCR|4ASPD|5BEXP|79DMG|8AART|aVULN
92	32535 63221	   	196.99	ACR|2ASPD|1VULN|1DMG|1BEXP|1AART	1TLV|2RCVC|3RCR|46ASPD|5BEXP|7DMG|8AART|9VULN|aERES
93	32535 63223	   	196.99	ACR|2ASPD|1VULN|1DMG|1BEXP|1AART	1TLV|2RCVC|3RCR|46ASPD|5BEXP|7DMG|8AART|9VULN|aMDPS
94	31516 63211	 * 	196.61	ACR|1BASARM|2ASPD|1DMG|1SELL	12TLV|2BPWR|3RCR|4LWND|56ASPD|7DMG|8DUR|9SELL|aBASARM
95	32535 23133	   	196.46	ACR|2ASPD|2VULN|1DMG|1BEXP	1aTLV|26RCVC|3RCR|4aASPD|5BEXP|7DMG|8RMIN|9aVULN|aBPWR
96	32534 43311	   	196.41	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	16TLV|2RCVC|3RCR|4ASPD|5DUR|7DMG|8BEXP|9SELL|aBASARM
97	32535 43311	   	196.41	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	16TLV|2RCVC|3RCR|4ASPD|5BEXP|7DMG|8FEWX|9SELL|aBASARM
98	32536 43311	   	196.41	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	16TLV|2RCVC|3RCR|4ASPD|5FEWX|7DMG|8BEXP|9SELL|aBASARM
99	32543 33632	 * 	195.70	ACR|2DMG|1VULN|2BEXP|1ASPD	1aTLV|2RCVC|3RCR|4VULN|5aDMG|6LIT|7ASPD|8aBEXP|9LEGI|aBPWR
100	31531 22211	 * 	195.41	ACR|3ASPD|2DMG|1CDMG	125TLV|25aBPWR|3RCR|45aASPD|6aLWND|7CDMG|8LSRREG|9aDMG
101	31531 62211	   	195.41	ACR|3ASPD|2DMG|1CDMG	125TLV|25aBPWR|3RCR|45aASPD|6aFEWX|7CDMG|8LSRREG|9aDMG
102	31513 63512	   	195.31	ACR|3ASPD|2DMG|1CDMG	128TLV|28BPWR|3RCR|4LWND|58DMG|689ASPD|7MBVNT|aCDMG
103	32116 52363	   	195.30	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART	1TLV|2RCVC|3RPLT|4DMG|5RCR|6VULN|7BEXP|8BASARM|9CGEN|aAART
104	31535 23211	   	195.28	ACR|2DMG|1ASPD|1VULN|1AART|1BEXP	12TLV|2BPWR|3RCR|4ASPD|5BEXP|6RCVC|79DMG|8AART|aVULN
105	31531 52211	   	195.21	ACR|3ASPD|2DMG|1CDMG	125TLV|25aBPWR|3RCR|45aASPD|6aDUST|7CDMG|8LSRREG|9aDMG
106	31533 42311	   	195.13	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	12TLV|2BPWR|3RCR|4ASPD|5RCVC|6DMG|7FEWX|8BEXP|9SELL|aBASARM
107	31533 53311	   	195.13	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	12TLV|2BPWR|3RCR|4ASPD|5RCVC|6FEWX|7DMG|8BEXP|9SELL|aBASARM
108	32535 23224	   	195.12	ACR|1VULN|1ASPD|1DMG|1BEXP|1CDMG|1AART	1TLV|26RCVC|3RCR|4ASPD|5BEXP|7DMG|8AART|9VULN|aCDMG
109	32535 23222	   	195.02	ACR|2BEXP|1VULN|1ASPD|1DMG|1AART	1TLV|26RCVC|3RCR|4ASPD|5aBEXP|7DMG|8AART|9VULN
110	32535 23231	   	195.02	ACR|2BEXP|1ASPD|1DMG|1VULN|1AART	1TLV|26RCVC|3RCR|4ASPD|59BEXP|7DMG|8AART|aVULN
111	31534 63133	   	195.00	ACR|3ASPD|2VULN|1DMG	12aTLV|2aBPWR|3RCR|46aASPD|5DUR|7DMG|8RMIN|9aVULN
112	31536 63133	   	195.00	ACR|3ASPD|2VULN|1DMG	12aTLV|2aBPWR|3RCR|46aASPD|5FEWX|7DMG|8RMIN|9aVULN
113	31535 34321	   	194.83	ACR|1BASARM|1ASPD|1DMG|1BEXP	12TLV|2BPWR|3RCR|4ASPD|5BEXP|6RPLT|7DMG|89RCVC|aBASARM
114	31535 23311	   	194.71	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	12TLV|2BPWR|3RCR|4ASPD|5BEXP|6RCVC|7DMG|8FEWX|9SELL|aBASARM
115	31535 23411	   	194.71	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	12TLV|2BPWR|3RCR|4ASPD|5BEXP|6RCVC|7DMG|8LHND|9SELL|aBASARM
116	31535 23611	   	194.71	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	12TLV|2BPWR|3RCR|4ASPD|5BEXP|6RCVC|7DMG|8DUR|9SELL|aBASARM
