0	Index      	 *	Score 	Summary	Detail	
53	26252 61134	 * 	191.60	DCR|2AART|1VULN|1DMG|1NUKE|1DUR	1DUR|2LWND|3MBVNT|4DMG|59AART|6RCR|7MLV|8VULN|aNUKE
54	26212 67134	   	191.60	DCR|2AART|1VULN|1DMG|1NUKE|1DUR	1DUR|2LWND|3MBVNT|4MLV|59AART|6RCR|7DMG|8VULN|aNUKE
55	13121 21617	 * 	191.56	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1SELL	1SELL|2LIT|3AART|4ASPD|5CDMG|6MBVNT|7RCR|8VULN|9DMG|aZMB
56	11352 11643	 * 	191.27	DCR|2AART|2ASPD|1VULN|1DMG|1SELL	1SELL|2DMG|35ASPD|4RCVC|6aAART|7VULN|8TLV|9RCR
57	13152 32355	 * 	191.06	DCR|1AART|1VULN|2CDMG|1ASPD|1DMG|1DUR|1SELL	1SELL|2LIT|3AART|45CDMG|6DUR|7ASPD|8VULN|9DMG|aRCR
58	11366 33241	   	190.90	DCR|2DMG|1VULN|2CDMG|1ASPD|1ZMB|1SELL	1SELL|24DMG|3ASPD|5FEWX|6aCDMG|7ZMB|8RCR|9VULN
59	11352 33535	 * 	190.88	DCR|2DMG|2ASPD|1VULN|1AART|1SELL	1SELL|26DMG|35ASPD|4RCVC|7BELT|8AART|9VULN|aRCR
60	11561 26322	 * 	190.88	DCR|2DMG|2ASPD|1VULN|2CDMG|1SELL	1SELL|29DMG|3VULN|49ASPD|5TLV|68CDMG|79CGEN|9BPWR|aRCR
61	12156 22343	 * 	190.30	DCR|2SPLARM|2VULN|1AART|1ASPD|2DUR|1SELL	1SELL|2LEGI|39DUR|4CGEN|59SPLARM|6AART|79VULN|8RCR|9BPWR|aASPD
62	21136 21731	 * 	190.30	ACR|3VULN|2ASPD|1AART|3DUR	179DUR|2DMSP|3MBVNT|4RCR|57ASPD|679VULN|79BPWR|89FEWX|aAART
63	23136 21731	   	190.30	ACR|3VULN|2ASPD|1AART|3DUR	179DUR|2RCVC|3MBVNT|4RCR|57ASPD|679VULN|79BPWR|89FEWX|aAART
64	62511 32314	 * 	190.12	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1CDMG|2FEWX|34AART|5ASPD|6DUR|7TSLARM|8ZMB|9VULN|aRCR
65	25134 21521	   	190.10	ACR|3VULN|2ASPD|1AART|3DUR	127DUR|27BPWR|3MBVNT|4RCR|579VULN|67ASPD|8LWND|aAART
