0	Index      	 *	Score 	Summary	Detail	
313	26232 67144	   	180.67	DCR|1VULN|1AART|1DMG|1NUKE|2DUR|1AAC	19DUR|2LWND|3MBVNT|4AAC|5AART|6RCR|7DMG|8VULN|aNUKE
314	25136 47121	 * 	180.40	ACR|2DMG|1VULN|1AART|1ASPD|2DUR|1ZMB	12DUR|2BPWR|3MBVNT|4RCR|5ASPD|6AART|78DMG|9ZMB|aVULN
315	24111 43421	 * 	180.33	DCR|2VULN|1AART|3DUR|1CDMG	145DUR|2RPLT|3MBVNT|6CDMG|7RCR|89VULN|aAART
316	24115 43421	   	180.33	DCR|2VULN|1AART|3DUR|1CDMG	145DUR|2RPLT|3MBVNT|5BPWR|6CDMG|7RCR|89VULN|aAART
317	25121 43421	   	180.33	DCR|2VULN|1AART|3DUR|1CDMG	125DUR|2BPWR|3MBVNT|4RPLT|6CDMG|7RCR|89VULN|aAART
318	25125 43421	   	180.33	DCR|2VULN|1AART|3DUR|1CDMG	125DUR|25BPWR|3MBVNT|4RPLT|6CDMG|7RCR|89VULN|aAART
319	25182 43421	   	180.33	DCR|2VULN|1AART|3DUR|1CDMG	124DUR|2BPWR|3MBVNT|5RPLT|6CDMG|7RCR|89VULN|aAART
320	11512 22132	   	180.23	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR|1SELL	1SELL|2DMG|34VULN|5LWND|6CDMG|7ASPD|8DUR|9BEXP|aRCR
321	11512 22152	   	180.23	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR|1SELL	1SELL|2DMG|34VULN|5LWND|6CDMG|7ASPD|8DUR|9LIT|aRCR
322	11513 22642	   	180.23	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR|1SELL	1SELL|2DMG|34VULN|5DUR|6CDMG|7ASPD|8BEXP|9LWND|aRCR
323	21134 21156	   	180.14	ACR|3ASPD|2VULN|1AART|2DUR	17DUR|2DMSP|3MBVNT|4RCR|57VULN|679ASPD|7BPWR|8CGEN|aAART
324	22136 21156	   	180.14	ACR|3ASPD|2VULN|1AART|2DUR	17DUR|2AELBLL|3MBVNT|4RCR|579ASPD|67VULN|7BPWR|8CGEN|aAART
325	23134 21156	   	180.14	ACR|3ASPD|2VULN|1AART|2DUR	17DUR|2RCVC|3MBVNT|4RCR|57VULN|679ASPD|7BPWR|8CGEN|aAART
326	21136 21156	   	180.14	ACR|3ASPD|2VULN|1AART|2DUR	17DUR|2DMSP|3MBVNT|4RCR|579ASPD|67VULN|7BPWR|8CGEN|aAART
327	22134 21156	   	180.14	ACR|3ASPD|2VULN|1AART|2DUR	17DUR|2AELBLL|3MBVNT|4RCR|57VULN|679ASPD|7BPWR|8CGEN|aAART
328	23136 21156	   	180.14	ACR|3ASPD|2VULN|1AART|2DUR	17DUR|2RCVC|3MBVNT|4RCR|579ASPD|67VULN|7BPWR|8CGEN|aAART
329	11512 22112	   	180.13	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR|1SELL	1SELL|2DMG|34VULN|5LWND|6CDMG|7ASPD|8DUR|9DUST|aRCR
330	11511 22142	   	180.13	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR|1SELL	1SELL|2DMG|34VULN|5DUST|6CDMG|7ASPD|8DUR|9LWND|aRCR
331	11513 22442	   	180.13	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR|1SELL	1SELL|2DMG|34VULN|5DUR|6CDMG|7ASPD|8DUST|9LWND|aRCR
332	11513 43342	   	180.13	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR|1SELL	1SELL|2DMG|34VULN|5DUR|6DUST|7ASPD|8CDMG|9LWND|aRCR
333	11311 33243	   	180.10	DCR|2ASPD|1VULN|1DMG|1CDMG|1ZMB|1SELL	1SELL|2DMG|3aASPD|4LWND|5AELBLL|6CDMG|7ZMB|8RCR|9VULN
334	11331 33243	   	180.10	DCR|2ASPD|1VULN|1DMG|1CDMG|1ZMB|1SELL	1SELL|2DMG|3aASPD|4LHND|5AELBLL|6CDMG|7ZMB|8RCR|9VULN
335	11345 33243	   	180.00	DCR|2ASPD|1VULN|1DMG|1CDMG|1AAC|1ZMB|1SELL	1SELL|2DMG|3aASPD|4RMIN|5AAC|6CDMG|7ZMB|8RCR|9VULN
336	65312 63323	   	179.97	DCR|2VULN|1ASPD|1DMG|1CDMG	1CDMG|27DUST|34VULN|5CGEN|6RCR|8DMG|9MLV|aASPD
337	13121 21862	   	179.97	DCR|2ASPD|1AART|1DMG|1CDMG|1DUR|1SELL	1SELL|2LIT|3AART|49ASPD|5CDMG|6MBVNT|7RCR|8DUR|aDMG
338	26133 53236	   	179.96	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DUR|2LWND|3ZMB|4MLV|5ASPD|6VULN|7AART|8RMIN|9RCR|aDMG
339	11352 25148	 * 	179.93	DCR|3ASPD|2DMG|1AART|1SELL	1SELL|29DMG|359ASPD|4RCVC|69TLV|7AART|8MBVNT|9BPWR|aRCR
340	11352 25238	 * 	179.93	DCR|3ASPD|2DMG|1AART|1SELL	1SELL|28DMG|358ASPD|4RCVC|68TLV|7AART|8BPWR|9MBVNT|aRCR
341	11265 33243	   	179.90	DCR|2ASPD|1VULN|1DMG|1CDMG|1AAC|1ZMB|1SELL	1SELL|2DMG|3ERES|4aASPD|5AAC|6CDMG|7ZMB|8RCR|9VULN
342	65311 63323	   	179.87	DCR|2VULN|1ASPD|1DMG|1CDMG	1CDMG|27DUST|34VULN|5TLV|6RCR|8DMG|9MLV|aASPD
343	62511 22314	   	179.77	DCR|2AART|1VULN|1ASPD|1CDMG|1AAC	1CDMG|2FEWX|34AART|5ASPD|6AME|7RCR|8MULFIG|9VULN|aAAC
344	66313 41333	 * 	179.73	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LHND|346VULN|5RCR|7AME|8DMG|9AART|aDUR
345	16326 14321	   	179.69	DCR|4VULN|1CDMG|1DUR|1SELL	1SELL|2DUR|3689VULN|4MLV|5MSLFST|7RCR|aCDMG
346	13121 24386	   	179.69	DCR|2ASPD|1AART|1VULN|1CDMG|1DUR|1SELL	1SELL|2LIT|3AART|47ASPD|5CDMG|6MBVNT|8VULN|9RCR|aDUR
347	25252 12212	   	179.67	DCR|1VULN|1ASPD|1DMG|1CDMG|2DUR|1ZMB	12DUR|2BPWR|3LIT|4CDMG|5SPLJET|6ZMB|7ASPD|8RCR|9VULN|aDMG
348	21134 18771	   	179.65	ACR|2VULN|2ASPD|1DMG|1CDMG|2DUR	19DUR|2DMSP|3MBVNT|4RCR|59VULN|6CDMG|7DUST|89ASPD|9BPWR|aDMG
349	22134 18771	   	179.65	ACR|2VULN|2ASPD|1DMG|1CDMG|2DUR	19DUR|2AELBLL|3MBVNT|4RCR|59VULN|6CDMG|7DUST|89ASPD|9BPWR|aDMG
350	23134 18771	   	179.65	ACR|2VULN|2ASPD|1DMG|1CDMG|2DUR	19DUR|2RCVC|3MBVNT|4RCR|59VULN|6CDMG|7DUST|89ASPD|9BPWR|aDMG
351	16216 14321	   	179.59	DCR|4VULN|1CDMG|1DUR|1SELL	1SELL|2DUR|3ERES|4689VULN|5MSLFST|7RCR|aCDMG
352	26255 21413	   	179.59	DCR|2DMG|1VULN|1ASPD|1CDMG|1DUR	1DUR|2LWND|3MBVNT|46DMG|5ASPD|7RPLT|8CDMG|9RCR|aVULN
353	64322 22351	 * 	179.48	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG	1CDMG|2LWND|3VULN|4MLV|5MDPS|6RCR|7AME|8aAART|9ASPD
354	66322 22351	   	179.48	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG	1CDMG|2LHND|3VULN|4MLV|5MDPS|6RCR|7AME|8aAART|9ASPD
355	11513 12362	   	179.43	DCR|3VULN|1DMG|2DUR|1ZMB|1SELL	1SELL|2DMG|346VULN|56DUR|6BPWR|7AME|8BEXP|9RCR|aZMB
356	11513 12462	   	179.43	DCR|3VULN|1DMG|2DUR|1ZMB|1SELL	1SELL|2DMG|346VULN|56DUR|6BPWR|7AME|8LWND|9RCR|aZMB
357	61512 23251	   	179.38	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG	1CDMG|2CGEN|3LHND|4VULN|5MDPS|6RCR|7aAART|8TLV|9ASPD
358	61512 23351	   	179.38	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG	1CDMG|2CGEN|3LHND|4VULN|5MDPS|6RCR|7aAART|8ERES|9ASPD
359	64112 23251	   	179.38	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG	1CDMG|2LWND|3CGEN|4VULN|5MDPS|6RCR|7aAART|8TLV|9ASPD
360	64112 23351	   	179.38	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG	1CDMG|2LWND|3CGEN|4VULN|5MDPS|6RCR|7aAART|8ERES|9ASPD
361	64212 21351	   	179.38	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG	1CDMG|2LWND|3ERES|4VULN|5MDPS|6RCR|7MLV|8aAART|9ASPD
362	64322 23331	   	179.38	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG	1CDMG|2LWND|3VULN|4MLV|5MDPS|6RCR|7ASPD|8aAART|9ERES
363	66112 23251	   	179.38	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG	1CDMG|2LHND|3CGEN|4VULN|5MDPS|6RCR|7aAART|8TLV|9ASPD
364	66112 23351	   	179.38	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG	1CDMG|2LHND|3CGEN|4VULN|5MDPS|6RCR|7aAART|8ERES|9ASPD
365	66212 21351	   	179.38	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG	1CDMG|2LHND|3ERES|4VULN|5MDPS|6RCR|7MLV|8aAART|9ASPD
366	31124 47442	 * 	179.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1DUST|2DMSP|3MBVNT|4RPLT|5AART|6CDMG|7DMG|8RCR|9ASPD|aVULN
367	32124 47442	   	179.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1DUST|2AELBLL|3MBVNT|4RPLT|5AART|6CDMG|7DMG|8RCR|9ASPD|aVULN
368	33124 47442	   	179.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1DUST|2RCVC|3MBVNT|4RPLT|5AART|6CDMG|7DMG|8RCR|9ASPD|aVULN
369	64212 23251	   	179.28	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG	1CDMG|2LWND|3ERES|4VULN|5MDPS|6RCR|7aAART|8TLV|9ASPD
370	66212 23251	   	179.28	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG	1CDMG|2LHND|3ERES|4VULN|5MDPS|6RCR|7aAART|8TLV|9ASPD
371	35124 47442	   	179.27	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	12DUST|2BPWR|3MBVNT|4RPLT|5AART|6CDMG|7DMG|8RCR|9ASPD|aVULN
372	11562 26312	   	179.26	DCR|2VULN|2CDMG|1ASPD|1DMG|1SELL	1SELL|2DMG|39VULN|4ASPD|5CGEN|68CDMG|7ERES|aRCR
373	62312 23364	   	179.13	DCR|2VULN|2DMG|2CDMG	16CDMG|2FEWX|34VULN|5CGEN|7aDMG|8BEXP|9RCR
374	21136 47741	 * 	179.04	ACR|2DMG|2ASPD|1VULN|1AART|1DUR	1DUR|2DMSP|3MBVNT|4RCR|59ASPD|6AART|7aDMG|8VULN
375	22136 47741	   	179.04	ACR|2DMG|2ASPD|1VULN|1AART|1DUR	1DUR|2AELBLL|3MBVNT|4RCR|59ASPD|6AART|7aDMG|8VULN
376	23136 47741	   	179.04	ACR|2DMG|2ASPD|1VULN|1AART|1DUR	1DUR|2RCVC|3MBVNT|4RCR|59ASPD|6AART|7aDMG|8VULN
377	11152 43313	 * 	179.03	DCR|3VULN|1AART|1DMG|1AAC|1SELL	1SELL|2DMG|3MSLREG|48aVULN|5AAC|6BELT|7AART|9RCR
378	62311 23364	   	179.03	DCR|2VULN|2DMG|2CDMG	16CDMG|2FEWX|34VULN|5TLV|7aDMG|8BEXP|9RCR
