0	Index      	 *	Score 	Summary	Detail	
98	11363 23525	   	159.23	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1RMIN|2LWND|3CDMG|4CGEN|5DUR|6RCR|7ZMB|8DMG|9VULN|aAART
99	36231 23231	   	159.10	DCR|1AART|1DMG|2CDMG|1VULN|1ZMB	1LEGI|2LWND|3BEXP|45CDMG|6RCR|7ZMB|8VULN|9AART|aDMG
100	46531 23231	   	159.00	DCR|1AART|1DMG|2CDMG|1VULN|1ZMB	1DUST|2LEGI|3LHND|45CDMG|6RCR|7ZMB|8VULN|9AART|aDMG
101	46631 23231	   	159.00	DCR|1AART|1DMG|2CDMG|1VULN|1ZMB	1DUST|2LEGI|3LWND|45CDMG|6RCR|7ZMB|8VULN|9AART|aDMG
102	31363 31121	 * 	158.94	DCR|1AART|1DMG|1VULN|2ASPD|1CDMG	1LEGI|2BELT|3AART|49ASPD|5VULN|6RCR|7CDMG|8LHND|aDMG
103	31363 31421	   	158.94	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG	1LEGI|2BELT|3AART|49ASPD|5VULN|6RCR|7CDMG|8FEWX|aDMG
104	31363 31511	   	158.94	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG	1LEGI|2BELT|3AART|48ASPD|5VULN|6RCR|7CDMG|9FEWX|aDMG
105	31363 31521	   	158.94	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG	1LEGI|2BELT|3AART|48ASPD|5VULN|6RCR|7CDMG|9BEXP|aDMG
106	11122 31125	   	158.88	DCR|2DMG|1AART|1VULN|1CDMG	1RMIN|2LWND|3LHND|4BEXP|59DMG|6RCR|7VULN|8CDMG|aAART
107	11132 31125	   	158.88	DCR|2DMG|1AART|1VULN|1CDMG	1RMIN|2LWND|3LHND|4FEWX|59DMG|6RCR|7VULN|8CDMG|aAART
108	61122 31125	   	158.88	DCR|2DMG|1AART|1VULN|1CDMG	1LWND|2RMIN|3LHND|4BEXP|59DMG|6RCR|7VULN|8CDMG|aAART
109	61132 31125	   	158.88	DCR|2DMG|1AART|1VULN|1CDMG	1LWND|2RMIN|3LHND|4FEWX|59DMG|6RCR|7VULN|8CDMG|aAART
110	31363 31531	   	158.84	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG	1LEGI|2BELT|3AART|48ASPD|5VULN|6RCR|7CDMG|9DUST|aDMG
111	31363 31561	   	158.84	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG	1LEGI|2BELT|3AART|48ASPD|5VULN|6RCR|7CDMG|9MBVNT|aDMG
112	12152 31125	   	158.78	DCR|2DMG|1AART|1VULN|1CDMG	1RMIN|2FEWX|3LWND|4LEGI|59DMG|6RCR|7VULN|8CDMG|aAART
113	24112 31125	   	158.78	DCR|2DMG|1AART|1VULN|1CDMG	1ERES|2LWND|3LHND|4FEWX|59DMG|6RCR|7VULN|8CDMG|aAART
114	34112 31125	   	158.78	DCR|2DMG|1AART|1VULN|1CDMG	1LEGI|2CGEN|3LHND|4FEWX|59DMG|6RCR|7VULN|8CDMG|aAART
115	36431 31125	   	158.78	DCR|2DMG|1AART|1VULN|1CDMG	1LEGI|2LWND|39DMG|4FEWX|5MLV|6RCR|7VULN|8CDMG|aAART
116	14232 33154	   	158.68	DCR|2VULN|1AART|1DMG|1CDMG	1RMIN|2CANHEL|3DUST|47VULN|5CDMG|6RCR|8DMG|9BEXP|aAART
117	36422 31125	   	158.68	DCR|2DMG|1AART|1VULN|1CDMG	1LEGI|2LWND|39DMG|4BEXP|5NUKE|6RCR|7VULN|8CDMG|aAART
118	36432 31125	   	158.68	DCR|2DMG|1AART|1VULN|1CDMG	1LEGI|2LWND|39DMG|4FEWX|5NUKE|6RCR|7VULN|8CDMG|aAART
119	41152 31125	   	158.68	DCR|2DMG|1AART|1VULN|1CDMG	1DUST|2RMIN|3LWND|4LEGI|59DMG|6RCR|7VULN|8CDMG|aAART
120	13412 33121	 * 	158.36	DCR|1AART|1VULN|2CDMG|1DMG|2ZMB	1RMIN|2RCVC|36CDMG|4BELT|56ZMB|6BPWR|7VULN|8RCR|9AART|aDMG
121	21321 21541	   	158.17	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ERES|2ZMB|3AIRHEL|45VULN|6AART|7LWND|8DMG|9RCR|aASPD
122	21321 21544	   	158.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ERES|2ZMB|3AIRHEL|45VULN|6AART|7LWND|8DMG|9RCR|aDUR
123	21321 24441	   	158.17	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ERES|2ZMB|3AIRHEL|45VULN|6AART|7DMG|8BEXP|9RCR|aASPD
124	21321 24541	   	158.17	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ERES|2ZMB|3AIRHEL|45VULN|6AART|7DMG|8LHND|9RCR|aASPD
125	21321 22541	   	158.07	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ERES|2ZMB|3AIRHEL|45VULN|6AART|7DUST|8DMG|9RCR|aASPD
126	21321 22544	   	158.07	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ERES|2ZMB|3AIRHEL|45VULN|6AART|7DUST|8DMG|9RCR|aDUR
127	14232 33126	   	158.07	DCR|3VULN|1DMG|1CDMG|1DUR	1RMIN|2CANHEL|3DUST|479VULN|5CDMG|6RCR|8DMG|aDUR
128	66323 22223	   	157.82	ACR|3DMG|2VULN|1ASPD	1LWND|2DMSP|3MGNSTR|49VULN|5RCR|678DMG|aASPD
129	66323 22214	   	157.82	ACR|3DMG|2VULN|1DUR	1LWND|2DMSP|3MGNSTR|4aVULN|5RCR|678DMG|9DUR
130	66323 22322	 * 	157.82	ACR|3VULN|2DMG|1DUR	1LWND|2DMSP|3MGNSTR|49aVULN|5RCR|67DMG|8DUR
131	22315 33353	 * 	157.48	DCR|2VULN|1AART|1DMG|2ASPD	129ERES|3BEXP|4RPLT|59VULN|69ASPD|7RCR|8AART|9BPWR|aDMG
132	22435 33353	   	157.48	DCR|2VULN|1AART|1DMG|2ASPD	129ERES|3RPLT|4BEXP|59VULN|69ASPD|7RCR|8AART|9BPWR|aDMG
