0	Index      	 *	Score 	Summary	Detail	
56	12243 24223	 * 	193.00	ACR|1BASARM|2DMG|2AART	1LIT|2LWND|3MBVNT|4LHND|5RCR|6aDMG|79AART|8BASARM
57	36422 36438	   	192.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1SNIHEL|2MBVNT|3RCR|4BELT|5ASPD|6MDPS|7DMG|8BEXP|9FEWX|aBASARM
58	36444 63541	   	192.82	ACR|1BASARM|2VULN|1ASPD|1AART	1SNIHEL|2MBVNT|3RCR|4AART|5LWND|67VULN|8BASARM|9CGEN|aASPD
59	36427 32273	   	192.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1SNIHEL|2MBVNT|3RCR|4BELT|5MDPS|6BEXP|7CGEN|8BASARM|9DMG|aASPD
60	36422 36448	   	192.72	ACR|1BASARM|1ASPD|1DMG|1BEXP	1SNIHEL|2MBVNT|3RCR|4BELT|5ASPD|6MDPS|7DMG|8BEXP|9DUST|aBASARM
61	36432 35354	   	192.72	ACR|1BASARM|1ASPD|1DMG|1CDMG	1SNIHEL|2MBVNT|3RCR|4LEGI|5MDPS|6ASPD|7BASARM|8CDMG|9MLV|aDMG
62	36441 63541	   	192.72	ACR|1BASARM|2VULN|1ASPD|1AART	1SNIHEL|2MBVNT|3RCR|4AART|5DUST|67VULN|8BASARM|9CGEN|aASPD
63	36432 35314	   	192.62	ACR|1BASARM|1ASPD|1DMG|1CDMG	1SNIHEL|2MBVNT|3RCR|4LEGI|5MDPS|6ASPD|7BASARM|8CDMG|9AEMAG|aDMG
64	36432 35338	   	192.62	ACR|1BASARM|1ASPD|1DMG|1CDMG	1SNIHEL|2MBVNT|3RCR|4LEGI|5MDPS|6ASPD|7BASARM|8CDMG|9DUST|aDMG
65	41131 45215	   	192.55	ACR|3DMG|1BASARM	124FEWX|3RCR|5MBVNT|678DMG|9ZMB|aBASARM
66	21436 12252	   	192.48	ACR|1BASARM|2DMG|1CDMG	1MLV|25DMG|3LIT|4RCR|6CDMG|7DUST|8VULN|9BASARM|aLHND
67	21436 13252	   	192.48	ACR|1BASARM|2DMG|1CDMG	1MLV|25DMG|3LIT|4RCR|6CDMG|7LEGI|8VULN|9BASARM|aLHND
68	36441 28138	   	192.45	ACR|1BASARM|2AART|1BEXP|1CDMG	1SNIHEL|2MBVNT|3RCR|46AART|5DUST|7BASARM|8FEWX|9CDMG|aBEXP
69	36441 28533	   	192.45	ACR|1BASARM|2AART|1BEXP|1CDMG	1SNIHEL|2MBVNT|3RCR|46AART|5DUST|7BASARM|8BEXP|9CDMG|aLIT
70	21436 12251	   	192.38	ACR|1BASARM|2DMG|1CDMG	1MLV|25DMG|3LIT|4RCR|6CDMG|7DUST|8VULN|9BASARM|aAME
71	21436 12253	   	192.38	ACR|1BASARM|2DMG|1CDMG	1MLV|25DMG|3LIT|4RCR|6CDMG|7DUST|8VULN|9BASARM|aERES
