0	Index      	 *	Score 	Summary	Detail	
82	63233 12161	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|29VULN|3AME|4DUR|5AART|6RCR|7DMG|8LHND|aASPD
83	63233 12561	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|28VULN|3AME|4DUR|5AART|6RCR|7DMG|9FEWX|aASPD
84	65213 12261	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2BEXP|3AME|49VULN|5AART|6RCR|7DMG|8DUR|aASPD
85	21315 62321	   	196.01	DCR|3VULN|1ASPD|1DMG|1CDMG	14aVULN|2LWND|3ASPD|58BEXP|6DMG|7RCR|9CDMG
86	21315 62621	   	196.01	DCR|3VULN|1ASPD|1DMG|1CDMG	14aVULN|28LWND|3ASPD|5BEXP|6DMG|7RCR|9CDMG
87	22313 62621	   	196.01	DCR|3VULN|1ASPD|1DMG|1CDMG	14aVULN|2LHND|3ASPD|58LWND|6DMG|7RCR|9CDMG
88	22315 62321	   	196.01	DCR|3VULN|1ASPD|1DMG|1CDMG	14aVULN|2LHND|3ASPD|58BEXP|6DMG|7RCR|9CDMG
89	25313 62321	   	196.01	DCR|3VULN|1ASPD|1DMG|1CDMG	14aVULN|28BEXP|3ASPD|5LWND|6DMG|7RCR|9CDMG
90	25313 62621	   	196.01	DCR|3VULN|1ASPD|1DMG|1CDMG	14aVULN|2BEXP|3ASPD|58LWND|6DMG|7RCR|9CDMG
91	63315 62321	   	196.01	DCR|3VULN|1ASPD|1DMG|1CDMG	1LWND|24aVULN|3ASPD|58BEXP|6DMG|7RCR|9CDMG
92	21533 12161	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	19VULN|2LWND|3ERES|4DUR|5AART|6RCR|7DMG|8LHND|aASPD
93	21533 12561	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	18VULN|2LWND|3ERES|4DUR|5AART|6RCR|7DMG|9FEWX|aASPD
94	22533 12361	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	19VULN|2LHND|3ERES|4DUR|5AART|6RCR|7DMG|8LWND|aASPD
95	22533 12561	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	18VULN|2LHND|3ERES|4DUR|5AART|6RCR|7DMG|9FEWX|aASPD
96	51213 12261	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUST|2LWND|3AME|49VULN|5AART|6RCR|7DMG|8DUR|aASPD
97	62213 12261	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2TLV|3BEXP|49VULN|5AART|6RCR|7DMG|8DUR|aASPD
98	62333 12161	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2TLV|39VULN|4DUR|5AART|6RCR|7DMG|8LHND|aASPD
99	62333 12561	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2TLV|38VULN|4DUR|5AART|6RCR|7DMG|9FEWX|aASPD
100	63533 12161	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|29VULN|3ERES|4DUR|5AART|6RCR|7DMG|8LHND|aASPD
101	66213 12261	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2ERES|3BEXP|49VULN|5AART|6RCR|7DMG|8DUR|aASPD
102	66333 12161	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2ERES|39VULN|4DUR|5AART|6RCR|7DMG|8LHND|aASPD
103	21233 12521	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	18VULN|2LWND|3AME|4DUR|5AART|6RCR|7DMG|9DUST|aASPD
104	21233 12541	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	18VULN|2LWND|3AME|4DUR|5AART|6RCR|7DMG|9LEGI|aASPD
105	22233 12521	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	18VULN|2LHND|3AME|4DUR|5AART|6RCR|7DMG|9DUST|aASPD
106	22233 12541	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	18VULN|2LHND|3AME|4DUR|5AART|6RCR|7DMG|9LEGI|aASPD
107	63233 12521	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|28VULN|3AME|4DUR|5AART|6RCR|7DMG|9DUST|aASPD
108	63233 12541	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|28VULN|3AME|4DUR|5AART|6RCR|7DMG|9LEGI|aASPD
109	23133 32875	 * 	195.88	DCR|3VULN|2DMG|3DUR	19aVULN|2TLV|3MBVNT|489DUR|5DMSP|69DMG|7RCR|9BPWR
110	21533 12521	   	195.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	18VULN|2LWND|3ERES|4DUR|5AART|6RCR|7DMG|9DUST|aASPD
111	21533 12541	   	195.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	18VULN|2LWND|3ERES|4DUR|5AART|6RCR|7DMG|9LEGI|aASPD
112	22533 12521	   	195.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	18VULN|2LHND|3ERES|4DUR|5AART|6RCR|7DMG|9DUST|aASPD
113	22533 12541	   	195.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	18VULN|2LHND|3ERES|4DUR|5AART|6RCR|7DMG|9LEGI|aASPD
114	62333 12521	   	195.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2TLV|38VULN|4DUR|5AART|6RCR|7DMG|9DUST|aASPD
115	62333 12541	   	195.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2TLV|38VULN|4DUR|5AART|6RCR|7DMG|9LEGI|aASPD
116	63533 12521	   	195.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|28VULN|3ERES|4DUR|5AART|6RCR|7DMG|9DUST|aASPD
