0	Index      	 *	Score 	Summary	Detail	
47	52263 31321	   	192.03	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1DUST|2CGEN|3DMSP|4RCR|5DUR|6DMG|7BASARM|8VULN|9AAC|aBEXP
48	52463 31321	   	192.03	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1DUST|23CGEN|4RCR|5DUR|6DMG|7BASARM|8VULN|9AAC|aBEXP
49	33543 33234	   	191.93	ACR|2VULN|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1CDMG|2TLV|3LIT|4RCR|5BEXP|69VULN|7ASPD|8AAC|aDMG
50	41451 31321	   	191.93	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1LEGI|23FEWX|4RCR|5ERES|6DMG|7BASARM|8VULN|9AAC|aBEXP
51	43332 31317	 * 	191.75	ACR|3VULN|2DMG|2BEXP|1AAC	1LEGI|2AAC|39DMG|4LIT|5RCR|6MBVNT|79BEXP|89aVULN|9BPWR
52	12263 31335	   	191.24	ACR|1BASARM|1VULN|1ASPD|1DMG	1FEWX|2CGEN|3DMSP|4RCR|5DUR|6DMG|7BASARM|8VULN|9BELT|aASPD
53	12263 31354	   	191.24	ACR|1BASARM|1VULN|1ASPD|1DMG	1FEWX|2CGEN|3aDMSP|4RCR|5DUR|6DMG|7BASARM|8VULN|9ASPD
54	12263 31355	   	191.24	ACR|1BASARM|1VULN|1ASPD|1DMG	1FEWX|2CGEN|3DMSP|4RCR|5DUR|6DMG|7BASARM|8VULN|9ASPD|aLWND
55	12463 31335	   	191.24	ACR|1BASARM|1VULN|1ASPD|1DMG	1FEWX|23CGEN|4RCR|5DUR|6DMG|7BASARM|8VULN|9BELT|aASPD
56	22162 31335	   	191.24	ACR|1BASARM|1VULN|1ASPD|1DMG	12CGEN|3LHND|4RCR|5DUR|6DMG|7BASARM|8VULN|9BELT|aASPD
57	22162 31354	   	191.24	ACR|1BASARM|1VULN|1ASPD|1DMG	12CGEN|3LHND|4RCR|5DUR|6DMG|7BASARM|8VULN|9ASPD|aDMSP
58	22162 31355	   	191.24	ACR|1BASARM|1VULN|1ASPD|1DMG	12CGEN|3LHND|4RCR|5DUR|6DMG|7BASARM|8VULN|9ASPD|aLWND
59	24362 31335	   	191.24	ACR|1BASARM|1VULN|1ASPD|1DMG	13CGEN|2LWND|4RCR|5DUR|6DMG|7BASARM|8VULN|9BELT|aASPD
60	22663 31421	   	191.20	ACR|1BASARM|2BEXP|1DMG|1AAC	12CGEN|3aBEXP|4RCR|5DUR|6DMG|7BASARM|8LWND|9AAC
61	12263 31353	   	191.14	ACR|1BASARM|1VULN|1ASPD|1DMG	1FEWX|2CGEN|3DMSP|4RCR|5DUR|6DMG|7BASARM|8VULN|9ASPD|aERES
