0	Index      	 *	Score 	Summary	Detail	
56	61613 51123	   	181.70	DCR|3VULN|2DMG|1AART|2DUR	17DUR|24DUST|3DMSP|57DMG|678VULN|7BPWR|9AART|aRCR
57	64253 33323	   	181.70	DCR|3VULN|2DMG|1AART|2DUR	14DUR|237VULN|58DMG|6BEXP|9AART|aRCR
58	64262 23222	   	181.59	ACR|3VULN|2AART|1DMG|1DUR	1DUR|239VULN|4RCR|58AART|6FEWX|7DMG|aRCVC
59	12421 31322	   	181.13	DCR|3VULN|2AART|1DMG	1RCVC|2aAART|3DMG|4BEXP|579VULN|6RCR|8LHND
60	65513 32332	   	180.84	ACR|2DMG|1AART|1VULN|1FLTHEA|1ZMB|1DUR	1DUR|29DMG|3RCR|4AART|5FLTHEA|6ZMB|7CGEN|8VULN|aLHND
61	35513 32313	   	180.74	ACR|2DMG|1AART|2FLTHEA|1CDMG|1ZMB|1DUR	1DUST|26DMG|3RCR|4AART|56FLTHEA|6BPWR|7ZMB|8LWND|9DUR|aCDMG
62	65513 31221	   	180.74	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1DUR|2DMG|3RCR|4AART|5FLTHEA|6ZMB|7aVULN|8LIT|9ERES
63	65513 32331	   	180.74	ACR|2DMG|1AART|1VULN|1FLTHEA|1ZMB|1DUR	1DUR|29DMG|3RCR|4AART|5FLTHEA|6ZMB|7CGEN|8VULN|aTLV
64	65513 32333	   	180.74	ACR|2DMG|1AART|1VULN|1FLTHEA|1ZMB|1DUR	1DUR|29DMG|3RCR|4AART|5FLTHEA|6ZMB|7CGEN|8VULN|aDUST
65	35513 31153	 * 	180.66	ACR|2AART|2DMG|1VULN|2FLTHEA	1DUST|26DMG|3RCR|4aAART|56FLTHEA|6BPWR|7LWND|8RPLT|9VULN
66	35511 11153	   	180.48	ACR|2VULN|2DMG|1AART|1CDMG	1DUST|2aDMG|3RCR|4AART|5LHND|6CDMG|7aVULN|8ERES|9aFEWX|aBPWR
67	35511 11353	   	180.48	ACR|2VULN|2DMG|1AART|1CDMG	1DUST|2aDMG|3RCR|4AART|5LHND|6CDMG|7aVULN|8TLV|9aFEWX|aBPWR
68	22416 61223	 * 	180.42	ACR|2AART|2VULN|2DMG|1DUR	1BEXP|2FEWX|36DMG|48AART|5RCR|79VULN|aDUR
69	65332 53212	 * 	180.38	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG|1DUR	1DUR|27DMG|3aASPD|4RCR|5AART|6LHND|8VULN|9CDMG
70	21416 61223	   	180.32	ACR|2AART|2VULN|2DMG|1DUR	1BEXP|2DUST|36DMG|48AART|5RCR|79VULN|aDUR
71	25116 61223	   	180.32	ACR|2AART|2VULN|2DMG|1DUR	1BEXP|26DMG|3DUST|48AART|5RCR|79VULN|aDUR
72	64262 13221	   	180.29	ACR|3VULN|2AART|1DMG|1DUR	1DUR|239VULN|4RCR|58AART|6aBEXP|7DMG
73	64262 23221	   	180.29	ACR|3VULN|2AART|1DMG|1DUR	1DUR|239VULN|4RCR|58AART|6FEWX|7DMG|aBEXP
74	64262 23223	   	180.29	ACR|3VULN|2AART|1DMG|1DUR	1DUR|239VULN|4RCR|58AART|6FEWX|7DMG|aLHND
75	35513 32216	   	180.21	ACR|2DMG|1AART|1VULN|2FLTHEA|1ZMB	1DUST|26DMG|3RCR|4AART|56FLTHEA|6BPWR|7ZMB|8LIT|9RPLT|aVULN
76	12421 31155	 * 	179.91	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1RCVC|2AART|3DMG|4BEXP|57VULN|6RCR|8aDUR|9CDMG
77	36513 32352	 * 	179.91	ACR|3ZMB|1AART|2CDMG|1VULN|2FLTHEA	1DUST|267ZMB|3RCR|4AART|56FLTHEA|6BPWR|8aCDMG|9VULN
78	35121 31252	 * 	179.86	DCR|2VULN|2DMG|1AART|1CDMG	13DUST|2aDMG|4AART|57VULN|6RCR|8BEXP|9CDMG
79	35121 31323	   	179.86	DCR|2VULN|2DMG|1AART|1CDMG	13DUST|2aDMG|4AART|57VULN|6RCR|8CDMG|9MLV
80	35121 31342	   	179.86	DCR|2VULN|2DMG|1AART|1CDMG	13DUST|2aDMG|4AART|57VULN|6RCR|8CDMG|9BEXP
81	35121 31352	   	179.86	DCR|2VULN|2DMG|1AART|1CDMG	13DUST|2aDMG|4AART|57VULN|6RCR|8CDMG|9FEWX
82	35121 36132	   	179.86	DCR|2VULN|2DMG|1AART|1CDMG	13DUST|2aDMG|4AART|59VULN|6RCR|7BEXP|8CDMG
83	35513 32262	 * 	179.65	ACR|3DMG|1AART|2FLTHEA|2ZMB	1DUST|269DMG|3RCR|4AART|56FLTHEA|6BPWR|7aZMB|8LIT
84	35222 12236	   	179.42	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	19DUST|289DMG|3ZMB|4DUR|5AART|69BEXP|7RCR|9BPWR|aVULN
85	35222 22236	   	179.42	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	19DUST|289DMG|3ZMB|4DUR|5AART|69FEWX|7RCR|9BPWR|aVULN
86	35222 12226	   	179.32	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1DUST|289DMG|3ZMB|4DUR|5AART|6BEXP|7RCR|aVULN
87	35222 22226	   	179.32	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1DUST|289DMG|3ZMB|4DUR|5AART|6FEWX|7RCR|aVULN
88	12221 31122	   	179.01	DCR|3VULN|2AART|1ZMB|1DUR	1RCVC|2aAART|3ZMB|4BEXP|579VULN|6RCR|8DUR
89	12651 31122	   	179.01	DCR|3VULN|2AART|1ZMB|1DUR	1RCVC|2aAART|3BEXP|4ZMB|579VULN|6RCR|8DUR
90	62226 12382	 * 	178.85	DCR|3VULN|2DMG|1CDMG|2DUR	1aDUR|2FEWX|38aVULN|4MLV|5MBVNT|6CDMG|7RCR|9aDMG|aBPWR
91	26333 43142	   	178.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	15BEXP|2ZMB|3ASPD|4RCR|67DMG|89VULN|aAART
92	12551 31323	   	178.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2AART|3DUST|4ZMB|57VULN|6RCR|8CDMG|9MLV|aDMG
93	12551 31342	   	178.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2AART|3DUST|4ZMB|57VULN|6RCR|8CDMG|9BEXP|aDMG
94	12551 31352	   	178.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2AART|3DUST|4ZMB|57VULN|6RCR|8CDMG|9FEWX|aDMG
95	12551 36132	   	178.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2AART|3DUST|4ZMB|59VULN|6RCR|7BEXP|8CDMG|aDMG
96	12421 31442	   	178.56	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|2AART|3aDMG|4BEXP|57VULN|6RCR|8RPLT|9DUR
97	66332 61132	   	178.54	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2ZMB|3ASPD|4RCR|5aAART|6TLV|7VULN|8CDMG|9DMG
98	64422 31232	 * 	178.48	DCR|3DMG|1VULN|2CDMG|2DUR|1ZMB	1aDUR|2VULN|36aDMG|49CDMG|5ZMB|7RCR|8aTLV|aBPWR
99	35513 33153	 * 	178.45	ACR|3DMG|2AART|2FLTHEA	1DUST|269DMG|3RCR|4aAART|56FLTHEA|6BPWR|7RCVC|8LHND
100	35513 33131	   	178.35	ACR|2DMG|1AART|1VULN|2FLTHEA|1DUR	1DUST|26DMG|3RCR|4AART|56FLTHEA|6BPWR|7RCVC|8LHND|9DUR|aVULN
101	64262 13112	   	178.28	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|23VULN|4RCR|5aAART|6BEXP|7DMG|8CDMG|9CGEN
102	64262 21132	   	178.28	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|23VULN|4RCR|5aAART|6FEWX|7CGEN|8CDMG|9DMG
103	64262 23112	   	178.28	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|23VULN|4RCR|5aAART|6FEWX|7DMG|8CDMG|9CGEN
104	64253 33123	   	178.21	DCR|4VULN|1AART|1DMG|2DUR	14DUR|2378VULN|5DMG|6BEXP|9AART|aRCR
105	25332 43512	   	178.18	ACR|2AART|2DMG|1VULN|1CDMG|1ASPD	1BEXP|27DMG|3ASPD|4RCR|5aAART|6DUST|8VULN|9CDMG
106	65332 13533	 * 	178.18	ACR|2AART|2DMG|1VULN|2ASPD|1DUR	1DUR|27DMG|39ASPD|4RCR|5aAART|6BEXP|8VULN
107	65332 53233	   	178.18	ACR|2AART|2DMG|1VULN|2ASPD|1DUR	1DUR|27DMG|39ASPD|4RCR|5aAART|6LHND|8VULN
108	26332 12252	   	177.84	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	16BEXP|2ZMB|3ASPD|4RCR|5AART|7VULN|8aDMG|9CDMG
109	26332 12553	   	177.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	16BEXP|2ZMB|3ASPD|4RCR|5AART|78VULN|9CDMG|aDMG
110	26332 22252	   	177.84	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1BEXP|2ZMB|3ASPD|4RCR|5AART|6DMSP|7VULN|8aDMG|9CDMG
111	26332 22553	   	177.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1BEXP|2ZMB|3ASPD|4RCR|5AART|6DMSP|78VULN|9CDMG|aDMG
112	12421 31124	   	177.80	DCR|3VULN|1AART|1DMG|1DUR	1aRCVC|2AART|3DMG|4BEXP|579VULN|6RCR|8DUR
113	22416 61222	 * 	177.75	ACR|3AART|2VULN|2DMG	1BEXP|2FEWX|36DMG|48aAART|5RCR|79VULN
114	64262 12122	   	177.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|23VULN|4RCR|5AART|6BEXP|7ZMB|8CDMG|9DUST|aDMG
115	64262 22122	   	177.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|23VULN|4RCR|5AART|6FEWX|7ZMB|8CDMG|9DUST|aDMG
116	12421 35223	   	177.71	DCR|2AART|2VULN|1DMG|2DUR	1RCVC|28AART|3DMG|4BEXP|59VULN|6RCR|7aDUR
117	12421 35522	   	177.71	DCR|2AART|2VULN|1DMG|2DUR	1RCVC|2aAART|3DMG|4BEXP|59VULN|6RCR|78DUR
118	21416 61222	   	177.65	ACR|3AART|2VULN|2DMG	1BEXP|2DUST|36DMG|48aAART|5RCR|79VULN
119	25116 61222	   	177.65	ACR|3AART|2VULN|2DMG	1BEXP|26DMG|3DUST|48aAART|5RCR|79VULN
120	35513 32143	 * 	177.53	ACR|2DMG|3ZMB|1AART|2FLTHEA	1DUST|26DMG|3RCR|4AART|56FLTHEA|6BPWR|79aZMB|8LHND
121	35513 32343	   	177.53	ACR|2DMG|3ZMB|1AART|2FLTHEA	1DUST|26DMG|3RCR|4AART|56FLTHEA|6BPWR|79aZMB|8LWND
122	25421 36111	   	177.42	DCR|2VULN|2DMG|1AART|1ZMB	137BEXP|2aDMG|4AART|59VULN|6RCR|8ZMB
123	25332 66333	 * 	177.38	ACR|2VULN|2DMG|1AART|2ASPD	1aBEXP|29DMG|3aASPD|4RCR|5AART|6TLV|7AIRHEL|8aVULN|aBPWR
124	14214 41222	   	177.19	ACR|2VULN|2DMG|1AART|2ZMB	1RCVC|27VULN|3NUKE|47ZMB|5RCR|67DMG|7BPWR|8DUST|9MBVNT|aAART
125	14214 41232	   	177.19	ACR|2VULN|2DMG|1AART|2ZMB	1RCVC|27VULN|3NUKE|47ZMB|5RCR|67DMG|7BPWR|89DUST|aAART
126	65513 31313	   	176.90	ACR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ZMB|1DUR	1DUR|2DMG|3RCR|4AART|5FLTHEA|6ZMB|7VULN|8LWND|9DMSP|aCDMG
127	65513 32313	   	176.90	ACR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ZMB|1DUR	1DUR|2DMG|3RCR|4AART|5FLTHEA|6ZMB|7CGEN|8VULN|9LHND|aCDMG
128	66332 12135	   	176.82	ACR|2DMG|1AART|2ASPD|1CDMG|2DUR|1ZMB	1aDUR|2ZMB|3aASPD|4RCR|5AART|6BEXP|7RMIN|8CDMG|9aDMG|aBPWR
129	66332 22135	   	176.82	ACR|2DMG|1AART|2ASPD|1CDMG|2DUR|1ZMB	1aDUR|2ZMB|3aASPD|4RCR|5AART|6FEWX|7RMIN|8CDMG|9aDMG|aBPWR
130	35513 42113	   	176.80	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1DUR	1DUST|2DMG|3RCR|4AART|5FLTHEA|6VULN|7ZMB|8DUR|9DMSP|aCDMG
131	14214 41112	   	176.78	ACR|3VULN|2DMG|2ZMB|1DUR	1RCVC|278VULN|3NUKE|47ZMB|5RCR|67DMG|7BPWR|9LHND|aDUR
132	14214 41323	   	176.78	ACR|3DMG|2VULN|2ZMB|1DUR	1RCVC|27VULN|3NUKE|47ZMB|5RCR|678DMG|7BPWR|9CGEN|aDUR
