0	Index      	 *	Score 	Summary	Detail	
66	32253 26322	   	182.42	ACR|5VULN|1AART|1CDMG	12689VULN|2BPWR|3FEWX|4RCR|5AART|7CDMG|aLIT
67	32253 26326	   	182.42	ACR|5VULN|1AART|1CDMG	12689VULN|2BPWR|3FEWX|4RCR|5AART|7CDMG|aLWND
68	32253 26321	   	182.32	ACR|5VULN|1AART|1CDMG	12689VULN|2BPWR|3FEWX|4RCR|5AART|7CDMG|aDUST
69	31251 22226	   	181.99	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	159VULN|2MLV|3DMG|4RCR|6RCVC|7CDMG|8DUR|aAART
70	32253 26136	   	181.86	ACR|3VULN|1AART|1DMG|2CDMG	126VULN|2BPWR|3FEWX|4RCR|5AART|79CDMG|8DMG|aCGEN
71	32253 66131	   	181.86	ACR|3VULN|1AART|1DMG|2CDMG	12aVULN|2BPWR|36FEWX|4RCR|5AART|79CDMG|8DMG
72	32253 26132	   	181.76	ACR|3VULN|1AART|1DMG|2CDMG	126VULN|2BPWR|3FEWX|4RCR|5AART|79CDMG|8DMG|aLSRREG
73	32253 26135	   	181.76	ACR|3VULN|1AART|1DMG|2CDMG	126VULN|2BPWR|3FEWX|4RCR|5AART|79CDMG|8DMG|aDUST
74	32511 32432	   	181.43	DCR|4VULN|1AART|1DMG|1CDMG	1237VULN|23BPWR|4DMG|5CDMG|6LHND|8CGEN|9RCR|aAART
75	32515 13432	   	181.43	DCR|4VULN|1AART|1DMG|1CDMG	1235VULN|23BPWR|4DMG|6LHND|7CDMG|8CGEN|9RCR|aAART
76	32656 22331	   	181.27	ACR|3VULN|3DMG|2DUR	127VULN|27BPWR|3BEXP|4RCR|57aDMG|67DUR|8CGEN|9TLV
77	32512 13236	   	181.23	DCR|4VULN|1AART|1DMG|1CDMG	1236VULN|23BPWR|4DMG|5ERES|7CDMG|8DUST|9RCR|aAART
78	44231 71424	   	181.16	ACR|4VULN|2DMG|1DUR|1ASPD	1NUKE|269aVULN|3MBVNT|4RCR|56DMG|6BPWR|7ASPD|8DUR
79	32656 22223	   	181.12	ACR|4VULN|2DMG|2DUR	1279VULN|27BPWR|3BEXP|4RCR|57DMG|67DUR|8LWND|aRCVC
80	32253 26314	   	181.04	ACR|4VULN|2AART|1CDMG	1268VULN|2BPWR|3FEWX|4RCR|5aAART|7CDMG|9CGEN
81	32142 11514	   	181.00	DCR|5VULN|2DMG	1256aVULN|2aBPWR|3RCVC|4BEXP|7aLWND|8RCR|9aDMG
82	32142 12514	   	181.00	DCR|5VULN|2DMG	1256aVULN|2aBPWR|3RCVC|4BEXP|7aLHND|8RCR|9aDMG
83	32142 33514	   	181.00	DCR|5VULN|2DMG	1257aVULN|2aBPWR|3RCVC|4BEXP|6aFEWX|8RCR|9aDMG
84	32656 23331	   	180.99	ACR|3VULN|2AART|1DMG|1DUR	12aVULN|2BPWR|3BEXP|4RCR|5DMG|6DUR|79AART|8RCVC
