0	Index      	 *	Score 	Summary	Detail	
343	63232 32535	   	172.82	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1ZMB|2aVULN|3DMG|47LIT|59AART|6DUR|8RCR
344	32253 22632	   	172.80	ACR|3VULN|1AART|1DMG|1ZMB	126VULN|2BPWR|3FEWX|4RCR|5AART|7ZMB|8LHND|9CANSTR|aDMG
345	32253 22232	   	172.70	ACR|3VULN|1AART|1DMG|1ZMB	126VULN|2BPWR|3FEWX|4RCR|5AART|7ZMB|8DUST|9CANSTR|aDMG
346	32253 22432	   	172.70	ACR|3VULN|1AART|1DMG|1ZMB	126VULN|2BPWR|3FEWX|4RCR|5AART|7ZMB|8LEGI|9CANSTR|aDMG
347	32111 52251	   	172.67	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	127VULN|2BPWR|3RCVC|4DMG|5CDMG|6RCR|8ASPD|9ZMB|aRPLT
348	32111 52253	   	172.67	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	127VULN|2BPWR|3RCVC|4DMG|5CDMG|6RCR|8ASPD|9ZMB|aMLV
349	32111 52254	   	172.67	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	127VULN|2BPWR|3RCVC|4DMG|5CDMG|6RCR|8ASPD|9ZMB|aBEXP
350	32111 52256	   	172.67	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	127VULN|2BPWR|3RCVC|4DMG|5CDMG|6RCR|8ASPD|9ZMB|aLHND
351	32111 52363	   	172.67	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	127VULN|2BPWR|3RCVC|4DMG|5CDMG|6RCR|8RPLT|9DUR|aZMB
352	31251 22266	   	172.65	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	15VULN|2MLV|3DMG|4RCR|6RCVC|79CDMG|8DUR|aAART
353	33251 22266	   	172.65	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	15VULN|2CGEN|3DMG|4RCR|6RCVC|79CDMG|8DUR|aAART
354	32111 52252	   	172.57	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	127VULN|2BPWR|3RCVC|4DMG|5CDMG|6RCR|8ASPD|9ZMB|aERES
