0	Index      	 *	Score 	Summary	Detail	
1	21425 27414	 * 	232.52	DCR|3VULN|2DMG|1MDPS|1ASPD|1CDMG	169VULN|29LHND|3ASPD|4CDMG|5MBVNT|7RCR|89DMG|9BPWR|aMDPS
129	23535 32231	   	205.45	DCR|3VULN|2DMG|1ASPD|1DUR	138VULN|26DMG|4DLOT|5ASPD|7RCR|9ERES|aDUR
130	23535 32321	   	205.45	DCR|3VULN|2DMG|1ASPD|1AAC|1DUR	139VULN|26DMG|4DLOT|5ASPD|7RCR|8AAC|aDUR
131	23535 32621	   	205.45	DCR|3VULN|2DMG|1ASPD|1DUR	139VULN|26DMG|4DLOT|5ASPD|7RCR|8ERES|aDUR
132	26534 32231	   	205.45	DCR|3VULN|2DMG|1ASPD|1DUR	138VULN|2ASPD|4DLOT|56DMG|7RCR|9ERES|aDUR
133	26534 32321	   	205.45	DCR|3VULN|2DMG|1ASPD|1AAC|1DUR	139VULN|2ASPD|4DLOT|56DMG|7RCR|8AAC|aDUR
134	26126 12413	 * 	205.39	DCR|2VULN|2DMG|2CDMG|1ASPD	19VULN|2ASPD|389LWND|4aCDMG|5LHND|6RCR|79DMG|9BPWR
135	23535 22151	   	205.30	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	13VULN|2DMG|4DLOT|5ASPD|6RCVC|7RCR|8DUR|9AART|aMDPS
136	23535 22421	   	205.30	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	13VULN|2DMG|4DLOT|5ASPD|6RCVC|7RCR|8AART|9DUR|aMDPS
137	23261 11635	   	205.04	DCR|3VULN|2DMG|1CDMG|2ZMB|1SELL	16aVULN|2aDMG|35ZMB|4CDMG|7SELL|8RCR|9aFEWX|aBPWR
138	23261 13532	   	204.99	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|2ZMB	16VULN|2DMG|35ZMB|4CDMG|7aDUR|8AART|9RCR
139	24113 15336	 * 	204.93	DCR|3ASPD|2VULN|1MDPS|1AART|1CDMG	17VULN|2RPLT|3MDPS|4AART|578ASPD|67DUST|7BPWR|9RCR|aCDMG
140	23535 12243	 * 	204.77	DCR|4VULN|1MDPS|1ASPD|1DMG|1SELL	1368VULN|2DMG|4DLOT|5ASPD|7RCR|9SELL|aMDPS
141	23535 12251	 * 	204.77	DCR|4VULN|1MDPS|1ASPD|1DMG	1368VULN|2DMG|4DLOT|5ASPD|7RCR|9MDPS|aCGEN
142	23535 12252	   	204.77	DCR|4VULN|1MDPS|1ASPD|1DMG	1368VULN|2DMG|4DLOT|5ASPD|7RCR|9MDPS|aERES
143	23535 12253	   	204.77	DCR|4VULN|1MDPS|1ASPD|1DMG	1368VULN|2DMG|4DLOT|5ASPD|7RCR|9MDPS|aAELBLL
144	42325 15413	 * 	204.46	DCR|3VULN|2DMG|2CDMG	1LEGI|29aVULN|3ERES|49CDMG|5MBVNT|6RCR|7RCVC|89DMG|9BPWR
145	24336 11251	   	204.43	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1aVULN|2RPLT|3aASPD|4BELT|5AART|6DUR|7DMG|8aLHND|9RCR|aBPWR
146	23535 12114	   	204.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	136VULN|2DMG|4DLOT|5ASPD|7RCR|8DUR|9FEWX|aCDMG
147	13526 12523	   	204.15	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	19FEWX|2DMG|39VULN|4CDMG|5LHND|6RCR|79MULARM|8AART|9BPWR|aASPD
148	33521 12523	   	204.15	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	19BEXP|2DMG|39VULN|4CDMG|5FEWX|6RCR|79MULARM|8AART|9BPWR|aASPD
149	33526 12523	   	204.15	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	19BEXP|2DMG|39VULN|4CDMG|5LHND|6RCR|79MULARM|8AART|9BPWR|aASPD
150	23535 32114	   	203.97	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	13VULN|26DMG|4DLOT|5ASPD|7RCR|8DUR|9FEWX|aCDMG
151	23121 12415	 * 	203.96	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	19VULN|2DMG|389LWND|4CDMG|5FEWX|6RCR|79ASPD|9BPWR|aMDPS
152	23122 12415	   	203.96	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	19VULN|2DMG|389LWND|4CDMG|5BEXP|6RCR|79ASPD|9BPWR|aMDPS
153	23126 12415	   	203.96	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	19VULN|2DMG|389LWND|4CDMG|5LHND|6RCR|79ASPD|9BPWR|aMDPS
154	33521 12553	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1BEXP|2DMG|39VULN|4CDMG|5FEWX|6RCR|7MULARM|8AART|aASPD
155	13241 23236	   	203.94	DCR|4VULN|1ASPD|1DMG|1ZMB	1FEWX|2DMG|3ZMB|4ASPD|5LWND|679aVULN|8RCR
156	33241 23236	   	203.94	DCR|4VULN|1ASPD|1DMG|1ZMB	1BEXP|2DMG|3ZMB|4ASPD|5LWND|679aVULN|8RCR
157	23261 13533	   	203.91	DCR|2VULN|1AART|1DMG|1CDMG|2ZMB|1DUR	16VULN|2DMG|35ZMB|4CDMG|7DUR|8AART|9RCR|aRMIN
158	13246 23236	   	203.84	DCR|4VULN|1ASPD|1DMG|1ZMB	1FEWX|2DMG|3ZMB|4ASPD|5DUST|679aVULN|8RCR
159	33246 23236	   	203.84	DCR|4VULN|1ASPD|1DMG|1ZMB	1BEXP|2DMG|3ZMB|4ASPD|5DUST|679aVULN|8RCR
160	53241 23236	   	203.84	DCR|4VULN|1ASPD|1DMG|1ZMB	1DUST|2DMG|3ZMB|4ASPD|5LWND|679aVULN|8RCR
161	23535 12115	   	203.81	DCR|4VULN|1ASPD|1DMG|1DUR	136aVULN|2DMG|4DLOT|5ASPD|7RCR|8DUR|9FEWX
162	26533 12221	   	203.81	DCR|4VULN|1ASPD|1DMG|1DUR	1358VULN|2ASPD|4DLOT|6AME|7RCR|9DMG|aDUR
163	26533 32221	   	203.81	DCR|4VULN|1ASPD|1DMG|1DUR	1358VULN|2ASPD|4DLOT|6MLV|7RCR|9DMG|aDUR
164	23535 12231	   	203.71	DCR|4VULN|1ASPD|1DMG|1DUR	1368VULN|2DMG|4DLOT|5ASPD|7RCR|9ERES|aDUR
165	23535 12321	   	203.71	DCR|4VULN|1ASPD|1DMG|1AAC|1DUR	1369VULN|2DMG|4DLOT|5ASPD|7RCR|8AAC|aDUR
