0	Index      	Bounty	 *	Score 	Summary	Detail	
86	11216 51221	1	 * 	245.55	DCR|2VULN|3DUR|3ASPD|1DMG	15aASPD|2aLWND|3LIT|457DUR|5aBPWR|6DMG|8RCR|9aVULN
87	13216 51221	2	   	245.55	DCR|2VULN|3DUR|3ASPD|1DMG	15aASPD|2aLHND|3LIT|457DUR|5aBPWR|6DMG|8RCR|9aVULN
88	13316 51221	3	   	245.55	DCR|2VULN|3DUR|3ASPD|1DMG	15aASPD|2aLHND|3LIT|457DUR|5aBPWR|6DMG|8RCR|9aVULN
89	13366 51221	4	   	245.55	DCR|2VULN|3DUR|3ASPD|1DMG	15aASPD|2aLHND|3LIT|457DUR|5aBPWR|6DMG|8RCR|9aVULN
90	21421 64322	1	   	245.54	DCR|4VULN|2DUR|3LIT|1SELL	156LIT|28DUR|3DUST|4567VULN|56BPWR|9SELL|aRCR
91	53364 14441	3	 * 	245.53	DCR|3VULN|2DMG|3TLV|1SELL	1SELL|248TLV|38DMG|58aVULN|6MBVNT|7RCR|8BPWR|9BBNT
92	53364 14434	3	 * 	245.49	DCR|2VULN|2DMG|3TLV|1DUR|1SELL	1SELL|248TLV|38DMG|58VULN|6MBVNT|7RCR|8BPWR|9LIT|aDUR
93	53321 14211	5	   	245.49	DCR|2VULN|2DMG|2TLV|2ASPD|1SELL	1SELL|28TLV|39DMG|48ASPD|5LIT|6ERES|78VULN|8BPWR|aRCR
94	15236 31314	1	   	245.10	DCR|2VULN|3DMG|1TLV|2ASPD	17ASPD|27aDMG|3DMSP|4ZMB|5TLV|67VULN|7BPWR|8RCR|9BEXP
95	15236 31334	1	   	245.10	DCR|2VULN|3DMG|1TLV|2ASPD	17ASPD|27aDMG|3DMSP|4ZMB|5TLV|67VULN|7BPWR|8RCR|9FEWX
96	15336 31314	1	   	245.10	DCR|2VULN|3DMG|1TLV|2ASPD	17ASPD|27aDMG|3RCVC|4ZMB|5TLV|67VULN|7BPWR|8RCR|9BEXP
97	15336 31334	1	   	245.10	DCR|2VULN|3DMG|1TLV|2ASPD	17ASPD|27aDMG|3RCVC|4ZMB|5TLV|67VULN|7BPWR|8RCR|9FEWX
98	21123 32132	1	   	245.10	DCR|3VULN|1TLV|1DUR|2LIT|1CDMG	17LIT|2DUR|37LHND|467VULN|5RPLT|7BPWR|8CDMG|9RCR|aTLV
99	21323 32132	1	   	245.10	DCR|3VULN|1TLV|1DUR|2LIT|1CDMG	17LIT|2DUR|37BEXP|467VULN|5RPLT|7BPWR|8CDMG|9RCR|aTLV
100	21623 32132	1	   	245.10	DCR|3VULN|1TLV|1DUR|2LIT|1CDMG	17LIT|2DUR|37FEWX|467VULN|5RPLT|7BPWR|8CDMG|9RCR|aTLV
101	15436 31321	1	   	245.00	DCR|2VULN|3DMG|1TLV|2ASPD	17ASPD|237DMG|4ZMB|5TLV|67VULN|7BPWR|8RCR|9LEGI|aLWND
102	15436 31322	1	   	245.00	DCR|2VULN|3DMG|1TLV|2ASPD	17ASPD|237DMG|4ZMB|5TLV|67VULN|7BPWR|8RCR|9LEGI|aLHND
103	15436 31323	1	   	245.00	DCR|2VULN|3DMG|1TLV|2ASPD	17ASPD|237DMG|4ZMB|5TLV|67VULN|7BPWR|8RCR|9LEGI|aRPLT
104	63486 11231	9	   	244.97	DCR|3VULN|3DMG|2AART	19aBEXP|2MBVNT|3ZMB|49aDMG|58AART|69aVULN|7RCR|9aBPWR
105	63486 23231	9	   	244.97	DCR|3VULN|3DMG|2AART	19aBEXP|2MBVNT|3ZMB|49aDMG|58AART|6RCR|79aVULN|9aBPWR
