0	Index      	 *	Score 	Summary	Detail	
86	33363 26212	   	178.86	DCR|2AART|2VULN|2DMG	1CANSTR|29AART|37DMG|48VULN|5ERES|6RCR|aRMIN
87	33411 26212	   	178.86	DCR|2AART|2VULN|2DMG	1CANSTR|29AART|38VULN|4TLV|57DMG|6RCR|aRMIN
88	33411 26216	   	178.86	DCR|2AART|2VULN|2DMG	1CANSTR|29AART|38VULN|4TLV|57DMG|6RCR|aMLV
89	16122 53216	   	178.83	DCR|3DMG|2VULN|2CDMG	137DUST|2RCVC|4aCDMG|58aDMG|6RCR|9aVULN|aBPWR
90	63133 53312	   	178.77	DCR|3DMG|2VULN|1AART	1RPLT|27VULN|367DMG|4AART|57LIT|7BPWR|8RCR|9BEXP|aRCVC
91	33363 26214	   	178.76	DCR|2AART|2DMG|2VULN	1CANSTR|29AART|37DMG|48VULN|5ERES|6RCR|aLEGI
92	33363 26215	   	178.76	DCR|2AART|2VULN|2DMG	1CANSTR|29AART|37DMG|48VULN|5ERES|6RCR|aTLV
93	33411 26214	   	178.76	DCR|2AART|2VULN|2DMG	1CANSTR|29AART|38VULN|4TLV|57DMG|6RCR|aLEGI
94	33346 24122	   	178.62	DCR|2VULN|2DMG|1AART|1ZMB	1CANSTR|2AART|3aDMG|4TLV|5LHND|6RCR|7aCGEN|8ZMB|9aVULN|aBPWR
95	63131 33124	   	178.56	DCR|3VULN|2AART|1DMG|2DUR	1RPLT|268VULN|3DMG|49AART|57DUR|aRCR
96	33451 26123	   	178.52	DCR|2VULN|2DMG|1AART|1ZMB	1CANSTR|2AART|39VULN|4ZMB|57DMG|6RCR|8LHND|aRMIN
97	33451 26223	   	178.52	DCR|2VULN|2DMG|1AART|1ZMB	1CANSTR|2AART|39VULN|4ZMB|57DMG|6RCR|8LWND|aRMIN
98	33451 26122	   	178.42	DCR|2VULN|2DMG|1AART|1ZMB	1CANSTR|2AART|39VULN|4ZMB|57DMG|6RCR|8LHND|aTLV
99	33451 26222	   	178.42	DCR|2VULN|2DMG|1AART|1ZMB	1CANSTR|2AART|39VULN|4ZMB|57DMG|6RCR|8LWND|aTLV
100	33341 22166	   	178.32	DCR|2VULN|2DMG|1AART|1ZMB	19CANSTR|2AART|39DMG|4TLV|5DUST|6RCR|79VULN|8LEGI|9BPWR|aZMB
101	22333 54363	   	178.28	ACR|3DMG|2VULN|2ASPD|1CDMG	19ASPD|2BELT|3CDMG|4RMIN|5RCR|69VULN|789DMG|9BPWR|aBEXP
102	22333 54361	   	178.18	ACR|3DMG|2VULN|2ASPD|1CDMG	19ASPD|2BELT|3CDMG|4RMIN|5RCR|69VULN|789DMG|9BPWR|aERES
103	33414 36222	   	178.09	ACR|2VULN|2DMG|1AART|2ZMB	1CANSTR|2AART|3aVULN|4TLV|5RCR|6CGEN|7aDMG|8BEXP|9aZMB|aBPWR
104	63134 33116	   	178.04	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1RPLT|26aVULN|3DMG|4AART|5RCR|7DUR|8ZMB|9LWND
105	63124 33124	   	177.96	DCR|3VULN|2AART|1DMG|2DUR	1RPLT|268VULN|3DMG|47DUR|59AART|aRCR
106	63133 52231	 * 	177.84	DCR|2AART|2DMG|1VULN|2CDMG	1RPLT|2VULN|36DMG|49AART|5LIT|7RCR|8aCDMG
107	33315 22224	   	177.81	DCR|3VULN|1AART|1DMG|2DUR	1CANSTR|2AART|3DMG|4RMIN|58DUR|6RCR|79aVULN
