0	Index      	 *	Score 	Summary	Detail	
62	26336 11235	   	169.75	ACR|1BASARM|1DMG|1VULN	1DMSP|2AME|3RCVC|4RCR|5FLTFST|6RPLT|7BASARM|8SPLARM|9VULN|aDMG
63	43661 23233	   	169.48	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP	1AIRARM|2AART|3FEWX|4RCR|5ZMB|6LWND|7BEXP|8VULN|9DMG|aASPD
64	43662 23233	   	169.48	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP	1AIRARM|2AART|3FEWX|4RCR|5RMIN|6LWND|7BEXP|8VULN|9DMG|aASPD
65	63661 23233	   	169.48	ACR|1VULN|1ASPD|1DMG|1BEXP|1AART	1SPLREG|2AART|3FEWX|4RCR|5ZMB|6LWND|7BEXP|8VULN|9DMG|aASPD
66	63662 23233	   	169.48	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP	1SPLREG|2AART|3FEWX|4RCR|5RMIN|6LWND|7BEXP|8VULN|9DMG|aASPD
67	43362 53222	   	169.46	ACR|1BASARM|1DMG|1AART	1AIRARM|2AART|3DUST|4RCR|58RMIN|6CGEN|7RCVC|9BASARM|aDMG
68	63362 53222	   	169.46	ACR|1BASARM|1DMG|1AART	1SPLREG|2AART|3DUST|4RCR|58RMIN|6CGEN|7RCVC|9BASARM|aDMG
69	43361 23233	   	169.38	ACR|1VULN|1ASPD|1DMG|1BEXP|1AART	1AIRARM|2AART|3DUST|4RCR|5ZMB|6LWND|7BEXP|8VULN|9DMG|aASPD
70	43361 24333	   	169.38	ACR|1VULN|1ASPD|1DMG|1BEXP|1AART	1AIRARM|2AART|3DUST|4RCR|5ZMB|6LWND|7VULN|8DMG|9BEXP|aASPD
71	43362 23233	   	169.38	ACR|1VULN|1ASPD|1DMG|1BEXP|1AART	1AIRARM|2AART|3DUST|4RCR|5RMIN|6LWND|7BEXP|8VULN|9DMG|aASPD
72	43362 24333	   	169.38	ACR|1VULN|1ASPD|1DMG|1BEXP|1AART	1AIRARM|2AART|3DUST|4RCR|5RMIN|6LWND|7VULN|8DMG|9BEXP|aASPD
73	63361 23233	   	169.38	ACR|1VULN|1ASPD|1DMG|1BEXP|1AART	1SPLREG|2AART|3DUST|4RCR|5ZMB|6LWND|7BEXP|8VULN|9DMG|aASPD
74	63361 24333	   	169.38	ACR|1VULN|1ASPD|1DMG|1BEXP|1AART	1SPLREG|2AART|3DUST|4RCR|5ZMB|6LWND|7VULN|8DMG|9BEXP|aASPD
75	63362 23233	   	169.38	ACR|1VULN|1ASPD|1DMG|1BEXP|1AART	1SPLREG|2AART|3DUST|4RCR|5RMIN|6LWND|7BEXP|8VULN|9DMG|aASPD
76	63362 24333	   	169.38	ACR|1VULN|1ASPD|1DMG|1BEXP|1AART	1SPLREG|2AART|3DUST|4RCR|5RMIN|6LWND|7VULN|8DMG|9BEXP|aASPD
77	43362 43222	   	169.36	ACR|1BASARM|1DMG|1AART	1AIRARM|2AART|3DUST|4RCR|58RMIN|6ERES|7RCVC|9BASARM|aDMG
78	43362 53322	   	169.36	ACR|1BASARM|1DMG|1AART	1AIRARM|2AART|38DUST|4RCR|5RMIN|6CGEN|7RCVC|9BASARM|aDMG
79	63362 43222	   	169.36	ACR|1BASARM|1DMG|1AART	1SPLREG|2AART|3DUST|4RCR|58RMIN|6ERES|7RCVC|9BASARM|aDMG
80	63362 53322	   	169.36	ACR|1BASARM|1DMG|1AART	1SPLREG|2AART|38DUST|4RCR|5RMIN|6CGEN|7RCVC|9BASARM|aDMG
81	43362 43322	   	169.26	ACR|1BASARM|1DMG|1AART	1AIRARM|2AART|38DUST|4RCR|5RMIN|6ERES|7RCVC|9BASARM|aDMG
82	63362 43322	   	169.26	ACR|1BASARM|1DMG|1AART	1SPLREG|2AART|38DUST|4RCR|5RMIN|6ERES|7RCVC|9BASARM|aDMG
83	12621 11326	 * 	168.86	DCR|2VULN|2DMG|1ASPD|1BEXP|1AART	1DUST|27DMG|36VULN|4AART|5ASPD|8BEXP|9AIRHEL|aRCR
84	12621 16326	 * 	168.86	DCR|2VULN|2ASPD|1DMG|1BEXP|1AART	1DUST|2DMG|36VULN|4AART|57ASPD|8BEXP|9AIRHEL|aRCR
85	43365 22232	 * 	167.74	ACR|2VULN|2DMG|1AART	1AIRARM|2AART|35DUST|4RCR|69DMG|7LHND|8aVULN
86	63365 22232	   	167.74	ACR|2VULN|2DMG|1AART	1SPLREG|2AART|35DUST|4RCR|69DMG|7LHND|8aVULN
87	32136 11312	 * 	167.40	DCR|3DMG|1BASARM|1VULN	1LWND|235DMG|45TLV|5BPWR|6BASARM|7BELT|8MSLFST|9VULN|aRCR
88	32136 12126	   	167.30	DCR|3DMG|1BASARM|1VULN	1LWND|235DMG|45TLV|5BPWR|6BASARM|7AEFBLL|8VULN|9MDPS|aRCR
89	12136 52153	 * 	167.20	2VULN|3DMG|1BASARM|1ASPD|1BEXP	17DUST|237DMG|4TLV|5ZMB|67VULN|7BPWR|8ASPD|9BEXP|aBASARM
90	43361 23253	 * 	166.90	ACR|2ASPD|1VULN|1BEXP|1AART	1AIRARM|2AART|3DUST|4RCR|5ZMB|6LWND|7BEXP|8VULN|9aASPD
91	43362 23253	   	166.90	ACR|2ASPD|1VULN|1BEXP|1AART	1AIRARM|2AART|3DUST|4RCR|5RMIN|6LWND|7BEXP|8VULN|9aASPD
92	63361 23253	   	166.90	ACR|2ASPD|1VULN|1BEXP|1AART	1SPLREG|2AART|3DUST|4RCR|5ZMB|6LWND|7BEXP|8VULN|9aASPD
93	63362 23253	   	166.90	ACR|2ASPD|1VULN|1AART|1BEXP	1SPLREG|2AART|3DUST|4RCR|5RMIN|6LWND|7BEXP|8VULN|9aASPD
94	43363 16311	   	166.78	ACR|1ASPD|1DMG|1AART|1BEXP|1CDMG	1AIRARM|2AART|3DUST|4RCR|5CDMG|6BEXP|7DUR|8DMG|9ASPD|aFEWX
95	63363 16311	   	166.78	ACR|1ASPD|1DMG|1BEXP|1CDMG|1AART	1SPLREG|2AART|3DUST|4RCR|5CDMG|6BEXP|7DUR|8DMG|9ASPD|aFEWX
96	42354 33141	   	166.70	ACR|2BEXP|1VULN|1ASPD|1DMG	1AIRARM|2RCVC|3MBVNT|4LIT|5RCR|6DMG|7aBEXP|8VULN|9ASPD
97	42354 33321	   	166.70	ACR|2BEXP|1ASPD|1DMG|1VULN	1AIRARM|2RCVC|3MBVNT|4LIT|5RCR|6DMG|7aBEXP|8ASPD|9VULN
98	62354 33141	   	166.70	ACR|2BEXP|1VULN|1ASPD|1DMG	1SPLREG|2RCVC|3MBVNT|4LIT|5RCR|6DMG|7aBEXP|8VULN|9ASPD
99	62354 33321	   	166.70	ACR|2BEXP|1ASPD|1DMG|1VULN	1SPLREG|2RCVC|3MBVNT|4LIT|5RCR|6DMG|7aBEXP|8ASPD|9VULN
100	43363 16313	   	166.68	ACR|1ASPD|1DMG|1AART|1BEXP|1CDMG	1AIRARM|2AART|3DUST|4RCR|5CDMG|6BEXP|7DUR|8DMG|9ASPD|aTLV
101	63363 16313	   	166.68	ACR|1ASPD|1DMG|1BEXP|1AART|1CDMG	1SPLREG|2AART|3DUST|4RCR|5CDMG|6BEXP|7DUR|8DMG|9ASPD|aTLV
102	25636 11233	   	166.54	ACR|1BASARM|1ASPD|1VULN	1DMSP|23CGEN|4RCR|5FLTFST|6RPLT|7BASARM|8SPLARM|9VULN|aASPD
103	32136 41313	 * 	166.20	DCR|3DMG|1BASARM|1BEXP	1LWND|235DMG|45TLV|5BPWR|6BEXP|7BASARM|8RPLT|9BELT|aRCR
104	32136 12536	   	166.00	DCR|3DMG|1BASARM|1BEXP	1LWND|235DMG|45TLV|5BPWR|6BASARM|7AEFBLL|8BEXP|9MDPS|aRCR
105	25336 11133	 * 	165.94	ACR|1BASARM|2BEXP	1DMSP|2CGEN|3RCVC|4RCR|5FLTFST|6RPLT|7BASARM|8MDPS|9aBEXP
106	26336 11133	   	165.84	ACR|1BASARM|2BEXP	1DMSP|2AME|3RCVC|4RCR|5FLTFST|6RPLT|7BASARM|8MDPS|9aBEXP
107	43441 31122	 * 	165.56	ACR|1VULN|1ASPD|2CDMG|1AART|1BEXP	1AIRARM|2AART|3ERES|4VULN|5RCR|6ASPD|7BEXP|8aCDMG|9FEWX
108	43441 33132	   	165.56	ACR|1VULN|1ASPD|2CDMG|1AART|1BEXP	1AIRARM|2AART|3ERES|4VULN|5RCR|6ASPD|7aCDMG|8FEWX|9BEXP
109	63441 31122	   	165.56	ACR|1VULN|1ASPD|2CDMG|1AART|1BEXP	1SPLREG|2AART|3ERES|4VULN|5RCR|6ASPD|7BEXP|8aCDMG|9FEWX
110	63441 33132	   	165.56	ACR|1VULN|1ASPD|2CDMG|1AART|1BEXP	1SPLREG|2AART|3ERES|4VULN|5RCR|6ASPD|7aCDMG|8FEWX|9BEXP
111	25335 22133	   	165.55	ACR|1VULN|1ASPD|1DMG|2CDMG	1DMSP|2CGEN|3RCVC|4RCR|5DMG|67CDMG|8LIT|9VULN|aASPD
112	43441 33321	   	165.46	ACR|1VULN|1ASPD|2CDMG|1AART|1BEXP	1AIRARM|2AART|3ERES|4VULN|5RCR|6ASPD|79CDMG|8TLV|aBEXP
113	63441 33321	   	165.46	ACR|1VULN|1ASPD|2CDMG|1AART|1BEXP	1SPLREG|2AART|3ERES|4VULN|5RCR|6ASPD|79CDMG|8TLV|aBEXP
114	25335 32236	 * 	165.35	ACR|2AART|1VULN|1DMG|1BEXP	1DMSP|2CGEN|3RCVC|4RCR|5DMG|6BEXP|7LHND|8aAART|9VULN
115	31126 14131	   	165.33	DCR|2BASARM|2DMG|1VULN	17LWND|2CGEN|37DMG|4DUST|5DUR|67BASARM|7BPWR|8VULN|9FEWX|aRCR
116	36126 14131	   	165.33	DCR|2BASARM|2DMG|1VULN	17LWND|2MLV|37DMG|4DUST|5DUR|67BASARM|7BPWR|8VULN|9FEWX|aRCR
117	36326 14131	   	165.33	DCR|2BASARM|2ASPD|1VULN	17LWND|2MLV|37ASPD|4DUST|5DUR|67BASARM|7BPWR|8VULN|9FEWX|aRCR
118	36116 14333	   	165.33	DCR|2BASARM|2DMG|1BEXP	17LWND|2MLV|37DMG|4BEXP|5DUR|67BASARM|7BPWR|8CGEN|9MDPS|aRCR
119	26335 32236	   	165.25	ACR|2AART|1VULN|1DMG|1BEXP	1DMSP|2AME|3RCVC|4RCR|5DMG|6BEXP|7LHND|8aAART|9VULN
120	25335 32232	 * 	165.06	ACR|2VULN|1DMG|1AART|1BEXP	1DMSP|2CGEN|3RCVC|4RCR|5DMG|6BEXP|7LHND|8AART|9aVULN
121	26335 32232	   	164.96	ACR|2VULN|1DMG|1AART|1BEXP	1DMSP|2AME|3RCVC|4RCR|5DMG|6BEXP|7LHND|8AART|9aVULN
122	25331 25363	   	164.85	ACR|1BASARM|1BEXP|1CDMG	1DMSP|2CGEN|3RCVC|4RCR|5FEWX|6LIT|7VENICY|8BEXP|9CDMG|aBASARM
123	25336 11214	   	164.75	ACR|1BASARM|1BEXP|1CDMG	1DMSP|2CGEN|3RCVC|4RCR|5FLTFST|6RPLT|7BASARM|8SPLARM|9CDMG|aBEXP
124	25336 11513	 * 	164.75	ACR|1BASARM|1VULN|1AART	1DMSP|2CGEN|3RCVC|4RCR|5FLTFST|6RPLT|7BASARM|8TLV|9AART|aVULN
125	26331 25363	   	164.75	ACR|1BASARM|1BEXP|1CDMG	1DMSP|2AME|3RCVC|4RCR|5FEWX|6LIT|7VENICY|8BEXP|9CDMG|aBASARM
126	26336 11214	   	164.65	ACR|1BASARM|1BEXP|1CDMG	1DMSP|2AME|3RCVC|4RCR|5FLTFST|6RPLT|7BASARM|8SPLARM|9CDMG|aBEXP
127	25332 22364	   	164.61	ACR|1BASARM|1BEXP|1CDMG|1SELL	1DMSP|2CGEN|3RCVC|4RCR|5AME|6SELL|7CDMG|8ZMB|9BASARM|aBEXP
128	43431 32323	 * 	164.53	ACR|2AART|1VULN|1ASPD|1DMG	1AIRARM|27AART|3ERES|4DUR|5RCR|6ASPD|8DMG|9VULN|aMLV
129	43431 32324	   	164.53	ACR|2AART|1VULN|1ASPD|1DMG	1AIRARM|27AART|3ERES|4DUR|5RCR|6ASPD|8DMG|9VULN|aRPLT
130	43431 32326	   	164.53	ACR|2AART|1VULN|1ASPD|1DMG	1AIRARM|27AART|3ERES|4DUR|5RCR|6ASPD|8DMG|9VULN|aRMIN
131	63431 32323	   	164.53	ACR|2AART|1VULN|1ASPD|1DMG	1SPLREG|27AART|3ERES|4DUR|5RCR|6ASPD|8DMG|9VULN|aMLV
132	63431 32324	   	164.53	ACR|2AART|1VULN|1ASPD|1DMG	1SPLREG|27AART|3ERES|4DUR|5RCR|6ASPD|8DMG|9VULN|aRPLT
133	63431 32326	   	164.53	ACR|2AART|1VULN|1ASPD|1DMG	1SPLREG|27AART|3ERES|4DUR|5RCR|6ASPD|8DMG|9VULN|aRMIN
134	43431 32321	   	164.43	ACR|2AART|1VULN|1ASPD|1DMG	1AIRARM|27AART|3aERES|4DUR|5RCR|6ASPD|8DMG|9VULN
135	43431 32322	   	164.43	ACR|2AART|1VULN|1ASPD|1DMG	1AIRARM|27AART|3ERES|4DUR|5RCR|6ASPD|8DMG|9VULN|aMBVNT
136	63431 32321	   	164.43	ACR|2AART|1VULN|1ASPD|1DMG	1SPLREG|27AART|3aERES|4DUR|5RCR|6ASPD|8DMG|9VULN
137	63431 32322	   	164.43	ACR|2AART|1VULN|1ASPD|1DMG	1SPLREG|27AART|3ERES|4DUR|5RCR|6ASPD|8DMG|9VULN|aMBVNT
138	43431 24333	   	164.38	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP	1AIRARM|2AART|3ERES|4DUR|5RCR|6LWND|7VULN|8DMG|9BEXP|aASPD
139	63431 24333	   	164.38	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP	1SPLREG|2AART|3ERES|4DUR|5RCR|6LWND|7VULN|8DMG|9BEXP|aASPD
140	43441 22333	   	164.38	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP	1AIRARM|2AART|3ERES|4VULN|5RCR|6LWND|7FEWX|8DMG|9BEXP|aASPD
141	63441 22333	   	164.38	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP	1SPLREG|2AART|3ERES|4VULN|5RCR|6LWND|7FEWX|8DMG|9BEXP|aASPD
142	32634 11136	 * 	164.33	DCR|2VULN|1BASARM|1DMG|1AART	1LWND|2DMG|38VULN|4RCVC|5BASARM|6FEWX|7AAC|9AART|aRCR
143	43441 21333	   	164.28	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP	1AIRARM|2AART|3ERES|4VULN|5RCR|6LWND|7DUST|8DMG|9BEXP|aASPD
144	63441 21333	   	164.28	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP	1SPLREG|2AART|3ERES|4VULN|5RCR|6LWND|7DUST|8DMG|9BEXP|aASPD
145	13256 21216	   	164.23	DCR|1BASARM|2BEXP|1DMG|1AART	1DUST|2LHND|36BEXP|4RCVC|5AART|7DMG|8BASARM|9TLV|aRCR
146	42354 61144	 * 	164.23	ACR|2ASPD|2BEXP|1VULN	1aAIRARM|2RCVC|3MBVNT|4LIT|5RCR|6aBEXP|7AME|8VULN|9aASPD|aBPWR
147	62354 61144	   	164.23	ACR|2ASPD|2BEXP|1VULN	1aSPLREG|2RCVC|3MBVNT|4LIT|5RCR|6aBEXP|7AME|8VULN|9aASPD|aBPWR
148	12326 13246	   	164.19	DCR|1BASARM|2DMG|1AART|1BEXP	1DUST|27DMG|3LHND|4AART|5BEXP|6DMSP|8BASARM|9CGEN|aRCR
149	43663 12322	 * 	164.15	ACR|2BEXP|2CDMG|1VULN|1AART	1AIRARM|2AART|3FEWX|4RCR|58CDMG|69BEXP|7RPLT|aVULN
150	63663 12322	   	164.15	ACR|2BEXP|2CDMG|1VULN|1AART	1SPLREG|2AART|3FEWX|4RCR|58CDMG|69BEXP|7RPLT|aVULN
151	12326 13216	   	164.09	DCR|1BASARM|2DMG|1AART|1BEXP	1DUST|27DMG|3LHND|4AART|5BEXP|6DMSP|8BASARM|9TLV|aRCR
152	32343 63216	   	164.09	DCR|1BASARM|2DMG|1AART|1BEXP	1LWND|24DMG|3AEFBLL|5LHND|6AART|7BEXP|8BASARM|9TLV|aRCR
153	32424 13216	   	164.09	DCR|1BASARM|2DMG|1AART|1BEXP	1LWND|27DMG|3BEXP|4AART|5DUST|6DMSP|8BASARM|9TLV|aRCR
154	43363 12322	   	164.05	ACR|2BEXP|2CDMG|1VULN|1AART	1AIRARM|2AART|3DUST|4RCR|58CDMG|69BEXP|7RPLT|aVULN
155	63363 12322	   	164.05	ACR|2BEXP|2CDMG|1VULN|1AART	1SPLREG|2AART|3DUST|4RCR|58CDMG|69BEXP|7RPLT|aVULN
