0	Index      	 *	Score 	Summary	Detail	
109	53136 32233	   	187.31	ACR|1BASARM|1VULN|1AART|1BEXP	1MLV|2MDPS|3RCR|4RCVC|5BEXP|6LIT|7AME|8VULN|9BASARM|aAART
110	21233 46236	 * 	187.24	DCR|5VULN|2ASPD|2BEXP|1DMG	1RMIN|23569VULN|4DMG|79ASPD|89BEXP|9BPWR|aRCR
111	33136 42233	   	187.21	ACR|1BASARM|1VULN|1AART|1BEXP	1TLV|2MDPS|3RCR|4RCVC|5BEXP|6LIT|7AME|8VULN|9BASARM|aAART
112	34511 14112	   	187.10	ACR|2AART|1VULN|1ASPD|1DMG|1AAC	1TLV|2VULN|3CGEN|4RCR|5LHND|6AAC|79AART|8DMG|aASPD
113	54311 14112	   	187.10	ACR|2AART|1VULN|1ASPD|1DMG|1AAC	1MLV|2VULN|3ERES|4RCR|5LHND|6AAC|79AART|8DMG|aASPD
114	64311 14112	   	187.10	ACR|2AART|1VULN|1ASPD|1DMG|1AAC	1CGEN|2VULN|3ERES|4RCR|5LHND|6AAC|79AART|8DMG|aASPD
115	34311 14112	   	187.00	ACR|2AART|1VULN|1DMG|1ASPD|1AAC	1TLV|2VULN|3ERES|4RCR|5LHND|6AAC|79AART|8DMG|aASPD
116	11312 54523	   	186.82	ACR|1BASARM|1VULN|1ASPD|1AART	1FEWX|238LWND|4RCR|5VULN|6ASPD|7DMSP|9BASARM|aAART
117	26313 13535	   	186.54	ACR|1BASARM|2ASPD|1AART	1RMIN|2LHND|3CGEN|4RCR|5ERES|6DUR|78ASPD|9BASARM|aAART
118	12412 23233	   	186.33	ACR|1BASARM|1VULN|1DMG|1BEXP	1FEWX|2DMSP|37DUR|4RCR|5VULN|6RCVC|8BEXP|9BASARM|aDMG
119	54312 12533	   	186.15	ACR|2VULN|2ASPD|1AART|1BEXP	1MLV|25VULN|3ERES|4RCR|6RPLT|7BEXP|8AART|9aASPD
120	64312 12533	   	186.15	ACR|2VULN|2ASPD|1AART|1BEXP	1CGEN|25VULN|3ERES|4RCR|6RPLT|7BEXP|8AART|9aASPD
121	34312 12533	   	186.05	ACR|2VULN|2ASPD|1AART|1BEXP	1TLV|25VULN|3ERES|4RCR|6RPLT|7BEXP|8AART|9aASPD
122	15315 36232	   	185.74	ACR|1BASARM|2DMG|1BEXP	17FEWX|2ERES|37aCGEN|4RCR|57DMG|6RMIN|7BPWR|8BEXP|9BASARM
123	15315 36233	   	185.74	ACR|1BASARM|2DMG|1BEXP	17FEWX|2ERES|37CGEN|4RCR|57DMG|6RMIN|7BPWR|8BEXP|9BASARM|aDUR
