0	Index      	 *	Score 	Summary	Detail	
56	23611 35315	   	184.60	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR|1ASPD	1FLTHEA|2DUR|3ASPD|46VULN|5AART|7RMIN|8RCR|9DMG|aCDMG
57	26612 11224	   	184.50	DCR|4VULN|3ASPD|1DMG|2FLTHEA	17FLTHEA|2467VULN|357ASPD|7BPWR|8DMG|9RCR|aTLV
58	26612 11226	   	184.50	DCR|4VULN|3ASPD|1DMG|2FLTHEA	17FLTHEA|2467VULN|357ASPD|7BPWR|8DMG|9RCR|aDUST
59	41511 16231	 * 	184.03	ACR|2VULN|2DMG|1AART|2ZMB|1ASPD	19DMG|2BEXP|3DMSP|4AART|5RCR|69VULN|7RPLT|89ZMB|9BPWR|aASPD
60	46111 16231	   	184.03	ACR|2VULN|2DMG|1AART|2ZMB|1ASPD	19DMG|23FEWX|4AART|5RCR|69VULN|7RPLT|89ZMB|9BPWR|aASPD
61	23611 33521	   	183.98	DCR|3VULN|1AART|2FLTHEA|3DUR|2ASPD	17FLTHEA|289DUR|37ASPD|467VULN|5AART|7BPWR|aRCR
62	43121 31126	   	183.63	ACR|3DMG|2VULN|1AART|1DUR	179DMG|2DUR|37FEWX|4RCR|5RPLT|67VULN|7BPWR|8BEXP|aAART
63	43121 31226	   	183.63	ACR|3DMG|2VULN|1AART|1DUR	178DMG|2DUR|37FEWX|4RCR|5RPLT|67VULN|7BPWR|9BEXP|aAART
64	43121 31231	   	183.63	ACR|3DMG|2VULN|1AART|1DUR	178DMG|2DUR|37FEWX|4RCR|5RPLT|67VULN|7BPWR|9MLV|aAART
65	43121 31326	   	183.53	ACR|3DMG|2VULN|1AART|1DUR	179DMG|2DUR|37FEWX|4RCR|5RPLT|67VULN|7BPWR|8DUST|aAART
66	46221 31251	   	183.43	ACR|3DMG|2VULN|1AART|1ASPD	178DMG|2FEWX|37DUST|4RCR|5RPLT|67VULN|7BPWR|9ASPD|aAART
67	13621 31213	   	183.38	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|2DUR	17ASPD|27DUR|37VULN|4RCR|5RPLT|6MBVNT|7BPWR|8DMG|9AART|aCDMG
68	23511 33422	   	182.86	DCR|3VULN|2AART|2FLTHEA|2DUR	17FLTHEA|27DUR|3RMIN|467VULN|5aAART|7BPWR|8RCR|9LWND
69	46621 31213	   	182.79	ACR|3VULN|3DMG|1CDMG	178DMG|2FEWX|37LWND|4RCR|5RPLT|67aVULN|7BPWR|9CDMG
70	23611 33543	   	182.56	DCR|3VULN|1AART|2FLTHEA|2ASPD|2DUR	17FLTHEA|28DUR|37ASPD|467VULN|5AART|7BPWR|9RCR|aLIT
71	23511 33424	   	182.42	DCR|3VULN|1AART|2FLTHEA|2DUR|1ZMB	17FLTHEA|27DUR|3RMIN|467VULN|5AART|7BPWR|8RCR|9LWND|aZMB
72	23511 33436	   	182.42	DCR|3VULN|1AART|2FLTHEA|2DUR|1ZMB	17FLTHEA|27DUR|3RMIN|467VULN|5AART|7BPWR|8RCR|9BELT|aZMB
73	23311 63815	 * 	182.37	DCR|2AART|2VULN|1DMG|2FLTHEA|2DUR	18FLTHEA|28DUR|3BEXP|4DMG|59AART|6MBVNT|78VULN|8BPWR|aRCR
74	41511 16131	   	182.10	ACR|2VULN|2DMG|1AART|3ASPD	19DMG|2BEXP|3DMSP|4AART|5RCR|69VULN|7RPLT|89aASPD|9BPWR
75	46111 16131	   	182.10	ACR|2VULN|2DMG|1AART|3ASPD	19DMG|23FEWX|4AART|5RCR|69VULN|7RPLT|89aASPD|9BPWR
76	13621 36218	   	182.02	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	1aASPD|2DUR|3aVULN|4RCR|5RPLT|6MBVNT|7RCVC|8aDMG|9AART|aBPWR
77	24613 15312	   	181.33	DCR|2VULN|2AART|1DMG|1FLTHEA|1ZMB	1FLTHEA|2CGEN|34VULN|5LWND|6aAART|7RCR|8ZMB|9DMG
78	45121 31251	   	181.23	ACR|3DMG|2VULN|1AART|1ASPD	178DMG|2LHND|37FEWX|4RPLT|5RCR|67VULN|7BPWR|9ASPD|aAART
79	46321 31251	   	181.23	ACR|3DMG|2VULN|1AART|1ASPD	178DMG|2FEWX|37LHND|4RPLT|5RCR|67VULN|7BPWR|9ASPD|aAART
80	26211 33432	   	181.18	DCR|2VULN|2DMG|1AART|2FLTHEA	17FLTHEA|26VULN|37FEWX|47DMG|5AART|7BPWR|8RCR|9BELT|aLWND
81	26211 33434	   	181.18	DCR|2VULN|2DMG|1AART|2FLTHEA	17FLTHEA|26VULN|37FEWX|47DMG|5AART|7BPWR|8RCR|9BELT|aLHND
82	26211 33443	   	181.18	DCR|2VULN|2DMG|1AART|2FLTHEA	17FLTHEA|26VULN|37FEWX|47DMG|5AART|7BPWR|8RCR|9RCVC|aLHND
