0	Index      	 *	Score 	Summary	Detail	
55	34534 23313	   	200.84	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC|2SELL	1AAC|29SELL|3RCR|4LIT|5ASPD|6BASARM|7MDPS|8DMG|aBEXP
56	34314 23124	   	200.55	ACR|1BASARM|2ASPD|1AART|1AAC|1SELL	1AAC|2SELL|3LIT|4RCR|58ASPD|6BASARM|7MDPS|9VULN|aAART
57	41132 51242	   	200.16	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1LIT|2DUST|3RCR|4FEWX|5AART|6CDMG|7ASPD|8MDPS|9BASARM|aBEXP
58	45343 25244	   	199.83	ACR|1BASARM|2BEXP|1CDMG|1AART	1LIT|2RCR|3MBVNT|4AEFBLL|5CDMG|6BASARM|7AME|8AART|9aBEXP
59	45364 43433	 * 	199.79	ACR|2ASPD|2DMG|2BASICY	189LIT|2RCR|3MBVNT|4RMIN|5aASPD|69BASICY|79DMG|9BPWR
60	34534 23123	   	199.74	ACR|1BASARM|2ASPD|2AAC|1SELL	1aAAC|2SELL|3RCR|4LIT|58ASPD|6BASARM|7MDPS|9VULN
61	44113 13313	   	199.06	ACR|1BASARM|3BEXP|1ASPD	1LIT|2DUR|3RCR|4CGEN|56aBEXP|7BASARM|8DUST|9ASPD
62	44113 13513	   	199.06	ACR|1BASARM|3BEXP|1ASPD	1LIT|2DUR|3RCR|4CGEN|56aBEXP|7BASARM|8LEGI|9ASPD
63	35411 11113	 * 	199.06	ACR|2ASPD|2BEXP|2VULN|1AART|1AAC	1AAC|2DLOT|3RCR|48ASPD|5MLV|68BEXP|78VULN|8BPWR|9RPLT|aAART
64	35416 23231	   	198.85	ACR|1BASARM|2ASPD|1CDMG|1AAC	1AAC|2DLOT|3RCR|48ASPD|5BASARM|6CDMG|7ZMB|9LIT|aDUR
65	35416 23222	   	198.75	ACR|1BASARM|2ASPD|1CDMG|1AAC	1AAC|2DLOT|3RCR|48ASPD|5BASARM|6CDMG|79ZMB|aFLTARM
66	35416 23223	   	198.75	ACR|1BASARM|2ASPD|1CDMG|1AAC	1AAC|2DLOT|3RCR|48ASPD|5BASARM|6CDMG|79ZMB|aDUST
67	35416 23232	   	198.75	ACR|1BASARM|2ASPD|1CDMG|1AAC	1AAC|2DLOT|3RCR|48ASPD|5BASARM|6CDMG|7ZMB|9LIT|aERES
68	35416 23233	   	198.75	ACR|1BASARM|2ASPD|1CDMG|1AAC	1AAC|2DLOT|3RCR|48ASPD|5BASARM|6CDMG|7ZMB|9LIT|aAEFBLL
69	35416 21221	   	198.61	ACR|1BASARM|2ASPD|1CDMG|1AAC|1SELL	1AAC|2DLOT|3RCR|48ASPD|5BASARM|6CDMG|7RMIN|9ZMB|aSELL
70	35416 21231	   	198.51	ACR|1BASARM|2ASPD|1CDMG|1AAC|1SELL	1AAC|2DLOT|3RCR|48ASPD|5BASARM|6CDMG|7RMIN|9ERES|aSELL
71	45383 23123	   	198.45	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1LIT|2RCR|3MBVNT|4DMSP|5CDMG|6BASARM|7MDPS|8ASPD|9VULN|aBEXP
72	45383 24422	   	198.45	ACR|1BASARM|1ASPD|1CDMG|1AART	1LIT|2RCR|3MBVNT|4DMSP|5CDMG|6BASARM|7ERES|8ASPD|9VULN|aAART
73	45343 23123	   	198.35	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1LIT|2RCR|3MBVNT|4AEFBLL|5CDMG|6BASARM|7MDPS|8ASPD|9VULN|aBEXP
