0	Index      	 *	Score 	Summary	Detail	
95	53112 52613	 * 	184.52	ACR|2ASPD|1VULN|2BEXP|1DMG|1SELL	1DUR|2aASPD|3SELL|4VULN|5RCR|68BEXP|7AME|9DMG
96	23522 15613	 * 	184.42	ACR|2ASPD|2BEXP|1VULN|1DMG|1SELL	1DUST|2aASPD|38BEXP|4SELL|5RCR|6ERES|7VULN|9DMG
97	65112 24325	   	184.28	ACR|1BASARM|1VULN|1ASPD|1AART|1SELL	1ERES|2DUST|3SELL|4VULN|5RCR|6MBVNT|7AART|8RPLT|9BASARM|aASPD
98	23522 42134	 * 	183.92	ACR|2ASPD|2VULN|1DMG|1BEXP|1SELL	1aDUST|2aASPD|3BEXP|4SELL|5RCR|6MDPS|7DMG|8aVULN|9RCVC|aBPWR
99	51361 14211	   	183.72	ACR|1BASARM|1VULN|1ASPD|1BEXP	19DUR|2MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8ZMB|aMLV
100	51361 14213	   	183.72	ACR|1BASARM|1VULN|1ASPD|1BEXP	19DUR|2MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8ZMB|aLIT
101	51361 14221	   	183.72	ACR|1BASARM|1VULN|1ASPD|1BEXP	1DUR|2MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8ZMB|9FEWX|aRPLT
102	51361 14222	   	183.72	ACR|1BASARM|1VULN|1ASPD|1BEXP	1DUR|2MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8aZMB|9FEWX
103	51361 14231	   	183.72	ACR|1BASARM|1VULN|1ASPD|1BEXP	1DUR|2MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8ZMB|9LHND|aRPLT
104	51361 14232	   	183.72	ACR|1BASARM|1VULN|1ASPD|1BEXP	1DUR|2MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8aZMB|9LHND
105	51361 14311	   	183.72	ACR|1BASARM|1VULN|1ASPD|1BEXP	19DUR|2MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8RMIN|aMLV
106	51361 14313	   	183.72	ACR|1BASARM|1VULN|1ASPD|1BEXP	19DUR|2MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8RMIN|aLIT
107	51361 14321	   	183.72	ACR|1BASARM|1VULN|1ASPD|1BEXP	1DUR|2MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8RMIN|9FEWX|aRPLT
108	51361 14322	   	183.72	ACR|1BASARM|1VULN|1ASPD|1BEXP	1DUR|2MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8RMIN|9FEWX|aZMB
109	51361 14331	   	183.72	ACR|1BASARM|1VULN|1ASPD|1BEXP	1DUR|2MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8RMIN|9LHND|aRPLT
110	51361 14332	   	183.72	ACR|1BASARM|1VULN|1ASPD|1BEXP	1DUR|2MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8RMIN|9LHND|aZMB
111	51361 14212	   	183.62	ACR|1BASARM|1VULN|1ASPD|1BEXP	19DUR|2MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8ZMB|aDUST
112	51361 14223	   	183.62	ACR|1BASARM|1VULN|1ASPD|1BEXP	1DUR|2MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8ZMB|9FEWX|aSNITOX
113	51361 14233	   	183.62	ACR|1BASARM|1VULN|1ASPD|1BEXP	1DUR|2MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8ZMB|9LHND|aSNITOX
114	51361 14312	   	183.62	ACR|1BASARM|1VULN|1ASPD|1BEXP	19DUR|2MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8RMIN|aDUST
115	51361 14323	   	183.62	ACR|1BASARM|1VULN|1ASPD|1BEXP	1DUR|2MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8RMIN|9FEWX|aAEMAG
116	51361 14333	   	183.62	ACR|1BASARM|1VULN|1ASPD|1BEXP	1DUR|2MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8RMIN|9LHND|aAEMAG
