0	Index      	 *	Score 	Summary	Detail	
64	21256 25222	   	277.88	ACR|DCR|3VULN|1MLV|1ASPD	1MLV|2DUST|369VULN|4AETHUN|57RCR|8ASPD|aAART
65	23256 25222	   	277.88	ACR|DCR|3VULN|1MLV|1ASPD	1MLV|2BEXP|369VULN|4AETHUN|57RCR|8ASPD|aAART
66	22511 61322	   	277.12	DCR|2VULN|2MLV|2TLV|1ASPD	18MLV|2AEFBLL|3AART|4RCVC|58TLV|68VULN|7RCR|8BPWR|9RPLT|aASPD
67	22511 61342	   	277.12	DCR|2VULN|2MLV|2TLV|1ASPD	18MLV|2AEFBLL|3AART|4RCVC|58TLV|68VULN|7RCR|8BPWR|9ASPD|aRMIN
68	22511 61343	   	277.12	DCR|2VULN|2MLV|2TLV|1ASPD	18MLV|2AEFBLL|3AART|4RCVC|58TLV|68VULN|7RCR|8BPWR|9ASPD|aLHND
69	24232 33122	   	277.08	DCR|3VULN|3MLV|1AAC	169MLV|2LEGI|356VULN|4AART|6BPWR|7AAC|8RCR|aFEWX
70	24232 33123	   	277.08	DCR|3VULN|3MLV|1AAC	169MLV|2LEGI|356VULN|4AART|6BPWR|7AAC|8RCR|aBBNT
71	22511 61341	   	277.02	DCR|2VULN|2MLV|2TLV|1ASPD	18MLV|2AEFBLL|3AART|4RCVC|58TLV|68VULN|7RCR|8BPWR|9ASPD|aBEXP
72	24232 33121	   	276.98	DCR|3VULN|3MLV|1AAC	169MLV|2LEGI|356VULN|4AART|6BPWR|7AAC|8RCR|aBEXP
73	24232 33124	   	276.98	DCR|3VULN|3MLV|1AAC	169MLV|2LEGI|356VULN|4AART|6BPWR|7AAC|8RCR|aDUST
74	24232 33125	   	276.98	DCR|3VULN|3MLV|1AAC	169MLV|2LEGI|356VULN|4AART|6BPWR|7AAC|8RCR|aAETHUN
75	21256 25321	 * 	276.82	ACR|DCR|2VULN|1TLV|1MLV|1CDMG	1MLV|2DUST|36VULN|4AETHUN|57RCR|8BEXP|9CDMG|aTLV
76	21256 15321	 * 	276.43	ACR|DCR|2MLV|1VULN|1TLV|1CDMG	16MLV|2DUST|3VULN|4AETHUN|57RCR|8BEXP|9CDMG|aTLV
77	24632 13621	   	275.04	DCR|3VULN|3MLV|2DUR	189MLV|2LEGI|3DUST|4AART|579VULN|69DUR|9BPWR|aRCR
78	25112 15311	 * 	274.97	DCR|DCR|2MLV|2ASPD	14MLV|2ZMB|3AART|5VENFST|6aRCR|79ASPD|8CGEN
79	22511 61316	   	274.52	DCR|2VULN|2MLV|2TLV|1CDMG	18MLV|2AEFBLL|3AART|4RCVC|58TLV|68VULN|7RCR|8BPWR|9LWND|aCDMG
80	22511 61326	   	274.52	DCR|2VULN|2MLV|2TLV|1CDMG	18MLV|2AEFBLL|3AART|4RCVC|58TLV|68VULN|7RCR|8BPWR|9RPLT|aCDMG
81	22511 61336	   	274.42	DCR|2VULN|2MLV|2TLV|2RAT	18MLV|2AEFBLL|3AART|4RCVC|58TLV|68VULN|7RCR|8BPWR|9aRAT
82	22511 61334	   	274.35	DCR|2VULN|2MLV|2TLV|2AART	18MLV|2AEFBLL|3aAART|4RCVC|58TLV|68VULN|7RCR|8BPWR|9RAT
83	24232 33116	   	273.73	DCR|3VULN|2MLV|1AAC|2AART|1CDMG	16MLV|2LEGI|356VULN|49AART|6BPWR|7AAC|8RCR|aCDMG
84	24232 33641	 * 	273.59	DCR|3VULN|2MLV|1DMG|1AAC	16MLV|2LEGI|356VULN|4AART|6BPWR|7AAC|8DMG|9RCR|aAME
85	24232 33642	   	273.59	DCR|3VULN|2MLV|1DMG|1AAC	16MLV|2LEGI|356VULN|4AART|6BPWR|7AAC|8DMG|9RCR|aRCVC
86	24232 33636	   	273.59	DCR|3VULN|2MLV|1DMG|1AAC	16MLV|2LEGI|356VULN|4AART|6BPWR|7AAC|8DMG|9CGEN|aRCR
87	24232 33643	   	273.49	DCR|3VULN|2MLV|1DMG|1AAC	16MLV|2LEGI|356VULN|4AART|6BPWR|7AAC|8DMG|9RCR|aAEBURN
88	21256 15221	   	273.14	ACR|DCR|2VULN|2MLV|1ASPD	16MLV|2DUST|39VULN|4AETHUN|57RCR|8ASPD|aMSLREG
89	21256 15232	   	273.14	ACR|DCR|2VULN|2MLV|1ASPD	16MLV|2DUST|3aVULN|4AETHUN|57RCR|8ASPD|9BEXP
90	23256 15221	   	273.14	ACR|DCR|2VULN|2MLV|1ASPD	16MLV|2BEXP|39VULN|4AETHUN|57RCR|8ASPD|aMSLREG
91	24232 33143	   	272.70	DCR|4VULN|2MLV|1AAC	16MLV|2LEGI|3569VULN|4AART|6BPWR|7AAC|8RCR|aCGEN
92	24232 33144	   	272.70	DCR|4VULN|2MLV|1AAC	16MLV|2LEGI|3569VULN|4AART|6BPWR|7AAC|8RCR|aFEWX
93	24232 32121	 * 	272.60	DCR|5VULN|2MLV	16MLV|2LEGI|35678VULN|4AART|6BPWR|9AEFRZ|aRCR
94	24232 33141	   	272.60	DCR|4VULN|2MLV|1AAC	16MLV|2LEGI|3569VULN|4AART|6BPWR|7AAC|8RCR|aDUST
95	24232 33142	   	272.60	DCR|4VULN|2MLV|1AAC	16MLV|2LEGI|3569VULN|4AART|6BPWR|7AAC|8RCR|aERES
96	26311 32613	   	271.92	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1MLV|2CDMG|3AEFBLL|49LHND|5ASPD|6VULN|7CANSTR|8aRCR
97	35212 11652	 * 	271.81	DCR|2TLV|2DMG|1VULN|1MLV|3DUR|1CDMG	189DUR|29DMG|3VULN|4CDMG|59TLV|6BBNT|7RCR|9BPWR|aMLV
98	24232 33135	   	269.78	DCR|3VULN|2MLV|1AAC|1ASPD	16MLV|2LEGI|356VULN|4AART|6BPWR|7AAC|8RCR|9CGEN|aASPD
99	24232 33155	   	269.78	DCR|3VULN|2MLV|1AAC|1ASPD	16MLV|2LEGI|356VULN|4AART|6BPWR|7AAC|8RCR|9ZMB|aASPD
100	21256 25221	   	269.47	ACR|DCR|3VULN|1MLV|1ASPD	1MLV|2DUST|369VULN|4AETHUN|57RCR|8ASPD|aMSLREG
101	21256 25232	   	269.47	ACR|DCR|3VULN|1MLV|1ASPD	1MLV|2DUST|36aVULN|4AETHUN|57RCR|8ASPD|9BEXP
102	23256 25221	   	269.47	ACR|DCR|3VULN|1MLV|1ASPD	1MLV|2BEXP|369VULN|4AETHUN|57RCR|8ASPD|aMSLREG
103	21422 63611	 * 	269.30	DCR|2VULN|1TLV|1MLV|1DMG|2CDMG|1AAC	1MLV|2DUST|3AAC|48CDMG|5aVULN|6DMG|7RCR|9TLV
104	25133 35322	 * 	268.88	DCR|3MLV|1VULN|2ASPD|3CDMG	189MLV|2ZMB|3AART|459CDMG|69ASPD|7RCR|9BPWR|aVULN
105	24232 33161	 * 	268.63	DCR|3VULN|2MLV|2AAC	16MLV|2LEGI|356VULN|4AART|6BPWR|7aAAC|8RCR|9RPLT
106	23232 36261	   	268.53	DCR|3VULN|2MLV|1TLV	1aMLV|268BEXP|356VULN|4AART|6BPWR|7RCR|9TLV
