0	Index      	 *	Score 	Summary	Detail	
331	22521 42621	   	168.43	ACR|2VULN|1AART|2CDMG|2ASPD|1DUR	19CDMG|2ERES|3RCR|49VULN|5DUR|6AART|7MGNSTR|89ASPD|9BPWR|aDUST
332	22521 42522	   	168.43	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2ERES|3RCR|4aVULN|5DUR|6AART|7MGNSTR|8VENICY|9DMG
333	22521 45121	   	168.43	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2ERES|3RCR|49VULN|5DUR|6AART|7DMG|8TLV|aBEXP
334	22521 45313	   	168.43	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|29ERES|3RCR|4aVULN|5DUR|6AART|7DMG|8MLV
335	22521 45322	   	168.43	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2aERES|3RCR|49VULN|5DUR|6AART|7DMG|8MLV
336	24142 42123	   	168.38	DCR|3VULN|1DMG|2CDMG|1ZMB|1ASPD	13CDMG|2DMG|478VULN|5ASPD|6FEWX|9RCR|aZMB
337	22521 45113	   	168.33	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|29ERES|3RCR|4aVULN|5DUR|6AART|7DMG|8TLV
338	22521 45122	   	168.33	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2aERES|3RCR|49VULN|5DUR|6AART|7DMG|8TLV
339	42111 16121	   	168.32	DCR|2VULN|2DMG|2ZMB|1CDMG	19DMG|29FEWX|3RCVC|48VULN|5CDMG|6RCR|79ZMB|9BPWR|aLHND
340	42111 16124	   	168.32	DCR|2VULN|2DMG|2ZMB|1CDMG	19DMG|29aFEWX|3RCVC|48VULN|5CDMG|6RCR|79ZMB|9BPWR
341	42613 23214	   	168.29	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	19DMG|2FEWX|34VULN|5DUR|6ASPD|7LHND|8AART|aRCR
342	61111 36214	   	168.29	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13VULN|2LHND|4BEXP|59DMG|6DUR|7ASPD|8AART|aRCR
343	62111 23214	   	168.29	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13VULN|2DUR|4BEXP|59DMG|6ASPD|7LHND|8AART|aRCR
344	62141 23214	   	168.29	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13VULN|2DUR|4FEWX|59DMG|6ASPD|7LHND|8AART|aRCR
345	11441 61332	   	168.29	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RPLT|2AART|3RCR|48VULN|5FEWX|6DMG|7DUST|9ZMB|aDUR
346	11462 61332	   	168.29	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RPLT|2AART|3RCR|4FEWX|58VULN|6DMG|7DUST|9ZMB|aDUR
347	25133 62153	 * 	168.26	DCR|2DMG|3CDMG|1AART|2ZMB|1DUR	138CDMG|23BASICY|38BPWR|4RMIN|58ZMB|6AART|78DMG|9RCR|aDUR
348	11441 62231	   	168.23	ACR|2VULN|2DMG|1AART	1RPLT|2AART|3RCR|49VULN|5FEWX|69DMG|7RMIN|89aLHND|9BPWR
349	42611 25233	   	168.23	DCR|3VULN|2DMG|2CDMG	17DMG|2FEWX|347VULN|57CDMG|6RMIN|7BPWR|8aLHND|9RCR
350	42111 25231	   	168.23	DCR|3VULN|2DMG|2CDMG	17DMG|2FEWX|3RCVC|47aVULN|57CDMG|6RMIN|7BPWR|8LHND|9RCR
351	42111 16125	   	168.22	DCR|2VULN|2DMG|2ZMB|1CDMG	19DMG|29FEWX|3RCVC|48VULN|5CDMG|6RCR|79ZMB|9BPWR|aDUST
352	22523 43323	   	168.19	ACR|3VULN|1AART|1CDMG|1ZMB	1CDMG|2ERES|3RCR|47aVULN|58LWND|6AART|9ZMB
353	21214 63123	 * 	168.17	ACR|4VULN|3CDMG|2DUR	159CDMG|27DUR|39FEWX|4RCR|689aVULN|9BPWR
354	11431 62341	   	168.14	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD|1SELL	1RPLT|2AART|3RCR|4SELL|5ZMB|6aDMG|7VULN|8LIT|9ASPD
355	11431 62342	   	168.14	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1SELL	1RPLT|2AART|3RCR|4SELL|5ZMB|6DMG|7aVULN|8LIT|9ASPD
356	11441 62233	   	168.13	ACR|2VULN|2DMG|1AART	1RPLT|2AART|3RCR|49VULN|5FEWX|69DMG|7RMIN|89LHND|9BPWR|aDUST
357	42111 25331	   	168.13	DCR|3VULN|2DMG|2CDMG	17DMG|2FEWX|3RCVC|47aVULN|57CDMG|6RMIN|7BPWR|8LEGI|9RCR
358	42611 25232	   	168.13	DCR|3VULN|2DMG|2CDMG	17DMG|2FEWX|347VULN|57CDMG|6RMIN|7BPWR|8LHND|9RCR|aTLV
359	42611 25333	   	168.13	DCR|3VULN|2DMG|2CDMG	17DMG|2FEWX|347VULN|57CDMG|6RMIN|7BPWR|8LEGI|9RCR|aLHND
360	21123 13166	   	168.12	DCR|3CDMG|1AART|1VULN|1DMG|1DUR|1ASPD	157CDMG|2DUR|3ASPD|4VULN|6RCR|8MLV|9AART|aDMG
361	22523 43223	   	168.09	ACR|3VULN|1AART|1CDMG|1ZMB	1CDMG|28ERES|3RCR|47aVULN|5LWND|6AART|9ZMB
