0	Index      	Bounty	 *	Score 	Summary	Detail	
51	31555 31212	10	   	249.33	DCR|4VULN|2TLV|1DMG	1BEXP|2RPLT|3578VULN|45TLV|5BPWR|6DMG|9LEGI|aRCR
52	31555 31232	10	   	249.33	DCR|4VULN|2TLV|1DMG	1BEXP|2RPLT|3578VULN|45TLV|5BPWR|6DMG|9DUST|aRCR
53	31555 31332	10	   	249.33	DCR|4VULN|2TLV|1DMG	1BEXP|2RPLT|3579VULN|45TLV|5BPWR|6DMG|8LEGI|aRCR
54	63314 12224	7	   	248.94	DCR|3VULN|2DUR|1TLV|1AART	1TLV|2LIT|39aVULN|47DUR|5AART|6FEWX|8RCR
55	63314 16321	8	   	248.94	DCR|3VULN|2DUR|1TLV|1AART	1TLV|2LIT|378VULN|49DUR|5AART|6FEWX|aRCR
56	63314 16321	7	   	248.94	DCR|3VULN|2DUR|1TLV|1AART	1TLV|2LIT|378VULN|49DUR|5AART|6FEWX|aRCR
57	23616 25113	10	 * 	248.91	DCR|2VULN|3DMG|1TLV|3LIT	17CGEN|267LIT|3TLV|4aVULN|567DMG|67BPWR|8FEWX|9RCR
58	63314 22224	7	   	248.84	DCR|3VULN|2DUR|1TLV|1AART	1TLV|2LIT|39aVULN|47DUR|5AART|6DUST|8RCR
59	63314 26321	7	   	248.84	DCR|3VULN|2DUR|1TLV|1AART	1TLV|2LIT|378VULN|49DUR|5AART|6DUST|aRCR
60	61221 32151	3	 * 	248.78	ACR|3VULN|1TLV|1DMG|2CDMG|2ASPD|1DUR	1TLV|29ASPD|3DMG|4DUR|5RCR|69aVULN|7LIT|89CDMG|9BPWR
61	63334 33431	4	   	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1TLV|2LIT|37VULN|4CDMG|58DUR|6LWND|9DMG|aRCR
62	63312 14163	9	 * 	247.65	DCR|2VULN|3DUR|2TLV|3LIT	18TLV|258LIT|38VULN|467DUR|8BPWR|9BEXP|aRCR
63	26252 33215	10	   	247.55	DCR|3VULN|2DMG|1TLV|1AART	17CGEN|2RPLT|3ERES|47aVULN|5AART|67DMG|7BPWR|8RCR|9TLV
64	63312 14143	9	   	247.55	DCR|2VULN|3DUR|2TLV|3LIT	18TLV|258LIT|38VULN|467DUR|8BPWR|9DUST|aRCR
65	63312 14163	8	   	247.55	DCR|2VULN|3DUR|2TLV|3LIT	18TLV|258LIT|38VULN|467DUR|8BPWR|9DUST|aRCR
66	61223 22532	6	   	246.01	DCR|3VULN|1TLV|1DMG|2ASPD|1AART	1TLV|26ASPD|3DMG|4DUST|569VULN|6BPWR|7RPLT|8RCR|aAART
67	31555 12312	5	 * 	245.97	DCR|3VULN|2DMG|3TLV	1BEXP|2RPLT|356VULN|456TLV|56BPWR|7aDMG|8RCVC|9RCR
68	63311 42622	10	   	245.93	DCR|2VULN|2DMG|2TLV|1DUR	1aTLV|2LIT|3aVULN|4DUR|5FEWX|6RCR|7RCVC|8aDMG|9RPLT|aBPWR
69	63311 46322	10	   	245.93	DCR|2VULN|2DMG|2TLV|1DUR	1aTLV|2LIT|3aVULN|4DUR|5FEWX|6RCR|7aDMG|8RCVC|9RPLT|aBPWR
70	51135 32363	5	   	245.93	DCR|2VULN|2DMG|2TLV|1DUR	1RCVC|2aDMG|3MLV|4aVULN|5DUR|6RMIN|7ASPD|8aTLV|9RCR|aBPWR
71	63312 16622	4	   	245.73	DCR|2VULN|2DMG|2TLV|1DUR	1aTLV|2LIT|3aVULN|4DUR|5ZMB|6TBNT|7RCR|8aDMG|9BBNT|aBPWR
72	51461 11144	2	   	245.73	DCR|2VULN|2DMG|2TLV|1DUR	1RCVC|28DMG|38VULN|4ERES|5ASPD|6MBVNT|78TLV|8BPWR|9DUR|aRCR
73	62142 53111	4	   	245.62	DCR|4VULN|2TLV|1DUR	17TLV|2DUST|3567VULN|47CGEN|7BPWR|8LWND|9RCR|aDUR
74	62142 53211	4	   	245.62	DCR|4VULN|2TLV|1DUR	17TLV|2DUST|3567VULN|47CGEN|7BPWR|8LHND|9RCR|aDUR
75	62122 53111	4	   	245.42	DCR|4VULN|2TLV|1DUR	17TLV|2DUST|3567VULN|47ERES|7BPWR|8LWND|9RCR|aDUR
76	62122 53211	4	   	245.42	DCR|4VULN|2TLV|1DUR	17TLV|2DUST|3567VULN|47ERES|7BPWR|8LHND|9RCR|aDUR
77	62122 53513	4	   	245.42	DCR|4VULN|2TLV|1DUR	17TLV|2DUST|3567VULN|47ERES|7BPWR|8DUR|9RCR|aDMSP
78	62162 53111	3	   	245.42	DCR|4VULN|2TLV|1DUR	17TLV|2DUST|3567VULN|47ERES|7BPWR|8LWND|9RCR|aDUR
79	62162 53211	3	   	245.42	DCR|4VULN|2TLV|1DUR	17TLV|2DUST|3567VULN|47ERES|7BPWR|8LHND|9RCR|aDUR
80	62122 53512	4	   	245.32	DCR|4VULN|2TLV|1DUR	17TLV|2DUST|3567VULN|47ERES|7BPWR|8DUR|9RCR|aMBVNT
81	61323 22561	6	 * 	244.77	DCR|4VULN|1TLV|3ASPD	1TLV|267ASPD|3CGEN|4DUST|568aVULN|6BPWR|9RCR
82	31555 32313	6	   	244.63	DCR|3VULN|2TLV|1DMG|2ASPD	19BEXP|2RPLT|359VULN|45TLV|59BPWR|6DMG|79ASPD|8BBNT|aRCR
