0	Index      	 *	Score 	Summary	Detail	
61	14541 14635	 * 	192.76	ACR|3DMG|2BEXP|2VULN	1MBVNT|2RMIN|3RCR|48VULN|5CGEN|68BEXP|78aDMG|8BPWR|9LHND
62	14541 14645	   	192.76	ACR|3DMG|2BEXP|2VULN	1MBVNT|2RMIN|3RCR|48VULN|5CGEN|68BEXP|78aDMG|8BPWR|9FEWX
63	14511 31221	   	192.75	ACR|2ASPD|2BEXP|1AART|1CDMG|1AAC	1MBVNT|2RMIN|3RCR|48CGEN|58BEXP|68ASPD|7AART|8BPWR|9CDMG|aAAC
64	14511 41221	   	192.75	ACR|2DMG|2BEXP|1AART|1CDMG|1AAC	1MBVNT|2RMIN|3RCR|48CGEN|58BEXP|68DMG|7AART|8BPWR|9CDMG|aAAC
65	14581 31221	   	192.75	ACR|2ASPD|2BEXP|1AART|1CDMG|1AAC	1MBVNT|2RMIN|3RCR|48MLV|58BEXP|68ASPD|7AART|8BPWR|9CDMG|aAAC
66	14581 41221	   	192.75	ACR|2DMG|2BEXP|1AART|1CDMG|1AAC	1MBVNT|2RMIN|3RCR|48MLV|58BEXP|68DMG|7AART|8BPWR|9CDMG|aAAC
67	14513 31221	   	192.75	ACR|2DMG|2BEXP|1AART|1CDMG|1AAC	1MBVNT|2RMIN|3RCR|48CGEN|58DMG|68BEXP|7AART|8BPWR|9CDMG|aAAC
68	14551 31221	   	192.55	ACR|2ASPD|2BEXP|1AART|1CDMG|1AAC	1MBVNT|2RMIN|3RCR|48ERES|58BEXP|68ASPD|7AART|8BPWR|9CDMG|aAAC
69	14551 41221	   	192.55	ACR|2DMG|2BEXP|1AART|1CDMG|1AAC	1MBVNT|2RMIN|3RCR|48ERES|58BEXP|68DMG|7AART|8BPWR|9CDMG|aAAC
70	14511 44457	   	192.45	ACR|2DMG|2BEXP|1ASPD|1AAC|1VULN	1MBVNT|2RMIN|3RCR|47CGEN|57BEXP|67DMG|7BPWR|8VULN|9ASPD|aAAC
71	14513 34457	   	192.45	ACR|2DMG|2BEXP|1ASPD|1AAC|1VULN	1MBVNT|2RMIN|3RCR|47CGEN|57DMG|67BEXP|7BPWR|8VULN|9ASPD|aAAC
72	14543 24223	   	192.25	ACR|2DMG|2BEXP|1ASPD|1AAC|1VULN	1MBVNT|2RMIN|3RCR|4VULN|59BEXP|67DMG|8ASPD|aAAC
73	15184 17112	   	192.18	ACR|1BASARM|2ASPD|1BEXP|1VULN	1MBVNT|2VULN|3MDPS|4RCR|5DLOT|6aASPD|7BASARM|8AEMAG|9BEXP
74	15184 17244	 * 	191.76	ACR|1BASARM|2ASPD|2VULN	1MBVNT|2aVULN|3MDPS|4RCR|5DLOT|6aASPD|7BASARM|8ERES|9aDUR|aBPWR
75	14533 78244	   	191.68	ACR|2BASARM|2ASPD	1MBVNT|2RMIN|3RCR|4RCVC|5aLHND|6MLV|7RPLT|8aASPD|9aBASARM|aBPWR
76	14533 88244	   	191.58	ACR|2BASARM|2ASPD	1MBVNT|2RMIN|3RCR|4RCVC|5aLHND|6AME|7RPLT|8aASPD|9aBASARM|aBPWR
77	14544 24214	   	191.57	ACR|3DMG|2VULN|1BEXP|1CDMG	1MBVNT|2RMIN|3RCR|48VULN|58FEWX|678DMG|8BPWR|9CDMG|aBEXP
78	14534 18244	   	191.48	ACR|2BASARM|2ASPD	1MBVNT|2RMIN|3RCR|4RCVC|5aTLV|6LHND|7RPLT|8aASPD|9aBASARM|aBPWR
79	14534 18644	 * 	191.48	ACR|2BASARM|2DMG	1MBVNT|2RMIN|3RCR|4RCVC|5aTLV|6LHND|7RPLT|8aDMG|9aBASARM|aBPWR
80	14511 31243	   	191.38	ACR|2ASPD|2BEXP|1AART|1CDMG|1VULN	1MBVNT|2RMIN|3RCR|48CGEN|58BEXP|68ASPD|7AART|8BPWR|9VULN|aCDMG
81	14511 41243	   	191.38	ACR|2DMG|2BEXP|1AART|1CDMG|1VULN	1MBVNT|2RMIN|3RCR|48CGEN|58BEXP|68DMG|7AART|8BPWR|9VULN|aCDMG
