0	Index      	 *	Score 	Summary	Detail	
53	11523 53225	   	201.92	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	18FEWX|28ASPD|3MDPS|4DMG|5TLV|6RCR|78VULN|8BPWR|9BEXP|aAART
54	52363 32413	   	201.90	DCR|1VULN|1ASPD|1DMG|1NUKE|1CDMG|2DUR|1ZMB	1RCVC|23DUR|3BPWR|4ZMB|5VULN|6ASPD|7DMG|8CDMG|9RCR|aNUKE
55	52331 12221	 * 	201.90	DCR|3VULN|1AART|1ASPD|3DUR	17RCVC|236DUR|36BPWR|4AART|568VULN|9ASPD|aRCR
56	16621 33331	 * 	201.68	DCR|3VULN|2DMG|1ASPD|1ZMB	1FEWX|248VULN|36DMG|5ZMB|7ASPD|9LWND|aRCR
57	23363 32413	   	201.48	DCR|1VULN|1ASPD|1DMG|1NUKE|1CDMG|2DUR|1ZMB	13DUR|2RCVC|3BPWR|4ZMB|5VULN|6ASPD|7DMG|8CDMG|9RCR|aNUKE
58	23331 12221	   	201.47	DCR|3VULN|1AART|1ASPD|3DUR	136DUR|27RCVC|36BPWR|4AART|568VULN|9ASPD|aRCR
59	21512 21113	   	201.07	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1AAC|1ZMB|1DUR	1DUR|2ASPD|3MDPS|4VULN|56DMG|7ZMB|8RCR|9AART|aAAC
60	21525 21113	   	201.07	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1AAC|1ZMB|1DUR	1DUR|2ASPD|3MDPS|46DMG|5VULN|7ZMB|8RCR|9AART|aAAC
61	21565 21113	   	201.07	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1AAC|1ZMB|1DUR	1DUR|2ASPD|3MDPS|4ZMB|5VULN|67DMG|8RCR|9AART|aAAC
62	21432 13441	   	200.79	DCR|2DMG|1VULN|1AART|1ASPD|2DUR|1ZMB	18DUR|2ASPD|38DUST|4AART|5ZMB|6AME|78DMG|8BPWR|9VULN|aRCR
63	21432 23441	   	200.79	DCR|2DMG|1VULN|1AART|1ASPD|2DUR|1ZMB	18DUR|2ASPD|38DUST|4AART|5ZMB|6CGEN|78DMG|8BPWR|9VULN|aRCR
64	21513 23323	 * 	200.31	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG|1DUR	1DUR|25ASPD|3MDPS|4aVULN|6AART|7CGEN|8CDMG|9RCR
65	16621 13331	 * 	199.94	DCR|4VULN|1ASPD|1DMG|1ZMB	1FEWX|2468VULN|3DMG|5ZMB|7ASPD|9LWND|aRCR
66	54331 12421	   	199.93	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCVC|2ZMB|36DMG|4AART|56VULN|6BPWR|7AIRARM|8DUR|9DUST|aRCR
67	16621 11413	 * 	199.76	DCR|3VULN|2DMG|1NUKE|1CDMG|1ZMB	1FEWX|246VULN|3aDMG|5ZMB|7NUKE|8CDMG|9RCR
68	21512 21111	   	199.45	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1ZMB|1DUR	1DUR|2ASPD|3MDPS|4VULN|56DMG|7ZMB|8RCR|9AART|aRMIN
69	21512 21145	   	199.45	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1ZMB|1DUR	1DUR|2ASPD|3MDPS|4VULN|56DMG|7ZMB|8RCR|9FEWX|aAART
70	21525 21111	   	199.45	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1ZMB|1DUR	1DUR|2ASPD|3MDPS|46DMG|5VULN|7ZMB|8RCR|9AART|aRMIN
71	21565 21111	   	199.45	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1ZMB|1DUR	1DUR|2ASPD|3MDPS|4ZMB|5VULN|67DMG|8RCR|9AART|aRMIN
72	21512 21112	   	199.35	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1ZMB|1DUR	1DUR|2ASPD|3MDPS|4VULN|56DMG|7ZMB|8RCR|9AART|aDUST
73	21512 21114	   	199.35	DCR|2DMG|1MDPS|1AART|1VULN|1ASPD|1ZMB|1DUR	1DUR|2ASPD|3MDPS|4VULN|56DMG|7ZMB|8RCR|9AART|aLEGI
