0	Index      	 *	Score 	Summary	Detail	
60	23543 13234	 * 	201.71	DCR|4VULN|1AART|1CDMG|1DUR	1AART|2CDMG|347aVULN|5MULFIG|6DUR|8RCR|9TLV
61	23235 53363	 * 	201.57	DCR|3DMG|2VULN|1AART|2CDMG|1SELL	1AART|2aCDMG|3SELL|4aVULN|5LIT|6SPLREG|78aDMG|9RCR|aBPWR
62	23612 25352	 * 	201.49	DCR|2VULN|2AART|2CDMG|1ASPD	14AART|28CDMG|3RPLT|5ERES|68VULN|78CGEN|8BPWR|9RCR|aASPD
63	23612 25353	   	201.49	DCR|2VULN|2AART|2CDMG|1DMG	14AART|28CDMG|3RPLT|5ERES|68VULN|78CGEN|8BPWR|9RCR|aDMG
64	23545 32213	   	201.39	DCR|2VULN|2AART|2CDMG|1DMG	16AART|25CDMG|34VULN|7LWND|8DMG|9RCR|aCGEN
65	23545 32212	   	201.29	DCR|2VULN|2AART|2CDMG|1DMG|1SELL	16AART|25CDMG|34VULN|7LWND|8DMG|9RCR|aSELL
66	26411 15321	   	201.29	DCR|3DMG|2VULN|1AART|1DUR	1AART|28VULN|368DMG|4DUR|5TLV|78CGEN|8BPWR|9AME|aRCR
67	33232 51634	   	201.24	DCR|2VULN|2DMG|1AART|2ZMB	19VULN|2ERES|39ZMB|4MBVNT|5RCVC|6RCR|79DMG|8AART|9BPWR|aCGEN
68	33232 51636	   	201.24	DCR|2VULN|2DMG|1AART|2ZMB	19VULN|2ERES|39ZMB|4MBVNT|5RCVC|6RCR|79DMG|8AART|9BPWR|aBEXP
69	33232 51638	   	201.24	DCR|2VULN|2DMG|1AART|2ZMB	19VULN|2ERES|39ZMB|4MBVNT|5RCVC|6RCR|79DMG|8AART|9BPWR|aLHND
70	23136 15251	 * 	201.16	DCR|3VULN|2AART|2CDMG	19AART|27CDMG|3BEXP|46aVULN|5LHND|8RCR
71	23136 14211	   	201.16	DCR|3VULN|2AART|2CDMG	17AART|29CDMG|3BEXP|46aVULN|5LHND|8RCR
72	23434 14211	   	201.16	DCR|3VULN|2AART|2CDMG	17AART|29CDMG|3LHND|46aVULN|5BEXP|8RCR
73	23534 14211	   	201.16	DCR|3VULN|2AART|2CDMG	17AART|29CDMG|36aVULN|4LHND|5BEXP|8RCR
74	33232 51635	   	201.14	DCR|2VULN|2DMG|1AART|2ZMB|1MSE	19VULN|2ERES|39ZMB|4MBVNT|5RCVC|6RCR|79DMG|8AART|9BPWR|aMSE
75	33232 51637	   	201.14	DCR|2VULN|2DMG|1AART|2ZMB|1SELL	19VULN|2ERES|39ZMB|4MBVNT|5RCVC|6RCR|79DMG|8AART|9BPWR|aSELL
76	31333 71652	 * 	201.00	DCR|3VULN|2ASPD|2CDMG	19aVULN|25FEWX|3RCVC|4MBVNT|69CDMG|7RCR|89ASPD|9BPWR
77	23524 15211	 * 	200.93	DCR|4VULN|1AART|2CDMG	1AART|29CDMG|367aVULN|4FEWX|5BEXP|8RCR
78	23656 21131	   	200.74	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2CDMG|3RPLT|4AIRARM|5RMIN|6RCR|7VULN|8DMG|9ASPD|aZMB
79	23132 35251	   	200.67	DCR|3VULN|2AART|1CDMG	19AART|2CDMG|3BEXP|47aVULN|5RMIN|6MLV|8RCR
80	23522 35251	   	200.67	DCR|3VULN|2AART|1CDMG	19AART|2CDMG|37aVULN|4FEWX|5RMIN|6MLV|8RCR
81	23545 31213	 * 	200.62	DCR|2VULN|2AART|1MDPS|3CDMG|1ZMB	16AART|259CDMG|34VULN|7MDPS|8RCR|aZMB
82	36632 33234	   	199.86	DCR|3VULN|2DMG|1CDMG|1ZMB	167VULN|2LIT|3ZMB|4aDMG|5CDMG|8FEWX|9RCR
83	26421 23613	   	199.75	DCR|3VULN|1AART|1DMG|1CDMG	1AART|279VULN|3DMG|4CDMG|5FEWX|6RCVC|8RCR|aAME
84	23543 23533	   	199.74	DCR|4VULN|1AART|1CDMG|1ZMB	1AART|2CDMG|3479VULN|5MULFIG|6DUST|8ZMB|aRCR
85	26322 15314	   	199.72	DCR|2VULN|2ASPD|1AART|1DMG|1AAC	1AART|28VULN|3LIT|48ASPD|5AAC|689DUST|7RCR|8BPWR|aDMG
86	26421 23612	   	199.65	DCR|3VULN|1AART|1DMG|1CDMG	1AART|279VULN|3DMG|4CDMG|5FEWX|6RCVC|8RCR|aMBVNT
87	26621 23613	   	199.65	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC	1AART|279VULN|3AAC|4CDMG|5FEWX|6RCVC|8RCR|aASPD
88	21321 65163	 * 	199.40	DCR|3ASPD|1VULN|1AART|1DMG	1AART|2DUST|3RMIN|468ASPD|56CGEN|6BPWR|7RCR|9VULN|aDMG
89	35153 23632	 * 	199.32	DCR|4VULN|1AART|1DMG	146aVULN|2BELT|3RPLT|5FEWX|7RCR|8DMG|9AART
90	23612 25351	   	199.26	DCR|3VULN|2AART|2CDMG	14AART|28CDMG|3RPLT|5ERES|68aVULN|78CGEN|8BPWR|9RCR
91	26222 32366	 * 	199.25	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG	1AART|2aVULN|3DUST|4RMIN|5LWND|6SPLARM|7ASPD|8CDMG|9RCR
