0	Index      	 *	Score 	Summary	Detail	
45	22633 33532	   	200.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	1BEXP|2LHND|3VENICY|4CGEN|5RCR|67ASPD|8BASARM|9DMG|aDUR
46	22633 33533	   	200.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	1BEXP|2LHND|3VENICY|4CGEN|5RCR|67ASPD|8BASARM|9DMG|aAME
47	22633 33535	   	200.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	1BEXP|2LHND|3VENICY|4CGEN|5RCR|67ASPD|8BASARM|9DMG|aERES
48	62431 31334	   	200.20	ACR|2ASPD|2BEXP|3CDMG|1AART|1AAC	17ASPD|2DUR|37aCDMG|4RCR|5AART|67BEXP|7BPWR|8AAC|9CGEN
49	22633 53532	   	197.96	ACR|1BASARM|2BEXP|1ASPD|1DMG	16BEXP|2LHND|3VENICY|46CGEN|5RCR|6BPWR|7ASPD|8BASARM|9DMG|aDUR
50	22633 53533	   	197.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	16BEXP|2LHND|3VENICY|46CGEN|5RCR|6BPWR|7ASPD|8BASARM|9DMG|aAME
51	22633 35531	   	197.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1aBEXP|2LHND|3VENICY|4CGEN|5RCR|6ASPD|7AEMAG|8BASARM|9DMG
52	62431 25312	 * 	197.39	ACR|2ASPD|2VULN|1DMG|2CDMG|1AART	18ASPD|2DUR|38CDMG|4RCR|5AART|68VULN|7RMIN|8BPWR|9DMG|aRPLT
53	62431 25313	   	197.39	ACR|2ASPD|2VULN|1DMG|2CDMG|1AART	18ASPD|2DUR|38CDMG|4RCR|5AART|68VULN|7RMIN|8BPWR|9DMG|aLHND
54	62431 25311	   	197.29	ACR|2ASPD|2VULN|1DMG|2CDMG|1AART	18ASPD|2DUR|38CDMG|4RCR|5AART|68VULN|7RMIN|8BPWR|9DMG|aTLV
55	62431 31132	   	197.12	ACR|3BEXP|2ASPD|2CDMG|1AART	17ASPD|2DUR|37CDMG|4RCR|5AART|67aBEXP|7BPWR|8LWND|9FEWX
56	62431 31523	   	197.02	ACR|3BEXP|2ASPD|2CDMG|1AART	17ASPD|2DUR|37CDMG|4RCR|5AART|67aBEXP|7BPWR|8RCVC|9SNITOX
