0	Index      	Bounty	 *	Score 	Summary	Detail	
61	41212 21643	2	   	259.75	DCR|3VULN|3DUR|3ASPD|1SELL	1SELL|27aASPD|3FEWX|4RPLT|57aDUR|67aVULN|7aBPWR|8RCR|9BBNT
62	41412 21623	3	   	259.75	DCR|3VULN|3DUR|3ASPD|1SELL	1SELL|27aASPD|3BEXP|4RPLT|57aDUR|67aVULN|7aBPWR|8RCR|9TBNT
63	41113 51623	3	   	259.65	DCR|3VULN|3DUR|3ASPD|1SELL	1SELL|27aASPD|3DUST|4RPLT|57aVULN|67aDUR|7aBPWR|8RCR|9TBNT
64	41312 36241	3	   	259.65	DCR|3VULN|3DUR|3ASPD|1SELL	1SELL|29aASPD|359DUR|4RPLT|679VULN|8RCR|9BPWR
65	51523 23233	4	   	259.42	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|2TLV|356VULN|4DMG|7LIT|8RCR|9CDMG|aDUR
66	51525 23233	5	   	259.42	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|2TLV|356VULN|4DMG|7LIT|8RCR|9CDMG|aDUR
67	22221 23251	3	 * 	258.86	DCR|3VULN|2DMG|3LIT|1TLV	1RMIN|2TLV|356LIT|456VULN|56BPWR|78DMG|9LHND|aRCR
68	54221 23631	3	   	258.86	DCR|3VULN|2DMG|3LIT|1DUR	12LWND|356LIT|456VULN|56BPWR|79DMG|8DUR|aRCR
69	21123 32353	1	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1RMIN|24aDUR|3TLV|569VULN|7CDMG|8RCR
70	23123 32353	2	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1RMIN|24aDUR|3TLV|569VULN|7CDMG|8RCR
71	23613 32353	4	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1RMIN|23aDUR|4TLV|569VULN|7CDMG|8RCR
72	23615 32353	5	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1RMIN|23aDUR|4TLV|569VULN|7CDMG|8RCR
73	23615 32353	6	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1RMIN|23aDUR|4TLV|569VULN|7CDMG|8RCR
74	61112 21514	2	   	258.77	DCR|3VULN|2ASPD|2CDMG|1TLV|1DUR	17CDMG|27ASPD|3BEXP|4RPLT|5DUR|678VULN|7BPWR|9TLV|aRCR
75	61212 21214	2	   	258.77	DCR|3VULN|2ASPD|2CDMG|1TLV|1DUR	17CDMG|27ASPD|3FEWX|4RPLT|5DUR|678VULN|7BPWR|9TLV|aRCR
76	61311 21514	3	   	258.67	DCR|3VULN|2ASPD|2CDMG|1TLV|1DUR	17CDMG|27ASPD|3DUR|4RPLT|5DUST|678VULN|7BPWR|9TLV|aRCR
77	21612 37253	1	   	258.58	DCR|3VULN|3DUR|2ASPD	1RMIN|259DUR|39ASPD|4MBVNT|679VULN|8RCR|9BPWR|aLIT
78	21632 32253	1	   	258.58	DCR|3VULN|3DUR|2ASPD	1RMIN|259DUR|39ASPD|469VULN|7MBVNT|8RCR|9BPWR|aLIT
79	23612 37253	2	   	258.58	DCR|3VULN|3DUR|2ASPD	1RMIN|259DUR|39ASPD|4MBVNT|679VULN|8RCR|9BPWR|aLIT
80	23625 32253	4	   	258.58	DCR|3VULN|3DUR|2ASPD	1RMIN|239DUR|469VULN|59ASPD|7MBVNT|8RCR|9BPWR|aLIT
81	23632 32253	2	   	258.58	DCR|3VULN|3DUR|2ASPD	1RMIN|259DUR|39ASPD|469VULN|7MBVNT|8RCR|9BPWR|aLIT
82	63331 35352	7	   	258.44	DCR|4VULN|2DUR|2CDMG	16CDMG|2LWND|37DUR|469aVULN|5RCVC|6BPWR|8RCR
83	41312 36243	3	   	258.43	DCR|3VULN|3DUR|2ASPD|1SELL	1SELL|29ASPD|359DUR|4RPLT|679VULN|8RCR|9BPWR|aLIT
84	41343 32622	6	   	258.33	DCR|2VULN|3DMG|3ASPD|1DUR|1SELL	1SELL|269ASPD|3DUR|49VULN|569DMG|69BPWR|7RPLT|8RCR|aFEWX
85	41343 32623	6	   	258.33	DCR|2VULN|3DMG|3ASPD|1DUR|1SELL	1SELL|269ASPD|3DUR|49VULN|569DMG|69BPWR|7RPLT|8RCR|aRCVC
86	23113 32544	4	 * 	258.19	DCR|3VULN|2DUR|3CDMG|1TLV	13RMIN|29DUR|4TLV|569VULN|789CDMG|9BPWR|aRCR
87	61112 21623	2	   	258.19	DCR|3VULN|3ASPD|3CDMG|1DUR	17aCDMG|27aASPD|3BEXP|4RPLT|5DUR|67aVULN|7aBPWR|8RCR|9TBNT
88	61112 21643	2	   	258.19	DCR|3VULN|3ASPD|3CDMG|1DUR	17aCDMG|27aASPD|3BEXP|4RPLT|5DUR|67aVULN|7aBPWR|8RCR|9BBNT
89	61212 21623	2	   	258.19	DCR|3VULN|3ASPD|3CDMG|1DUR	17aCDMG|27aASPD|3FEWX|4RPLT|5DUR|67aVULN|7aBPWR|8RCR|9TBNT
90	61212 21643	2	   	258.19	DCR|3VULN|3ASPD|3CDMG|1DUR	17aCDMG|27aASPD|3FEWX|4RPLT|5DUR|67aVULN|7aBPWR|8RCR|9BBNT
91	61412 21623	3	   	258.19	DCR|3VULN|3ASPD|3CDMG|1DUR	17aCDMG|27aASPD|3BEXP|4RPLT|5DUR|67aVULN|7aBPWR|8RCR|9TBNT
92	61611 11471	2	   	258.12	DCR|3VULN|3CDMG|2ASPD|1TLV|1AART	138CDMG|28ASPD|478VULN|5AART|6MBVNT|8BPWR|9RCR|aTLV
93	61311 21623	3	   	258.09	DCR|3VULN|3ASPD|3CDMG|1DUR	17aCDMG|27aASPD|3DUR|4RPLT|5DUST|67aVULN|7aBPWR|8RCR|9TBNT
94	61311 21643	3	   	258.09	DCR|3VULN|3ASPD|3CDMG|1DUR	17aCDMG|27aASPD|3DUR|4RPLT|5DUST|67aVULN|7aBPWR|8RCR|9BBNT
95	23541 21633	10	 * 	257.91	DCR|5VULN|2DUR	1RMIN|2aDUR|3468aVULN|5aDUST|7RCR|9RCVC|aBPWR
96	23541 31633	10	   	257.91	DCR|5VULN|2DUR	1RMIN|2aDUR|3468aVULN|56aDUST|6aBPWR|7RCR|9RCVC
97	23553 52313	4	   	257.66	DCR|3VULN|3DUR|2LIT|1CDMG	1RMIN|26aDUR|35aVULN|4MLV|7CDMG|8RCR|9aLIT|aBPWR
98	62413 22324	6	   	257.64	DCR|2VULN|2DMG|2DUR|2CDMG|1ASPD	19CDMG|26DUR|39DMG|4BEXP|5ASPD|7RPLT|89VULN|9BPWR|aRCR
99	23523 52313	4	   	257.56	DCR|3VULN|3DUR|2LIT|1CDMG	1RMIN|26aDUR|35aVULN|4ERES|7CDMG|8RCR|9aLIT|aBPWR
100	23525 52313	5	   	257.56	DCR|3VULN|3DUR|2LIT|1CDMG	1RMIN|26aDUR|35aVULN|4ERES|7CDMG|8RCR|9aLIT|aBPWR
101	23626 62313	5	   	257.56	DCR|3VULN|3DUR|2LIT|1CDMG	1RMIN|23aDUR|46aVULN|5ERES|7CDMG|8RCR|9aLIT|aBPWR
102	61633 36233	6	   	257.51	DCR|3VULN|2DMG|2ASPD|1CDMG	1CDMG|26ASPD|39MLV|47DMG|56aVULN|6BPWR|8RCR
103	22221 23527	3	   	257.42	DCR|3VULN|3LIT|1DMG|1TLV|1DUR	1RMIN|2TLV|356LIT|456VULN|56BPWR|7DMG|8RCR|9MBVNT|aDUR
104	22221 23556	3	   	257.42	DCR|3VULN|3LIT|1DMG|1TLV|1DUR	1RMIN|2TLV|356LIT|456VULN|56BPWR|7DMG|8RCR|9LEGI|aDUR
105	22221 23565	3	   	257.42	DCR|3VULN|3LIT|1DMG|1TLV|1DUR	1RMIN|2TLV|356LIT|456VULN|56BPWR|7DMG|8RCR|9TBNT|aDUR
106	66413 32323	3	   	257.40	DCR|4VULN|1DMG|1TLV|1CDMG	1CDMG|289aVULN|3DMG|4RPLT|5TBNT|6RCR|7TLV
107	54221 23163	3	   	257.33	DCR|4VULN|3LIT|1DMG|1AART	12LWND|356LIT|456aVULN|56BPWR|7DMG|8AART|9RCR
