0	Index      	 *	Score 	Summary	Detail	
56	54521 11323	   	195.13	ACR|1BASARM|1VULN|2BEXP|1ASPD	1BELT|2VULN|38BEXP|4RCR|5NUKE|6RMIN|7BASARM|9ASPD|aFEWX
57	41633 23123	 * 	195.03	ACR|1BASARM|2BEXP|1VULN|1DMG	1MLV|2DLOT|3LIT|4RCR|5AAC|6DMG|7VULN|8BASARM|9aBEXP
58	22161 32514	   	194.09	ACR|1BASARM|2DMG|1AART|1CDMG	12DMG|3AEFBLL|4RMIN|5RCR|6DUST|7RPLT|8AART|9CDMG|aBASARM
59	22154 21633	   	193.89	ACR|1BASARM|2DMG|1VULN|1BEXP	12DMG|3AEFBLL|47DUST|5RCR|6VULN|8AEMAG|9BASARM|aBEXP
60	14322 32112	   	193.60	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART	1BEXP|2VULN|3LIT|4ERES|5RCR|6RCVC|7AART|8BASARM|9LWND|aASPD
61	16121 25631	   	192.81	ACR|1BASARM|2BEXP|1ASPD|1VULN	13BEXP|26AEFBLL|4RCVC|5RCR|7ASPD|8AEMAG|9BASARM|aVULN
62	22154 23335	   	192.80	ACR|2VULN|1BASARM|2DMG	12DMG|3AEFBLL|48DUST|5RCR|67VULN|9BASARM|aBELT
63	22154 23336	   	192.80	ACR|2VULN|1BASARM|2DMG	12DMG|3AEFBLL|48DUST|5RCR|67VULN|9BASARM|aDUR
64	25534 62242	   	192.70	ACR|2VULN|2DMG|2BEXP|1AART	17DMG|2LEGI|3MBVNT|47BEXP|5RCR|67VULN|7BPWR|8RCVC|9CGEN|aAART
65	22154 23331	   	192.70	ACR|2VULN|1BASARM|2DMG	12DMG|3aAEFBLL|48DUST|5RCR|67VULN|9BASARM
66	22154 23332	   	192.70	ACR|2VULN|1BASARM|2DMG	12DMG|3AEFBLL|48DUST|5RCR|67VULN|9BASARM|aLEGI
67	22154 23334	   	192.70	ACR|2VULN|1BASARM|2DMG	12DMG|3AEFBLL|48DUST|5RCR|67VULN|9BASARM|aAEMAG
68	22154 23631	   	192.70	ACR|2VULN|1BASARM|2DMG	12DMG|3aAEFBLL|4DUST|5RCR|67VULN|8AEMAG|9BASARM
69	22154 23632	   	192.70	ACR|2VULN|1BASARM|2DMG	12DMG|3AEFBLL|4DUST|5RCR|67VULN|8AEMAG|9BASARM|aLEGI
70	22454 23331	   	192.70	ACR|2VULN|1BASARM|2DMG	12DMG|3AEMAG|48DUST|5RCR|67VULN|9BASARM|aAEFBLL
71	22454 23332	   	192.70	ACR|2VULN|1BASARM|2DMG	12DMG|3AEMAG|48DUST|5RCR|67VULN|9BASARM|aLEGI
72	31544 12313	 * 	192.07	ACR|2ASPD|2BEXP|1DMG|2CDMG	1AAC|27BEXP|37CDMG|4RCR|57ASPD|6MDPS|7BPWR|8FEWX|9RMIN|aDMG
73	16121 13122	 * 	191.74	ACR|1BASARM|3BEXP|1DMG	13aBEXP|2AEFBLL|4RCVC|5RCR|68ERES|7DMG|9BASARM
74	16121 14122	 * 	191.74	ACR|1BASARM|3BEXP|1ASPD	13aBEXP|2AEFBLL|4RCVC|5RCR|68ERES|7ASPD|9BASARM
75	16121 25633	   	191.74	ACR|1BASARM|3BEXP|1ASPD	13aBEXP|26AEFBLL|4RCVC|5RCR|7ASPD|8AEMAG|9BASARM
76	54521 11112	   	191.64	ACR|1BASARM|2VULN|1DMG|1BEXP	1BELT|2aVULN|3BEXP|4RCR|5NUKE|6RMIN|7BASARM|8LHND|9DMG
77	54521 11221	 * 	191.64	ACR|2VULN|1BASARM|1ASPD|1BEXP	1BELT|28VULN|3BEXP|4RCR|5NUKE|6RMIN|7BASARM|9ASPD|aCGEN
78	54521 11222	   	191.64	ACR|2VULN|1BASARM|1ASPD|1BEXP	1BELT|28VULN|3BEXP|4RCR|5NUKE|6RMIN|7BASARM|9ASPD|aZMB
79	54521 11223	   	191.64	ACR|2VULN|1BASARM|1ASPD|1BEXP	1BELT|28VULN|3BEXP|4RCR|5NUKE|6RMIN|7BASARM|9ASPD|aFEWX
