0	Index      	 *	Score 	Summary	Detail	
84	16234 32315	 * 	171.12	DCR|3VULN|1AART|2ZMB|1CDMG	19DUST|2CDMG|3AART|4RPLT|59aVULN|6BELT|7RCR|89ZMB|9BPWR
85	43131 51151	 * 	170.92	DCR|2VULN|1AART|1DMG|3DUR|1ASPD	19LHND|2RCVC|3DMG|4AART|579DUR|69VULN|8RCR|9BPWR|aASPD
86	16141 33125	   	170.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3RCR|4RPLT|5ERES|67VULN|8ZMB|9AART|aDMG
87	53231 51151	   	170.62	DCR|2VULN|1AART|1DMG|3DUR|1ASPD	19BEXP|2DMG|3RCVC|4AART|579DUR|69VULN|8RCR|9BPWR|aASPD
88	63231 51151	   	170.62	DCR|2VULN|1AART|1DMG|3DUR|1ASPD	19FEWX|2DMG|3RCVC|4AART|579DUR|69VULN|8RCR|9BPWR|aASPD
89	66223 51222	   	170.01	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1FEWX|2CDMG|3AART|47DMG|59CGEN|6RCR|8VULN|aDUR
90	66223 51231	   	169.91	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1FEWX|2CDMG|3AART|47DMG|5CGEN|6RCR|8VULN|9DUST|aDUR
91	35121 12151	   	169.91	DCR|2DMG|1AART|1VULN|2ASPD|2DUR	1DMSP|29DUR|39DMG|4ERES|5VULN|69ASPD|7RCR|8AART|9BPWR|aLIT
92	35121 12153	   	169.91	DCR|2DMG|1AART|1VULN|2ASPD|2DUR	1DMSP|29DUR|39DMG|4ERES|5VULN|69ASPD|7RCR|8AART|9BPWR|aLHND
93	35121 12155	   	169.91	DCR|2DMG|1AART|1VULN|2ASPD|2DUR	1DMSP|29DUR|39DMG|4ERES|5VULN|69ASPD|7RCR|8AART|9BPWR|aMGNSTR
94	16224 51232	   	169.71	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	19DUST|2CDMG|3AART|47DMG|5ERES|6RCR|8VULN|aDUR
95	46132 11622	   	169.53	ACR|3DMG|2VULN|1CDMG	1478LHND|2CDMG|3RCR|58VULN|689DMG|8BPWR|aBELT
96	32613 64232	   	169.48	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DMSP|2CDMG|3DUR|4ZMB|5VULN|6FEWX|7RCR|8aAART|9DMG
97	15334 31621	 * 	169.46	ACR|1AART|1VULN|1DMG|2CDMG|1ZMB|1ASPD	1DUST|2LIT|3RCR|4AART|5ASPD|6DMG|7VULN|8ZMB|9aCDMG
98	15334 31341	 * 	169.44	ACR|2AART|2DMG|1VULN|1ASPD	1DUST|2LIT|3RCR|4aAART|5ASPD|69DMG|7VULN|8RCVC
99	46132 11623	   	169.43	ACR|3DMG|2VULN|1CDMG	1478LHND|2CDMG|3RCR|58VULN|689DMG|8BPWR|aBASHEA
100	46132 11634	   	169.43	ACR|3VULN|2DMG|1CDMG	1478LHND|2CDMG|3RCR|58aVULN|68DMG|8BPWR|9MBVNT
101	66223 52213	 * 	169.39	DCR|2DMG|1AART|1VULN|2CDMG	1FEWX|27CDMG|3AART|4aDMG|5CGEN|6RCR|8VULN|9MLV
102	46152 11332	   	169.33	ACR|3VULN|2DMG|1CDMG	17LHND|2CDMG|3RCR|459VULN|6aDMG|8CGEN
103	46132 16222	   	169.33	ACR|3DMG|2VULN|1CDMG	148LHND|2CDMG|3RCR|57VULN|69aDMG
104	46132 16332	   	169.33	ACR|3VULN|2DMG|1CDMG	14LHND|2CDMG|3RCR|579VULN|6aDMG|8CGEN
105	46152 11222	   	169.33	ACR|3DMG|2VULN|1CDMG	178LHND|2CDMG|3RCR|45VULN|69aDMG
106	66122 12314	   	169.33	ACR|3VULN|2DMG|1CDMG	147FEWX|2CDMG|3RCR|589VULN|6aDMG
107	66122 16323	   	169.33	ACR|3VULN|2DMG|1CDMG	14FEWX|2CDMG|3RCR|578VULN|69DMG|aBEXP
108	66122 36322	   	169.33	ACR|3VULN|2DMG|1CDMG	14FEWX|2CDMG|3RCR|578VULN|6RMIN|9aDMG
109	13564 33311	   	169.27	DCR|3DMG|2VULN|1AART	17DUST|237DMG|4CGEN|5BASHEA|67VULN|7BPWR|8ERES|9AART|aRCR
110	46142 13232	   	169.23	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2CDMG|3RCR|4RPLT|5AART|69VULN|7LIT|8DUR|aDMG
111	46152 11132	   	169.23	ACR|3VULN|2DMG|1CDMG	17LHND|2CDMG|3RCR|459VULN|6aDMG|8TLV
112	46132 16132	   	169.23	ACR|3VULN|2DMG|1CDMG	14LHND|2CDMG|3RCR|579VULN|6aDMG|8TLV
113	66122 16132	   	169.23	ACR|3VULN|2DMG|1CDMG	14FEWX|2CDMG|3RCR|579VULN|6aDMG|8TLV
114	66122 16321	   	169.23	ACR|3VULN|2DMG|1CDMG	14FEWX|2CDMG|3RCR|578VULN|69DMG|aVENICY
115	16224 52213	   	169.19	DCR|2DMG|1AART|1VULN|2CDMG	1DUST|27CDMG|3AART|4aDMG|5ERES|6RCR|8VULN|9MLV
116	53363 12321	 * 	169.04	DCR|5VULN|1DMG|1ASPD	1BEXP|2DMG|3589aVULN|4ERES|6ASPD|7RCR
117	13363 12321	   	168.95	DCR|5VULN|1DMG|1ASPD	1DUST|2DMG|3589aVULN|4ERES|6ASPD|7RCR
118	46142 11321	 * 	168.89	ACR|3VULN|1AART|1CDMG|1ZMB	1LHND|2CDMG|3RCR|4RPLT|5AART|689VULN|7LWND|aZMB
119	16221 21422	   	168.82	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2CDMG|3AART|49DMG|5FEWX|6VULN|7RCR|8DUR|aRCVC
120	16263 21422	   	168.82	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2CDMG|3AART|4FEWX|5VULN|69DMG|7RCR|8DUR|aRCVC
