0	Index      	 *	Score 	Summary	Detail	
323	55333 31522	 * 	162.89	ACR|2DMG|1AART|1VULN|1CDMG	1BEXP|2LIT|3RCR|4AART|5LWND|6LHND|78DMG|9CDMG|aVULN
324	55333 31532	 * 	162.89	ACR|2DMG|1AART|1VULN|1FLTHEA	1BEXP|2LIT|3RCR|4AART|5LWND|6LHND|78DMG|9FLTHEA|aVULN
325	65333 31522	   	162.89	ACR|2DMG|1AART|1VULN|1CDMG	1FEWX|2LIT|3RCR|4AART|5LWND|6LHND|78DMG|9CDMG|aVULN
326	65333 31532	   	162.89	ACR|2DMG|1AART|1VULN|1FLTHEA	1FEWX|2LIT|3RCR|4AART|5LWND|6LHND|78DMG|9FLTHEA|aVULN
327	13443 22623	   	162.89	DCR|2VULN|2DMG|1CDMG|2DUR	1DUST|26DMG|3ERES|48DUR|59VULN|7RCR|aCDMG
328	16224 51212	   	162.88	DCR|2DMG|1AART|1VULN|1CDMG	1DUST|2CDMG|3AART|47DMG|5ERES|6RCR|8VULN|9aMLV
329	16224 51222	   	162.88	DCR|2DMG|1AART|1VULN|1CDMG	1DUST|2CDMG|3AART|47DMG|5ERES|6RCR|8VULN|9CGEN|aMLV
330	16224 51223	   	162.88	DCR|2DMG|1AART|1VULN|1CDMG	1DUST|2CDMG|3AART|47DMG|5ERES|6RCR|8VULN|9CGEN|aFEWX
331	66223 51233	   	162.88	DCR|2DMG|1AART|1VULN|1CDMG	1FEWX|2CDMG|3AART|47DMG|5CGEN|6RCR|8VULN|9DUST|aTLV
332	16224 51211	   	162.78	DCR|2DMG|1AART|1VULN|1CDMG	1DUST|2CDMG|3AART|47DMG|5ERES|6RCR|8VULN|9MLV|aMBVNT
333	16224 51221	   	162.78	DCR|2DMG|1AART|1VULN|1CDMG	1DUST|2CDMG|3AART|47DMG|5ERES|6RCR|8VULN|9CGEN|aMBVNT
334	16224 51231	   	162.78	DCR|2DMG|1AART|1VULN|1CDMG	19DUST|2CDMG|3AART|47DMG|5ERES|6RCR|8VULN|aLHND
335	16224 51233	   	162.78	DCR|2DMG|1AART|1VULN|1CDMG	19DUST|2CDMG|3AART|47DMG|5ERES|6RCR|8VULN|aLIT
336	32323 14652	   	162.74	DCR|2DMG|1AART|1VULN|2CDMG|1SELL	1DMSP|28CDMG|38LWND|4LHND|5VULN|68DMG|7RCR|8BPWR|9SELL|aAART
337	16221 21412	   	162.68	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1DUST|2CDMG|39AART|4DMG|5FEWX|6VULN|7RCR|8DUR|aRCVC
338	16263 21412	   	162.68	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1DUST|2CDMG|39AART|4FEWX|5VULN|6DMG|7RCR|8DUR|aRCVC
339	43134 43233	   	162.56	DCR|2DMG|1AART|1VULN|2DUR	19LHND|2RCVC|39DMG|4AART|5CGEN|6LIT|7RCR|89DUR|9BPWR|aVULN
340	46222 21412	   	162.48	DCR|2VULN|1AART|1DMG|1CDMG	1LHND|2CDMG|3AART|4DMG|5DUST|69VULN|7RCR|8RCVC|aMLV
341	46222 21413	   	162.48	DCR|2VULN|1AART|1DMG|1CDMG	1LHND|2CDMG|3AART|4DMG|5DUST|69VULN|7RCR|8RCVC|aFEWX
342	16241 21413	   	162.48	DCR|2VULN|1AART|1DMG|1CDMG	1DUST|2CDMG|3AART|4MLV|5FEWX|69VULN|7RCR|8RCVC|aDMG
343	13341 32553	 * 	162.48	DCR|3VULN|1DMG|2ASPD|1CDMG	1aDUST|2DMG|36aVULN|4RMIN|5FEWX|7RCR|8CDMG|9aASPD|aBPWR
344	13262 62143	   	162.41	DCR|2VULN|2DMG|2ZMB|1DUR	1DUST|2aDMG|3RCVC|4CGEN|5ERES|6aVULN|7RCR|8DUR|9aZMB|aBPWR
345	15162 34133	 * 	162.41	DCR|2DMG|1AART|2ZMB|1CDMG|1DUR	1aDUST|2LIT|3AART|4aZMB|5BELT|6DUR|7RCR|8CDMG|9aDMG|aBPWR
346	46222 21411	   	162.38	DCR|2VULN|1AART|1DMG|1CDMG	1LHND|2CDMG|3AART|4DMG|5DUST|69VULN|7RCR|8RCVC|aMBVNT
347	11326 33648	   	162.38	DCR|3VULN|1AART|1DMG	1DUST|2ERES|38aVULN|4CGEN|5MBVNT|6RCR|7AART|9DMG
348	23142 11134	   	162.32	ACR|3VULN|1AART|1CDMG|1DUR	1TLV|2DUR|3LHND|4RCR|5AART|69aVULN|7LWND|8CDMG
349	53363 12125	   	162.31	DCR|2VULN|2AART|1DMG|1ASPD	1BEXP|2DMG|35VULN|4ERES|6ASPD|7RCR|8aAART|9CGEN
350	53521 12125	   	162.31	DCR|2DMG|2AART|1VULN|1ASPD	1BEXP|23DMG|4ERES|5VULN|6ASPD|7RCR|8aAART|9CGEN
351	53531 21111	   	162.31	DCR|2AART|2DMG|1VULN|1DUR	1BEXP|23DMG|47AART|5DUR|6DUST|8RCR|9VULN|aRPLT
352	53531 21113	   	162.31	DCR|2AART|2DMG|1VULN|1DUR	1BEXP|23DMG|47AART|5DUR|6DUST|8RCR|9VULN|aCGEN
353	53531 21114	   	162.31	DCR|2AART|2DMG|1VULN|1DUR	1BEXP|23DMG|47AART|5DUR|6DUST|8RCR|9VULN|aLHND
354	53531 21136	   	162.31	DCR|2AART|2DMG|1VULN|1DUR	19BEXP|23DMG|47AART|5DUR|6DUST|8RCR|aVULN
355	63521 12125	   	162.31	DCR|2DMG|2AART|1VULN|1ASPD	1FEWX|23DMG|4ERES|5VULN|6ASPD|7RCR|8aAART|9CGEN
356	63531 21111	   	162.31	DCR|2AART|2DMG|1VULN|1DUR	1FEWX|23DMG|47AART|5DUR|6DUST|8RCR|9VULN|aRPLT
357	63531 21113	   	162.31	DCR|2AART|2DMG|1VULN|1DUR	1FEWX|23DMG|47AART|5DUR|6DUST|8RCR|9VULN|aCGEN
358	63531 21114	   	162.31	DCR|2AART|2DMG|1VULN|1DUR	1FEWX|23DMG|47AART|5DUR|6DUST|8RCR|9VULN|aLHND
359	63234 43233	   	162.26	DCR|2DMG|1AART|1VULN|2DUR	19FEWX|29DMG|3RCVC|4AART|5CGEN|6LIT|7RCR|89DUR|9BPWR|aVULN
360	13363 12125	   	162.21	DCR|2VULN|2AART|1DMG|1ASPD	1DUST|2DMG|35VULN|4ERES|6ASPD|7RCR|8aAART|9CGEN
361	13521 12125	   	162.21	DCR|2DMG|2AART|1VULN|1ASPD	1DUST|23DMG|4ERES|5VULN|6ASPD|7RCR|8aAART|9CGEN
362	53363 12115	   	162.21	DCR|2VULN|2AART|1DMG|1ASPD	1BEXP|2DMG|35VULN|4ERES|6ASPD|7RCR|8aAART|9TLV
363	53521 12115	   	162.21	DCR|2DMG|2AART|1VULN|1ASPD	1BEXP|23DMG|4ERES|5VULN|6ASPD|7RCR|8aAART|9TLV
364	53531 21112	   	162.21	DCR|2AART|2DMG|1VULN|1DUR	1BEXP|23DMG|47AART|5DUR|6aDUST|8RCR|9VULN
365	53531 21115	   	162.21	DCR|2AART|2DMG|1VULN|1DUR	1BEXP|23DMG|47AART|5DUR|6DUST|8RCR|9VULN|aNUKE
366	63521 12115	   	162.21	DCR|2DMG|2AART|1VULN|1ASPD	1FEWX|23DMG|4ERES|5VULN|6ASPD|7RCR|8aAART|9TLV
367	63531 21112	   	162.21	DCR|2AART|2DMG|1VULN|1DUR	1FEWX|23DMG|47AART|5DUR|6aDUST|8RCR|9VULN
368	63531 21115	   	162.21	DCR|2AART|2DMG|1VULN|1DUR	1FEWX|23DMG|47AART|5DUR|6DUST|8RCR|9VULN|aNUKE
369	46142 12321	   	162.19	ACR|2VULN|1AART|1DMG|1CDMG	1LHND|2CDMG|3RCR|4RPLT|5AART|6aVULN|7ERES|8BELT|9DMG
370	46142 13332	   	162.19	ACR|2VULN|1AART|1DMG|1CDMG	1LHND|2CDMG|3RCR|4RPLT|5AART|69VULN|7LIT|8DUST|aDMG
371	13363 12115	   	162.11	DCR|2VULN|2AART|1DMG|1ASPD	1DUST|2DMG|35VULN|4ERES|6ASPD|7RCR|8aAART|9TLV
372	13521 12115	   	162.11	DCR|2DMG|2AART|1VULN|1ASPD	1DUST|23DMG|4ERES|5VULN|6ASPD|7RCR|8aAART|9TLV
373	53323 32321	   	162.11	DCR|5VULN|1DMG	1BEXP|2DMG|3589aVULN|4CGEN|6ERES|7RCR
374	53333 32321	   	162.11	DCR|5VULN|1DMG	1BEXP|2DMG|3589aVULN|4MLV|6ERES|7RCR
375	53343 32321	   	162.11	DCR|5VULN|1DMG	1BEXP|2DMG|3589aVULN|4RMIN|6ERES|7RCR
376	53363 42321	   	162.11	DCR|5VULN|1DMG	1BEXP|2DMG|3589aVULN|4ERES|6CGEN|7RCR
377	13331 32326	   	162.11	DCR|5VULN|1DMG	1DUST|2DMG|3689aVULN|4MLV|5FEWX|7RCR
378	11343 52225	   	162.09	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2ERES|36VULN|4RCR|5TLV|7ZMB|8AART|9DUR|aDMG
379	13234 43233	   	162.06	DCR|2DMG|1AART|1VULN|2DUR	19DUST|29DMG|3RCVC|4AART|5CGEN|6LIT|7RCR|89DUR|9BPWR|aVULN
380	15534 31472	   	162.01	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2LIT|3MBVNT|4AART|56DMG|7CDMG|8DUR|9RCR|aVULN
381	13323 32321	   	162.01	DCR|5VULN|1DMG	1DUST|2DMG|3589aVULN|4CGEN|6ERES|7RCR
382	13333 32321	   	162.01	DCR|5VULN|1DMG	1DUST|2DMG|3589aVULN|4MLV|6ERES|7RCR
383	13343 32321	   	162.01	DCR|5VULN|1DMG	1DUST|2DMG|3589aVULN|4RMIN|6ERES|7RCR
384	13363 42321	   	162.01	DCR|5VULN|1DMG	1DUST|2DMG|3589aVULN|4ERES|6CGEN|7RCR
385	53353 32321	   	162.01	DCR|5VULN|1DMG	1BEXP|2DMG|3589aVULN|4TLV|6ERES|7RCR
386	13353 32321	   	161.91	DCR|5VULN|1DMG	1DUST|2DMG|3589aVULN|4TLV|6ERES|7RCR
387	53363 12161	   	161.87	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1BEXP|2DMG|35VULN|4ERES|6ASPD|7RCR|8AART|9LHND|aZMB
388	53521 12161	   	161.87	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1BEXP|23DMG|4ERES|5VULN|6ASPD|7RCR|8AART|9LHND|aZMB
389	63521 12161	   	161.87	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1FEWX|23DMG|4ERES|5VULN|6ASPD|7RCR|8AART|9LHND|aZMB
390	13341 22651	   	161.87	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1DUST|26DMG|3VULN|4RMIN|5FEWX|7RCR|8AART|9ASPD|aZMB
391	13341 32651	   	161.87	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DUST|2DMG|36VULN|4RMIN|5FEWX|7RCR|8AART|9ASPD|aZMB
392	13432 62143	   	161.81	DCR|2VULN|2DMG|2ZMB|1DUR	1DUST|2aDMG|3ERES|4CGEN|5RCVC|6aVULN|7RCR|8DUR|9aZMB|aBPWR
393	13363 12161	   	161.77	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DUST|2DMG|35VULN|4ERES|6ASPD|7RCR|8AART|9LWND|aZMB
394	13521 12161	   	161.77	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1DUST|23DMG|4ERES|5VULN|6ASPD|7RCR|8AART|9LWND|aZMB
395	13531 22116	   	161.77	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	16DUST|23DMG|4AART|5DUR|7LHND|8RCR|9VULN|aZMB
396	53363 12141	   	161.77	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1BEXP|2DMG|35VULN|4ERES|6ASPD|7RCR|8AART|9DUST|aZMB
397	53521 12141	   	161.77	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1BEXP|23DMG|4ERES|5VULN|6ASPD|7RCR|8AART|9DUST|aZMB
398	53526 12111	   	161.77	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1BEXP|23DMG|4ERES|5DUST|6ASPD|7RCR|8AART|9VULN|aZMB
399	63521 12141	   	161.77	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1FEWX|23DMG|4ERES|5VULN|6ASPD|7RCR|8AART|9DUST|aZMB
400	63526 12111	   	161.77	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1FEWX|23DMG|4ERES|5DUST|6ASPD|7RCR|8AART|9VULN|aZMB
401	23531 54113	   	161.71	DCR|2VULN|2DMG|2CDMG|1DUR	19TLV|2DUR|39DMG|4CGEN|5aVULN|6RPLT|79CDMG|8RCR|9BPWR
402	46132 51312	   	161.69	ACR|2VULN|1AART|1DMG|1CDMG	14LHND|2CDMG|3RCR|59VULN|6AART|7DMG|8FEWX|aMLV
403	46132 51313	   	161.69	ACR|2VULN|1AART|1DMG|1CDMG	14LHND|2CDMG|3RCR|59VULN|6AART|7DMG|8aFEWX
404	46132 53331	   	161.69	ACR|2VULN|1AART|1DMG|1CDMG	14aLHND|2CDMG|3RCR|57VULN|6AART|8CGEN|9DMG
405	46132 53333	   	161.69	ACR|2VULN|1AART|1DMG|1CDMG	14LHND|2CDMG|3RCR|57VULN|6AART|8CGEN|9DMG|aBEXP
406	53221 32326	   	161.68	DCR|3VULN|1AART|1DMG	1BEXP|2DMG|3RCVC|46ERES|589VULN|7RCR|aAART
407	13343 52125	   	161.66	DCR|2VULN|2DMG|1FLTHEA|1ZMB	1DUST|29DMG|35VULN|4RMIN|6FLTHEA|7RCR|8TLV|aZMB
408	13343 52325	   	161.66	DCR|2VULN|2DMG|1FLTHEA|1ZMB	1DUST|29DMG|35VULN|4RMIN|6FLTHEA|7RCR|8ERES|aZMB
409	13521 42343	   	161.66	DCR|2VULN|2DMG|1CDMG|1ZMB	1DUST|23DMG|4ERES|58VULN|6CGEN|7RCR|9ZMB|aCDMG
410	13521 42353	   	161.66	DCR|2VULN|2DMG|1CDMG|1ZMB	1DUST|23DMG|4ERES|58VULN|6CGEN|7RCR|9CDMG|aZMB
411	13561 32343	   	161.66	DCR|2VULN|2DMG|1CDMG|1ZMB	1DUST|23DMG|4CGEN|58VULN|6ERES|7RCR|9ZMB|aCDMG
412	13561 32353	   	161.66	DCR|2VULN|2DMG|1CDMG|1ZMB	1DUST|23DMG|4CGEN|58VULN|6ERES|7RCR|9CDMG|aZMB
413	63252 33233	   	161.66	DCR|2DMG|1AART|1VULN|2DUR	19FEWX|29DMG|3RCVC|4LIT|5AART|6CGEN|7RCR|89DUR|9BPWR|aVULN
414	63533 52123	   	161.61	DCR|2VULN|2DMG|1AART	1FEWX|23DMG|4AART|57LHND|6aVULN|8RCR|9CGEN
415	53521 12621	   	161.61	DCR|3VULN|2DMG|1ASPD	1BEXP|23DMG|4ERES|59aVULN|6ASPD|7RCR|8RCVC
416	63521 12621	   	161.61	DCR|3VULN|2DMG|1ASPD	1FEWX|23DMG|4ERES|59aVULN|6ASPD|7RCR|8RCVC
417	46132 51311	   	161.59	ACR|2VULN|1AART|1DMG|1CDMG	14LHND|2CDMG|3RCR|59VULN|6AART|7DMG|8FEWX|aMBVNT
418	16222 21424	   	161.56	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1MSE	1DUST|2CDMG|3AART|49DMG|5MSE|6aVULN|7RCR|8DUR
419	13341 22635	   	161.51	DCR|2VULN|2DMG|1AART	1DUST|26DMG|3aVULN|4RMIN|5FEWX|7RCR|8AART|9BELT
420	63533 52113	   	161.51	DCR|2VULN|2DMG|1AART	1FEWX|23DMG|4AART|57LHND|6aVULN|8RCR|9TLV
421	13521 12621	   	161.51	DCR|3VULN|2DMG|1ASPD	1DUST|23DMG|4ERES|59aVULN|6ASPD|7RCR|8RCVC
422	11343 52125	   	161.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2ERES|36VULN|4RCR|5TLV|7ZMB|8DUR|9AART|aDMG
423	13252 33233	   	161.46	DCR|2DMG|1AART|1VULN|2DUR	19DUST|29DMG|3RCVC|4LIT|5AART|6CGEN|7RCR|89DUR|9BPWR|aVULN
424	13252 63232	   	161.46	DCR|2DMG|1AART|1VULN|2DUR	19DUST|29DMG|3RCVC|4LIT|5AART|6MLV|7RCR|89DUR|9BPWR|aVULN
425	13535 26123	   	161.41	DCR|2VULN|2DMG|1AART	16DUST|23DMG|4AART|5FEWX|7aVULN|8RCR|9CGEN
426	63521 42213	   	161.41	DCR|2VULN|2DMG|1AART	1FEWX|23DMG|4ERES|5aVULN|6CGEN|7RCR|8AART|9TLV
427	63532 26123	   	161.41	DCR|2VULN|2DMG|1AART	1FEWX|23DMG|4AART|56DUST|7aVULN|8RCR|9CGEN
428	63561 32213	   	161.41	DCR|2VULN|2DMG|1AART	1FEWX|23DMG|4CGEN|5aVULN|6ERES|7RCR|8AART|9TLV
429	13341 22623	   	161.41	DCR|2VULN|2DMG|1AART	19DUST|26DMG|3aVULN|4RMIN|5FEWX|7RCR|8AART
430	13341 32616	   	161.41	DCR|2VULN|2DMG|1AART	1DUST|2aDMG|36VULN|4RMIN|5FEWX|7RCR|8AART|9BASICY
431	13345 22623	   	161.41	DCR|2VULN|2DMG|1AART	19DUST|26DMG|3aVULN|4RMIN|5BEXP|7RCR|8AART
432	43121 12251	   	161.38	DCR|2DMG|1AART|1VULN|2ASPD	19LHND|2RCVC|39DMG|4ERES|5VULN|69ASPD|7RCR|8AART|9BPWR|aLIT
433	43121 12253	   	161.38	DCR|2DMG|1AART|1VULN|2ASPD	19aLHND|2RCVC|39DMG|4ERES|5VULN|69ASPD|7RCR|8AART|9BPWR
434	43121 12255	   	161.38	DCR|2DMG|1AART|1VULN|2ASPD	19LHND|2RCVC|39DMG|4ERES|5VULN|69ASPD|7RCR|8AART|9BPWR|aMGNSTR
435	16221 21411	   	161.37	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1DUST|2CDMG|39AART|4DMG|5aFEWX|6VULN|7RCR|8DUR
436	16221 21415	   	161.37	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1DUST|2CDMG|39AART|4DMG|5FEWX|6VULN|7RCR|8DUR|aCGEN
437	16263 21411	   	161.37	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1DUST|2CDMG|39AART|4aFEWX|5VULN|6DMG|7RCR|8DUR
438	56222 21236	   	161.37	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD	1BEXP|2CDMG|39AART|4DMG|5DUST|6VULN|7RCR|8LIT|aASPD
439	56222 21411	   	161.37	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1BEXP|2CDMG|39AART|4DMG|5DUST|6VULN|7RCR|8DUR|aFEWX
440	56222 21413	   	161.37	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1BEXP|2CDMG|39AART|4DMG|5DUST|6VULN|7RCR|8DUR|aCGEN
441	53152 12136	   	161.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2DMG|37LHND|46VULN|5AART|8RCR|9DUR|aZMB
442	53152 22136	   	161.37	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1BEXP|26DMG|37LHND|4VULN|5AART|8RCR|9DUR|aZMB
443	63152 12136	   	161.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|2DMG|37LHND|46VULN|5AART|8RCR|9DUR|aZMB
444	63152 22136	   	161.37	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1FEWX|26DMG|37LHND|4VULN|5AART|8RCR|9DUR|aZMB
445	53521 34112	   	161.37	DCR|3DMG|2VULN|1ZMB	19BEXP|237DMG|469ERES|59VULN|8RCR|9BPWR|aZMB
446	63521 34112	   	161.37	DCR|3DMG|2VULN|1ZMB	19FEWX|237DMG|469ERES|59VULN|8RCR|9BPWR|aZMB
447	16111 46231	   	161.35	ACR|1AART|1VULN|1DMG|2CDMG|2DUR	1DUST|26CDMG|3RCR|4RMIN|5aDUR|7VULN|8AART|9DMG
448	31123 16168	   	161.35	DCR|2VULN|2DMG|1AART|1ASPD	1DMSP|29BEXP|39DMG|4ERES|5MBVNT|6ASPD|79VULN|8AART|9BPWR|aRCR
449	13535 26113	   	161.31	DCR|2VULN|2DMG|1AART	16DUST|23DMG|4AART|5FEWX|7aVULN|8RCR|9TLV
450	63532 26113	   	161.31	DCR|2VULN|2DMG|1AART	1FEWX|23DMG|4AART|56DUST|7aVULN|8RCR|9TLV
451	46232 14313	 * 	161.30	DCR|2VULN|1AART|2ASPD|1CDMG|1DUR	19LHND|2CDMG|3AART|4RPLT|59ASPD|69VULN|7RCR|8BELT|9BPWR|aDUR
452	66111 16232	   	161.29	ACR|2AART|1VULN|1DMG|1CDMG|1DUR	16FEWX|2CDMG|3RCR|4RMIN|5DUR|7VULN|8aAART|9DMG
453	63152 16123	   	161.28	DCR|3VULN|1AART|1DMG	1FEWX|2DMG|3LHND|46aVULN|5AART|7RCVC|8RCR|9CGEN
454	56222 21412	   	161.27	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1BEXP|2CDMG|39AART|4DMG|5DUST|6VULN|7RCR|8DUR|aERES
455	13153 42123	   	161.27	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1DUST|2aDMG|3LHND|4VULN|5DMSP|6ASPD|7RCR|8ZMB|9AART
456	13154 42123	   	161.27	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1DUST|2aDMG|35LHND|4VULN|6ASPD|7RCR|8ZMB|9AART
457	13152 12136	   	161.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2DMG|37LHND|46VULN|5AART|8RCR|9DUR|aZMB
458	13152 22136	   	161.27	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|26DMG|37LHND|4VULN|5AART|8RCR|9DUR|aZMB
459	53152 22151	   	161.21	DCR|2VULN|2DMG|1AART	19BEXP|26DMG|379LHND|49VULN|5AART|8RCR|9BPWR|aLIT
460	53152 22153	   	161.21	DCR|2VULN|2DMG|1AART	19BEXP|26DMG|379aLHND|49VULN|5AART|8RCR|9BPWR
461	63152 22151	   	161.21	DCR|2VULN|2DMG|1AART	19FEWX|26DMG|379LHND|49VULN|5AART|8RCR|9BPWR|aLIT
462	63152 22153	   	161.21	DCR|2VULN|2DMG|1AART	19FEWX|26DMG|379aLHND|49VULN|5AART|8RCR|9BPWR
463	16165 32232	   	161.19	ACR|2AART|1VULN|1DMG|1CDMG|1DUR	1DUST|2CDMG|3RCR|4DUR|5VULN|67CGEN|8aAART|9DMG
464	66131 16232	   	161.19	ACR|2AART|1VULN|1DMG|1CDMG|1DUR	16FEWX|2CDMG|3RCR|4ERES|5DUR|7VULN|8aAART|9DMG
465	63152 16113	   	161.18	DCR|3VULN|1AART|1DMG	1FEWX|2DMG|3LHND|46aVULN|5AART|7RCVC|8RCR|9TLV
466	13431 42123	   	161.17	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1DUST|2aDMG|3ERES|4CGEN|5VULN|6ASPD|7RCR|8ZMB|9AART
467	13443 22121	   	161.17	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|26DMG|3ERES|4DUR|5VULN|7RCR|8ZMB|9AART|aRPLT
468	13443 22123	   	161.17	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|26DMG|3ERES|4DUR|5VULN|7RCR|8ZMB|9AART|aLHND
469	13443 22126	   	161.17	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|26DMG|3ERES|4DUR|5VULN|7RCR|8ZMB|9AART|aCGEN
470	13443 32121	   	161.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2DMG|3ERES|4DUR|56VULN|7RCR|8ZMB|9AART|aRPLT
471	13443 32123	   	161.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2DMG|3ERES|4DUR|56VULN|7RCR|8ZMB|9AART|aLHND
472	13443 32126	   	161.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2DMG|3ERES|4DUR|56VULN|7RCR|8ZMB|9AART|aCGEN
473	13541 42122	   	161.17	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1DUST|23DMG|4LEGI|5VULN|6ASPD|7RCR|8ZMB|9AART|aFEWX
474	53526 12321	   	161.17	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1BEXP|23DMG|4ERES|5DUST|6ASPD|7RCR|8VULN|9AART|aZMB
475	63526 12321	   	161.17	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1FEWX|23DMG|4ERES|5DUST|6ASPD|7RCR|8VULN|9AART|aZMB
476	13521 34112	   	161.17	DCR|3DMG|2VULN|1ZMB	19DUST|237DMG|469ERES|59VULN|8RCR|9BPWR|aZMB
477	53521 12223	   	161.16	DCR|3DMG|1VULN|2ASPD|2DUR	1BEXP|23aDMG|4ERES|5VULN|6aASPD|7RCR|8LWND|9aDUR|aBPWR
478	13152 11325	   	161.12	DCR|3VULN|1AART|1DMG|1DUR	1DUST|2DMG|3LHND|469VULN|5AART|7DUR|8FEWX|aRCR
479	63152 11125	   	161.12	DCR|3VULN|1AART|1DMG|1DUR	1FEWX|2DMG|3LHND|469VULN|5AART|7DUR|8DUST|aRCR
480	53152 22152	   	161.11	DCR|2VULN|2DMG|1AART	19BEXP|26DMG|379LHND|49VULN|5AART|8RCR|9BPWR|aDUST
481	63152 22152	   	161.11	DCR|2VULN|2DMG|1AART	19FEWX|26DMG|379LHND|49VULN|5AART|8RCR|9BPWR|aDUST
482	66131 36232	   	161.09	ACR|2AART|1VULN|1DMG|1CDMG|1DUR	1FEWX|2CDMG|3RCR|46ERES|5DUR|7VULN|8aAART|9DMG
483	53221 12151	   	161.08	DCR|2DMG|1AART|1VULN|2ASPD	19BEXP|29DMG|3RCVC|4ERES|5VULN|69ASPD|7RCR|8AART|9BPWR|aLIT
484	53221 12153	   	161.08	DCR|2DMG|1AART|1VULN|2ASPD	19BEXP|29DMG|3RCVC|4ERES|5VULN|69ASPD|7RCR|8AART|9BPWR|aLHND
485	53221 12155	   	161.08	DCR|2DMG|1AART|1VULN|2ASPD	19BEXP|29DMG|3RCVC|4ERES|5VULN|69ASPD|7RCR|8AART|9BPWR|aMGNSTR
486	63221 12151	   	161.08	DCR|2DMG|1AART|1VULN|2ASPD	19FEWX|29DMG|3RCVC|4ERES|5VULN|69ASPD|7RCR|8AART|9BPWR|aLIT
487	63221 12153	   	161.08	DCR|2DMG|1AART|1VULN|2ASPD	19FEWX|29DMG|3RCVC|4ERES|5VULN|69ASPD|7RCR|8AART|9BPWR|aLHND
488	63221 12155	   	161.08	DCR|2DMG|1AART|1VULN|2ASPD	19FEWX|29DMG|3RCVC|4ERES|5VULN|69ASPD|7RCR|8AART|9BPWR|aMGNSTR
489	13443 22125	   	161.07	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|26DMG|3ERES|4DUR|5VULN|7RCR|8ZMB|9AART|aNUKE
490	13443 32125	   	161.07	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2DMG|3ERES|4DUR|56VULN|7RCR|8ZMB|9AART|aNUKE
491	56232 14111	   	161.03	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	19BEXP|2CDMG|3AART|4RPLT|5ASPD|6VULN|7RCR|8DMG|aZMB
492	63152 22123	   	161.01	DCR|2VULN|2DMG|1AART	1FEWX|26DMG|37LHND|4aVULN|5AART|8RCR|9CGEN
493	53521 12325	   	161.01	DCR|3VULN|2DMG|1ASPD	1BEXP|23DMG|4ERES|589VULN|6ASPD|7RCR|aRCVC
