0	Index      	 *	Score 	Summary	Detail	
80	13152 23551	   	183.37	DCR|3VULN|2DMG|1AART|1ZMB	14DMG|26aVULN|3MGNLIT|5LEGI|7ZMB|8AART|9RCR
81	36324 13315	 * 	183.06	ACR|2AART|2DMG|2CDMG|1VULN	1LWND|2RCR|3LHND|45AART|6aCDMG|78DMG|9VULN
82	36422 14233	   	182.86	ACR|2AART|2VULN|1DMG|2DUR|1ASPD	1LWND|2RCR|36AART|4ASPD|5aVULN|7DMG|89DUR
83	14123 43241	 * 	182.79	DCR|2DMG|1VULN|2FLTHEA|3DUR|1CDMG|1ZMB	17DMG|278DUR|3BASICY|4CDMG|57FLTHEA|6RCR|7BPWR|9ZMB|aVULN
84	13225 35432	 * 	182.59	3VULN|3DMG|3ZMB|1AART|1CDMG|1ASPD	178DMG|278VULN|3CDMG|4BEXP|578ZMB|6AART|78BPWR|9RMIN|aASPD
85	13151 13626	   	182.51	DCR|3VULN|2DMG|1AART|1DUR	14DMG|256VULN|36MGNLIT|6BPWR|7AART|8RCR|9BELT|aDUR
86	13151 13661	   	182.51	DCR|3VULN|2DMG|1AART|1ASPD	14DMG|256VULN|36MGNLIT|6BPWR|7AART|8RCR|9ASPD|aFEWX
87	13151 13663	   	182.51	DCR|3VULN|2DMG|1AART|1ASPD	14DMG|256VULN|36MGNLIT|6BPWR|7AART|8RCR|9ASPD|aCGEN
88	13225 35422	   	182.49	3VULN|3DMG|3ZMB|1AART|1CDMG|1ASPD	178DMG|278VULN|3CDMG|4BEXP|578ZMB|6AART|78BPWR|9TLV|aASPD
89	53111 13662	   	182.31	DCR|3VULN|2DMG|1AART|1ASPD	1DMSP|25aVULN|36SNIHEL|46DMG|6BPWR|7AART|8RCR|9ASPD
90	36235 33511	   	181.94	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1LWND|2RCR|3CDMG|47DMG|5ZMB|6AART|8DUR|9DUST|aVULN
91	36235 35313	   	181.94	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LWND|2RCR|3CDMG|4DMG|5ZMB|6AART|7AIRHEL|89VULN|aASPD
92	11433 11624	 * 	181.91	DCR|3VULN|3DMG|1CDMG|1ASPD	147DMG|2ASPD|359VULN|6BEXP|8CDMG|aRCR
93	36235 33622	   	181.79	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1SELL	1LWND|2RCR|3CDMG|47DMG|5ZMB|6AART|8SELL|9VULN|aDUR
94	36461 22121	 * 	180.84	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|2RCR|3AART|4LIT|57VULN|6BELT|8aDMG|9ZMB
95	13123 51622	   	180.48	DCR|2VULN|2DMG|1AART|2CDMG	15DMG|28VULN|3MGNLIT|45CDMG|5BPWR|69LWND|7RCR|aAART
96	13423 51622	   	180.38	DCR|2VULN|2DMG|1AART|2CDMG	15DMG|28VULN|3CANSTR|45CDMG|5BPWR|69LWND|7RCR|aAART
97	36236 33224	 * 	180.34	ACR|2VULN|1AART|1DMG|2CDMG|2DUR	1LWND|2RCR|39CDMG|4DMG|5MLV|69DUR|7VENICY|89VULN|9BPWR|aAART
98	14123 43631	 * 	180.32	DCR|2DMG|3CDMG|1VULN|2FLTHEA|2DUR	17DMG|27DUR|3BASICY|48aCDMG|57FLTHEA|6RCR|7BPWR|9VULN
99	13151 15511	 * 	180.32	DCR|4VULN|3DMG	149DMG|256aVULN|369MGNLIT|69aBPWR|79aERES|8RCR
100	53111 13631	   	180.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DMSP|25VULN|36SNIHEL|46DMG|6BPWR|7AART|8RCR|9CDMG|aDUR
