0	Index      	 *	Score 	Summary	Detail	
1	21351 14631	 * 	234.78	ACR|2VULN|1BASARM|2AART|1ASPD|1DMG	1LHND|25VULN|3DMG|4RCR|6aAART|7CGEN|8ASPD|9BASARM
28	32316 15421	   	215.45	ACR|1BASARM|2DMG|2BEXP|1ASPD	1DUR|2aBEXP|37DMG|4FEWX|5RCR|6ASPD|8BASARM|9DUST
29	21326 64332	   	215.28	ACR|3DMG|1VULN|1ASPD|1BEXP|1CDMG|1AART	1LHND|2VULN|367DMG|4BEXP|5RCR|8AART|9CDMG|aASPD
30	32316 15431	   	214.36	ACR|1BASARM|2DMG|1ASPD|1BEXP|1AART	1DUR|2BEXP|37DMG|4FEWX|5RCR|6ASPD|8BASARM|9CGEN|aAART
31	22316 15422	   	214.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1AART	1LHND|2BEXP|37DMG|4FEWX|5RCR|6ASPD|8BASARM|9DUST|aAART
32	32316 15411	   	214.26	ACR|1BASARM|2DMG|1ASPD|1AART|1BEXP	1DUR|2BEXP|37DMG|4FEWX|5RCR|6ASPD|8BASARM|9ERES|aAART
33	32316 15422	   	214.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1AART	1DUR|2BEXP|37DMG|4FEWX|5RCR|6ASPD|8BASARM|9DUST|aAART
34	21354 42333	   	214.13	ACR|1BASARM|2VULN|2DMG|1CDMG	1LHND|2aVULN|36DMG|4RCR|5CDMG|7LWND|8MLV|9BASARM
35	31354 42333	   	214.03	ACR|1BASARM|2VULN|2DMG|1CDMG	1DUR|2aVULN|36DMG|4RCR|5CDMG|7LWND|8AME|9BASARM
36	21225 62532	 * 	213.91	ACR|3VULN|2DMG|2ASPD|1BEXP	1LHND|27aVULN|3ERES|4BEXP|5RCR|6aDMG|8AME|9aASPD|aBPWR
37	31225 62532	   	213.91	ACR|3VULN|2ASPD|2DMG|1BEXP	1DUR|27aVULN|3ERES|4BEXP|5RCR|6aDMG|8AME|9aASPD|aBPWR
38	21225 24532	   	213.91	ACR|3VULN|2DMG|2ASPD|1BEXP	1LHND|26aVULN|3ERES|4BEXP|5RCR|7aDMG|8AME|9aASPD|aBPWR
39	31225 24532	   	213.91	ACR|3VULN|2ASPD|2DMG|1BEXP	1DUR|26aVULN|3ERES|4BEXP|5RCR|7aDMG|8AME|9aASPD|aBPWR
40	22351 64321	 * 	213.80	ACR|3DMG|1VULN|2BEXP|1AART|1CDMG	1LHND|29BEXP|367DMG|4RCR|5VULN|8AART|aCDMG
41	21151 14631	   	212.44	ACR|2VULN|1BASARM|2AART|1ASPD	1LHND|25VULN|3RMIN|4RCR|6aAART|7CGEN|8ASPD|9BASARM
42	22351 15612	   	212.41	ACR|3DMG|1VULN|1ASPD|1CDMG|1BEXP|1AAC	1LHND|2BEXP|378DMG|4RCR|5VULN|6ASPD|9AAC|aCDMG
43	32351 15612	   	212.41	ACR|3DMG|1VULN|1ASPD|1CDMG|1BEXP|1AAC	1DUR|2BEXP|378DMG|4RCR|5VULN|6ASPD|9AAC|aCDMG
44	32351 12626	   	212.06	ACR|2VULN|3DMG|1ASPD|1BEXP|1AAC	1DUR|2BEXP|389DMG|4RCR|57VULN|6ASPD|aAAC
45	21351 51153	 * 	212.02	ACR|3VULN|1BASARM|1ASPD|1DMG	1LHND|257VULN|3DMG|4RCR|6ASPD|8MLV|9RMIN|aBASARM
46	21351 51253	   	211.92	ACR|3VULN|1BASARM|1ASPD|1DMG	1LHND|257VULN|3DMG|4RCR|6ASPD|8TLV|9RMIN|aBASARM
47	32351 22123	   	211.65	ACR|2VULN|1BASARM|2DMG|1BEXP	18DUR|2BEXP|39DMG|4RCR|57VULN|6ERES|aBASARM
48	32351 22633	   	211.65	ACR|2VULN|1BASARM|2DMG|1BEXP	19DUR|2BEXP|38DMG|4RCR|57VULN|6ERES|aBASARM
49	31351 53123	   	211.65	ACR|2VULN|1BASARM|2DMG|1BEXP	18DUR|25VULN|39DMG|4RCR|6BEXP|7ERES|aBASARM
50	31351 53633	   	211.65	ACR|2VULN|1BASARM|2DMG|1BEXP	19DUR|25VULN|38DMG|4RCR|6BEXP|7ERES|aBASARM
51	31351 63523	   	211.65	ACR|2VULN|1BASARM|2DMG|1BEXP	16DUR|25VULN|39DMG|4RCR|7ERES|8BEXP|aBASARM
52	13463 21241	 * 	211.58	ACR|2VULN|2ASPD|2DMG|2CDMG	19CDMG|2BELT|36ASPD|48DMG|5RCR|7aVULN
53	32351 13462	   	211.30	ACR|2ASPD|1VULN|2BEXP|1DMG|2CDMG	1DUR|2aBEXP|3DMG|4RCR|5VULN|6aASPD|7RCVC|8SPLREG|9aCDMG|aBPWR
54	21355 12152	 * 	210.53	ACR|2DMG|1VULN|2AART|1ASPD|1BEXP|1AAC	1LHND|2VULN|35DMG|4RCR|67AART|8ASPD|9AAC|aBEXP
55	21351 12154	 * 	209.52	ACR|3VULN|2AART|1ASPD|1DMG|1AAC	1LHND|25aVULN|3DMG|4RCR|67AART|8ASPD|9AAC
56	21651 53132	 * 	209.12	ACR|4VULN|3ASPD|1CDMG	17LHND|2579VULN|3MDPS|4RCR|678ASPD|7BPWR|aCDMG
57	31651 53132	   	209.12	ACR|4VULN|3ASPD|1CDMG	17DUR|2579VULN|3MDPS|4RCR|678ASPD|7BPWR|aCDMG
58	21326 64321	   	208.80	ACR|3DMG|1VULN|2BEXP|1AART|1CDMG	1LHND|2VULN|367DMG|49BEXP|5RCR|8AART|aCDMG
59	15213 36334	 * 	208.64	ACR|2BASARM|2VULN|1DMG|1CDMG	1CDMG|26VULN|3LWND|4RCR|5FEWX|7DMG|8AME|9aBASARM
60	31352 52621	   	208.33	ACR|2VULN|3DMG|1ASPD|1AART	1DUR|27VULN|389DMG|4RCR|5ASPD|6FEWX|aAART
61	21351 12152	   	208.29	ACR|2VULN|2AART|1ASPD|1DMG|1BEXP|1AAC	1LHND|25VULN|3DMG|4RCR|67AART|8ASPD|9AAC|aBEXP
62	21354 42331	 * 	208.21	ACR|1BASARM|2DMG|1VULN|2CDMG	1LHND|2VULN|36DMG|4RCR|5aCDMG|7LWND|8MLV|9BASARM
63	21354 43331	   	208.11	ACR|1BASARM|2DMG|1VULN|2CDMG	1LHND|2VULN|36DMG|4RCR|5aCDMG|7DUR|8AME|9BASARM
64	31354 42331	   	208.11	ACR|1BASARM|2DMG|1VULN|2CDMG	1DUR|2VULN|36DMG|4RCR|5aCDMG|7LWND|8AME|9BASARM
65	21354 13631	   	208.01	ACR|1BASARM|2DMG|1VULN|2CDMG	1LHND|2VULN|38DMG|4RCR|5aCDMG|6DUST|7AME|9BASARM
66	21354 23731	   	208.01	ACR|1BASARM|2DMG|1VULN|2CDMG	1LHND|2VULN|38DMG|4RCR|5aCDMG|6MBVNT|7AME|9BASARM
67	31354 13631	   	208.01	ACR|1BASARM|2DMG|1VULN|2CDMG	1DUR|2VULN|38DMG|4RCR|5aCDMG|6DUST|7AME|9BASARM
68	31354 23731	   	208.01	ACR|1BASARM|2DMG|1VULN|2CDMG	1DUR|2VULN|38DMG|4RCR|5aCDMG|6MBVNT|7AME|9BASARM
69	22355 31113	 * 	207.82	ACR|3DMG|2BEXP|1ASPD|1BASICY	1LHND|27BEXP|358DMG|4RCR|6LIT|9BASICY|aASPD
70	42355 31113	   	207.82	ACR|3DMG|2BEXP|1ASPD|1BASICY	1LWND|27BEXP|358DMG|4RCR|6LIT|9BASICY|aASPD
71	15211 46332	   	207.81	ACR|2VULN|1BASARM|1DMG|1BEXP|1CDMG	1CDMG|25VULN|35aLWND|4RCR|5BPWR|6BEXP|7DMG|8AME|9BASARM
72	15213 36335	   	207.71	ACR|2VULN|1BASARM|1DMG|1BEXP|1CDMG	1CDMG|26VULN|3LWND|4RCR|5FEWX|7DMG|8AME|9BASARM|aBEXP
73	32356 61113	   	207.55	ACR|2ASPD|2DMG|2BEXP|1VULN	1DUR|26BEXP|36DMG|4RCR|5MDPS|6BPWR|7RCVC|89ASPD|aVULN
74	21355 12143	 * 	207.41	ACR|2ASPD|2DMG|1VULN|2AART	1LHND|2VULN|35DMG|4RCR|67AART|8aASPD|9LWND
75	21326 15612	   	207.41	ACR|3DMG|1VULN|1ASPD|1CDMG|1BEXP|1AAC	1LHND|2VULN|378DMG|4BEXP|5RCR|6ASPD|9AAC|aCDMG
76	31326 15612	   	207.41	ACR|3DMG|1VULN|1ASPD|1CDMG|1BEXP|1AAC	1DUR|2VULN|378DMG|4BEXP|5RCR|6ASPD|9AAC|aCDMG
77	22351 64331	   	207.27	ACR|3DMG|1VULN|1BEXP|1AART|1CDMG|1AAC	1LHND|2BEXP|367DMG|4RCR|5VULN|8AART|9CDMG|aAAC
78	31326 13462	   	207.08	ACR|2VULN|2ASPD|1DMG|2CDMG|1BEXP	1DUR|2aVULN|3DMG|4BEXP|5RCR|6aASPD|7RCVC|8SPLREG|9aCDMG|aBPWR
79	31326 12626	   	207.06	ACR|2VULN|3DMG|1ASPD|1BEXP|1AAC	1DUR|27VULN|389DMG|4BEXP|5RCR|6ASPD|aAAC
80	32351 13621	   	206.98	ACR|3DMG|1VULN|1ASPD|1AART|1BEXP	1DUR|2BEXP|389DMG|4RCR|5VULN|6ASPD|7RCVC|aAART
81	31352 43123	   	206.81	ACR|1BASARM|2DMG|1VULN|1ASPD	18DUR|2VULN|39DMG|4RCR|5ASPD|6AAC|7ERES|aBASARM
82	31352 43633	   	206.81	ACR|1BASARM|2DMG|1VULN|1ASPD	19DUR|2VULN|38DMG|4RCR|5ASPD|6AAC|7ERES|aBASARM
83	31225 24123	   	206.65	ACR|2VULN|1BASARM|2DMG|1BEXP	18DUR|26VULN|3ERES|4BEXP|5RCR|79DMG|aBASARM
84	31225 24633	   	206.65	ACR|2VULN|1BASARM|2DMG|1BEXP	19DUR|26VULN|3ERES|4BEXP|5RCR|78DMG|aBASARM
85	32255 24123	   	206.65	ACR|2VULN|1BASARM|2DMG|1BEXP	18DUR|2BEXP|3ERES|46VULN|5RCR|79DMG|aBASARM
86	31225 62123	   	206.65	ACR|2VULN|1BASARM|2DMG|1BEXP	18DUR|27VULN|3ERES|4BEXP|5RCR|69DMG|aBASARM
87	31225 62633	   	206.65	ACR|2VULN|1BASARM|2DMG|1BEXP	19DUR|27VULN|3ERES|4BEXP|5RCR|68DMG|aBASARM
88	31326 22123	   	206.65	ACR|2VULN|1BASARM|2DMG|1BEXP	18DUR|27VULN|39DMG|4BEXP|5RCR|6ERES|aBASARM
89	31326 22633	   	206.65	ACR|2VULN|1BASARM|2DMG|1BEXP	19DUR|27VULN|38DMG|4BEXP|5RCR|6ERES|aBASARM
90	31342 61523	   	206.65	ACR|2VULN|1BASARM|2DMG|1BEXP	16DUR|27VULN|39DMG|4ERES|5RCR|8BEXP|aBASARM
91	32255 62123	   	206.65	ACR|2VULN|1BASARM|2DMG|1BEXP	18DUR|2BEXP|3ERES|47VULN|5RCR|69DMG|aBASARM
92	21342 21523	   	206.55	ACR|2VULN|1BASARM|2DMG|1BEXP	1LHND|27VULN|39DMG|4ERES|5RCR|6AEMAG|8BEXP|aBASARM
93	31342 21523	   	206.55	ACR|2VULN|1BASARM|2DMG|1BEXP	1DUR|27VULN|39DMG|4ERES|5RCR|6AEMAG|8BEXP|aBASARM
94	41342 21523	   	206.55	ACR|2VULN|1BASARM|2DMG|1BEXP	1LWND|27VULN|39DMG|4ERES|5RCR|6AEMAG|8BEXP|aBASARM
95	32355 13151	   	206.46	ACR|1BASARM|2DMG|1ASPD|1BEXP	1DUR|2BEXP|35DMG|4RCR|6DMSP|7ASPD|8MLV|9RCVC|aBASARM
96	22353 62115	 * 	206.36	ACR|3ASPD|3DMG|1BEXP	1aLHND|2BEXP|36aDMG|4RCR|5DUR|7LWND|89aASPD|aBPWR
97	32352 62115	   	206.36	ACR|3ASPD|3DMG|1BEXP	1aDUR|2BEXP|36aDMG|4RCR|5LHND|7LWND|89aASPD|aBPWR
98	22353 61115	   	206.26	ACR|3ASPD|3DMG|1BEXP	1aLHND|2BEXP|36aDMG|4RCR|5DUR|7DUST|89aASPD|aBPWR
99	32352 61115	   	206.26	ACR|3ASPD|3DMG|1BEXP	1aDUR|2BEXP|36aDMG|4RCR|5LHND|7DUST|89aASPD|aBPWR
100	21351 12143	 * 	206.16	ACR|2VULN|2ASPD|2AART|1DMG	1LHND|25VULN|3DMG|4RCR|67AART|8aASPD|9LWND
101	21351 12115	 * 	206.06	ACR|2VULN|2DMG|2AART|1ASPD	1LHND|25VULN|3aDMG|4RCR|67AART|8ASPD|9MDPS
102	21355 12124	   	206.06	ACR|2VULN|2DMG|2AART|1ASPD	1LHND|2aVULN|35DMG|4RCR|67AART|8ASPD|9TLV
103	22351 15114	   	206.04	ACR|2ASPD|2DMG|1VULN|1BEXP|1CDMG	1LHND|2BEXP|37DMG|4RCR|5VULN|69ASPD|8DUR|aCDMG
104	22351 15236	   	206.04	ACR|2ASPD|2DMG|1VULN|1CDMG|1BEXP	1LHND|2BEXP|37DMG|4RCR|5VULN|69ASPD|8CGEN|aCDMG
105	22351 15314	   	206.04	ACR|2ASPD|2DMG|1VULN|1BEXP|1CDMG	1LHND|2BEXP|37DMG|4RCR|5VULN|69ASPD|8FEWX|aCDMG
106	22351 62114	   	206.04	ACR|2ASPD|2DMG|1VULN|1BEXP|1CDMG	1LHND|2BEXP|36DMG|4RCR|5VULN|7LWND|89ASPD|aCDMG
107	32351 15214	   	206.04	ACR|2ASPD|2DMG|1VULN|1BEXP|1CDMG	1DUR|2BEXP|37DMG|4RCR|5VULN|69ASPD|8FEWX|aCDMG
108	32351 15314	   	206.04	ACR|2ASPD|2DMG|1VULN|1BEXP|1CDMG	1DUR|2BEXP|37DMG|4RCR|5VULN|69ASPD|8LHND|aCDMG
109	32351 62114	   	206.04	ACR|2ASPD|2DMG|1VULN|1BEXP|1CDMG	1DUR|2BEXP|36DMG|4RCR|5VULN|7LWND|89ASPD|aCDMG
110	22351 15233	   	205.94	ACR|2ASPD|2DMG|1VULN|2BEXP	1LHND|2aBEXP|37DMG|4RCR|5VULN|69ASPD|8CGEN
111	42351 15233	   	205.94	ACR|2ASPD|2DMG|1VULN|2BEXP	1LWND|2aBEXP|37DMG|4RCR|5VULN|69ASPD|8CGEN
112	22355 51233	   	205.94	ACR|2ASPD|2DMG|2BEXP|1VULN	1LHND|2aBEXP|35DMG|4RCR|69ASPD|7VULN|8CGEN
113	22351 61114	   	205.94	ACR|2ASPD|2DMG|1VULN|1BEXP|1CDMG	1LHND|2BEXP|36DMG|4RCR|5VULN|7DUST|89ASPD|aCDMG
114	32351 61114	   	205.94	ACR|2ASPD|2DMG|1VULN|1BEXP|1CDMG	1DUR|2BEXP|36DMG|4RCR|5VULN|7DUST|89ASPD|aCDMG
115	31316 12462	   	205.89	ACR|3VULN|2ASPD|1DMG|2CDMG	1DUR|27aVULN|3DMG|4FEWX|5RCR|6aASPD|8SPLREG|9aCDMG|aBPWR
116	22351 25532	   	205.84	ACR|2DMG|2ASPD|2BEXP|1VULN	1LHND|2aBEXP|37DMG|4RCR|5VULN|6aERES|8AME|9aASPD|aBPWR
117	22351 63532	   	205.84	ACR|2DMG|2ASPD|2BEXP|1VULN	1LHND|2aBEXP|36DMG|4RCR|5VULN|7aERES|8AME|9aASPD|aBPWR
118	32351 25532	   	205.84	ACR|2ASPD|2DMG|1VULN|2BEXP	1DUR|2aBEXP|37DMG|4RCR|5VULN|6aERES|8AME|9aASPD|aBPWR
119	32351 63532	   	205.84	ACR|2ASPD|2DMG|1VULN|2BEXP	1DUR|2aBEXP|36DMG|4RCR|5VULN|7aERES|8AME|9aASPD|aBPWR
120	22353 15431	   	205.71	ACR|1BASARM|2DMG|1ASPD|1BEXP	1LHND|2BEXP|37DMG|4RCR|5aDUR|6ASPD|8BASARM|9CGEN
121	22353 15433	   	205.71	ACR|1BASARM|2DMG|1ASPD|1BEXP	1LHND|2BEXP|37DMG|4RCR|5DUR|6ASPD|8BASARM|9CGEN|aZMB
122	32352 15431	   	205.71	ACR|1BASARM|2DMG|1ASPD|1BEXP	1aDUR|2BEXP|37DMG|4RCR|5LHND|6ASPD|8BASARM|9CGEN
123	32352 15433	   	205.71	ACR|1BASARM|2DMG|1ASPD|1BEXP	1DUR|2BEXP|37DMG|4RCR|5LHND|6ASPD|8BASARM|9CGEN|aZMB
124	22351 15113	   	205.69	ACR|2VULN|2ASPD|2DMG|1BEXP	1LHND|2BEXP|37DMG|4RCR|5aVULN|69ASPD|8DUR
125	22351 15313	   	205.69	ACR|2VULN|2ASPD|2DMG|1BEXP	1LHND|2BEXP|37DMG|4RCR|5aVULN|69ASPD|8FEWX
126	22351 62113	   	205.69	ACR|2VULN|2ASPD|2DMG|1BEXP	1LHND|2BEXP|36DMG|4RCR|5aVULN|7LWND|89ASPD
127	32351 15213	   	205.69	ACR|2VULN|2ASPD|2DMG|1BEXP	1DUR|2BEXP|37DMG|4RCR|5aVULN|69ASPD|8FEWX
128	32351 15313	   	205.69	ACR|2VULN|2ASPD|2DMG|1BEXP	1DUR|2BEXP|37DMG|4RCR|5aVULN|69ASPD|8LHND
129	32351 62113	   	205.69	ACR|2VULN|2ASPD|2DMG|1BEXP	1DUR|2BEXP|36DMG|4RCR|5aVULN|7LWND|89ASPD
130	42351 15113	   	205.69	ACR|2VULN|2ASPD|2DMG|1BEXP	1LWND|2BEXP|37DMG|4RCR|5aVULN|69ASPD|8DUR
131	42351 15313	   	205.69	ACR|2VULN|2ASPD|2DMG|1BEXP	1LWND|2BEXP|37DMG|4RCR|5aVULN|69ASPD|8FEWX
132	42351 62113	   	205.69	ACR|2VULN|2ASPD|2DMG|1BEXP	1LWND|2BEXP|36DMG|4RCR|5aVULN|7LHND|89ASPD
133	22355 51113	   	205.69	ACR|2VULN|2ASPD|2DMG|1BEXP	1LHND|2BEXP|35DMG|4RCR|69ASPD|7aVULN|8DUR
134	22355 51313	   	205.69	ACR|2VULN|2ASPD|2DMG|1BEXP	1LHND|2BEXP|35DMG|4RCR|69ASPD|7aVULN|8FEWX
135	31355 52113	   	205.69	ACR|2VULN|2ASPD|2DMG|1BEXP	1DUR|2aVULN|35DMG|4RCR|6BEXP|7LWND|89ASPD
136	13463 42313	 * 	205.68	ACR|1BASARM|1VULN|1ASPD|1DMG|2CDMG	17CDMG|2BELT|3ASPD|4DMG|5RCR|6ZMB|8VULN|9RMIN|aBASARM
137	32353 15432	   	205.61	ACR|1BASARM|2DMG|1ASPD|1BEXP	1DUR|2BEXP|37DMG|4RCR|5DUST|6ASPD|8BASARM|9ZMB|aLWND
138	15213 36633	   	205.61	ACR|3VULN|1BASARM|1DMG|1CDMG	1CDMG|26aVULN|3LWND|4RCR|5FEWX|7DMG|8CGEN|9BASARM
139	22353 15411	   	205.61	ACR|1BASARM|2DMG|1ASPD|1BEXP	1LHND|2BEXP|37DMG|4RCR|5aDUR|6ASPD|8BASARM|9ERES
140	22353 15423	   	205.61	ACR|1BASARM|2DMG|1ASPD|1BEXP	1LHND|2BEXP|37DMG|4RCR|5DUR|6ASPD|8BASARM|9DUST|aCGEN
141	22353 15432	   	205.61	ACR|1BASARM|2DMG|1ASPD|1BEXP	1LHND|2BEXP|37DMG|4RCR|5DUR|6ASPD|8BASARM|9CGEN|aERES
142	32352 15411	   	205.61	ACR|1BASARM|2DMG|1ASPD|1BEXP	1aDUR|2BEXP|37DMG|4RCR|5LHND|6ASPD|8BASARM|9ERES
143	32352 15423	   	205.61	ACR|1BASARM|2DMG|1ASPD|1BEXP	1DUR|2BEXP|37DMG|4RCR|5LHND|6ASPD|8BASARM|9DUST|aCGEN
144	32352 15432	   	205.61	ACR|1BASARM|2DMG|1ASPD|1BEXP	1DUR|2BEXP|37DMG|4RCR|5LHND|6ASPD|8BASARM|9CGEN|aERES
145	22351 61113	   	205.59	ACR|2VULN|2ASPD|2DMG|1BEXP	1LHND|2BEXP|36DMG|4RCR|5aVULN|7DUST|89ASPD
146	32351 61113	   	205.59	ACR|2VULN|2ASPD|2DMG|1BEXP	1DUR|2BEXP|36DMG|4RCR|5aVULN|7DUST|89ASPD
147	42351 61113	   	205.59	ACR|2VULN|2ASPD|2DMG|1BEXP	1LWND|2BEXP|36DMG|4RCR|5aVULN|7DUST|89ASPD
148	31355 51113	   	205.59	ACR|2VULN|2ASPD|2DMG|1BEXP	1DUR|2aVULN|35DMG|4RCR|6BEXP|7DUST|89ASPD
149	11323 22313	   	205.58	ACR|1BASARM|1VULN|1ASPD|1DMG|2CDMG	17CDMG|2NUKE|3DMG|4BELT|5RCR|6ASPD|8VULN|9RMIN|aBASARM
150	11323 31213	   	205.58	ACR|1BASARM|1VULN|1ASPD|1DMG|2CDMG	16CDMG|2NUKE|3DMG|4BELT|5RCR|7VULN|8ASPD|9RMIN|aBASARM
151	32353 15412	   	205.51	ACR|1BASARM|2DMG|1ASPD|1BEXP	1DUR|2BEXP|37DMG|4RCR|5DUST|6ASPD|8BASARM|9ERES|aLWND
152	32353 15422	   	205.51	ACR|1BASARM|2DMG|1ASPD|1BEXP	1DUR|2BEXP|37DMG|4RCR|59DUST|6ASPD|8BASARM|aLWND
153	32353 15433	   	205.51	ACR|1BASARM|2DMG|1ASPD|1BEXP	1DUR|2BEXP|37DMG|4RCR|5DUST|6ASPD|8BASARM|9ZMB|aMDPS
154	15213 36333	   	205.51	ACR|3VULN|1BASARM|1DMG|1CDMG	1CDMG|26aVULN|3LWND|4RCR|5FEWX|7DMG|8AME|9BASARM
155	22353 15412	   	205.51	ACR|1BASARM|2DMG|1ASPD|1BEXP	1LHND|2BEXP|37DMG|4RCR|5DUR|6ASPD|8BASARM|9aERES
156	22353 15413	   	205.51	ACR|1BASARM|2DMG|1ASPD|1BEXP	1LHND|2BEXP|37DMG|4RCR|5DUR|6ASPD|8BASARM|9ERES|aAME
157	32352 15412	   	205.51	ACR|1BASARM|2DMG|1ASPD|1BEXP	1DUR|2BEXP|37DMG|4RCR|5LHND|6ASPD|8BASARM|9aERES
158	32352 15413	   	205.51	ACR|1BASARM|2DMG|1ASPD|1BEXP	1DUR|2BEXP|37DMG|4RCR|5LHND|6ASPD|8BASARM|9ERES|aAME
159	12634 61343	   	205.41	ACR|1BASARM|2ASPD|1DMG|1CDMG	1CDMG|2AAC|3MDPS|4RCR|5BASARM|6aASPD|7MBVNT|8DMG|9BELT
160	32353 15413	   	205.41	ACR|1BASARM|2DMG|1ASPD|1BEXP	1DUR|2BEXP|37DMG|4RCR|5DUST|6ASPD|8BASARM|9ERES|aMDPS
161	32353 15421	   	205.41	ACR|1BASARM|2DMG|1ASPD|1BEXP	1DUR|2BEXP|37DMG|4RCR|59DUST|6ASPD|8BASARM|aTLV
162	21355 12115	 * 	205.38	ACR|3DMG|1VULN|2AART|1ASPD	1LHND|2VULN|35aDMG|4RCR|67AART|8ASPD|9MDPS
