0	Index      	 *	Score 	Summary	Detail	
49	31336 34623	   	201.58	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AAC	1BEXP|2CDMG|3DMG|4VULN|5RCR|6MDPS|7TLV|8FEWX|9AAC|aBASARM
50	33316 34623	   	201.58	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1AAC	1BEXP|2ASPD|3VULN|4CDMG|5RCR|6MDPS|7TLV|8FEWX|9AAC|aBASARM
51	51336 33623	   	201.58	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AAC	1LHND|2CDMG|3DMG|4VULN|5RCR|6MDPS|7AME|8BEXP|9AAC|aBASARM
52	53316 33623	   	201.58	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1AAC	1LHND|2ASPD|3VULN|4CDMG|5RCR|6MDPS|7AME|8BEXP|9AAC|aBASARM
53	61136 84423	   	201.58	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AAC	1MBVNT|2CDMG|3AAC|4VULN|5RCR|6CGEN|7DMG|8MDPS|9BEXP|aBASARM
54	62136 84423	   	201.58	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AAC	1MBVNT|2AAC|3CDMG|4VULN|5RCR|6CGEN|7DMG|8MDPS|9BEXP|aBASARM
55	61136 84142	   	201.38	ACR|2VULN|2ASPD|1DMG|2CDMG|1AAC	1MBVNT|2aCDMG|3AAC|4aVULN|5RCR|6CGEN|7DMG|8aASPD|9RMIN|aBPWR
56	61336 31184	   	201.38	ACR|2VULN|2ASPD|1DMG|2CDMG|1AAC	1MBVNT|29CDMG|3DMG|49VULN|5RCR|6RMIN|7AAC|89ASPD|9BPWR|aLHND
57	62136 84142	   	201.38	ACR|2VULN|2ASPD|1DMG|2CDMG|1AAC	1MBVNT|2AAC|3aCDMG|4aVULN|5RCR|6CGEN|7DMG|8aASPD|9RMIN|aBPWR
58	33316 25112	   	201.34	ACR|3ASPD|1VULN|1DMG|1BEXP|1CDMG	1BEXP|29aASPD|3VULN|4CDMG|5RCR|6aDUR|7DMG|8aERES|aBPWR
59	31336 11531	   	201.32	ACR|2DMG|1VULN|2BEXP|1ASPD|1CDMG	17BEXP|2CDMG|3aDMG|4VULN|5RCR|6DUST|8RCVC|9ASPD
60	61336 31182	   	201.28	ACR|2VULN|2ASPD|1DMG|2CDMG|1AAC	1MBVNT|29CDMG|3DMG|49VULN|5RCR|6RMIN|7AAC|89ASPD|9BPWR|aERES
61	61336 31183	   	201.28	ACR|2VULN|2ASPD|1DMG|2CDMG|1AAC	1MBVNT|29CDMG|3DMG|49VULN|5RCR|6RMIN|7AAC|89ASPD|9BPWR|aNUKE
62	31336 25113	   	201.23	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP|1CDMG	1BEXP|2CDMG|3DMG|4VULN|5RCR|6DUR|79ASPD|8ERES|aAART
