0	Index      	 *	Score 	Summary	Detail	
66	21432 11332	   	290.38	ACR|3TLV|2VULN|1AEFBLL|1DMG	1AEFBLL|28aTLV|3DMG|4RCR|5FLTARM|6aVULN|7LWND|9aVENFST|aBPWR
67	21432 13332	   	290.28	ACR|3TLV|2VULN|1AEFBLL|1DMG	1AEFBLL|28aTLV|3DMG|4RCR|5FLTARM|6aVULN|7DUST|9aVENFST|aBPWR
68	61133 12461	 * 	290.22	ACR|3VULN|2TLV|3CDMG	189VULN|25BEXP|379CDMG|4RCR|69TLV|9BPWR|aDUR
69	35315 32613	   	289.98	ACR|DCR|1TLV|1VULN|2DMG	1SNITOX|2aRCR|3VULN|4RCVC|5RAT|69DMG|7AAC|8TLV
70	22353 12611	   	289.33	DCR|4VULN|1TLV|1AEFBLL|1DMG|1AEPOI	1AEFBLL|2AEPOI|3LIT|4568VULN|7TLV|9RCR|aDMG
71	21435 33161	   	288.57	ACR|2VULN|1TLV|2DMG|2AEFBLL|1ASPD|1CDMG	19AEFBLL|2TLV|39DMG|4RCR|5DMSP|6ASPD|7CDMG|89VULN|9BPWR|aLWND
72	21435 33163	   	288.57	ACR|2VULN|1TLV|2DMG|2AEFBLL|1ASPD|1CDMG	19AEFBLL|2TLV|39DMG|4RCR|5DMSP|6ASPD|7CDMG|89VULN|9BPWR|aAAC
73	21435 33162	   	288.47	ACR|2VULN|1TLV|2DMG|2AEFBLL|1ASPD|1CDMG|1MSE	19AEFBLL|2TLV|39DMG|4RCR|5DMSP|6ASPD|7CDMG|89VULN|9BPWR|aMSE
74	21553 12143	   	288.17	DCR|3VULN|2TLV|1AEFBLL|1ASPD	1AEFBLL|29TLV|3ASPD|4MSLTOX|59aVULN|6FEWX|7RCR|89BEXP|9BPWR
75	21553 32143	   	288.17	DCR|3VULN|2TLV|1AEFBLL|1ASPD	1AEFBLL|29TLV|3ASPD|4MSLTOX|59aVULN|6LHND|7RCR|89BEXP|9BPWR
76	21531 21643	   	288.03	ACR|3TLV|2VULN|2AEFBLL|1ASPD|1AART	1aAEFBLL|28aTLV|3ASPD|4RCR|5CGEN|6AART|7MDPS|9aVULN|aBPWR
77	35321 24251	   	287.38	ACR|2TLV|2VULN|2DMG|1AEPOI	19SNITOX|2RCR|35VULN|49DMG|6AEPOI|7LIT|89TLV|9BPWR|aFEWX
78	35321 24252	   	287.38	ACR|2TLV|2VULN|2DMG|1AEPOI	19SNITOX|2RCR|35VULN|49DMG|6AEPOI|7LIT|89TLV|9BPWR|aRPLT
79	32453 23342	   	287.27	ACR|2TLV|2VULN|2DMG|1AEPOI	1SNITOX|2ERES|3aDMG|4aTLV|5RCR|6AEPOI|7aVULN|8CGEN|9DUST|aBPWR
80	21533 21643	 * 	286.83	ACR|2TLV|2VULN|2ASPD|2AEFBLL|1AART	1aAEFBLL|28TLV|3aASPD|4RCR|5AART|6RMIN|7MDPS|9aVULN|aBPWR
81	21432 34532	   	286.59	ACR|2TLV|2VULN|1AEFBLL|1DMG	1AEFBLL|29TLV|3DMG|4RCR|5FLTARM|69MLV|7LIT|89VULN|9BPWR|aDUR
82	21432 13143	   	286.49	ACR|2TLV|2VULN|1AEFBLL|1DMG	1AEFBLL|29TLV|3DMG|4RCR|5FLTARM|69VULN|7DUST|89BEXP|9BPWR|aDUR
83	21432 13643	   	286.49	ACR|2TLV|2VULN|1AEFBLL|1DMG	1AEFBLL|29TLV|3DMG|4RCR|5FLTARM|69VULN|7DUST|89FEWX|9BPWR|aDUR
84	21432 14141	   	286.49	ACR|2TLV|2VULN|1AEFBLL|1DMG	1AEFBLL|29TLV|3DMG|4RCR|5FLTARM|69VULN|7DUR|89BEXP|9BPWR|aDUST
85	21432 14142	   	286.49	ACR|2TLV|2VULN|1AEFBLL|1DMG	1AEFBLL|29TLV|3DMG|4RCR|5FLTARM|69VULN|7DUR|89BEXP|9BPWR|aMDPS
86	21432 14323	   	286.39	ACR|2TLV|2VULN|1AEFBLL|1DMG	1AEFBLL|28TLV|3DMG|4RCR|5FLTARM|6aVULN|7DUR|9BEXP
87	21432 16143	   	286.32	ACR|3VULN|2TLV|1AEFBLL|1DMG|1MSE	1AEFBLL|29TLV|3DMG|4RCR|5FLTARM|69aVULN|7MSE|89BEXP|9BPWR
88	35315 33633	   	285.94	ACR|DCR|1TLV|1VULN|1DMG|2RAT	1SNITOX|2aRCR|3VULN|4RCVC|59RAT|6DMG|7ZMB|8TLV
89	64152 31222	 * 	285.49	DCR|2TLV|2VULN|2ASPD|1AEPOI	19VULN|29ASPD|3DUR|4AAC|5SPLREG|6RCR|79TLV|8LEGI|9BPWR|aAEPOI
90	23333 31112	   	285.12	DCR|DCR|3VULN|1AEFBLL|1CDMG	1AEFBLL|247VULN|34BEXP|4BPWR|5DUR|69RCR|8CDMG|aCGEN
91	23333 31113	   	285.12	DCR|DCR|3VULN|1AEFBLL|1AEPOI|1CDMG	1AEFBLL|247VULN|34BEXP|4BPWR|5DUR|69RCR|8CDMG|aAEPOI
92	23333 31115	   	285.12	DCR|DCR|3VULN|1AEFBLL|1CDMG	1AEFBLL|247VULN|34BEXP|4BPWR|5DUR|69RCR|8CDMG|aFEWX
93	23333 31116	   	285.12	DCR|DCR|3VULN|1AEFBLL|1CDMG	1AEFBLL|247VULN|34BEXP|4BPWR|5DUR|69RCR|8CDMG|aLHND
94	56433 31113	   	285.12	DCR|DCR|3VULN|1AEPOI|1CDMG	14LHND|247VULN|3RCVC|4BPWR|5DUR|69RCR|8CDMG|aAEPOI
95	62333 31113	   	285.12	DCR|DCR|3VULN|1AEPOI|1CDMG	147VULN|2DMSP|34BEXP|4BPWR|5DUR|69RCR|8CDMG|aAEPOI
96	65433 31113	   	285.12	DCR|DCR|3VULN|1AEPOI|1CDMG	147VULN|24LWND|3RCVC|4BPWR|5DUR|69RCR|8CDMG|aAEPOI
97	23333 31111	   	285.02	DCR|DCR|3VULN|1AEFBLL|1CDMG|1MSE	1AEFBLL|247VULN|34BEXP|4BPWR|5DUR|69RCR|8CDMG|aMSE
98	23333 31114	   	285.02	DCR|DCR|3VULN|1AEFBLL|1CDMG|1SELL	1AEFBLL|247VULN|34BEXP|4BPWR|5DUR|69RCR|8CDMG|aSELL
99	23235 31523	   	284.96	DCR|3VULN|1TLV|1AEFBLL|2DUR|1AART	1AEFBLL|247VULN|34DUR|4BPWR|5LWND|6RCR|8ZMB|9AART|aTLV
100	23333 33422	   	284.18	DCR|3VULN|2TLV|1AEFBLL	1AEFBLL|248VULN|34BEXP|4BPWR|5DUR|6RCR|7LHND|9aTLV
101	21532 11145	   	284.16	ACR|3TLV|2VULN|1AEFBLL|1ASPD	1AEFBLL|29aTLV|3ASPD|4RCR|5FLTARM|69VULN|7LWND|89BEXP|9BPWR
102	23333 31422	   	284.08	DCR|3VULN|2TLV|1AEFBLL	1AEFBLL|247VULN|34BEXP|4BPWR|5DUR|6RCR|8LEGI|9aTLV
103	21532 13145	   	284.06	ACR|3TLV|2VULN|1AEFBLL|1ASPD	1AEFBLL|29aTLV|3ASPD|4RCR|5FLTARM|69VULN|7DUST|89BEXP|9BPWR
104	21532 11362	   	283.96	ACR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	1AEFBLL|28TLV|3ASPD|4RCR|5FLTARM|6aVULN|7LWND|9CDMG
105	23242 32216	   	283.91	DCR|DCR|1TLV|1VULN|1AEFBLL|2DUR|1SELL	1AEFBLL|2VULN|35DUR|4DUST|69RCR|7DMSP|8SELL|aTLV
