0	Index      	 *	Score 	Summary	Detail	
50	33312 64213	   	245.44	DCR|4VULN|2MLV	17MLV|278aVULN|3LWND|4MDPS|5DUR|67TLV|7BPWR|9RCR
51	33315 34216	   	245.39	DCR|3VULN|2MLV|2DUR|1ASPD	17MLV|278VULN|3LWND|4MDPS|5AME|67DUR|7BPWR|9RCR|aASPD
52	33212 64213	   	245.34	DCR|4VULN|2MLV	17MLV|278aVULN|3DUST|4MDPS|5DUR|67TLV|7BPWR|9RCR
53	33511 33354	   	245.25	DCR|3VULN|2MLV|1DMG	17MLV|248VULN|3TBNT|5BBNT|6DUR|9RCR|aDMG
54	63322 21141	   	243.76	DCR|DCR|1VULN|1ASPD|1AART	1ASPD|2VULN|3LWND|4DUST|5AART|67LIT|8FRZICY|9aRCR
55	63242 21141	   	243.66	DCR|DCR|1VULN|1ASPD|1AART	1ASPD|2VULN|3DUST|4LEGI|5AART|67LIT|8FRZICY|9aRCR
56	63322 22141	   	243.66	DCR|DCR|1VULN|1ASPD|1AART	1ASPD|2VULN|3LWND|4DUST|5AART|6LIT|7AELOIC|8FRZICY|9aRCR
57	63242 22141	   	243.56	DCR|DCR|1VULN|1ASPD|1AART	1ASPD|2VULN|3DUST|4LEGI|5AART|6LIT|7AELOIC|8FRZICY|9aRCR
58	12123 23434	   	242.41	DCR|DCR|1VULN|1ASPD	12CGEN|3VULN|4MDPS|5ASPD|6DMSP|79RCR|8BBNT|aDUR
59	13615 33134	   	242.41	DCR|DCR|1VULN|1ASPD	1CGEN|2TBNT|3DUST|4VULN|5RCVC|6ASPD|79RCR|8LHND|aDUR
60	14123 23434	   	242.41	DCR|DCR|1VULN|1ASPD	1CGEN|2RCVC|3VULN|4MDPS|5ASPD|6DMSP|79RCR|8BBNT|aDUR
61	12123 53434	   	242.31	DCR|DCR|1VULN|1ASPD	12CGEN|3VULN|46MDPS|5ASPD|79RCR|8BBNT|aDUR
62	13611 33134	   	242.31	DCR|DCR|1VULN|1ASPD	1CGEN|2TBNT|35DUST|4VULN|6ASPD|79RCR|8LHND|aDUR
63	13611 33534	   	242.31	DCR|DCR|1VULN|1ASPD	1CGEN|2TBNT|35DUST|4VULN|6ASPD|79RCR|8BEXP|aDUR
64	13611 33634	   	242.31	DCR|DCR|1VULN|1ASPD	1CGEN|2TBNT|35DUST|4VULN|6ASPD|79RCR|8FEWX|aDUR
65	66123 12423	   	242.06	DCR|DCR|1VULN|1ASPD|1SELL	1ASPD|2DUR|3CANTOX|4CANARM|5BBNT|6aRCR|7SELL|8VULN|9CGEN
