0	Index      	 *	Score 	Summary	Detail	
120	13512 11126	 * 	187.54	DCR|3DMG|2VULN|1ZMB	1LEGI|258LHND|3AME|489DMG|6RCR|78VULN|8BPWR|aZMB
121	23231 31436	   	187.50	DCR|2VULN|1AART|1ASPD|1DMG	1DMSP|2LIT|3TLV|48VULN|5ASPD|6RCR|7ERES|9DMG|aAART
122	22121 31425	   	187.48	DCR|1VULN|1AART|2CDMG|1ASPD|1ZMB|1DUR	1DMSP|2ASPD|3aCDMG|4VULN|5DUST|6ZMB|7RCR|8DUR|9AART
123	22132 51613	   	187.44	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG	1DMSP|2ASPD|3CDMG|4DMG|58VULN|6DUST|7RCR|9LWND|aMDPS
124	22132 51663	   	187.44	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG	1DMSP|2ASPD|3CDMG|4DMG|58VULN|6DUST|7RCR|9LHND|aMDPS
125	22132 51233	   	187.34	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG	1DMSP|2ASPD|3CDMG|4DMG|59VULN|6DUST|7RCR|8MBVNT|aMDPS
126	22136 38312	   	187.18	DCR|3ASPD|2DMG|1CDMG|1ZMB	1DMSP|279ASPD|3CDMG|49DMG|5MBVNT|69LWND|8RCR|9BPWR|aZMB
127	22133 66236	   	187.00	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG	1DMSP|2ASPD|36CDMG|4DMG|5SNIFST|7AME|8RCR|9VULN|aAART
128	52111 11166	 * 	186.96	DCR|2VULN|2DMG|1ASPD|1NUKE|2DUR	18DUR|2NUKE|3DUST|48DMG|5ASPD|6ERES|78VULN|8BPWR|9CGEN|aRCR
129	22228 34351	   	186.88	DCR|3ASPD|2VULN|1AART	1DMSP|279ASPD|3BEXP|4MBVNT|59LHND|69VULN|8AART|9BPWR|aRCR
130	22241 21632	 * 	186.84	DCR|3VULN|3ASPD	1DMSP|25aASPD|3BEXP|4aERES|6RPLT|7RCR|89aVULN|aBPWR
131	22541 21632	   	186.84	DCR|3VULN|3ASPD	1DMSP|25aASPD|3FEWX|4aERES|6RPLT|7RCR|89aVULN|aBPWR
132	33151 34481	   	186.78	DCR|3ASPD|2VULN|1AART	1BEXP|25FEWX|3MBVNT|457ASPD|5BPWR|69VULN|8AART|aRCR
133	22641 21632	   	186.74	DCR|3VULN|3ASPD	1DMSP|25aASPD|3DUST|4aERES|6RPLT|7RCR|89aVULN|aBPWR
