0	Index      	Bounty	 *	Score 	Summary	Detail	
62	11416 31215	9	   	265.55	DCR|4VULN|3DUR|1TLV	1278VULN|3LWND|478DUR|578BEXP|6RCR|78BPWR|9ERES|aTLV
63	11164 16311	10	   	264.96	DCR|3VULN|1TLV|1DMG|1DUR|2LIT|1CDMG	129VULN|38LIT|4TLV|5CDMG|6DUR|7RCR|aDMG
64	36343 32233	4	 * 	264.47	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG|1AART	1DMSP|27CDMG|3AART|47VULN|57DUR|6RCR|7BPWR|8DMG|9LIT|aTLV
65	15311 33415	8	 * 	264.26	DCR|3VULN|3DUR|1TLV|1DMG	13aVULN|2FEWX|457DUR|6RCR|8TLV|9DMG
66	11313 24221	10	 * 	263.86	DCR|5VULN|3TLV|1DUR	12478VULN|3RCVC|568TLV|8BPWR|9RCR|aDUR
67	11412 21624	6	 * 	263.57	DCR|4VULN|2DMG|2DUR	1279VULN|3LWND|49DUR|59DMG|6RPLT|8BBNT|9BPWR|aRCR
68	11412 21624	7	   	263.57	DCR|4VULN|2DMG|2DUR	1279VULN|3LWND|49DUR|59DMG|6RPLT|8BBNT|9BPWR|aRCR
69	11512 21624	6	   	263.57	DCR|4VULN|2DMG|2DUR	1279VULN|3LHND|49DUR|59DMG|6RPLT|8BBNT|9BPWR|aRCR
70	11512 21624	7	   	263.57	DCR|4VULN|2DMG|2DUR	1279VULN|3LHND|49DUR|59DMG|6RPLT|8BBNT|9BPWR|aRCR
71	15312 21624	6	   	263.57	DCR|4VULN|2DMG|2DUR	1379VULN|2FEWX|49DUR|59DMG|6RPLT|8BBNT|9BPWR|aRCR
72	15312 21624	7	   	263.57	DCR|4VULN|2DMG|2DUR	1379VULN|2FEWX|49DUR|59DMG|6RPLT|8BBNT|9BPWR|aRCR
73	11161 51136	10	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	127aVULN|3LIT|4TLV|5DMG|6BELT|8RCR|9CDMG
74	42715 14421	7	   	263.21	DCR|3VULN|3DMG|3CDMG|1AART	1RMIN|2MBVNT|3AART|478VULN|578CDMG|678DMG|78BPWR|9FEWX|aRCR
75	11232 36411	10	   	263.11	DCR|3VULN|3DMG|1TLV|1AART	12aVULN|3CGEN|458DMG|6TLV|7RCR|9AART
76	15312 22225	9	   	262.32	DCR|3VULN|2DMG|2TLV|1DUR	13aVULN|2aFEWX|4DUR|57DMG|6RPLT|8aTLV|9RCR|aBPWR
