0	Index      	 *	Score 	Summary	Detail	
68	12121 32231	   	248.02	DCR|1VULN|1TLV|2ASPD|1MLV|1AAC|1CDMG	1CDMG|2VULN|3DUST|48ASPD|5TLV|6AAC|7RCR|9TBNT|aMLV
69	12121 22131	   	248.02	DCR|1VULN|1TLV|2ASPD|1MLV|1AAC|1CDMG	1CDMG|2VULN|3DUST|46ASPD|5TLV|7RCR|8AAC|9TBNT|aMLV
70	12121 36251	   	248.02	DCR|1VULN|1TLV|2ASPD|1MLV|1AAC|1CDMG	1CDMG|2VULN|3DUST|48ASPD|5TLV|6AAC|7TBNT|9RCR|aMLV
71	12221 22146	 * 	248.02	DCR|3AAC|1VULN|1TLV|2ASPD|1CDMG	1CDMG|2VULN|3LHND|46ASPD|5TLV|7RCR|89aAAC
72	12221 32246	   	248.02	DCR|3AAC|1VULN|1TLV|2ASPD|1CDMG	1CDMG|2VULN|3LHND|48ASPD|5TLV|69aAAC|7RCR
73	12321 22146	   	248.02	DCR|3AAC|1VULN|1TLV|2ASPD|1CDMG	1CDMG|2VULN|3LWND|46ASPD|5TLV|7RCR|89aAAC
74	12321 32246	   	248.02	DCR|3AAC|1VULN|1TLV|2ASPD|1CDMG	1CDMG|2VULN|3LWND|48ASPD|5TLV|69aAAC|7RCR
75	12221 22451	   	247.96	DCR|2VULN|1TLV|2ASPD|2DUR|1CDMG	1CDMG|29VULN|3LHND|46ASPD|5TLV|7RCR|8aDUR
76	12321 22451	   	247.96	DCR|2VULN|1TLV|2ASPD|2DUR|1CDMG	1CDMG|29VULN|3LWND|46ASPD|5TLV|7RCR|8aDUR
77	12221 36154	   	247.71	DCR|2TLV|1VULN|1MLV|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3LHND|4ASPD|5aTLV|6AAC|7TBNT|8MLV|9RCR
78	12321 36154	   	247.71	DCR|2TLV|1VULN|1MLV|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3LWND|4ASPD|5aTLV|6AAC|7TBNT|8MLV|9RCR
79	12121 32431	   	247.61	DCR|2TLV|1VULN|1MLV|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3DUST|4ASPD|58TLV|6AAC|7RCR|9TBNT|aMLV
80	12121 36154	   	247.61	DCR|2TLV|1VULN|1MLV|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3DUST|4ASPD|5aTLV|6AAC|7TBNT|8MLV|9RCR
81	12221 62146	 * 	247.61	DCR|2TLV|3AAC|1VULN|1ASPD|1CDMG	1CDMG|2VULN|3LHND|4ASPD|56TLV|7RCR|89aAAC
82	12321 62146	   	247.61	DCR|2TLV|3AAC|1VULN|1ASPD|1CDMG	1CDMG|2VULN|3LWND|4ASPD|56TLV|7RCR|89aAAC
83	12221 32446	   	247.61	DCR|2TLV|3AAC|1VULN|1ASPD|1CDMG	1CDMG|2VULN|3LHND|4ASPD|58TLV|69aAAC|7RCR
84	12321 32446	   	247.61	DCR|2TLV|3AAC|1VULN|1ASPD|1CDMG	1CDMG|2VULN|3LWND|4ASPD|58TLV|69aAAC|7RCR
85	22223 12465	 * 	247.57	ACR|DCR|2TLV|1VULN|1CDMG	1DUR|2RMIN|3ERES|47RCR|58TLV|6LIT|9VULN|aCDMG
86	12221 62451	   	247.55	DCR|2VULN|2TLV|1ASPD|2DUR|1CDMG	1CDMG|29VULN|3LHND|4ASPD|56TLV|7RCR|8aDUR
87	12321 62451	   	247.55	DCR|2VULN|2TLV|1ASPD|2DUR|1CDMG	1CDMG|29VULN|3LWND|4ASPD|56TLV|7RCR|8aDUR
88	23111 35626	   	247.37	DCR|2VULN|1TLV|1DMG|1AAC|2DUR	12DUR|2BPWR|3RAT|48VULN|5LWND|6TLV|7DMG|9RCR|aAAC
89	23223 35626	   	247.37	DCR|2VULN|1TLV|1DMG|1AAC|2DUR	12DUR|2BPWR|3LWND|4RAT|58VULN|6TLV|7DMG|9RCR|aAAC
90	23122 35626	   	247.27	DCR|2VULN|1TLV|1DMG|1AAC|2DUR	12DUR|2BPWR|3RAT|4DUST|58VULN|6TLV|7DMG|9RCR|aAAC
91	31112 41213	 * 	246.85	DCR|3VULN|1MLV|1DMG|1CDMG	1ZMB|2DMG|3RAT|458VULN|6RMIN|7CDMG|9RCR|aMLV
92	31116 31213	   	246.85	DCR|3VULN|1MLV|1DMG|1CDMG	1ZMB|2DMG|3RAT|468VULN|5RMIN|7CDMG|9RCR|aMLV
93	31622 41213	   	246.85	DCR|3VULN|1MLV|1DMG|1CDMG	1ZMB|2DMG|358VULN|4RAT|6RMIN|7CDMG|9RCR|aMLV
94	31626 31213	   	246.85	DCR|3VULN|1MLV|1DMG|1CDMG	1ZMB|2DMG|368VULN|4RAT|5RMIN|7CDMG|9RCR|aMLV
95	23253 64223	   	246.19	DCR|2DMG|1VULN|1TLV|1AAC|1ASPD|2DUR	12DUR|2BPWR|3LWND|48DMG|5TLV|6AAC|7RCR|9ASPD|aVULN
96	12461 12622	   	246.06	DCR|2VULN|1TLV|1DMG|1AAC|1CDMG	1CDMG|27VULN|3AETHUN|4LHND|5RAT|6DMG|8AAC|9TLV|aRCR
97	12342 15622	 * 	245.94	DCR|1VULN|2AAC|1TLV|1MLV|2RAT|1CDMG	1CDMG|2VULN|3LWND|47RAT|59AAC|6MLV|8TLV|aRCR
98	12142 15622	   	245.84	DCR|1VULN|2AAC|1TLV|1MLV|2RAT|1CDMG	1CDMG|2VULN|3DUST|47RAT|59AAC|6MLV|8TLV|aRCR
99	12621 12141	 * 	245.36	DCR|1VULN|2AAC|1TLV|2CDMG|1ASPD	16CDMG|2VULN|3DUR|4ASPD|5TLV|7RCR|89AAC|aAART
100	12621 22142	   	245.33	DCR|1VULN|2AAC|1TLV|2ASPD|1CDMG	1CDMG|2VULN|3DUR|46ASPD|5TLV|7RCR|89AAC|aFEWX
101	12621 32242	   	245.33	DCR|1VULN|2AAC|1TLV|2ASPD|1CDMG	1CDMG|2VULN|3DUR|48ASPD|5TLV|69AAC|7RCR|aFEWX
102	12621 36253	   	245.33	DCR|1VULN|1TLV|2AAC|2ASPD|1CDMG	1CDMG|2VULN|3DUR|48ASPD|5TLV|6aAAC|7TBNT|9RCR
103	12221 22141	   	245.33	DCR|1VULN|1TLV|2AAC|2ASPD|1CDMG	1CDMG|2VULN|3LHND|46ASPD|5TLV|7RCR|89AAC|aDUR
104	12221 32241	   	245.33	DCR|1VULN|1TLV|2AAC|2ASPD|1CDMG	1CDMG|2VULN|3LHND|48ASPD|5TLV|69AAC|7RCR|aDUR
105	12321 22141	   	245.33	DCR|1VULN|1TLV|2AAC|2ASPD|1CDMG	1CDMG|2VULN|3LWND|46ASPD|5TLV|7RCR|89AAC|aDUR
106	12321 32241	   	245.33	DCR|1VULN|1TLV|2AAC|2ASPD|1CDMG	1CDMG|2VULN|3LWND|48ASPD|5TLV|69AAC|7RCR|aDUR
107	12411 22453	   	245.27	DCR|2VULN|1TLV|1MLV|1AAC|1CDMG	1CDMG|29VULN|3AETHUN|4ZMB|5AME|6MLV|7RCR|8TLV|aAAC
108	12411 62353	   	245.27	DCR|2VULN|1TLV|1MLV|1AAC|1CDMG	1CDMG|29VULN|3AETHUN|4ZMB|5AME|6TLV|7RCR|8MLV|aAAC
109	12121 32241	   	245.23	DCR|1VULN|2AAC|1TLV|2ASPD|1CDMG	1CDMG|2VULN|3DUST|48ASPD|5TLV|69AAC|7RCR|aAART
110	26121 32246	   	245.23	DCR|1VULN|2AAC|1TLV|2ASPD|1CDMG	1DUR|2CDMG|3DUST|48ASPD|5TLV|69AAC|7RCR|aVULN
111	12121 22141	   	245.23	DCR|1VULN|2AAC|1TLV|2ASPD|1CDMG	1CDMG|2VULN|3DUST|46ASPD|5TLV|7RCR|89AAC|aAART
112	12621 22143	   	245.23	DCR|1VULN|1TLV|2AAC|2ASPD|1CDMG	1CDMG|2VULN|3DUR|46ASPD|5TLV|7RCR|89AAC|aAEWIND
113	12621 22144	   	245.23	DCR|1VULN|2AAC|1TLV|2ASPD|1CDMG|1MSE	1CDMG|2VULN|3DUR|46ASPD|5TLV|7RCR|89AAC|aMSE
114	12621 22145	   	245.23	DCR|1VULN|1TLV|2AAC|2ASPD|1CDMG	1CDMG|2VULN|3DUR|46ASPD|5TLV|7RCR|89AAC|aLEGI
115	12621 32243	   	245.23	DCR|1VULN|1TLV|2AAC|2ASPD|1CDMG	1CDMG|2VULN|3DUR|48ASPD|5TLV|69AAC|7RCR|aAEWIND
116	12621 32244	   	245.23	DCR|1VULN|2AAC|1TLV|2ASPD|1CDMG|1MSE	1CDMG|2VULN|3DUR|48ASPD|5TLV|69AAC|7RCR|aMSE
117	12621 32245	   	245.23	DCR|1VULN|1TLV|2AAC|2ASPD|1CDMG	1CDMG|2VULN|3DUR|48ASPD|5TLV|69AAC|7RCR|aLEGI
118	26121 22146	   	245.23	DCR|1VULN|2AAC|1TLV|2ASPD|1CDMG	1DUR|2CDMG|3DUST|46ASPD|5TLV|7RCR|89AAC|aVULN
119	12621 22161	   	245.08	DCR|1VULN|1TLV|2ASPD|1AAC|2DUR|1CDMG	1CDMG|2VULN|39DUR|46ASPD|5TLV|7RCR|8AAC|aAART
120	12621 22421	   	245.08	DCR|1VULN|1TLV|2ASPD|1AAC|2DUR|1CDMG	1CDMG|2VULN|38DUR|46ASPD|5TLV|7RCR|9AAC|aAART
121	12621 32261	   	245.08	DCR|1VULN|1TLV|2ASPD|1AAC|2DUR|1CDMG	1CDMG|2VULN|39DUR|48ASPD|5TLV|6AAC|7RCR|aAART
122	12321 32156	   	244.97	DCR|2VULN|1TLV|1AAC|1ASPD|1CDMG|1NUKE	1CDMG|29VULN|3LWND|4ASPD|5TLV|6AAC|7RCR|8ERES|aNUKE
123	12621 62142	   	244.92	DCR|2TLV|1VULN|2AAC|1ASPD|1CDMG	1CDMG|2VULN|3DUR|4ASPD|56TLV|7RCR|89AAC|aFEWX
124	12221 62141	   	244.92	DCR|2TLV|1VULN|2AAC|1ASPD|1CDMG	1CDMG|2VULN|3LHND|4ASPD|56TLV|7RCR|89AAC|aDUR
125	12321 62141	   	244.92	DCR|2TLV|1VULN|2AAC|1ASPD|1CDMG	1CDMG|2VULN|3LWND|4ASPD|56TLV|7RCR|89AAC|aDUR
126	12322 11554	 * 	244.92	DCR|1VULN|1TLV|1MLV|1DMG|1ASPD|1CDMG	1CDMG|2VULN|3LWND|4ASPD|5DUR|6DMG|7MLV|8MDPS|9RCR|aTLV
127	12621 32442	   	244.92	DCR|2TLV|1VULN|2AAC|1ASPD|1CDMG	1CDMG|2VULN|3DUR|4ASPD|58TLV|69AAC|7RCR|aFEWX
128	12221 32441	   	244.92	DCR|2TLV|1VULN|2AAC|1ASPD|1CDMG	1CDMG|2VULN|3LHND|4ASPD|58TLV|69AAC|7RCR|aDUR
129	12321 32441	   	244.92	DCR|2TLV|1VULN|2AAC|1ASPD|1CDMG	1CDMG|2VULN|3LWND|4ASPD|58TLV|69AAC|7RCR|aDUR
130	12121 32156	   	244.87	DCR|2VULN|1TLV|1AAC|1ASPD|1CDMG|1NUKE	1CDMG|29VULN|3DUST|4ASPD|5TLV|6AAC|7RCR|8ERES|aNUKE
131	12121 32441	   	244.82	DCR|2TLV|1VULN|2AAC|1ASPD|1CDMG	1CDMG|2VULN|3DUST|4ASPD|58TLV|69AAC|7RCR|aAART
132	12621 62143	   	244.82	DCR|2TLV|1VULN|2AAC|1ASPD|1CDMG	1CDMG|2VULN|3DUR|4ASPD|56TLV|7RCR|89AAC|aAEWIND
133	12122 11554	   	244.82	DCR|1VULN|1TLV|1MLV|1DMG|1ASPD|1CDMG	1CDMG|2VULN|3DUST|4ASPD|5DUR|6DMG|7MLV|8MDPS|9RCR|aTLV
134	12621 32443	   	244.82	DCR|2TLV|1VULN|2AAC|1ASPD|1CDMG	1CDMG|2VULN|3DUR|4ASPD|58TLV|69AAC|7RCR|aAEWIND
135	12621 62161	   	244.67	DCR|2TLV|1VULN|1AAC|1ASPD|2DUR|1CDMG	1CDMG|2VULN|39DUR|4ASPD|56TLV|7RCR|8AAC|aAART
136	12621 62421	   	244.67	DCR|2TLV|1VULN|1AAC|1ASPD|2DUR|1CDMG	1CDMG|2VULN|38DUR|4ASPD|56TLV|7RCR|9AAC|aAART
137	12621 32461	   	244.67	DCR|2TLV|1VULN|1AAC|1ASPD|2DUR|1CDMG	1CDMG|2VULN|39DUR|4ASPD|58TLV|6AAC|7RCR|aAART
138	12121 32421	   	244.30	DCR|2TLV|1VULN|2ASPD|1AAC|1CDMG	1CDMG|2VULN|3DUST|49ASPD|58TLV|6AAC|7RCR|aAART
139	12342 12463	   	244.30	DCR|2VULN|2MLV|1AAC|1CDMG	1CDMG|29VULN|3LWND|4RAT|5AAC|68MLV|7MDPS|aRCR
140	23111 35624	   	244.13	DCR|2VULN|1TLV|1DMG|2DUR|1CDMG	12DUR|2BPWR|3RAT|48VULN|5LWND|6TLV|7DMG|9RCR|aCDMG
141	23223 35624	   	244.13	DCR|2VULN|1TLV|1DMG|2DUR|1CDMG	12DUR|2BPWR|3LWND|4RAT|58VULN|6TLV|7DMG|9RCR|aCDMG
142	23122 35624	   	244.03	DCR|2VULN|1TLV|1DMG|2DUR|1CDMG	12DUR|2BPWR|3RAT|4DUST|58VULN|6TLV|7DMG|9RCR|aCDMG
143	12326 11352	 * 	243.93	DCR|2DMG|1VULN|2ASPD|1MLV|1CDMG	1CDMG|2VULN|39LWND|49ASPD|5LHND|69DMG|7MLV|8RAT|9BPWR|aRCR
144	12621 22133	   	243.78	DCR|1VULN|1TLV|2ASPD|1AAC|2RAT|1CDMG	1CDMG|2VULN|3DUR|46ASPD|5TLV|7RCR|8AAC|9aRAT
145	12621 32233	   	243.78	DCR|1VULN|1TLV|2ASPD|1AAC|2RAT|1CDMG	1CDMG|2VULN|3DUR|48ASPD|5TLV|6AAC|7RCR|9aRAT
146	12126 11352	   	243.73	DCR|2DMG|1VULN|2ASPD|1MLV|1CDMG	1CDMG|2VULN|39DUST|49ASPD|5LHND|69DMG|7MLV|8RAT|9BPWR|aRCR
147	12623 32452	   	243.72	DCR|2VULN|1TLV|1AAC|1ASPD|1CDMG	1CDMG|29VULN|3DUR|4ASPD|5AME|6AAC|7RCR|8TLV|aFEWX
148	12661 22252	   	243.72	DCR|2VULN|1TLV|1MLV|1CDMG	1CDMG|27VULN|3DUR|4LHND|5RAT|6TLV|8ZMB|9MLV|aRCR
149	12621 22131	   	243.71	DCR|1VULN|1TLV|2ASPD|1AAC|2DUR|1CDMG	1CDMG|2VULN|3aDUR|46ASPD|5TLV|7RCR|8AAC|9RAT
150	12621 32231	   	243.71	DCR|1VULN|1TLV|2ASPD|1AAC|2DUR|1CDMG	1CDMG|2VULN|3aDUR|48ASPD|5TLV|6AAC|7RCR|9RAT
151	12421 32451	   	243.62	DCR|2VULN|1TLV|1AAC|1ASPD|1CDMG	1CDMG|29VULN|3AETHUN|4ASPD|5AME|6AAC|7RCR|8TLV|aDUR
152	12621 32152	   	243.62	DCR|2VULN|1TLV|1AAC|1ASPD|1CDMG	1CDMG|29VULN|3DUR|4ASPD|5TLV|6AAC|7RCR|8ERES|aFEWX
153	12621 32155	   	243.62	DCR|2VULN|1TLV|1AAC|1ASPD|1CDMG	1CDMG|29VULN|3DUR|4ASPD|5TLV|6AAC|7RCR|8ERES|aLHND
