0	Index      	 *	Score 	Summary	Detail	
76	13611 53613	   	230.27	ACR|2BASARM|2ASPD|2BEXP	1RCR|2LIT|39LHND|4aBEXP|5FEWX|69BASARM|7ZMB|89ASPD|9BPWR
77	12116 14123	   	230.18	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART|1CDMG|1SELL	1RCR|2BEXP|3SELL|4ASPD|5DMG|6AART|7CDMG|8RMIN|9BASARM|aLWND
78	12116 14126	   	230.18	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART|1CDMG|1SELL	1RCR|2BEXP|3SELL|4ASPD|5DMG|6AART|7CDMG|8RMIN|9BASARM|aFEWX
79	12116 14121	   	230.08	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART|1CDMG|1SELL	1RCR|2BEXP|3SELL|4ASPD|5DMG|6AART|7CDMG|8RMIN|9BASARM|aDUST
80	12116 14125	   	230.08	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART|1CDMG|1SELL	1RCR|2BEXP|3SELL|4ASPD|5DMG|6AART|7CDMG|8RMIN|9BASARM|aMDPS
81	12116 12535	 * 	229.87	ACR|2ASPD|2DMG|2BEXP|2AART|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|69AART|7BPWR|8DUR|aRCVC
82	12531 63321	   	229.87	ACR|2BASARM|2ASPD|2BEXP	1RCR|23BEXP|4aASPD|5DUR|6AAC|7SPLARM|89BASARM
83	12116 12434	 * 	229.56	ACR|3BEXP|2ASPD|2DMG|1AART|1SELL	1RCR|27aBEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8LWND|9DUR
84	12116 12531	 * 	229.54	ACR|2ASPD|2DMG|2BEXP|2AART|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|69AART|7BPWR|8DUR|aLHND
85	12116 12533	 * 	229.54	ACR|2ASPD|2DMG|2BEXP|2AART|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|69AART|7BPWR|8DUR|aZMB
86	12116 12534	 * 	229.54	ACR|2ASPD|2DMG|2BEXP|2AART|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|69AART|7BPWR|8DUR|aCGEN
87	14413 12326	   	229.47	ACR|3ASPD|3DMG|1AART	1RCR|2RPLT|357ASPD|478DMG|6AART|78BPWR|9MSLTOX|aAAC
88	12116 12416	 * 	229.46	ACR|3BEXP|2ASPD|2DMG|1AART|1SELL	1RCR|27aBEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8LWND|9DUST
89	12116 12516	 * 	229.46	ACR|3BEXP|2ASPD|2DMG|1AART|1SELL	1RCR|27aBEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8DUR|9DUST
90	12116 12423	 * 	229.44	ACR|2ASPD|2DMG|2BEXP|2AART|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|6aAART|7BPWR|8LWND|9TLV
91	12116 12532	 * 	229.44	ACR|2ASPD|2DMG|2BEXP|2AART|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|69AART|7BPWR|8DUR|aSPLREG
92	12116 12266	 * 	229.36	ACR|3BEXP|2ASPD|2DMG|1AART|1SELL	1RCR|27aBEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8DUST|9LEGI
93	12434 62213	   	229.22	ACR|1BASARM|2VULN|1ASPD|1DMG|1BEXP	1RCR|2BEXP|3LIT|49VULN|5DMG|6DMSP|7BASARM|8LWND|aASPD
94	16643 22333	   	229.22	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP	1RCR|24VULN|3DMG|5FEWX|6LIT|7BASARM|8ASPD|9LHND|aBEXP
95	12532 53622	   	229.13	ACR|1BASARM|2ASPD|2BEXP|1CDMG	1RCR|23BEXP|48ASPD|5LHND|6RPLT|7CDMG|9CGEN|aBASARM
96	12533 53622	   	229.13	ACR|1BASARM|2ASPD|2BEXP|1CDMG	1RCR|23BEXP|48ASPD|5FEWX|6RPLT|7CDMG|9CGEN|aBASARM
97	16643 22313	   	229.12	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP	1RCR|24VULN|3DMG|5FEWX|6LIT|7BASARM|8ASPD|9LEGI|aBEXP
98	12532 53632	   	229.03	ACR|1BASARM|2ASPD|2BEXP|1CDMG	1RCR|23BEXP|48ASPD|5LHND|6RPLT|7CDMG|9ERES|aBASARM
99	12533 53632	   	229.03	ACR|1BASARM|2ASPD|2BEXP|1CDMG	1RCR|23BEXP|48ASPD|5FEWX|6RPLT|7CDMG|9ERES|aBASARM
100	16653 22112	   	229.03	ACR|2VULN|1BASARM|2DMG|1CDMG	1RCR|29VULN|34DMG|5FEWX|6LIT|7BASARM|8DUST|aCDMG
101	11626 12427	 * 	228.93	ACR|1BASARM|2DMG|2BEXP|1VULN	1RCR|2LWND|37DMG|4AIRHEL|5aBEXP|6MBVNT|8VULN|9BASARM
102	14122 52123	 * 	228.88	ACR|3DMG|2VULN|2BEXP|1CDMG	1RCR|2RPLT|3MDPS|489DMG|59VULN|69BEXP|7RCVC|9BPWR|aCDMG
103	14166 12123	   	228.88	ACR|3DMG|2VULN|2BEXP|1CDMG	1RCR|2RPLT|3MDPS|49BEXP|589DMG|69VULN|7RCVC|9BPWR|aCDMG
104	14122 15332	   	228.67	ACR|3VULN|2ASPD|2DMG	1RCR|2RPLT|3MDPS|48DMG|568VULN|78ASPD|8BPWR|9ZMB|aAAC
105	14122 15352	   	228.67	ACR|3VULN|2ASPD|2DMG	1RCR|2RPLT|3MDPS|48DMG|568VULN|78ASPD|8BPWR|9RMIN|aAAC
106	14122 15522	   	228.57	ACR|3VULN|2ASPD|2DMG	1RCR|2RPLT|3MDPS|49DMG|569VULN|79ASPD|8NUKE|9BPWR|aAAC
107	14122 15322	   	228.57	ACR|3VULN|2ASPD|2DMG	1RCR|2RPLT|3MDPS|48DMG|568VULN|78ASPD|8BPWR|9ERES|aAAC
108	12535 62213	 * 	228.17	ACR|3BEXP|2ASPD|1DMG|1VULN|1CDMG	1RCR|236BEXP|47ASPD|57ERES|7BPWR|8CDMG|9DMG|aVULN
109	11123 12525	   	227.70	ACR|1BASARM|2ASPD|1BEXP|1AART|1CDMG|1SELL	1RCR|2LWND|3SELL|4BEXP|5aASPD|6AART|7FEWX|8CDMG|9BASARM
110	11123 16525	   	227.70	ACR|1BASARM|2ASPD|1BEXP|1AART|1CDMG|1SELL	1RCR|2LWND|3SELL|4BEXP|5aASPD|6AART|7LHND|8CDMG|9BASARM
111	11123 13525	   	227.60	ACR|1BASARM|2ASPD|1BEXP|1AART|1CDMG|1SELL	1RCR|2LWND|3SELL|4BEXP|5aASPD|6AART|7DUST|8CDMG|9BASARM
112	14122 54123	   	227.28	ACR|3DMG|2VULN|2BEXP|1CDMG	1RCR|2RPLT|3MDPS|489DMG|59VULN|69BEXP|7DMSP|9BPWR|aCDMG
113	16643 22213	 * 	227.02	ACR|3VULN|1BASARM|1ASPD|1DMG	1RCR|249VULN|3DMG|5FEWX|6LIT|7BASARM|8LWND|aASPD
114	12116 12321	 * 	226.60	ACR|2ASPD|2DMG|2BEXP|1AART|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8aLIT|9AAC
115	12116 12326	 * 	226.60	ACR|2ASPD|2DMG|2BEXP|1AART|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8LIT|9AAC|aFEWX
116	12116 12323	 * 	226.50	ACR|2ASPD|2DMG|2BEXP|1AART|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8LIT|9AAC|aERES
117	12116 12324	 * 	226.50	ACR|2ASPD|2DMG|2BEXP|1AART|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8LIT|9AAC|aTLV
118	12116 12325	 * 	226.50	ACR|2ASPD|2DMG|2BEXP|1AART|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8LIT|9AAC|aDUST
119	16116 36444	 * 	226.36	ACR|3ASPD|2VULN|2DMG|1SELL	1RCR|2aVULN|3SELL|49aASPD|5aDMG|6MBVNT|7RCVC|8MDPS|aBPWR
120	12113 26553	 * 	226.30	ACR|4VULN|3BEXP|2ASPD|1SELL	1RCR|289BEXP|3SELL|49ASPD|569aVULN|7MDPS|9BPWR
121	12531 63352	   	226.30	ACR|1BASARM|2BEXP|1ASPD|1VULN|1AART	1RCR|23BEXP|4ASPD|5DUR|6AAC|7SPLARM|8BASARM|9AART|aVULN
122	12533 63352	   	226.30	ACR|1BASARM|2BEXP|1ASPD|1VULN|1AART	1RCR|23BEXP|4ASPD|5FEWX|6AAC|7SPLARM|8BASARM|9AART|aVULN
