0	Index      	 *	Score 	Summary	Detail	
64	21311 36314	   	190.65	ACR|3DMG|2AART|1VULN|1ZMB	1RCVC|2RCR|345DMG|5BPWR|6ZMB|7VULN|8DLOT|9aAART
65	21331 36314	   	190.65	ACR|3DMG|2AART|1VULN|1ZMB	1RCVC|2RCR|345DMG|45BPWR|6ZMB|7VULN|8DLOT|9aAART
66	11154 32262	   	190.54	ACR|3DMG|1AART|1VULN|1CDMG|2DUR|1SELL	1CDMG|2SELL|3RCR|4AART|589DMG|6VULN|7aDUR
67	21316 21422	 * 	190.45	ACR|3DMG|1VULN|3ASPD|1CDMG|2DUR	1RCVC|2RCR|347DMG|578ASPD|67DUR|7BPWR|9VULN|aCDMG
68	21336 21422	   	190.45	ACR|3DMG|1VULN|3ASPD|1CDMG|2DUR	1RCVC|2RCR|347DMG|47BPWR|578ASPD|67DUR|9VULN|aCDMG
69	12325 33116	   	190.17	DCR|4VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2459VULN|3AART|6DUR|7DMG|8CGEN|aRCR
70	12325 33236	   	190.17	DCR|4VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2458VULN|3AART|6DUR|7DMG|9RMIN|aRCR
71	12325 33256	   	190.17	DCR|4VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2458VULN|3AART|6DUR|7DMG|9CGEN|aRCR
72	12325 33416	   	190.07	DCR|4VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2459VULN|3AART|6DUR|7DMG|8ERES|aRCR
73	12322 61216	   	189.74	DCR|4VULN|1AART|1DMG|2CDMG	18CDMG|2489VULN|3AART|5MLV|6DMG|78LWND|8BPWR|aRCR
74	12322 62216	   	189.74	DCR|4VULN|1AART|1DMG|2CDMG	18CDMG|2489VULN|3AART|5MLV|6DMG|78LHND|8BPWR|aRCR
75	12326 23116	   	189.64	DCR|4VULN|1AART|1DMG|2CDMG	15CDMG|2459VULN|3AART|5BPWR|6BEXP|7DMG|8CGEN|aRCR
76	12326 23256	   	189.64	DCR|4VULN|1AART|1DMG|2CDMG	15CDMG|2458VULN|3AART|5BPWR|6BEXP|7DMG|9CGEN|aRCR
77	12326 53116	   	189.64	DCR|4VULN|1AART|1DMG|2CDMG	15CDMG|2459VULN|3AART|5BPWR|6FEWX|7DMG|8CGEN|aRCR
78	12326 23416	   	189.54	DCR|4VULN|1AART|1DMG|2CDMG	15CDMG|2459VULN|3AART|5BPWR|6BEXP|7DMG|8ERES|aRCR
79	11114 15121	   	189.44	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	1CDMG|2SELL|3RCR|48DMG|5LWND|6ZMB|7AART|9aVULN
80	11116 15121	   	189.44	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	1CDMG|2SELL|3RCR|48DMG|5BEXP|6ZMB|7AART|9aVULN
81	21623 15161	   	189.38	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1RCVC|2RCR|3FEWX|45VULN|6ZMB|7AART|89DMG|aASPD
82	11161 15121	   	189.34	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	1CDMG|2SELL|3RCR|4DUST|58DMG|6ZMB|7AART|9aVULN
83	11154 31511	   	189.31	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1CDMG|2SELL|3RCR|4AART|5DMG|68aVULN|7ZMB|9LHND
84	11154 31522	   	189.31	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1CDMG|2SELL|3RCR|4AART|5DMG|689VULN|7ZMB|aFEWX
85	11154 31523	   	189.31	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1CDMG|2SELL|3RCR|4AART|5DMG|689VULN|7ZMB|aLIT
86	21151 15121	   	189.28	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCVC|2RCR|3ERES|4DUR|58DMG|6ZMB|7AART|9aVULN
87	11154 31521	   	189.21	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1CDMG|2SELL|3RCR|4AART|5DMG|689VULN|7ZMB|aERES
88	21316 31332	   	189.19	ACR|3DMG|2VULN|2CDMG|1ASPD	1RCVC|2RCR|34aDMG|5ASPD|6BELT|7aCDMG|8aVULN|9RMIN|aBPWR
89	21336 31332	   	189.19	ACR|3DMG|2VULN|2CDMG|1ASPD	1RCVC|2RCR|34aDMG|4aBPWR|5ASPD|6BELT|7aCDMG|8aVULN|9RMIN
90	11113 21644	   	189.14	ACR|3DMG|2VULN|2CDMG|2DUR|1SELL	17CDMG|2SELL|3RCR|457DMG|67DUR|7BPWR|89VULN|aRCVC
91	13123 15141	   	189.01	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1ASPD	1CDMG|2ASPD|3RPLT|45VULN|6ZMB|7AART|8aDMG|9RCR
92	13323 15141	   	189.01	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1ASPD	1CDMG|2ASPD|35VULN|4RPLT|6ZMB|7AART|8aDMG|9RCR
93	55211 22241	   	188.98	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1TLV|2RCR|3aVULN|4RCVC|58DMG|6AART|7DUR|9ZMB
94	12422 21213	 * 	188.87	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB|1DUR	1CDMG|2VULN|3ZMB|4RPLT|56AART|7RCR|8aDMG|9DUR
95	12422 21214	   	188.87	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2aVULN|3ZMB|4RPLT|56AART|7RCR|8DMG|9DUR
96	21316 43341	   	188.78	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1RCVC|2RCR|34DMG|5ASPD|6aVULN|7BEXP|8AART|9ZMB
97	21336 43341	   	188.78	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1RCVC|2RCR|34DMG|4BPWR|5ASPD|6aVULN|7BEXP|8AART|9ZMB
98	11556 21213	 * 	188.77	DCR|2AART|2VULN|2DMG|1CDMG|1SELL	1CDMG|2SELL|38DMG|4aAART|59VULN|6MBVNT|7RCR
