0	Index      	 *	Score 	Summary	Detail	
63	22246 61232	   	196.56	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1DUR|2VULN|36LWND|4RCR|5AAC|7ASPD|8BEXP|9BASARM|aAART
64	16243 13152	   	196.56	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1VULN|2DUST|3LWND|4RCR|5DUR|6BEXP|7FEWX|8ASPD|9BASARM|aAART
65	11141 21837	 * 	196.53	ACR|3VULN|2DMG|2CDMG|1BEXP	18aVULN|28CDMG|3aDMG|4BEXP|5RCR|68LIT|7MBVNT|8aBPWR|9aLWND
66	11141 11126	   	196.51	ACR|2VULN|2ASPD|1DMG|1CDMG|1BEXP|1SELL	18VULN|2CDMG|3DMG|4BEXP|5RCR|6SELL|7FEWX|9aASPD
67	11141 14126	   	196.51	ACR|2VULN|2ASPD|1DMG|1CDMG|1BEXP|1SELL	18VULN|2CDMG|3DMG|4BEXP|5RCR|6SELL|7DUR|9aASPD
68	11151 13126	   	196.51	ACR|2VULN|2ASPD|1DMG|1CDMG|1BEXP|1SELL	18VULN|2CDMG|3DMG|4FEWX|5RCR|6SELL|7BEXP|9aASPD
69	11141 34236	   	196.20	ACR|2VULN|1ASPD|1DMG|1BEXP|1CDMG|1AART	17VULN|2CDMG|3DMG|4BEXP|5RCR|6TLV|8RCVC|9AART|aASPD
70	13244 22152	   	195.23	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|2LHND|3LWND|4RCR|58BEXP|6DMG|7RMIN|9BASARM|aDUR
71	22246 61231	 * 	195.13	ACR|1BASARM|1VULN|2BEXP|1ASPD	1DUR|2VULN|36LWND|4RCR|5AAC|7ASPD|8aBEXP|9BASARM
72	11142 33412	   	194.90	DCR|3VULN|3BEXP|2CDMG|1DMG|1ASPD	169VULN|28CDMG|3DMG|456BEXP|6BPWR|7ASPD|aRCR
73	21141 21724	   	194.19	ACR|1BASARM|2DMG|1BEXP|1CDMG	1DUR|2CDMG|38DMG|4BEXP|5RCR|6LIT|7MBVNT|9MLV|aBASARM
74	11141 21873	 * 	193.88	ACR|2VULN|1ASPD|1DMG|2CDMG|1BEXP|1AAC	18VULN|28CDMG|3DMG|4BEXP|5RCR|68LIT|7MBVNT|8BPWR|9AAC|aASPD
75	21141 53621	 * 	193.86	ACR|3DMG|1VULN|1BEXP|1AART|1CDMG	1DUR|2CDMG|389DMG|4BEXP|5RCR|6VENFST|7AART|aVULN
76	13242 34151	 * 	193.24	ACR|1BASARM|2VULN|1ASPD|1BEXP	1aVULN|2LHND|3LWND|4RCR|5MDPS|6BEXP|7RCVC|8ASPD|9BASARM
77	11151 11264	   	192.71	ACR|1BASARM|1VULN|1DMG|1CDMG|1AART|1SELL	1VULN|2CDMG|3DMG|47FEWX|5RCR|6SELL|8RPLT|9BASARM|aAART
78	11141 52121	   	192.54	ACR|2VULN|2DMG|1BEXP|1AART|1CDMG	18VULN|2CDMG|39DMG|4BEXP|5RCR|6MSLREG|7AART|aLHND
79	11141 52122	   	192.54	ACR|2VULN|2DMG|1CDMG|1BEXP|1AART	18VULN|2CDMG|39DMG|4BEXP|5RCR|6MSLREG|7AART|aRMIN
80	11141 52126	   	192.54	ACR|2VULN|2DMG|1CDMG|1BEXP|1AART	18VULN|2CDMG|39DMG|4BEXP|5RCR|6MSLREG|7AART|aLIT
81	11141 52123	   	192.44	ACR|2VULN|2DMG|1CDMG|1BEXP|1AART	18VULN|2CDMG|39DMG|4BEXP|5RCR|6MSLREG|7AART|aMBVNT
82	11141 52124	   	192.44	ACR|2VULN|2DMG|1BEXP|1CDMG|1AART	18VULN|2CDMG|39DMG|4BEXP|5RCR|6MSLREG|7AART|aDUST
83	11141 52125	   	192.44	ACR|2VULN|2DMG|1CDMG|1BEXP|1AART	18VULN|2CDMG|39DMG|4BEXP|5RCR|6MSLREG|7AART|aMDPS
84	11141 21737	 * 	192.44	ACR|3DMG|2VULN|1BEXP|1CDMG	1aVULN|2CDMG|38aDMG|4BEXP|5RCR|6LIT|7MBVNT|9aLWND|aBPWR
85	13241 25361	 * 	192.24	ACR|2VULN|2ASPD|2DMG	18VULN|2aLHND|3LWND|4RCR|5DUR|6aDMG|7MLV|9aASPD|aBPWR
