0	Index      	 *	Score 	Summary	Detail	
59	42313 42153	   	246.78	ACR|2BASARM|3BEXP|2ASPD	1AAC|27BASARM|3RCR|4VULN|578BEXP|67ASPD|7BPWR|9RPLT|aFEWX
60	42313 42116	   	246.68	ACR|2BASARM|3BEXP|2ASPD	1AAC|27BASARM|3RCR|4VULN|578BEXP|67ASPD|7BPWR|9LWND|aMBVNT
61	42313 42121	   	246.68	ACR|2BASARM|3BEXP|2ASPD	1AAC|27BASARM|3RCR|4VULN|578BEXP|67ASPD|7BPWR|9MLV|aMDPS
62	42313 42124	   	246.68	ACR|2BASARM|3BEXP|2ASPD	1AAC|27BASARM|3RCR|4VULN|578BEXP|67ASPD|7BPWR|9MLV|aSNIFST
63	42313 42141	   	246.68	ACR|2BASARM|3BEXP|2ASPD	1AAC|27BASARM|3RCR|4VULN|578BEXP|67ASPD|7BPWR|9DUST|aZMB
64	42313 42151	   	246.68	ACR|2BASARM|3BEXP|2ASPD	1AAC|27BASARM|3RCR|4VULN|578BEXP|67ASPD|7BPWR|9RPLT|aERES
65	42313 42161	   	246.68	ACR|2BASARM|3BEXP|2ASPD	1AAC|27BASARM|3RCR|4VULN|578BEXP|67ASPD|7BPWR|9CGEN|aMDPS
66	42313 42113	   	246.53	ACR|2BASARM|3BEXP|2ASPD|1SELL	1AAC|27BASARM|3RCR|4VULN|578BEXP|67ASPD|7BPWR|9LWND|aSELL
67	42313 42123	   	246.53	ACR|2BASARM|3BEXP|2ASPD|1SELL	1AAC|27BASARM|3RCR|4VULN|578BEXP|67ASPD|7BPWR|9MLV|aSELL
68	42313 42133	   	246.53	ACR|2BASARM|3BEXP|2ASPD|1SELL	1AAC|27BASARM|3RCR|4VULN|578BEXP|67ASPD|7BPWR|9LHND|aSELL
69	42313 42163	   	246.53	ACR|2BASARM|3BEXP|2ASPD|1SELL	1AAC|27BASARM|3RCR|4VULN|578BEXP|67ASPD|7BPWR|9CGEN|aSELL
70	42313 42143	   	246.43	ACR|2BASARM|3BEXP|2ASPD|1SELL	1AAC|27BASARM|3RCR|4VULN|578BEXP|67ASPD|7BPWR|9DUST|aSELL
71	42314 21323	   	245.83	ACR|2BASARM|2BEXP|1ASPD|1DMG|2AAC	17AAC|28BASARM|3RCR|4VULN|58CGEN|68BEXP|8BPWR|9DMG|aASPD
72	42313 21323	   	245.83	ACR|2BASARM|2BEXP|1ASPD|1DMG|2AAC	17AAC|28BASARM|3RCR|4VULN|58BEXP|68CGEN|8BPWR|9DMG|aASPD
73	42311 21323	   	245.63	ACR|2BASARM|2BEXP|1ASPD|1DMG|2AAC	17AAC|28BASARM|3RCR|4VULN|58ERES|68BEXP|8BPWR|9DMG|aASPD
74	42313 11323	   	245.63	ACR|2BASARM|2BEXP|1ASPD|1DMG|2AAC	17AAC|28BASARM|3RCR|4VULN|58BEXP|68TLV|8BPWR|9DMG|aASPD
75	42313 21313	   	243.36	ACR|2BASARM|2ASPD|2BEXP|2AAC	17AAC|28BASARM|3RCR|4VULN|58BEXP|68CGEN|8BPWR|9aASPD
76	42314 21313	   	243.36	ACR|2BASARM|2ASPD|2BEXP|2AAC	17AAC|28BASARM|3RCR|4VULN|58CGEN|68BEXP|8BPWR|9aASPD
77	42313 42242	   	243.16	ACR|2BASARM|2ASPD|2BEXP|2AAC	1aAAC|27BASARM|3RCR|4VULN|57BEXP|67ASPD|7BPWR|8MBVNT|9MSLREG
78	42311 21313	   	243.15	ACR|2BASARM|2ASPD|2BEXP|2AAC	17AAC|28BASARM|3RCR|4VULN|58ERES|68BEXP|8BPWR|9aASPD
79	42313 11313	   	243.15	ACR|2BASARM|2ASPD|2BEXP|2AAC	17AAC|28BASARM|3RCR|4VULN|58BEXP|68TLV|8BPWR|9aASPD
80	42313 22323	   	242.62	ACR|3BASARM|3BEXP|1DMG	1AAC|278BASARM|3RCR|4VULN|578BEXP|678CGEN|78BPWR|9LWND|aDMG
81	42313 22353	   	242.62	ACR|3BASARM|3BEXP|1DMG	1AAC|278BASARM|3RCR|4VULN|578BEXP|678CGEN|78BPWR|9LHND|aDMG
82	42314 22323	   	242.62	ACR|3BASARM|3BEXP|1DMG	1AAC|278BASARM|3RCR|4VULN|578CGEN|678BEXP|78BPWR|9LWND|aDMG
83	42314 22353	   	242.62	ACR|3BASARM|3BEXP|1DMG	1AAC|278BASARM|3RCR|4VULN|578CGEN|678BEXP|78BPWR|9LHND|aDMG
84	42313 12346	   	242.32	ACR|3BASARM|3BEXP|1DMG	1AAC|278BASARM|3RCR|4VULN|578BEXP|678TLV|78BPWR|9RCVC|aDMG
85	42311 22321	   	242.32	ACR|3BASARM|3BEXP|1ASPD	1AAC|278BASARM|3RCR|4VULN|578ERES|678BEXP|78BPWR|9FEWX|aASPD
86	42313 41131	   	242.22	ACR|1BASARM|2ASPD|2BEXP|2AAC|1AART	17AAC|2BASARM|3RCR|4VULN|58BEXP|6aASPD|9AART
87	42313 12332	   	242.22	ACR|3BASARM|3BEXP|1DMG	1AAC|278BASARM|3RCR|4VULN|578BEXP|678TLV|78BPWR|9AME|aDMG
88	42313 44112	   	240.79	ACR|1BASARM|2ASPD|2BEXP|1DMG	1AAC|2BASARM|3RCR|4VULN|58BEXP|67ASPD|9DMG|aMLV
89	42312 42122	   	240.74	ACR|2BASARM|2ASPD|1BASICY|1BEXP	1AAC|27BASARM|3RCR|4VULN|57LHND|67ASPD|7BPWR|8BEXP|9BASICY|aZMB
90	42312 42123	   	240.74	ACR|2BASARM|2ASPD|1BASICY|1BEXP	1AAC|27BASARM|3RCR|4VULN|57LHND|67ASPD|7BPWR|8BEXP|9BASICY|aFEWX
91	42312 42126	   	240.74	ACR|2BASARM|2ASPD|1BASICY|1BEXP	1AAC|27BASARM|3RCR|4VULN|57LHND|67ASPD|7BPWR|8BEXP|9BASICY|aRCVC
92	42312 42132	   	240.74	ACR|2BASARM|2ASPD|1DMG|1BEXP	1AAC|27BASARM|3RCR|4VULN|57LHND|67ASPD|7BPWR|8BEXP|9DUR|aDMG
93	42312 42523	   	240.74	ACR|2BASARM|2ASPD|1BASICY|1BEXP	1AAC|27BASARM|3RCR|4VULN|57LHND|67ASPD|7BPWR|8LWND|9BASICY|aBEXP
94	42312 42121	   	240.64	ACR|2BASARM|2ASPD|1BASICY|1BEXP	1AAC|27BASARM|3RCR|4VULN|57LHND|67ASPD|7BPWR|8BEXP|9BASICY|aDUST
95	42312 42124	   	240.64	ACR|2BASARM|2ASPD|1BASICY|1BEXP	1AAC|27BASARM|3RCR|4VULN|57LHND|67ASPD|7BPWR|8BEXP|9BASICY|aTLV
96	42312 42162	   	240.64	ACR|2BASARM|2ASPD|1DMG|1BEXP	1AAC|27BASARM|3RCR|4VULN|57LHND|67ASPD|7BPWR|8BEXP|9LEGI|aDMG
