0	Index      	 *	Score 	Summary	Detail	
51	41411 36221	   	218.61	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1MBVNT|2RCR|3ASPD|4RCVC|5DMG|6BEXP|7AART|8LWND|9VULN|aBASARM
52	41411 36821	   	218.61	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1MBVNT|2RCR|3ASPD|4RCVC|5DMG|6BEXP|7AART|8LHND|9VULN|aBASARM
53	41431 25338	   	217.32	ACR|1BASARM|2ASPD|2BEXP	1MBVNT|2RCR|39ASPD|49BEXP|5DUST|6MDPS|7BASARM|89LHND|9BPWR|aVULN
54	41433 84273	   	216.85	ACR|2ASPD|2DMG|3VULN|1BEXP	1MBVNT|2RCR|3aASPD|4BEXP|5RMIN|6aDMG|79aVULN|8RPLT|aBPWR
55	41434 12273	   	216.85	ACR|2ASPD|2DMG|3VULN|1BEXP	1MBVNT|2RCR|3aASPD|4BEXP|5aDMG|69aVULN|7RMIN|8RPLT|aBPWR
56	41632 35334	 * 	216.54	ACR|2BASARM|2DMG|1ASPD	1MBVNT|2RCR|39FEWX|4LHND|5MDPS|69DMG|79BASARM|8LEGI|9BPWR|aASPD
57	41642 35334	   	216.54	ACR|2BASARM|2DMG|1ASPD	1MBVNT|2RCR|39FEWX|4LWND|5MDPS|69DMG|79BASARM|8LEGI|9BPWR|aASPD
58	41532 35334	   	216.34	ACR|2BASARM|2DMG|1ASPD	1MBVNT|2RCR|39DUST|4LHND|5MDPS|69DMG|79BASARM|8LEGI|9BPWR|aASPD
59	41542 35334	   	216.34	ACR|2BASARM|2DMG|1ASPD	1MBVNT|2RCR|39DUST|4LWND|5MDPS|69DMG|79BASARM|8LEGI|9BPWR|aASPD
60	41434 35382	 * 	216.26	ACR|3ASPD|3DMG|1BEXP	1MBVNT|2RCR|37aASPD|4BEXP|579DMG|67LWND|7BPWR|8LHND
61	41434 35742	   	216.26	ACR|3ASPD|3DMG|1BEXP	1MBVNT|2RCR|379ASPD|4BEXP|57aDMG|67LWND|7BPWR|8FEWX
62	41443 81428	   	216.13	ACR|1BASARM|2ASPD|1AART|1CDMG	1MBVNT|2RCR|36ASPD|45CGEN|7CDMG|8BASARM|9VULN|aAART
63	41443 81448	   	216.13	ACR|1BASARM|2ASPD|1AART|1CDMG	1MBVNT|2RCR|36ASPD|45CGEN|7CDMG|8BASARM|9AART|aVULN
64	41418 31428	   	216.03	ACR|1BASARM|2ASPD|1AART|1CDMG	1MBVNT|2RCR|35ASPD|4RCVC|6TLV|7CDMG|8BASARM|9VULN|aAART
65	41418 31448	   	216.03	ACR|1BASARM|2ASPD|1AART|1CDMG	1MBVNT|2RCR|35ASPD|4RCVC|6TLV|7CDMG|8BASARM|9AART|aVULN
66	41418 46111	   	215.61	ACR|1BASARM|2ASPD|1DMG|1CDMG	1MBVNT|2RCR|35ASPD|46aRCVC|7DMG|8CDMG|9BASARM
67	41418 46112	   	215.61	ACR|1BASARM|2ASPD|1DMG|1CDMG	1MBVNT|2RCR|35ASPD|46RCVC|7DMG|8CDMG|9BASARM|aLIT
68	41418 46113	   	215.61	ACR|1BASARM|2ASPD|1DMG|1CDMG	1MBVNT|2RCR|35ASPD|46RCVC|7DMG|8CDMG|9BASARM|aDUR
69	41418 46114	   	215.61	ACR|1BASARM|2ASPD|1DMG|1CDMG	1MBVNT|2RCR|35ASPD|46RCVC|7DMG|8CDMG|9BASARM|aLWND
70	41448 61412	   	215.61	ACR|1BASARM|2ASPD|1DMG|1CDMG	1MBVNT|2RCR|35ASPD|46CGEN|7CDMG|8BASARM|9DUR|aDMG
71	41443 81412	   	215.61	ACR|1BASARM|2ASPD|1DMG|1CDMG	1MBVNT|2RCR|36ASPD|45CGEN|7CDMG|8BASARM|9DUR|aDMG
72	41443 81482	   	215.61	ACR|1BASARM|2ASPD|1DMG|1CDMG	1MBVNT|2RCR|36ASPD|45CGEN|7CDMG|8BASARM|9LWND|aDMG
73	41418 31412	   	215.51	ACR|1BASARM|2ASPD|1DMG|1CDMG	1MBVNT|2RCR|35ASPD|4RCVC|6TLV|7CDMG|8BASARM|9DUR|aDMG
74	41418 31482	   	215.51	ACR|1BASARM|2ASPD|1DMG|1CDMG	1MBVNT|2RCR|35ASPD|4RCVC|6TLV|7CDMG|8BASARM|9LWND|aDMG
75	41418 51412	   	215.51	ACR|1BASARM|2ASPD|1DMG|1CDMG	1MBVNT|2RCR|35ASPD|4RCVC|6ERES|7CDMG|8BASARM|9DUR|aDMG
76	41411 23613	   	215.44	ACR|3ASPD|2DMG|2BEXP	1MBVNT|2RCR|38aASPD|4RCVC|56DMG|7aZMB|9aBEXP|aBPWR
77	41434 35128	   	215.44	ACR|3ASPD|2DMG|2BEXP	1MBVNT|2RCR|37aASPD|48BEXP|57DMG|679LWND|7BPWR
78	41434 78342	   	215.44	ACR|3DMG|2ASPD|2BEXP	1MBVNT|2RCR|38ASPD|48BEXP|578DMG|6aRPLT|8BPWR|9MLV
79	41424 48435	   	215.41	ACR|1BASARM|2DMG|1ASPD|1CDMG	1MBVNT|2RCR|3ASPD|4ERES|5SNIHEL|6CGEN|79DMG|8CDMG|aBASARM
80	41431 25128	 * 	215.41	ACR|1BASARM|2ASPD|2CDMG|1BEXP	1MBVNT|2RCR|3aASPD|4BEXP|5aDUST|6MDPS|7BASARM|8DUR|9aCDMG|aBPWR
81	41411 35521	   	215.34	ACR|3ASPD|2DMG|2BEXP	1MBVNT|2RCR|38aASPD|4RCVC|58DMG|68BEXP|7MDPS|8BPWR|9FEWX
82	41411 35531	   	215.34	ACR|3ASPD|2DMG|2BEXP	1MBVNT|2RCR|38aASPD|4RCVC|58DMG|68BEXP|7MDPS|8BPWR|9LHND
83	41411 43213	   	215.34	ACR|3DMG|2ASPD|2BEXP	1MBVNT|2RCR|3aASPD|4RCVC|58aDMG|6AEMAG|7ZMB|9aBEXP|aBPWR
84	41411 43613	   	215.34	ACR|3ASPD|2DMG|2BEXP	1MBVNT|2RCR|38aASPD|4RCVC|5aDMG|6AEMAG|7ZMB|9aBEXP|aBPWR
85	41411 84213	   	215.34	ACR|3DMG|2ASPD|2BEXP	1MBVNT|2RCR|3aASPD|47RCVC|58aDMG|6NUKE|9aBEXP|aBPWR
86	41411 84613	   	215.34	ACR|3ASPD|2DMG|2BEXP	1MBVNT|2RCR|38aASPD|47RCVC|5aDMG|6NUKE|9aBEXP|aBPWR
87	41411 88213	   	215.34	ACR|3DMG|2ASPD|2BEXP	1MBVNT|2RCR|3aASPD|4RCVC|58aDMG|6NUKE|7DMSP|9aBEXP|aBPWR
88	41432 41746	   	215.34	ACR|3ASPD|2DMG|2BEXP	1MBVNT|2RCR|36aASPD|4aBEXP|5SNITOX|7DUR|8BELT|9aDMG|aBPWR
89	41434 35172	   	215.34	ACR|3ASPD|2DMG|2BEXP	1MBVNT|2RCR|37aASPD|48BEXP|57DMG|67LWND|7BPWR|9ERES
90	41434 78322	   	215.34	ACR|3DMG|2ASPD|2BEXP	1MBVNT|2RCR|38ASPD|48BEXP|578DMG|6aRPLT|8BPWR|9TLV
91	41434 78331	   	215.34	ACR|3DMG|2ASPD|2BEXP	1MBVNT|2RCR|38ASPD|48BEXP|578DMG|6RPLT|8BPWR|9MDPS|aZMB
92	41434 78333	   	215.34	ACR|3DMG|2ASPD|2BEXP	1MBVNT|2RCR|38ASPD|48BEXP|578DMG|6RPLT|8BPWR|9MDPS|aCGEN
93	41434 78344	   	215.34	ACR|3DMG|2ASPD|2BEXP	1MBVNT|2RCR|38ASPD|48BEXP|578DMG|6RPLT|8BPWR|9MLV|aDUST
94	41134 82422	   	215.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1SELL	1MBVNT|2RCR|3AME|4BEXP|56DMG|7FEWX|8SELL|9BASARM|aASPD
95	41134 84422	   	215.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1SELL	1MBVNT|2RCR|3AME|4BEXP|56DMG|7DUR|8SELL|9BASARM|aASPD
96	41411 35511	   	215.24	ACR|3ASPD|2DMG|2BEXP	1MBVNT|2RCR|38aASPD|4RCVC|58DMG|68BEXP|7MDPS|8BPWR|9DUST
