0	Index      	 *	Score 	Summary	Detail	
312	41434 35125	   	206.73	ACR|2ASPD|2DMG|2BEXP	1MBVNT|2RCR|37ASPD|48BEXP|57DMG|679LWND|7BPWR|aVULN
313	41434 35164	   	206.73	ACR|2ASPD|2DMG|2BEXP	1MBVNT|2RCR|37ASPD|48BEXP|57DMG|67LWND|7BPWR|9VULN|aRCVC
314	41448 27224	   	206.72	ACR|3DMG|2ASPD|1BASICY	1MBVNT|2RCR|35ASPD|4CGEN|678DMG|9BASICY|aAEMAG
315	41441 31523	   	206.71	ACR|2ASPD|2DMG|1BEXP|1AART|1AAC	1MBVNT|2RCR|39ASPD|4CGEN|5AAC|69AEFBLL|7AART|89DMG|9BPWR|aBEXP
316	41134 13744	   	206.65	ACR|1BASARM|1DMG|1BEXP|1AART|1AAC	1MBVNT|2RCR|3AME|4BEXP|5DMG|6VULN|7AAC|8LEGI|9BASARM|aAART
317	41434 35513	   	206.63	ACR|2ASPD|2DMG|2BEXP	1MBVNT|2RCR|37ASPD|4aBEXP|57DMG|67LWND|7BPWR|8VULN|9DUST
318	41434 35163	   	206.63	ACR|2ASPD|2DMG|2BEXP	1MBVNT|2RCR|37ASPD|48BEXP|57DMG|67LWND|7BPWR|9VULN|aTLV
319	41434 35171	   	206.63	ACR|2ASPD|2DMG|2BEXP	1MBVNT|2RCR|37ASPD|48BEXP|57DMG|67LWND|7BPWR|9ERES|aVULN
320	41422 23273	 * 	206.62	ACR|3ASPD|2DMG|2CDMG	1MBVNT|2RCR|39aASPD|457ERES|6aDMG|8aCDMG|aBPWR
321	41421 31523	   	206.61	ACR|2ASPD|2DMG|1AART|1BEXP|1AAC	1MBVNT|2RCR|39ASPD|4ERES|5AAC|69AEFBLL|7AART|89DMG|9BPWR|aBEXP
322	41431 17461	   	206.53	ACR|2ASPD|2DMG|2BEXP	1MBVNT|2RCR|3aASPD|4aBEXP|5DUST|6VULN|7MDPS|8aDMG|9BELT|aBPWR
323	41434 35417	   	206.49	ACR|2ASPD|2DMG|2BEXP|1SELL	1MBVNT|2RCR|37ASPD|49BEXP|57DMG|67LWND|7BPWR|8SELL|aVULN
324	41434 55131	   	206.43	ACR|2ASPD|2DMG|2BEXP	1MBVNT|2RCR|3aASPD|46BEXP|59DMG|7MDPS|8VULN
325	41433 73328	   	206.34	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1MBVNT|2RCR|3ASPD|4aBEXP|5RMIN|6CDMG|7ZMB|8ERES|9BASARM
326	41422 71128	   	206.24	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1MBVNT|2RCR|3ASPD|45ERES|6CDMG|7DUR|8aBEXP|9BASARM
327	41422 74128	   	206.24	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1MBVNT|2RCR|3ASPD|45ERES|6CDMG|7LHND|8aBEXP|9BASARM
328	41368 14131	 * 	206.23	ACR|1BASARM|2VULN|1DMG|1AART|1AAC	1MBVNT|2RCR|3LHND|4LWND|5AAC|68VULN|7DMG|9AART|aBASARM
329	41134 13546	   	206.13	ACR|1BASARM|2VULN|1DMG|1BEXP|1AAC	1MBVNT|2RCR|3AME|4BEXP|5DMG|6aVULN|7AAC|8LHND|9BASARM
330	41131 23844	   	206.03	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1MBVNT|2RCR|3AME|4BEXP|5DUST|6MDPS|7AAC|8DMG|9BASARM|aASPD
331	41134 13746	   	206.03	ACR|1BASARM|2VULN|1DMG|1BEXP|1AAC	1MBVNT|2RCR|3AME|4BEXP|5DMG|6aVULN|7AAC|8LEGI|9BASARM
332	41727 11433	   	205.96	ACR|3ASPD|2BEXP|2VULN|1AAC	1MBVNT|2RCR|3RPLT|48aASPD|5NUKE|6AAC|7aVULN|9aBEXP|aBPWR
333	41434 35532	   	205.54	ACR|2ASPD|2DMG|1BEXP|1AART	1MBVNT|2RCR|37ASPD|4BEXP|57DMG|67LWND|7BPWR|8VULN|9DMSP|aAART
334	11326 31364	   	205.37	ACR|3ASPD|2DMG|2VULN|1BEXP	18DMG|26AEFBLL|3LEGI|48VULN|5RCR|789ASPD|8BPWR|aBEXP
335	41434 41382	   	205.34	ACR|2ASPD|2DMG|1BEXP|1CDMG	1MBVNT|2RCR|37ASPD|4BEXP|59DMG|6CGEN|8VULN|aCDMG
336	41443 61444	   	205.26	ACR|1BASARM|1ASPD|1BEXP|1AART|1CDMG	1MBVNT|2RCR|3ASPD|456CGEN|7CDMG|8BASARM|9AART|aBEXP
337	41434 21382	   	205.24	ACR|2ASPD|2DMG|1BEXP|1CDMG	1MBVNT|2RCR|37ASPD|4BEXP|59DMG|6ERES|8VULN|aCDMG
338	41435 64233	   	205.16	ACR|1BASARM|1ASPD|1BEXP|1AART|1CDMG	1MBVNT|2RCR|3ASPD|4BEXP|5RPLT|6RMIN|7BASARM|8LSRREG|9CDMG|aAART
339	41415 31126	   	205.16	ACR|1BASARM|1ASPD|1BEXP|1AART|1CDMG	1MBVNT|2RCR|3ASPD|4RCVC|5MLV|6AART|7BEXP|8SPLARM|9CDMG|aBASARM
340	41443 31126	   	205.16	ACR|1BASARM|1ASPD|1BEXP|1AART|1CDMG	1MBVNT|2RCR|3ASPD|45CGEN|6AART|7BEXP|8SPLARM|9CDMG|aBASARM
341	41721 64233	   	205.16	ACR|1BASARM|1ASPD|1BEXP|1AART|1CDMG	1MBVNT|2RCR|3RPLT|4ASPD|5BEXP|6RMIN|7BASARM|8LSRREG|9CDMG|aAART
342	41111 31126	   	205.06	ACR|1BASARM|1ASPD|1BEXP|1AART|1CDMG	1MBVNT|2RCR|3AME|4RCVC|5ASPD|6AART|7BEXP|8SPLARM|9CDMG|aBASARM
343	41114 11444	   	205.06	ACR|1BASARM|1ASPD|1BEXP|1AART|1CDMG	1MBVNT|2RCR|35AME|4RCVC|6ASPD|7CDMG|8BASARM|9AART|aBEXP
344	41414 31126	   	205.06	ACR|1BASARM|1ASPD|1BEXP|1AART|1CDMG	1MBVNT|2RCR|3ASPD|4RCVC|5AME|6AART|7BEXP|8SPLARM|9CDMG|aBASARM
345	41447 45233	   	204.96	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MBVNT|2RCR|3ASPD|4CGEN|5LIT|6BEXP|7DMG|8ZMB|9BASARM|aVULN
346	41443 61422	   	204.96	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MBVNT|2RCR|3ASPD|456CGEN|7CDMG|8BASARM|9VULN|aDMG
347	41422 31126	   	204.96	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1MBVNT|2RCR|3ASPD|45ERES|6AART|7BEXP|8SPLARM|9CDMG|aBASARM
348	41424 14176	   	204.96	ACR|1BASARM|1ASPD|1BEXP|1AART|1CDMG	1MBVNT|2RCR|3ASPD|47ERES|5SNIHEL|6CDMG|8AART|9BEXP|aBASARM
349	41433 84263	   	204.92	ACR|2ASPD|2DMG|2VULN|1BEXP	1MBVNT|2RCR|3aASPD|4BEXP|5RMIN|6aDMG|7aVULN|8RPLT|9RCVC|aBPWR
350	41434 12263	   	204.92	ACR|2ASPD|2DMG|2VULN|1BEXP	1MBVNT|2RCR|3aASPD|4BEXP|5aDMG|6aVULN|7RMIN|8RPLT|9RCVC|aBPWR
351	41545 42321	   	204.86	ACR|1BASARM|1ASPD|1DMG|1AART	1MBVNT|2RCR|3DUST|48LWND|5ASPD|6AART|7DMG|9VULN|aBASARM
352	41414 21623	   	204.82	ACR|2ASPD|2DMG|2VULN|1AART	1MBVNT|2RCR|3aASPD|4RCVC|5AME|6aDMG|7AART|8RPLT|9aVULN|aBPWR
353	41434 74323	   	204.82	ACR|2ASPD|2DMG|2CDMG|1BEXP	1MBVNT|2RCR|3aASPD|4BEXP|5aDMG|6RPLT|7TLV|8CGEN|9aCDMG|aBPWR
354	41433 81347	   	204.78	ACR|3ASPD|1DMG|1AART|1BEXP|1AAC	1MBVNT|2RCR|378ASPD|4BEXP|5RMIN|6DMG|9AART|aAAC
355	41411 47325	   	204.76	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MBVNT|2RCR|3ASPD|4RCVC|5DMG|6AEMAG|7CDMG|8MULARM|9VULN|aBASARM
356	41483 42821	   	204.76	ACR|1BASARM|1ASPD|1DMG|1AART	1MBVNT|2RCR|3ASPD|4DUST|5LEGI|6AART|7DMG|8DMSP|9VULN|aBASARM
357	41114 11422	   	204.76	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MBVNT|2RCR|35AME|4RCVC|6ASPD|7CDMG|8BASARM|9VULN|aDMG
358	41434 83541	   	204.72	ACR|2ASPD|2DMG|2VULN|1BEXP	1MBVNT|2RCR|39ASPD|4BEXP|59DMG|6NUKE|7MDPS|89VULN|9BPWR|aDUR
359	41434 83542	   	204.72	ACR|2ASPD|2DMG|2VULN|1BEXP	1MBVNT|2RCR|39ASPD|4BEXP|59DMG|6NUKE|7MDPS|89VULN|9BPWR|aLIT
360	41434 83543	   	204.72	ACR|2ASPD|2DMG|2VULN|1BEXP	1MBVNT|2RCR|39ASPD|4BEXP|59DMG|6NUKE|7MDPS|89VULN|9BPWR|aMLV
361	41434 83544	   	204.72	ACR|2ASPD|2DMG|2VULN|1BEXP	1MBVNT|2RCR|39ASPD|4BEXP|59DMG|6NUKE|7MDPS|89VULN|9BPWR|aCGEN
362	41434 41381	   	204.72	ACR|2ASPD|2DMG|2VULN|1BEXP	1MBVNT|2RCR|37ASPD|4BEXP|59DMG|6CGEN|8aVULN
363	41421 72444	   	204.68	ACR|3ASPD|2VULN|1AART|1BEXP|1AAC	1MBVNT|2RCR|389ASPD|48ERES|5AAC|68VULN|7AART|8BPWR|aBEXP
364	41434 18131	   	204.62	ACR|2ASPD|2DMG|2VULN|1BEXP	1MBVNT|2RCR|3aASPD|4BEXP|59DMG|68VULN|7MDPS
365	41434 21381	   	204.62	ACR|2ASPD|2DMG|2VULN|1BEXP	1MBVNT|2RCR|37ASPD|4BEXP|59DMG|6ERES|8aVULN
366	41424 48445	 * 	204.13	ACR|1BASARM|1ASPD|1DMG|2CDMG	1MBVNT|2RCR|3ASPD|4ERES|5SNIHEL|6CGEN|7DMG|89CDMG|aBASARM
367	41443 61442	   	204.06	ACR|1BASARM|2AART|1ASPD|1CDMG	1MBVNT|2RCR|3ASPD|456CGEN|7CDMG|8BASARM|9aAART
368	41433 38263	   	204.06	ACR|2ASPD|2BEXP|2VULN|1CDMG|1AAC	1MBVNT|2RCR|3aASPD|4aBEXP|5RMIN|6LWND|7CDMG|8AAC|9aVULN|aBPWR
369	41433 72263	   	204.06	ACR|2ASPD|2BEXP|2VULN|1CDMG|1AAC	1MBVNT|2RCR|3aASPD|4aBEXP|5RMIN|6CDMG|7FEWX|8AAC|9aVULN|aBPWR
370	41448 21423	   	203.96	ACR|2ASPD|2BEXP|1DMG|1AART|1AAC	1MBVNT|2RCR|35ASPD|4CGEN|6DMG|7AART|89BEXP|aAAC
371	41448 38321	   	203.90	ACR|3ASPD|2BEXP|2AART	1MBVNT|2RCR|359ASPD|49CGEN|67AART|89BEXP|9BPWR|aMLV
372	41448 38322	   	203.90	ACR|3ASPD|2BEXP|2AART	1MBVNT|2RCR|359ASPD|49CGEN|67AART|89BEXP|9BPWR|aLWND
373	41114 11442	   	203.86	ACR|1BASARM|2AART|1ASPD|1CDMG	1MBVNT|2RCR|35AME|4RCVC|6ASPD|7CDMG|8BASARM|9aAART
374	41431 43527	   	203.86	ACR|2ASPD|2BEXP|2CDMG|1AART|1AAC	1MBVNT|2RCR|39ASPD|47BEXP|59DUST|6AART|89CDMG|9BPWR|aAAC
375	41421 72424	   	203.86	ACR|2ASPD|2BEXP|2VULN|1AART|1AAC	1MBVNT|2RCR|38ASPD|48ERES|5AAC|68VULN|7AART|8BPWR|9aBEXP
376	41448 38324	   	203.80	ACR|3ASPD|2BEXP|2AART	1MBVNT|2RCR|359ASPD|49CGEN|67AART|89BEXP|9BPWR|aSNIFST
377	11426 31363	 * 	203.75	ACR|3ASPD|2DMG|3VULN	18DMG|26AEFBLL|3FEWX|48aVULN|5RCR|789ASPD|8BPWR
378	11626 31363	   	203.75	ACR|3ASPD|2DMG|3VULN	18DMG|26AEFBLL|3DUR|48aVULN|5RCR|789ASPD|8BPWR
379	41431 23544	   	203.65	ACR|1BASARM|2ASPD|1BEXP|1AAC	1MBVNT|2RCR|3aASPD|4BEXP|5DUST|6MDPS|7AAC|8CGEN|9BASARM
380	41431 25117	   	203.65	ACR|1BASARM|2ASPD|1BEXP|1AAC	1MBVNT|2RCR|3aASPD|4BEXP|5DUST|6MDPS|7BASARM|8DUR|9AAC
381	41431 25317	   	203.65	ACR|1BASARM|2ASPD|1BEXP|1AAC	1MBVNT|2RCR|3aASPD|4BEXP|5DUST|6MDPS|7BASARM|8LHND|9AAC
382	41431 25417	   	203.65	ACR|1BASARM|2ASPD|1BEXP|1AAC	1MBVNT|2RCR|3aASPD|4BEXP|5DUST|6MDPS|7BASARM|8LWND|9AAC
383	11326 31363	   	203.65	ACR|3ASPD|2DMG|3VULN	18DMG|26AEFBLL|3LEGI|48aVULN|5RCR|789ASPD|8BPWR
384	11326 51331	   	203.51	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1DMG|2AEFBLL|3LEGI|4VULN|5RCR|6BEXP|7ASPD|8LHND|9AART|aBASARM
385	11426 31352	   	203.47	ACR|2ASPD|2DMG|2VULN|1AART|1BEXP	18DMG|26AEFBLL|3FEWX|48VULN|5RCR|78ASPD|8BPWR|9BEXP|aAART
386	11626 31352	   	203.47	ACR|2ASPD|2DMG|2VULN|1AART|1BEXP	18DMG|26AEFBLL|3DUR|48VULN|5RCR|78ASPD|8BPWR|9BEXP|aAART
