0	Index      	 *	Score 	Summary	Detail	
318	11821 24544	 * 	197.66	ACR|3DMG|2ASPD|1VULN|3DUR|1CDMG	1MBVNT|28aDUR|38ASPD|4RCR|5CDMG|6VULN|789DMG|8BPWR
319	16542 44127	   	197.65	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1MBVNT|2AAC|3CDMG|4ASPD|5DMG|68VULN|7DUST|9RCR|aAART
320	13534 13124	   	197.63	DCR|3VULN|2AART|1CDMG	1MBVNT|27LHND|357VULN|4aAART|6RCR|7BPWR|8ERES|9CDMG
321	13534 14424	   	197.63	DCR|3VULN|2AART|1CDMG	1MBVNT|2LHND|357VULN|4aAART|6RCR|8RMIN|9CDMG
322	64384 13124	   	197.63	DCR|3VULN|2AART|1CDMG	1aAART|2MBVNT|37LWND|457VULN|6RCR|7BPWR|8ERES|9CDMG
323	64384 14424	   	197.63	DCR|3VULN|2AART|1CDMG	1aAART|2MBVNT|3LWND|457VULN|6RCR|8RMIN|9CDMG
324	16471 74411	   	197.56	DCR|2VULN|2DMG|1ASPD|1CDMG|1AAC	1MBVNT|2AAC|3aVULN|4BEXP|5CDMG|6RCR|78DMG|9ASPD
325	11535 13428	   	197.54	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR	1MBVNT|27DUR|37VULN|4AART|57AELBLL|6RCR|7BPWR|8MLV|9CDMG|aASPD
326	13534 11824	   	197.53	DCR|3VULN|2AART|1CDMG|1AAC	1MBVNT|2LHND|358VULN|4aAART|6RCR|7AAC|9CDMG
327	13534 14124	   	197.53	DCR|3VULN|2AART|1CDMG	1MBVNT|2LHND|357VULN|4aAART|6RCR|8ERES|9CDMG
328	64384 14124	   	197.53	DCR|3VULN|2AART|1CDMG	1aAART|2MBVNT|3LWND|457VULN|6RCR|8ERES|9CDMG
329	11533 14352	   	197.51	DCR|4VULN|1AART|2DUR	1MBVNT|28DUR|379aVULN|4AART|5RCVC|6RCR
330	16431 74411	   	197.46	DCR|2VULN|2DMG|1ASPD|1CDMG|1AAC	1MBVNT|2AAC|3aVULN|4DUST|5CDMG|6RCR|78DMG|9ASPD
331	11535 13128	   	197.44	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR	1MBVNT|27DUR|37VULN|4AART|57AELBLL|6RCR|7BPWR|8ERES|9CDMG|aASPD
332	11831 21847	   	197.42	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1MBVNT|2DUR|3ASPD|4DUST|58CDMG|69VULN|7RCR|aAART
333	11534 17428	   	197.34	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR	1MBVNT|27DUR|35VULN|4AART|6RCR|8MLV|9CDMG|aASPD
334	11821 24521	   	197.34	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR	1MBVNT|28DUR|38ASPD|4RCR|5CDMG|6aVULN|78DMG|8BPWR|9CGEN
335	11821 24512	 * 	197.31	ACR|3ASPD|2DMG|1VULN|2CDMG|2DUR	1MBVNT|28DUR|389ASPD|4RCR|5aCDMG|6VULN|78DMG|8BPWR
336	12825 52231	   	197.28	DCR|3VULN|2DMG|3ZMB	1MBVNT|2RPLT|367ZMB|47DMG|578VULN|7BPWR|9DUST|aRCR
337	16471 74412	   	197.24	DCR|2DMG|1VULN|1ASPD|1NUKE|1CDMG|1AAC	1MBVNT|2AAC|3VULN|4BEXP|5CDMG|6RCR|78DMG|9ASPD|aNUKE
338	11534 17128	   	197.24	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR	1MBVNT|27DUR|35VULN|4AART|6RCR|8ERES|9CDMG|aASPD
339	11821 24561	   	197.24	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR	1MBVNT|28DUR|38ASPD|4RCR|5CDMG|6aVULN|78DMG|8BPWR|9TLV
340	11534 16714	   	197.21	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1MBVNT|2DUR|35VULN|4AART|6RCR|7SNIFST|8DMG|9ASPD|aRCVC
341	11534 18136	 * 	197.18	DCR|3AART|2VULN|1ASPD|1DUR	1MBVNT|2DUR|35VULN|49aAART|6RCR|7ASPD|8LWND
342	11534 18336	   	197.18	DCR|3AART|2VULN|1ASPD|1DUR	1MBVNT|2DUR|35VULN|49aAART|6RCR|7ASPD|8LHND
343	12248 78342	 * 	197.18	ACR|4VULN|2ASPD|1DMG|2DUR	1MBVNT|2RPLT|3789VULN|4RCR|57DUR|67ASPD|7BPWR|aDMG
344	11533 14378	   	197.15	DCR|3VULN|1AART|3DUR|1ZMB	1MBVNT|289DUR|379VULN|4AART|5RCVC|6RCR|9BPWR|aZMB
345	16431 74412	   	197.14	DCR|2DMG|1VULN|1ASPD|1NUKE|1CDMG|1AAC	1MBVNT|2AAC|3VULN|4DUST|5CDMG|6RCR|78DMG|9ASPD|aNUKE
346	64843 31232	 * 	197.13	DCR|1MDPS|1VULN|1AART|2CDMG|1DMG|1NUKE|1ZMB	1AART|2MBVNT|39CDMG|4MDPS|5VULN|6ZMB|7DMG|8RCR|aNUKE
347	61213 33336	   	197.12	DCR|3VULN|1AART|1ASPD|1CDMG	1AART|2AME|3RCVC|4CDMG|579VULN|6CGEN|8ASPD|aRCR
348	11831 23516	 * 	197.05	DCR|2DMG|2ASPD|1VULN|1CDMG|2DUR	1MBVNT|28DUR|39ASPD|48DUST|5CDMG|6VULN|78DMG|8BPWR|aRCR
349	63213 13336	   	197.02	DCR|3VULN|1AART|1ASPD|1CDMG	1AART|2CGEN|3RCVC|4CDMG|579VULN|6TLV|8ASPD|aRCR
350	11821 24522	 * 	197.02	ACR|2DMG|2ASPD|1VULN|1NUKE|1CDMG|2DUR	1MBVNT|28DUR|38ASPD|4RCR|5CDMG|6VULN|78DMG|8BPWR|9CGEN|aNUKE
351	11821 24562	   	196.92	ACR|2DMG|2ASPD|1VULN|1NUKE|1CDMG|2DUR	1MBVNT|28DUR|38ASPD|4RCR|5CDMG|6VULN|78DMG|8BPWR|9TLV|aNUKE
352	12255 72313	   	196.78	DCR|3VULN|1AART|1ASPD|1DUR	1MBVNT|2RPLT|357VULN|4RCVC|6RCR|7BPWR|8ASPD|9AART|aDUR
353	16431 82821	 * 	196.76	DCR|3VULN|2DMG|2CDMG|1NUKE|1AAC	1MBVNT|2AAC|37aVULN|4DUST|57CDMG|67DMG|7BPWR|8NUKE|9RCR
354	11821 24511	   	196.66	ACR|3ASPD|2DMG|1VULN|1CDMG|2DUR|1AAC	1MBVNT|28DUR|389ASPD|4RCR|5CDMG|6VULN|78DMG|8BPWR|aAAC
355	11534 14427	   	196.64	DCR|3VULN|1AART|1CDMG|1AAC|1DUR	1MBVNT|2DUR|357VULN|4AART|6RCR|8MLV|9CDMG|aAAC
356	11831 21365	   	196.61	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1MBVNT|2DUR|3ASPD|4DUST|5CDMG|68VULN|7RCR|9ZMB|aDMG
357	11534 14127	   	196.54	DCR|3VULN|1AART|1CDMG|1AAC|1DUR	1MBVNT|2DUR|357VULN|4AART|6RCR|8ERES|9CDMG|aAAC
358	11534 13426	   	196.51	DCR|3VULN|1AART|1CDMG|2DUR	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8MLV|9CDMG|aRCVC
359	11533 18812	   	196.48	DCR|3VULN|1AART|1ASPD|1DUR	1MBVNT|2DUR|38aVULN|4AART|5RCVC|6RCR|7ASPD|9BEXP
360	11533 18822	   	196.48	DCR|3VULN|1AART|1ASPD|1DUR	1MBVNT|2DUR|38aVULN|4AART|5RCVC|6RCR|7ASPD|9RPLT
361	11533 18842	   	196.48	DCR|3VULN|1AART|1ASPD|1DUR	1MBVNT|2DUR|38aVULN|4AART|5RCVC|6RCR|7ASPD|9LHND
362	64431 13327	 * 	196.43	DCR|2ASPD|1VULN|1AART|3DUR|1CDMG	1AART|2MBVNT|37ASPD|478DUR|57AME|6RCR|7BPWR|9CDMG|aVULN
363	64432 13327	   	196.43	DCR|2ASPD|1VULN|1AART|3DUR|1CDMG	1AART|2MBVNT|37ASPD|478DUR|57CGEN|6RCR|7BPWR|9CDMG|aVULN
364	11534 13126	   	196.41	DCR|3VULN|1AART|1CDMG|2DUR	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8ERES|9CDMG|aRCVC
365	11534 13728	   	196.41	DCR|3VULN|1AART|1CDMG|2DUR	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8TLV|9CDMG|aRCVC
366	11533 18832	   	196.38	DCR|3VULN|1AART|1ASPD|1DUR	1MBVNT|2DUR|38aVULN|4AART|5RCVC|6RCR|7ASPD|9DUST
367	11534 14326	   	196.24	DCR|3VULN|2AART|2DUR	1MBVNT|28DUR|357VULN|49AART|6RCR|aRCVC
