0	Index      	 *	Score 	Summary	Detail	
147	16121 24512	 * 	203.08	ACR|2VULN|2DMG|1ASPD|1NUKE|1CDMG|2DUR|1AAC	1MBVNT|2AAC|38DUR|4RCR|5CDMG|68VULN|78DMG|8BPWR|9ASPD|aNUKE
148	11534 18534	 * 	202.99	DCR|3ASPD|2VULN|1AART|1DUR	1MBVNT|2DUR|35VULN|4AART|6RCR|79aASPD|8BELT
149	11535 14373	   	202.94	DCR|3VULN|1MDPS|1AART|3DUR	1MBVNT|289DUR|379VULN|4AART|59AELBLL|6RCR|9BPWR|aMDPS
150	11534 13333	   	202.84	DCR|3VULN|1MDPS|1AART|3DUR	1MBVNT|278DUR|357VULN|4AART|6RCR|7BPWR|9DMSP|aMDPS
151	16431 74541	   	202.76	DCR|3VULN|2DMG|2CDMG|1AAC	1MBVNT|2AAC|38aVULN|4DUST|58CDMG|6RCR|78DMG|8BPWR|9ERES
152	16431 82823	 * 	202.70	DCR|2VULN|2DMG|1AART|2CDMG|1NUKE|1AAC	1MBVNT|2AAC|37VULN|4DUST|57CDMG|67DMG|7BPWR|8NUKE|9RCR|aAART
153	11534 18438	   	202.68	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1MBVNT|2DUR|35VULN|4AART|6RCR|7ASPD|8DMG|9LWND|aAAC
154	11534 18421	   	202.46	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1MBVNT|29DUR|35VULN|4AART|6RCR|7ASPD|8DMG|aRCVC
155	11535 13341	   	202.42	DCR|2VULN|2AART|1DMG|3DUR	1MBVNT|278DUR|37VULN|49AART|57AELBLL|6RCR|7BPWR|aDMG
156	16542 45122	   	202.34	DCR|2VULN|1ASPD|1DMG|1NUKE|1CDMG|1AAC|1DUR	1MBVNT|2AAC|3CDMG|4ASPD|5DMG|68VULN|7DUR|9RCR|aNUKE
157	11534 17341	   	202.22	DCR|2VULN|2AART|1DMG|3DUR	1MBVNT|278DUR|35VULN|49AART|6RCR|aDMG
