0	Index      	 *	Score 	Summary	Detail	
72	41332 11641	   	160.61	DCR|2AART|2DMG|1VULN|1ASPD	1LIT|25DMG|36AART|4ASPD|7VULN|8LWND|9RCR|aLHND
73	41332 11642	   	160.61	DCR|2AART|2DMG|1VULN|1ASPD	1LIT|25DMG|36AART|4ASPD|7VULN|8LWND|9RCR|aFEWX
74	41332 11643	   	160.61	DCR|2AART|2DMG|1VULN|1ASPD	1LIT|25DMG|36AART|4ASPD|7VULN|8LWND|9RCR|aCGEN
75	41332 12141	   	160.61	DCR|2AART|2DMG|1VULN|1ASPD	1LIT|25DMG|36AART|4ASPD|7LWND|8VULN|9RCR|aLHND
76	41332 12142	   	160.61	DCR|2AART|2DMG|1VULN|1ASPD	1LIT|25DMG|36AART|4ASPD|7LWND|8VULN|9RCR|aFEWX
77	41332 12143	   	160.61	DCR|2AART|2DMG|1VULN|1ASPD	1LIT|25DMG|36AART|4ASPD|7LWND|8VULN|9RCR|aCGEN
78	41332 12144	   	160.61	DCR|2AART|2DMG|1VULN|1ASPD	1LIT|25DMG|36AART|4ASPD|7LWND|8VULN|9RCR|aRCVC
79	41332 12145	   	160.61	DCR|2AART|2DMG|1VULN|1ASPD	1LIT|25DMG|36AART|4ASPD|7LWND|8VULN|9RCR|aMLV
80	41332 12146	   	160.61	DCR|2AART|2DMG|1VULN|1ASPD	1LIT|25DMG|36AART|4ASPD|7LWND|8VULN|9RCR|aRPLT
81	41513 52122	   	160.52	DCR|3VULN|1AART|1DMG|1ASPD	14LIT|2DMG|3ERES|578VULN|6AART|9ASPD|aRCR
82	41332 11241	   	160.51	DCR|2AART|2DMG|1VULN|1ASPD	1LIT|25DMG|36AART|4ASPD|7VULN|8DUST|9RCR|aLHND
83	41332 11242	   	160.51	DCR|2AART|2DMG|1VULN|1ASPD	1LIT|25DMG|36AART|4ASPD|7VULN|8DUST|9RCR|aFEWX
84	41332 11243	   	160.51	DCR|2AART|2DMG|1VULN|1ASPD	1LIT|25DMG|36AART|4ASPD|7VULN|8DUST|9RCR|aCGEN
85	12162 26153	   	160.48	DCR|2DMG|1AART|1VULN|1CDMG	12DUST|3AART|4CDMG|5LWND|6LIT|7RCR|8VULN|9aDMG
86	31653 23621	 * 	160.45	ACR|1AART|1VULN|1DMG|2CDMG|2DUR	1RPLT|279BEXP|3RCR|49DUR|5DMG|6VULN|89CDMG|9BPWR|aAART
87	42353 31226	 * 	160.28	DCR|3DMG|1AART|1VULN	1LIT|2CGEN|3AART|4RPLT|5VULN|6LWND|79aDMG|8RCR
88	51353 31226	   	160.28	DCR|3DMG|1AART|1VULN	1CGEN|2LIT|3AART|4RPLT|5VULN|6LWND|79aDMG|8RCR
89	12161 26315	   	160.20	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB	12DUST|3AART|48CDMG|5VULN|6LIT|7RCR|9ZMB|aDMG
90	32653 25221	   	160.15	ACR|1AART|1VULN|1DMG|2CDMG|2DUR	1RPLT|289DUST|3RCR|49DUR|5DMG|6VULN|79CDMG|9BPWR|aAART
91	31653 25223	   	160.15	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1RPLT|2BEXP|3RCR|4DUR|5DMG|6VULN|7CDMG|8DUST|9AART|aZMB
92	41332 22325	   	160.07	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1SELL	1LIT|25DMG|3AART|4ASPD|6VULN|7SELL|8CDMG|9ERES|aRCR
93	56221 12253	 * 	160.07	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD|1SELL	1CGEN|23VULN|4FLTHEA|5SELL|6DUST|7AART|8DMG|9RCR|aASPD
94	56221 22252	 * 	160.07	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1SELL	1CGEN|23VULN|4FLTHEA|5SELL|6DUR|7AART|8DMG|9RCR|aCANSTR
95	21343 52224	   	159.92	DCR|3VULN|1AART|1DMG|1DUR	1LWND|2LHND|345VULN|6DUR|7AART|8MBVNT|9DMG|aRCR
96	31653 25313	   	159.65	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1RPLT|2BEXP|3RCR|4DUR|5DMG|6VULN|7CDMG|8LWND|9ZMB|aAART
97	31433 24361	   	159.63	ACR|2VULN|2DMG|1AART	1RPLT|2BEXP|3aDMG|4FEWX|5RCR|67VULN|8AART|9MLV
98	31433 24341	   	159.53	ACR|2VULN|2DMG|1AART	1RPLT|2BEXP|3aDMG|4FEWX|5RCR|67VULN|8AART|9ERES
99	32632 52315	 * 	159.04	ACR|4VULN|1DMG|1DUR	1RPLT|2DUST|3RCR|4BELT|569aVULN|7DUR|8DMG
100	32632 61315	   	159.04	ACR|4VULN|1DMG|1DUR	1RPLT|2DUST|3RCR|4BELT|579aVULN|6DMG|8DUR
101	31653 25133	 * 	158.68	ACR|3VULN|1DMG|1CDMG|1DUR	1RPLT|2BEXP|3RCR|4DUR|5DMG|68aVULN|7CDMG|9LHND
102	31653 63221	   	158.58	ACR|3VULN|1DMG|1CDMG|1DUR	1RPLT|2BEXP|3RCR|4DUR|5DMG|6CANSTR|7CDMG|89aVULN
103	32632 52311	   	158.58	ACR|3VULN|1DMG|1CDMG|1DUR	1RPLT|2DUST|3RCR|4BELT|569VULN|7DUR|8DMG|aCDMG
104	32632 61311	   	158.58	ACR|3VULN|1DMG|1CDMG|1DUR	1RPLT|2DUST|3RCR|4BELT|579VULN|6DMG|8DUR|aCDMG
105	32653 63221	   	158.48	ACR|3VULN|1DMG|1CDMG|1DUR	1RPLT|2DUST|3RCR|4DUR|5DMG|6CANSTR|7CDMG|89aVULN
106	41332 22631	   	158.26	DCR|2DMG|1AART|1VULN|1ASPD|1DUR|1SELL	1LIT|25DMG|3AART|4ASPD|6VULN|7SELL|8RCR|9DUR|aBEXP
