0	Index      	 *	Score 	Summary	Detail	
58	12354 13112	   	168.10	DCR|3DMG|1VULN|1CDMG|2DUR|1ASPD	1aDUST|2VULN|38aDMG|4ASPD|5CDMG|6RPLT|7RCR|9aDUR|aBPWR
59	22321 33311	   	167.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1TLV|2ZMB|36VULN|49LHND|5AART|7DMG|8RCR|aCDMG
60	22321 34341	   	167.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1TLV|2ZMB|36VULN|4LHND|5AART|7RCVC|8RCR|9DMG|aCDMG
61	22321 36341	   	167.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1TLV|2ZMB|36VULN|47LHND|5AART|8RCR|9DMG|aCDMG
62	12351 62123	   	167.72	DCR|3VULN|1AART|1DMG|1ASPD	1DUST|279VULN|3DMG|4ASPD|5DMSP|6RCR|8LWND|aAART
63	12351 62513	   	167.72	DCR|3VULN|1AART|1DMG|1ASPD	1DUST|278VULN|3DMG|4ASPD|5DMSP|6RCR|9LHND|aAART
64	12351 62623	   	167.72	DCR|3VULN|1AART|1DMG|1ASPD	1DUST|279VULN|3DMG|4ASPD|5DMSP|6RCR|8LHND|aAART
65	26212 32222	 * 	167.69	ACR|4VULN|1AART|1CDMG	1TLV|269aVULN|3RMIN|4RCR|5CDMG|7BEXP|8AART
66	43242 36332	   	167.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2CDMG|34VULN|5FEWX|6AART|7BELT|8RCR|9ZMB|aDMG
67	12311 13163	   	167.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2VULN|38DMG|4CDMG|5ZMB|6RPLT|7RCR|9RMIN|aAART
68	12311 13266	   	167.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2VULN|39DMG|4CDMG|5ZMB|6RPLT|7RCR|8FEWX|aAART
69	12311 13526	   	167.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|29VULN|3DMG|4CDMG|5ZMB|6RPLT|7RCR|8LHND|aAART
70	25613 23223	   	167.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1TLV|2RPLT|3DMG|4ZMB|5MLV|69VULN|7RCR|8CDMG|aAART
71	25621 23223	   	167.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1TLV|2RPLT|3DMG|4MLV|5ZMB|69VULN|7RCR|8CDMG|aAART
72	12311 13153	   	167.28	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2VULN|38DMG|4CDMG|5ZMB|6RPLT|7RCR|9ERES|aAART
73	12413 42151	 * 	167.24	DCR|2AART|1VULN|1DMG|3DUR|1ZMB	1DUST|2VULN|345DUR|6RCR|7DMG|8aAART|9ZMB
74	42632 62122	   	167.17	ACR|2VULN|2DMG|1AART|1ASPD	1LIT|2aDMG|34VULN|5RCR|6BEXP|7AART|8ASPD|9BELT
75	41621 51232	 * 	166.97	DCR|4VULN|1AART|1CDMG	17LIT|27LHND|3RCVC|4679VULN|5AART|7BPWR|8RCR|aCDMG
76	44511 31232	   	166.97	DCR|4VULN|1AART|1CDMG	17LIT|2379VULN|47LHND|5AART|6DMSP|7BPWR|8RCR|aCDMG
77	26211 42431	   	166.84	ACR|4VULN|1AART|1ZMB	1TLV|2689VULN|3RMIN|4RCR|5AART|7ZMB|aBEXP
78	26211 42433	   	166.84	ACR|4VULN|1AART|1ZMB	1TLV|2689VULN|3RMIN|4RCR|5AART|7ZMB|aLWND
79	26212 34225	 * 	166.84	ACR|3VULN|1AART|2CDMG|1DUR	1TLV|269VULN|3RMIN|4RCR|5aCDMG|7DUR|8AART
80	42432 36133	   	166.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LIT|2aDMG|3AART|4CDMG|5ZMB|6VULN|7BELT|8LEGI|9RCR
81	42623 12236	   	166.75	DCR|2VULN|2DMG|1AART|1DUR	1LIT|29DMG|3aVULN|4DUR|5RCVC|6RPLT|7AART|8RCR
82	42636 12231	   	166.75	DCR|2VULN|2DMG|1AART|1DUR	1LIT|29DMG|34VULN|5DUR|6RPLT|7AART|8RCR|aCGEN
83	42636 12232	   	166.75	DCR|2VULN|2DMG|1AART|1DUR	1LIT|29DMG|34VULN|5DUR|6RPLT|7AART|8RCR|aLWND
84	42636 12233	   	166.75	DCR|2VULN|2DMG|1AART|1DUR	1LIT|29DMG|34VULN|5DUR|6RPLT|7AART|8RCR|aMLV
85	26211 41241	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1TLV|26VULN|3RMIN|4RCR|5AART|7DMSP|8DUR|9DMG|aCDMG
86	61516 12313	 * 	166.61	DCR|2AART|2DMG|2CDMG|1DUR	1aFEWX|2RMIN|3DUR|4aCDMG|58AART|6RCR|7MBVNT|9aDMG|aBPWR
87	61516 12443	   	166.61	DCR|2AART|2DMG|2CDMG|1DUR	1aFEWX|2RMIN|3DUR|4aCDMG|59AART|6RCR|7MBVNT|8aDMG|aBPWR
88	12364 21161	   	166.60	DCR|4VULN|2DMG|1DUR	1DUST|2579VULN|34DMG|6DUR|8FEWX|aRCR
89	12364 21341	   	166.60	DCR|4VULN|2DMG|1DUR	1DUST|2578VULN|34DMG|6DUR|9LWND|aRCR
90	12364 21361	   	166.60	DCR|4VULN|2DMG|1DUR	1DUST|2578VULN|34DMG|6DUR|9BEXP|aRCR
91	12364 22261	   	166.60	DCR|4VULN|2DMG|1DUR	1DUST|2589VULN|34DMG|6DUR|7LWND|aRCR
92	12364 61311	   	166.60	DCR|4VULN|2DMG|1DUR	1DUST|2578VULN|34DMG|6BEXP|9DUR|aRCR
93	22321 31321	   	166.30	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	1TLV|2ZMB|36VULN|4LHND|57AART|8RCR|9CDMG|aDUR
94	26211 45322	   	166.29	ACR|3VULN|1AART|1CDMG|1ZMB	1TLV|26aVULN|3RMIN|4RCR|5AART|7ERES|8ZMB|9CDMG
95	41621 51233	 * 	166.15	DCR|5VULN|1AART	17LIT|27LHND|3RCVC|4679aVULN|5AART|7BPWR|8RCR
96	44511 31233	   	166.15	DCR|5VULN|1AART	17LIT|2379aVULN|47LHND|5AART|6DMSP|7BPWR|8RCR
97	26212 34221	   	165.82	ACR|3VULN|1AART|1CDMG|2DUR	1TLV|269VULN|3RMIN|4RCR|5CDMG|7aDUR|8AART
98	12121 32456	   	165.78	DCR|3VULN|1AART|1DMG|1ZMB	1DUST|26aVULN|3LWND|4BELT|5ZMB|7DMG|8AART|9RCR
99	22321 33362	   	165.78	DCR|2AART|2VULN|1DMG|1ZMB	1TLV|2ZMB|36VULN|4LHND|59AART|7DMG|8RCR|aCGEN
100	22321 33363	   	165.78	DCR|2AART|2VULN|1DMG|1ZMB	1TLV|2ZMB|36VULN|4LHND|59AART|7DMG|8RCR|aBEXP
101	22321 33364	   	165.78	DCR|2AART|2VULN|1DMG|1ZMB	1TLV|2ZMB|36VULN|4LHND|59AART|7DMG|8RCR|aRMIN
102	22321 31342	   	165.78	DCR|2AART|2VULN|1DMG|1ZMB	1TLV|2ZMB|36VULN|4LHND|57AART|8RCR|9DMG|aCGEN
103	22321 31343	   	165.78	DCR|2AART|2VULN|1DMG|1ZMB	1TLV|2ZMB|36VULN|4LHND|57AART|8RCR|9DMG|aBEXP
104	22321 31344	   	165.78	DCR|2AART|2VULN|1DMG|1ZMB	1TLV|2ZMB|36VULN|4LHND|57AART|8RCR|9DMG|aRMIN
105	22321 21341	 * 	165.69	DCR|2AART|1VULN|1DMG|2ZMB|1CDMG	1TLV|26ZMB|3VULN|4LHND|57AART|8RCR|9DMG|aCDMG
106	22321 23361	   	165.69	DCR|2AART|1VULN|1DMG|2ZMB|1CDMG	1TLV|26ZMB|3VULN|4LHND|59AART|7DMG|8RCR|aCDMG
107	22321 33365	   	165.68	DCR|2AART|2VULN|1DMG|1ZMB	1TLV|2ZMB|36VULN|4LHND|59AART|7DMG|8RCR|aLEGI
108	22321 31325	 * 	165.68	DCR|2AART|2VULN|2CDMG|1ZMB	1TLV|2ZMB|36VULN|4LHND|57AART|8RCR|9aCDMG
109	22321 31345	   	165.68	DCR|2AART|2VULN|1DMG|1ZMB	1TLV|2ZMB|36VULN|4LHND|57AART|8RCR|9DMG|aLEGI
110	42632 62231	   	165.24	ACR|3VULN|1AART|1DMG|1DUR	1aLIT|2DMG|349VULN|5RCR|6BEXP|7AART|8DUR
111	42632 62232	   	165.24	ACR|3VULN|1AART|1DMG|1DUR	1LIT|2DMG|349VULN|5RCR|6BEXP|7AART|8DUR|aRMIN
112	42422 33215	 * 	165.21	DCR|3DMG|2AART|2ASPD	1LIT|267DMG|3aAART|4NUKE|56ASPD|6BPWR|8RCR|9MLV
113	42632 62233	   	165.14	ACR|3VULN|1AART|1DMG|1DUR	1LIT|2DMG|349VULN|5RCR|6BEXP|7AART|8DUR|aLEGI
114	33246 11464	   	165.05	DCR|2VULN|2DMG|1AART|1ASPD	1BELT|2AART|39MLV|49VULN|5MBVNT|6FEWX|7ASPD|89DMG|9BPWR|aRCR
115	31133 36333	   	164.97	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BELT|2DUR|3AART|4ZMB|58VULN|6LHND|7RCR|9LIT|aDMG
116	26213 41513	   	164.83	ACR|2VULN|2DMG|2ASPD|1CDMG	1TLV|2aVULN|3RMIN|4RCR|5VENICY|6BEXP|7aASPD|8CDMG|9aDMG|aBPWR
117	42462 21111	   	164.72	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|2DMG|34AART|5LSRREG|6ERES|79VULN|8CDMG|aRCR
118	62614 22222	   	164.69	ACR|3VULN|1AART|1CDMG|1ZMB	1FEWX|29aVULN|3DMSP|4RCR|5CDMG|6MLV|7ZMB|8AART
119	22634 11433	 * 	164.68	DCR|3ZMB|1AART|1VULN|1DMG|2ASPD	1TLV|236ZMB|45ASPD|7VULN|8RCR|9DMG|aAART
120	12614 22222	   	164.59	ACR|3VULN|1AART|1CDMG|1ZMB	1DUST|29aVULN|3DMSP|4RCR|5CDMG|6MLV|7ZMB|8AART
121	12614 63222	   	164.59	ACR|3VULN|1AART|1CDMG|1ZMB	1DUST|29aVULN|3DMSP|4RCR|5CDMG|6ZMB|7CGEN|8AART
122	15314 22222	   	164.59	ACR|3VULN|1AART|1CDMG|1ZMB	1DUST|2DMSP|39aVULN|4RCR|5CDMG|6MLV|7ZMB|8AART
123	15314 63222	   	164.59	ACR|3VULN|1AART|1CDMG|1ZMB	1DUST|2DMSP|39aVULN|4RCR|5CDMG|6ZMB|7CGEN|8AART
124	26212 22522	   	164.59	ACR|3VULN|1AART|1CDMG|1ZMB	1TLV|29aVULN|3RMIN|4RCR|5CDMG|6MLV|7ZMB|8AART
125	26211 41422	   	164.53	ACR|2VULN|2AART|1DMG|1ASPD	1TLV|26VULN|3RMIN|4RCR|59AART|7DMSP|8ASPD|aDMG
126	14314 22222	   	164.49	ACR|3VULN|1AART|1CDMG|1ZMB	12DUST|39aVULN|4RCR|5CDMG|6MLV|7ZMB|8AART
127	14314 63222	   	164.49	ACR|3VULN|1AART|1CDMG|1ZMB	12DUST|39aVULN|4RCR|5CDMG|6ZMB|7CGEN|8AART
128	12364 33122	   	164.47	DCR|4VULN|2DMG	1DUST|259aVULN|34DMG|6MLV|7RCVC|8RCR
129	12364 43122	   	164.47	DCR|4VULN|2DMG	1DUST|259aVULN|34DMG|6RMIN|7RCVC|8RCR
130	42533 34132	   	164.45	DCR|2VULN|2DMG|1AART|1DUR	1LIT|2aDMG|3DUR|4LHND|5aVULN|6CANHEL|7AART|8aFEWX|9RCR|aBPWR
131	62361 21325	 * 	164.31	DCR|3DMG|2VULN|3DUR	1aFEWX|27VULN|34aDMG|5RCVC|68aDUR|9RCR|aBPWR
132	62363 21325	   	164.31	DCR|3DMG|2VULN|3DUR	15aFEWX|27VULN|34aDMG|68aDUR|9RCR|aBPWR
133	26211 42421	   	164.19	ACR|3VULN|2AART|1ZMB	1TLV|268VULN|3RMIN|4RCR|59AART|7ZMB|aBEXP
134	26211 42423	   	164.19	ACR|3VULN|2AART|1ZMB	1TLV|268VULN|3RMIN|4RCR|59AART|7ZMB|aLWND
135	62161 41322	   	164.11	DCR|3VULN|2AART|1CDMG	1FEWX|26aVULN|3LWND|4RCVC|57AART|8RCR|9CDMG
136	62621 41322	   	164.01	DCR|3VULN|2AART|1CDMG	1FEWX|26aVULN|3DMSP|4LEGI|57AART|8RCR|9CDMG
137	12333 15254	   	164.01	DCR|3VULN|1AART|1DMG|2DUR	1DUST|278VULN|3DMG|45DUR|6LHND|9AART|aRCR
138	22331 12456	   	164.01	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1TLV|2ZMB|3aVULN|4ASPD|5BELT|6DUR|7DMG|8AART|9RCR
139	26221 41322	   	163.91	DCR|3VULN|2AART|1CDMG	1TLV|26aVULN|3RMIN|4LEGI|57AART|8RCR|9CDMG
140	62132 53262	   	163.65	DCR|2VULN|2DMG|1AART|1DUR	1FEWX|2aVULN|3LWND|4TLV|5aDUST|6DUR|7aDMG|8AART|9RCR|aBPWR
141	31132 26356	   	163.65	DCR|3VULN|1AART|2DUR|1ZMB	1BELT|29DUR|3AART|4ZMB|5RMIN|69CGEN|79aVULN|8RCR|9BPWR
142	22321 34322	   	163.57	DCR|3VULN|1AART|1CDMG|1ZMB	1TLV|2ZMB|36aVULN|4LHND|5AART|7RCVC|8RCR|9CDMG
143	22321 36322	   	163.57	DCR|3VULN|1AART|1CDMG|1ZMB	1TLV|2ZMB|36aVULN|47LHND|5AART|8RCR|9CDMG
144	26211 42332	 * 	163.53	ACR|3VULN|1AART|2ZMB|1ASPD	1TLV|269VULN|3RMIN|4RCR|5AART|78ZMB|aASPD
145	26211 43421	 * 	163.41	ACR|2AART|2VULN|1CDMG|2DUR	1TLV|26VULN|3RMIN|4RCR|58AART|7aDUR|9CDMG
146	12264 13326	   	163.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|29VULN|3RMIN|4DMG|5CDMG|6RPLT|7RCR|8DUR|aAART
147	12354 13163	   	163.31	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2VULN|38DMG|4ASPD|5CDMG|6RPLT|7RCR|9RMIN|aAART
