0	Index      	 *	Score 	Summary	Detail	
59	53631 13336	   	167.30	ACR|3VULN|1AART|1DMG|1ZMB	1MLV|2LEGI|389VULN|4TLV|5RCR|6DMG|7ZMB|aAART
60	36543 13323	   	167.30	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	13BEXP|2CDMG|4DMG|5RCR|6RMIN|7AART|8ZMB|9aVULN
61	62123 83414	   	167.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|5CDMG|6DUST|7aVULN|8AART|9DMG
62	62123 83447	   	167.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|5CDMG|6DUST|79VULN|8AART|aDMG
63	62183 62414	   	167.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|4aVULN|5CDMG|6LIT|7DMG|8AART|9TLV
64	62173 12311	 * 	167.23	ACR|2VULN|1AART|1DMG|2ASPD|1DUR	19ASPD|2MBVNT|3RCR|4LHND|5DUR|67VULN|8AART|aDMG
65	31321 16635	   	166.94	ACR|3VULN|3DMG	128BEXP|389VULN|4FEWX|5RCR|69aDMG|789LWND|89BPWR
66	31321 64633	   	166.94	ACR|3VULN|3DMG	128BEXP|389VULN|4FEWX|5RCR|69LHND|789DMG|89BPWR|aBELT
67	33321 16635	   	166.94	ACR|3VULN|3DMG	138BEXP|289VULN|4FEWX|5RCR|69aDMG|789LWND|89BPWR
68	33321 64633	   	166.94	ACR|3VULN|3DMG	138BEXP|289VULN|4FEWX|5RCR|69LHND|789DMG|89BPWR|aBELT
69	31321 64631	   	166.84	ACR|3VULN|3DMG	128BEXP|389VULN|4FEWX|5RCR|69LHND|789DMG|89BPWR|aLEGI
70	31321 64632	   	166.84	ACR|3VULN|3DMG	128BEXP|389VULN|4FEWX|5RCR|69LHND|789DMG|89BPWR|aERES
71	33321 64631	   	166.84	ACR|3VULN|3DMG	138BEXP|289VULN|4FEWX|5RCR|69LHND|789DMG|89BPWR|aLEGI
72	33321 64632	   	166.84	ACR|3VULN|3DMG	138BEXP|289VULN|4FEWX|5RCR|69LHND|789DMG|89BPWR|aERES
73	62138 42642	   	166.83	ACR|2VULN|2DMG|3ASPD|1DUR	146ASPD|2MBVNT|3RCR|48BPWR|58DMG|78VULN|9MLV|aDUR
74	32131 44321	   	166.83	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1BEXP|2TLV|3ZMB|49VULN|5RCR|6DUR|7DMG|8AART|aASPD
75	36313 35331	   	166.81	ACR|3VULN|1DMG|2CDMG|2ASPD	1BEXP|24CDMG|3DMG|5RCR|68ASPD|79aVULN
76	62138 43447	 * 	166.81	ACR|2AART|1VULN|3ASPD|1DMG|1DUR	146ASPD|2MBVNT|3RCR|4BPWR|5DMG|7DUR|8VULN|9aAART
77	62138 42632	   	166.73	ACR|2VULN|2DMG|3ASPD|1DUR	146ASPD|2MBVNT|3RCR|48BPWR|58DMG|78VULN|9NUKE|aDUR
78	51311 16134	   	166.67	DCR|3VULN|1AART|1CDMG|1ZMB	1MLV|2CGEN|39aVULN|4CDMG|5ZMB|6RCR|7BEXP|8AART
79	62424 27454	   	166.65	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2MBVNT|3BELT|4DMG|5CDMG|6aVULN|7DUR|8AART|9RCR
80	62427 33454	   	166.65	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2MBVNT|3BELT|4DMG|5DUR|6aVULN|7CDMG|8AART|9RCR
81	62138 46242	 * 	166.61	ACR|2VULN|1AART|3ASPD|1DMG	146ASPD|2MBVNT|3RCR|4BPWR|5DMG|7DMSP|8AART|9aVULN
82	62182 23631	   	166.60	ACR|3VULN|1DMG|2ZMB|2ASPD	18ASPD|2MBVNT|3RCR|48aVULN|5LHND|6LWND|78ZMB|8BPWR|9DMG
83	62128 12422	   	166.49	ACR|3VULN|1AART|2ASPD|1ZMB	18ASPD|2MBVNT|3RCR|4LWND|568VULN|78CGEN|8BPWR|9AART|aZMB
84	62187 42422	   	166.39	ACR|3VULN|1AART|2ASPD|1ZMB	18ASPD|2MBVNT|3RCR|478VULN|58MLV|6LEGI|8BPWR|9AART|aZMB
85	36313 65321	 * 	166.24	ACR|3VULN|3CDMG|1DMG|1ASPD	1BEXP|247CDMG|3DMG|5RCR|69aVULN|8ASPD
86	62134 32446	   	166.21	ACR|2VULN|1AART|3ASPD|1DMG	148ASPD|2MBVNT|3RCR|48BPWR|5FEWX|68VULN|78CGEN|9AART|aDMG
87	51311 15341	 * 	166.18	DCR|3VULN|1DMG|2ZMB|1CDMG	1MLV|2CGEN|38aVULN|4CDMG|57ZMB|6RCR|9DMG
88	62136 32446	   	166.11	ACR|2VULN|1AART|3ASPD|1DMG	148ASPD|2MBVNT|3RCR|48BPWR|5DUST|68VULN|78CGEN|9AART|aDMG
89	62141 33111	   	166.03	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|4BELT|5ERES|68VULN|7CDMG|9DMG|aAART
90	62188 22422	   	165.87	ACR|4VULN|1DMG|1DUR|1ASPD	1ASPD|2MBVNT|3RCR|457aVULN|6CANSTR|8DUR|9DMG
91	62128 12433	 * 	165.85	ACR|4VULN|1DMG|2ASPD	18ASPD|2MBVNT|3RCR|4LWND|5689VULN|78CGEN|8BPWR|aDMG
92	62138 43428	   	165.76	ACR|1AART|1VULN|3ASPD|1DMG|1ZMB|1DUR	146ASPD|2MBVNT|3RCR|4BPWR|5DMG|7DUR|8VULN|9ZMB|aAART
93	62188 22221	   	165.65	ACR|4VULN|1DMG|2ASPD	18ASPD|2MBVNT|3RCR|4578VULN|68CANSTR|8BPWR|9LHND|aDMG
94	62128 32433	   	165.65	ACR|4VULN|1DMG|2ASPD	18ASPD|2MBVNT|3RCR|4LWND|5789VULN|68ERES|8BPWR|aDMG
95	62185 22332	   	165.65	ACR|4VULN|1DMG|2ASPD	19ASPD|2MBVNT|3RCR|4789VULN|5RCVC|69CANSTR|9BPWR|aDMG
96	62137 22438	   	165.61	ACR|2VULN|1AART|3ASPD|1DMG	148ASPD|2MBVNT|3RCR|48BPWR|5LWND|68VULN|78CGEN|9DMG|aAART
97	62183 21384	   	165.52	ACR|3VULN|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2MBVNT|3RCR|469VULN|5CDMG|7BEXP|8DUR|aDMG
98	62183 23231	   	165.52	ACR|3VULN|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2MBVNT|3RCR|46aVULN|5CDMG|7RPLT|8DUR|9DMG
99	62183 62222	 * 	165.52	ACR|3DMG|1VULN|1CDMG|1ASPD|1DUR	1ASPD|2MBVNT|3RCR|4VULN|5CDMG|6LIT|789DMG|aDUR
100	11361 13662	   	165.50	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LHND|23BEXP|4VULN|5RCR|69DMG|7ZMB|8CDMG|aAART
101	31161 13662	   	165.50	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	12BEXP|3LHND|4VULN|5RCR|69DMG|7ZMB|8CDMG|aAART
102	62183 12331	 * 	165.45	ACR|5VULN|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|4789aVULN|5CDMG|6MLV
103	62183 22331	   	165.45	ACR|5VULN|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|4689aVULN|5CDMG|7CGEN
104	62183 25331	   	165.45	ACR|5VULN|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|4689aVULN|5CDMG|7MLV
105	62183 72331	   	165.45	ACR|5VULN|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|4789aVULN|5CDMG|6CGEN
106	62138 45313	 * 	165.41	ACR|2DMG|1AART|3ASPD|2CDMG	146ASPD|2MBVNT|3RCR|48BPWR|58DMG|78CDMG|9LIT|aAART
107	63132 64122	 * 	165.29	ACR|1AART|1VULN|1DMG|1FLTHEA|1ZMB|1ASPD|1DUR	1ASPD|2LEGI|3ZMB|4RCR|5LIT|6DMG|7VULN|8AART|9FLTHEA|aDUR
108	62123 25544	   	165.21	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|5CDMG|6aVULN|7ZMB|8AART|9DUR
