0	Index      	 *	Score 	Summary	Detail	
110	11463 13232	   	218.70	DCR|3VULN|1AART|2CDMG|1DMG|2ZMB	123VULN|49ZMB|5DMG|67CDMG|8RCR|aAART
111	14111 53423	   	218.14	DCR|3VULN|2DMG|1MDPS|1AART|1AAC|1DUR	147VULN|24DMG|3AART|4BPWR|5MDPS|6RCR|8MLV|9DUR|aAAC
112	14111 53223	   	218.04	DCR|3VULN|1MDPS|2DMG|1AART|1AAC|1DUR	147VULN|24DMG|3AART|4BPWR|5MDPS|6RCR|8ERES|9DUR|aAAC
113	11423 13221	 * 	218.02	DCR|4VULN|3CDMG|1DMG|2DUR	123aVULN|4RMIN|5DMG|67aCDMG|8RCR|9aDUR|aBPWR
114	11463 23122	 * 	217.93	DCR|3VULN|2DMG|1ASPD|1CDMG|1ZMB	123VULN|4ZMB|57DMG|6ASPD|8LIT|9CDMG|aRCR
115	33334 32662	   	217.86	DCR|2VULN|2AART|2DMG|1CDMG|1DUR	12AART|36VULN|4DUR|59DMG|7FEWX|8CDMG|aRCR
116	33625 24232	 * 	217.64	DCR|2AART|2DMG|2ASPD|1VULN|1ZMB	12AART|38LIT|48DMG|5DUST|6ZMB|78ASPD|8BPWR|9VULN|aRCR
117	14142 31315	 * 	217.41	DCR|2VULN|2DMG|2ASPD|1AART	1aVULN|29DMG|3AART|4aDUST|5aASPD|6BELT|7RCR|8MBVNT|aBPWR
118	14113 25362	   	217.31	DCR|3VULN|2DMG|1AART|1CDMG	14aVULN|24DMG|3AART|4BPWR|5RMIN|6DUST|7RCR|8RPLT|9CDMG
119	11423 13245	 * 	217.28	DCR|4VULN|2CDMG|1ASPD|1DMG	123aVULN|4RMIN|5DMG|67CDMG|8RCR|9ASPD
120	35631 53321	   	217.21	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1AART|2DUR|37CDMG|45VULN|6RCR|8LIT|9aDMG
121	14111 51252	   	217.13	DCR|3DMG|2VULN|1MDPS|1AART|1CDMG	14VULN|24aDMG|3AART|4BPWR|5MDPS|6RCR|7LWND|8CDMG|9FEWX
