0	Index      	 *	Score 	Summary	Detail	
323	11322 51132	   	162.26	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1BEXP|2VULN|3DMG|4RCR|5CDMG|6MLV|7ERES|8ZMB|9aAART
324	26362 14331	   	162.23	DCR|3VULN|1DMG|1CDMG|1ZMB	1NUKE|2LWND|347VULN|5CDMG|6RCR|8LIT|9ZMB|aDMG
325	11322 63515	   	162.08	ACR|2DMG|1VULN|1CDMG|1FLTHEA|2DUR	1BEXP|2VULN|37DMG|4RCR|5CDMG|6RCVC|89DUR|aFLTHEA
326	11351 15322	   	161.97	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	16BEXP|2VULN|3aDMG|4ZMB|5MLV|7RCR|8AART|9DUR
327	63362 13611	   	161.86	DCR|2VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ASPD|2LWND|34VULN|5CDMG|6RCR|7DMG|8ZMB|9DUR|aRCVC
328	63513 13235	   	161.80	DCR|2VULN|2DMG|1CDMG|1ASPD	1ASPD|25LWND|3CDMG|48VULN|6RCR|7aDMG|9RCVC
329	11321 51163	   	161.79	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	15BEXP|27VULN|3DMG|4RCR|6DMSP|8DUR|9AART|aZMB
330	11321 55343	   	161.79	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	15BEXP|28VULN|3DMG|4RCR|6DMSP|7ZMB|9AART|aDUR
331	63513 13413	   	161.73	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|25LWND|3CDMG|4VULN|6RCR|7DMG|8AART|9ZMB|aRCVC
332	64323 33315	   	161.73	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1ASPD|2FEWX|3aVULN|4RCR|5AART|6LWND|7DUR|8DMG|9RCVC
333	11631 16371	   	161.71	DCR|2VULN|2DMG|1AART	16aBEXP|23VULN|4MBVNT|5aMLV|7RCR|8AART|9aDMG|aBPWR
334	26362 16132	   	161.66	DCR|2VULN|2AART|1CDMG|1ZMB	1NUKE|2LWND|34VULN|5CDMG|6RCR|7DUST|8ZMB|9aAART
335	61622 13413	   	161.63	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMSP|3VULN|4DUST|5CDMG|6RCR|7DMG|8AART|9ZMB|aRCVC
336	11321 44251	   	161.63	ACR|2VULN|2DMG|1AART	15aBEXP|2aVULN|37DMG|4RCR|6CGEN|8aLWND|9AART|aBPWR
337	11321 51242	   	161.63	ACR|2VULN|2DMG|1AART	15aBEXP|27VULN|3aDMG|4RCR|6DMSP|8aCGEN|9AART|aBPWR
338	12321 44351	   	161.63	ACR|2VULN|2DMG|1AART	15aBEXP|2aLHND|37DMG|4RCR|6CGEN|8aVULN|9AART|aBPWR
339	41613 43111	   	161.60	ACR|3VULN|1AART|1DMG	17DUST|269VULN|3RMIN|4RCR|5AART|8ERES|aDMG
340	41613 43211	   	161.60	ACR|3VULN|1AART|1DMG	17DUST|269VULN|3RMIN|4RCR|5AART|8TLV|aDMG
341	13322 22526	   	161.58	ACR|3DMG|1VULN|1CDMG|2DUR	1BEXP|28DUR|37aDMG|4RCR|5CDMG|6LIT|9VULN
342	11322 12665	   	161.53	ACR|3DMG|1VULN|1CDMG|2DUR|1SELL	1aBEXP|2VULN|37aDMG|4RCR|5CDMG|6FEWX|8aDUR|9SELL|aBPWR
343	11321 24251	   	161.53	ACR|2VULN|2DMG|1AART	15aBEXP|2aVULN|37DMG|4RCR|6TLV|8aLWND|9AART|aBPWR
344	12321 24351	   	161.53	ACR|2VULN|2DMG|1AART	15aBEXP|2aLHND|37DMG|4RCR|6TLV|8aVULN|9AART|aBPWR
345	12325 24351	   	161.53	ACR|2VULN|2DMG|1AART	1aBEXP|25aLHND|37DMG|4RCR|6TLV|8aVULN|9AART|aBPWR
346	11321 51241	   	161.43	ACR|2VULN|2DMG|1AART	15BEXP|27VULN|3aDMG|4RCR|6DMSP|8CGEN|9AART
347	11321 51542	   	161.43	ACR|2VULN|2DMG|1AART	15aBEXP|27VULN|3aDMG|4RCR|6DMSP|8aTLV|9AART|aBPWR
348	11321 52342	   	161.43	ACR|2VULN|2DMG|1AART	15aBEXP|28VULN|3aDMG|4RCR|6DMSP|7aTLV|9AART|aBPWR
349	13322 32452	   	161.40	ACR|2AART|1VULN|1DMG|1CDMG|1DUR	1BEXP|2DUR|3DMG|4RCR|5CDMG|6CGEN|7aAART|8RCVC|9VULN
350	64323 13363	   	161.38	ACR|1AART|1VULN|1DMG|1FLTHEA|2DUR|1ASPD	1ASPD|2FEWX|3VULN|4RCR|5AART|67DUR|8DMG|9FLTHEA|aCANHEL
351	35632 22236	 * 	161.35	DCR|2AART|2CDMG|1VULN|2ZMB	19LHND|2RCVC|3LIT|48AART|59ZMB|6RCR|79CDMG|9BPWR|aVULN
352	11321 24346	   	161.33	ACR|2VULN|2DMG|1AART	15BEXP|28VULN|37DMG|4RCR|6TLV|9AART|aLHND
353	11321 51541	   	161.33	ACR|2VULN|2DMG|1AART	15BEXP|27VULN|3aDMG|4RCR|6DMSP|8TLV|9AART
354	11321 52341	   	161.33	ACR|2VULN|2DMG|1AART	15BEXP|28VULN|3aDMG|4RCR|6DMSP|7TLV|9AART
355	11321 24344	   	161.23	ACR|2VULN|2DMG|1AART	15BEXP|28VULN|37DMG|4RCR|6aTLV|9AART
356	63362 11163	   	161.21	DCR|3VULN|1AART|1CDMG|1ASPD	1ASPD|2LWND|349VULN|5CDMG|6RCR|7SNIHEL|8ERES|aAART
357	35134 13235	 * 	161.17	DCR|2VULN|1DMG|2ZMB|1CDMG|1ASPD	1LHND|2RCVC|39ZMB|4CDMG|58VULN|6RCR|7DMG|aASPD
358	15134 13412	   	161.05	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG	1BEXP|2RCVC|3aZMB|4CDMG|5VULN|6RCR|7DMG|8AART|9RPLT
359	15134 13431	   	161.05	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG	1BEXP|2RCVC|39ZMB|4CDMG|5VULN|6RCR|7DMG|8AART|aRPLT
360	15134 13433	   	161.05	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG	1BEXP|2RCVC|39ZMB|4CDMG|5VULN|6RCR|7DMG|8AART|aLIT
361	35134 13412	   	161.05	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG	1LHND|2RCVC|3aZMB|4CDMG|5VULN|6RCR|7DMG|8AART|9RPLT
362	35134 13431	   	161.05	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG	1LHND|2RCVC|39ZMB|4CDMG|5VULN|6RCR|7DMG|8AART|aRPLT
363	35134 13433	   	161.05	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG	1LHND|2RCVC|39ZMB|4CDMG|5VULN|6RCR|7DMG|8AART|aLIT
364	63362 13236	   	161.04	DCR|3VULN|1DMG|1CDMG|1ASPD	1ASPD|2LWND|348VULN|5CDMG|6RCR|7DMG|9aRCVC
365	33322 26635	   	161.01	DCR|2VULN|2DMG|1AART	1LHND|2FEWX|3LIT|45VULN|6aDMG|7RCR|8RMIN|9AART
366	11322 21263	   	161.00	ACR|1AART|1VULN|1DMG|2ASPD|1CDMG|1DUR	1BEXP|2VULN|3DMG|4RCR|5CDMG|6LIT|7DUR|8AART|9aASPD
367	15134 13432	   	160.95	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG	1BEXP|2RCVC|39ZMB|4CDMG|5VULN|6RCR|7DMG|8AART|aDUST
368	35134 13432	   	160.95	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG	1LHND|2RCVC|39ZMB|4CDMG|5VULN|6RCR|7DMG|8AART|aDUST
369	61322 15136	   	160.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMSP|3AART|4TLV|5FEWX|6CDMG|7RCR|8VULN|9ZMB|aDMG
370	11341 23243	   	160.87	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1BEXP|2VULN|3DMG|49AART|5DUR|6BELT|7RCR|8LHND|aCDMG
371	11322 63225	   	160.85	ACR|2DMG|1VULN|1CDMG|1FLTHEA|1ZMB	1BEXP|2VULN|37DMG|4RCR|5CDMG|6RCVC|8RMIN|9ZMB|aFLTHEA
372	11322 64225	 * 	160.85	ACR|2VULN|1DMG|1CDMG|1FLTHEA|1ZMB	1BEXP|27VULN|3DMG|4RCR|5CDMG|6RCVC|8RMIN|9ZMB|aFLTHEA
373	13322 64232	   	160.80	ACR|2AART|1VULN|1DMG|1CDMG|1DUR	1BEXP|2DUR|3DMG|4RCR|5CDMG|6RCVC|7VULN|8CGEN|9aAART
374	11322 63553	   	160.62	ACR|2VULN|2DMG|1CDMG|1DUR	1BEXP|2aVULN|37DMG|4RCR|5CDMG|6RCVC|8DUR|9ERES
375	31363 23435	   	160.62	DCR|3DMG|1AART|1VULN|1DUR	1LHND|2VULN|3LIT|467DMG|5RMIN|8DUR|9RCR|aAART
376	12322 61453	   	160.60	ACR|2VULN|1AART|1DMG|1CDMG	1BEXP|2LHND|3DMG|4RCR|5CDMG|6RCVC|7MLV|8AART|9aVULN
377	11323 66432	   	160.60	ACR|3VULN|1AART|1DMG	1BEXP|28aVULN|3DMG|4RCR|59LWND|6BASICY|7AART
378	13322 42416	   	160.52	ACR|3DMG|1AART|1CDMG|1DUR	1BEXP|2DUR|37aDMG|4RCR|5CDMG|6ERES|8AART|9RPLT
379	43613 13262	   	160.49	ACR|2AART|1VULN|1DMG|1CDMG|1DUR	17DUST|2DUR|3RMIN|4RCR|56AART|8VULN|9DMG|aCDMG
380	64332 15133	   	160.46	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1ASPD|2FEWX|3aVULN|4RCVC|5CDMG|6RCR|7LWND|8ZMB|9AART
381	26362 13613	   	160.45	DCR|2VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1NUKE|2LWND|34VULN|5CDMG|6RCR|7DMG|8ZMB|9DUR|aASPD
382	32134 13413	   	160.43	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	12LHND|3ZMB|4CDMG|5VULN|6RCR|7DMG|8AART|9RPLT|aDUR
383	32134 13423	   	160.43	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1DUR	12LHND|3ZMB|4CDMG|5VULN|6RCR|7DMG|8AART|9CGEN|aDUR
384	51134 13413	   	160.43	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DMSP|2BEXP|3ZMB|4CDMG|5VULN|6RCR|7DMG|8AART|9RPLT|aDUR
385	52134 13413	   	160.43	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DMSP|2LWND|3ZMB|4CDMG|5VULN|6RCR|7DMG|8AART|9RPLT|aDUR
386	52134 13423	   	160.43	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1DUR	1DMSP|2LWND|3ZMB|4CDMG|5VULN|6RCR|7DMG|8AART|9CGEN|aDUR
387	54131 13413	   	160.43	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DMSP|2VULN|3ZMB|4CDMG|5LWND|6RCR|7DMG|8AART|9RPLT|aDUR
388	54131 13423	   	160.43	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1DUR	1DMSP|2VULN|3ZMB|4CDMG|5LWND|6RCR|7DMG|8AART|9CGEN|aDUR
389	63513 13411	   	160.43	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|25LWND|3CDMG|4VULN|6RCR|7DMG|8AART|9ZMB|aBEXP
390	63513 13412	   	160.43	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1ASPD	1ASPD|25LWND|3CDMG|4VULN|6RCR|7DMG|8AART|9ZMB|aLHND
391	63513 13432	   	160.43	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|25LWND|3CDMG|4VULN|6RCR|7DMG|8AART|9RPLT|aZMB
