0	Index      	 *	Score 	Summary	Detail	
60	64323 13336	   	172.23	ACR|2DMG|1AART|1VULN|2ASPD|2DUR	19ASPD|29FEWX|3VULN|4RCR|5AART|67DUR|89DMG|9BPWR|aRMIN
61	64323 13331	   	172.13	ACR|2DMG|1AART|1VULN|2ASPD|2DUR	19ASPD|29FEWX|3VULN|4RCR|5AART|67DUR|89DMG|9BPWR|aLSRHEA
62	11323 66412	 * 	172.05	ACR|3VULN|2AART|1DMG	1BEXP|28aVULN|3DMG|4RCR|5LWND|6BASICY|79AART
63	11322 13621	   	171.85	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG	19BEXP|2VULN|39DMG|4RCR|5CDMG|6FEWX|79ASPD|8AART|9BPWR|aCGEN
64	11322 13622	   	171.85	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG	19BEXP|2VULN|39DMG|4RCR|5CDMG|6FEWX|79ASPD|8AART|9BPWR|aDMSP
65	11322 13623	   	171.75	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG	19BEXP|2VULN|39DMG|4RCR|5CDMG|6FEWX|79ASPD|8AART|9BPWR|aDUST
66	11322 13626	   	171.75	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG	19BEXP|2VULN|39DMG|4RCR|5CDMG|6FEWX|79ASPD|8AART|9BPWR|aMBVNT
67	11213 52525	   	171.62	DCR|3VULN|2DMG|1AART|1SELL	1BEXP|289VULN|3SELL|4LHND|5AART|67DMG|aRCR
68	64323 33324	 * 	171.57	ACR|2AART|2DMG|1VULN|1DUR|1ASPD	1ASPD|2FEWX|3VULN|4RCR|5aAART|6LWND|7DUR|89DMG
69	13322 42436	   	171.53	ACR|3DMG|1AART|1CDMG|1ZMB|1DUR	1BEXP|2DUR|37aDMG|4RCR|5CDMG|6ERES|8AART|9ZMB
70	11322 62436	   	171.50	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1BEXP|2VULN|3aDMG|4RCR|5CDMG|6RCVC|7TLV|8AART|9ZMB
71	13322 22355	   	171.37	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1BEXP|2DUR|37DMG|4RCR|5CDMG|6LIT|8ASPD|9AART|aVULN
72	11634 43753	   	171.37	DCR|3VULN|2DMG|1AART	18BEXP|239VULN|4MBVNT|58FEWX|6AART|78DMG|8BPWR|aRCR
73	32134 13426	   	171.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	12LHND|3ZMB|4CDMG|5VULN|6RCR|7aDMG|8AART|9CGEN
74	32134 13451	   	171.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	12LHND|3ZMB|4CDMG|59VULN|6RCR|7DMG|8AART|aRPLT
75	32134 13453	   	171.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	12LHND|3ZMB|4CDMG|59VULN|6RCR|7DMG|8AART|aLIT
76	11322 65133	   	171.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2aVULN|3DMG|4RCR|5CDMG|6RCVC|7LWND|8ZMB|9AART
77	12322 64133	   	171.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2LHND|3DMG|4RCR|5CDMG|6RCVC|7aVULN|8ZMB|9AART
78	26362 13411	   	170.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1NUKE|2LWND|34VULN|5CDMG|6RCR|7DMG|8AART|9ZMB|aBEXP
79	26362 13412	   	170.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1NUKE|2LWND|34VULN|5CDMG|6RCR|7DMG|8AART|9ZMB|aLHND
80	26362 13432	   	170.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1NUKE|2LWND|34VULN|5CDMG|6RCR|7DMG|8AART|9RPLT|aZMB
81	32134 13452	   	170.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	12LHND|3ZMB|4CDMG|59VULN|6RCR|7DMG|8AART|aDUST
82	13323 35615	   	170.95	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	18BEXP|2DUR|38DMG|4RCR|5LWND|6LIT|78CDMG|8BPWR|9AART|aVULN
83	26362 13132	   	170.82	DCR|2VULN|2AART|1DMG|1CDMG	1NUKE|2LWND|34VULN|5CDMG|6RCR|7DMG|8FEWX|9aAART
84	11341 41362	 * 	170.82	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1BEXP|26VULN|3DMG|4AART|5DUR|7FEWX|8ZMB|9FLTHEA|aRCR
85	11481 14723	   	170.75	DCR|2VULN|2DMG|1AART|2DUR	18BEXP|27VULN|3MBVNT|4AART|58DMG|68DUR|8BPWR|9RCVC|aRCR
86	11322 52236	 * 	170.75	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1BEXP|28VULN|3DMG|4RCR|5aCDMG|6MLV|7DUR|9AART
87	31322 25315	   	170.71	DCR|3VULN|1AART|1DMG|2DUR	1LHND|245VULN|3LIT|6AART|79DUR|8RCR|aDMG
88	11342 13225	 * 	170.66	DCR|2AART|2VULN|2DMG	1BEXP|28VULN|3aDMG|47AART|5RMIN|6LIT|9RCR
89	13322 42236	   	170.65	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1BEXP|2DUR|37DMG|4RCR|5aCDMG|6ERES|8VULN|9AART
90	11364 16131	 * 	170.53	DCR|3VULN|2AART|1DMG	1BEXP|248VULN|3DMG|5LIT|6LWND|7RCR|9aAART
