0	Index      	 *	Score 	Summary	Detail	
82	12112 33452	   	181.14	ACR|4VULN|1AART|1DMG|1DUR	1DUR|2379VULN|4RCR|5LHND|6RCVC|8AART|aDMG
83	12116 33452	   	181.14	ACR|4VULN|1AART|1DMG|1DUR	1DUR|2379VULN|4RCR|5LWND|6RCVC|8AART|aDMG
84	31113 63263	   	181.14	ACR|4VULN|1AART|1DMG|1DUR	1367VULN|2BEXP|4RCR|5LWND|8AART|9DUR|aDMG
85	36111 23452	   	181.14	ACR|4VULN|1AART|1DMG|1DUR	1379VULN|2LWND|4RCR|5RCVC|6DUR|8AART|aDMG
86	62111 23452	   	181.14	ACR|4VULN|1AART|1DMG|1DUR	1LWND|2379VULN|4RCR|5RCVC|6DUR|8AART|aDMG
87	12113 36452	   	181.04	ACR|4VULN|1AART|1DMG|1DUR	1DUR|2379VULN|4RCR|5MLV|6ERES|8AART|aDMG
88	21143 33452	   	181.04	ACR|4VULN|1AART|1DMG|1DUR	1LEGI|2DUR|3579VULN|4RCR|6RCVC|8AART|aDMG
89	26111 23452	   	181.04	ACR|4VULN|1AART|1DMG|1DUR	1LEGI|2379VULN|4RCR|5RCVC|6DUR|8AART|aDMG
90	32641 41132	   	180.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	12aVULN|3AART|45FEWX|6DUR|7CDMG|8RCR|9DMG
91	32661 41132	   	180.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	12aVULN|3AART|4RMIN|5MLV|6DUR|7CDMG|8RCR|9DMG
92	23364 13134	   	180.85	DCR|3VULN|3DMG|2DUR	1LEGI|289DMG|38DUR|48aVULN|5RMIN|6BELT|7RCR|8BPWR
93	33434 32312	 * 	180.81	DCR|3VULN|2DMG|1AART|1DUR	137VULN|27LIT|4DUR|5LWND|67DMG|7BPWR|8RCR|9LHND|aAART
94	33434 32342	   	180.81	DCR|3VULN|2DMG|1AART|1DUR	137VULN|27LIT|4DUR|5LWND|67DMG|7BPWR|8RCR|9FEWX|aAART
95	33434 32352	   	180.81	DCR|3VULN|2DMG|1AART|1DUR	137VULN|27LIT|4DUR|5LWND|67DMG|7BPWR|8RCR|9BEXP|aAART
96	33436 32312	   	180.71	DCR|3VULN|2DMG|1AART|1DUR	137VULN|27LIT|4DUR|5DUST|67DMG|7BPWR|8RCR|9LHND|aAART
97	32632 21131	   	180.63	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	12VULN|34AART|5DUST|6FEWX|7CDMG|8RCR|9DMG|aZMB
98	32632 31131	   	180.63	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	12VULN|34AART|5DUST|6LWND|7CDMG|8RCR|9DMG|aZMB
99	34361 42132	   	180.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	17aVULN|25FEWX|3CDMG|4AART|6DUR|8RCR|9DMG
100	36312 42132	   	180.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	17aVULN|25LWND|3CDMG|4AART|6DUR|8RCR|9DMG
101	62312 42132	   	180.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	15LWND|27aVULN|3CDMG|4AART|6DUR|8RCR|9DMG
102	26313 42132	   	180.17	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LEGI|27aVULN|3CDMG|4AART|5DMSP|6DUR|8RCR|9DMG
103	34363 22432	   	180.13	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	17VULN|2FEWX|3CDMG|4aAART|5CGEN|6ZMB|8RCR|9DMG
104	36315 15131	   	180.13	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	16VULN|2LWND|3CDMG|45AART|7FEWX|8RCR|9DMG|aZMB
105	62315 15131	   	180.13	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1LWND|26VULN|3CDMG|45AART|7FEWX|8RCR|9DMG|aZMB
106	32441 22611	   	180.11	DCR|4VULN|2DMG|1ZMB|1DUR	1257VULN|38DMG|4DUR|6LHND|9RCR|aZMB
107	36315 22131	   	180.03	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	17VULN|2LWND|3CDMG|45AART|6DUST|8RCR|9DMG|aZMB
108	62315 22131	   	180.03	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1LWND|27VULN|3CDMG|45AART|6DUST|8RCR|9DMG|aZMB
109	26315 15131	   	180.03	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1LEGI|26VULN|3CDMG|45AART|7FEWX|8RCR|9DMG|aZMB
110	26315 32131	   	180.03	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1LEGI|27VULN|3CDMG|45AART|6LWND|8RCR|9DMG|aZMB
111	26315 22131	   	179.93	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1LEGI|27VULN|3CDMG|45AART|6DUST|8RCR|9DMG|aZMB
112	33363 63123	   	179.71	DCR|4VULN|1AART|1CDMG|1DUR	158aVULN|2LIT|3AART|4DUR|6RCR|7BEXP|9CDMG
113	12314 15132	   	179.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|26aVULN|3CDMG|4DMSP|5AART|7FEWX|8RCR|9DMG
114	12314 32132	   	179.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|27aVULN|3CDMG|4DMSP|5AART|6LWND|8RCR|9DMG
115	34314 42132	   	179.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	17aVULN|2FEWX|3CDMG|4DMSP|5AART|6DUR|8RCR|9DMG
116	12314 22132	   	179.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|27aVULN|3CDMG|4DMSP|5AART|6DUST|8RCR|9DMG
117	32613 31623	   	179.28	DCR|4VULN|1AART|1DMG	1289VULN|3AART|4ERES|59LWND|6RCR|79CGEN|9BPWR|aDMG
118	12153 33631	   	179.16	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1DUR|238VULN|4ASPD|5AART|6RPLT|7ZMB|9DMG|aRCR
