0	Index      	 *	Score 	Summary	Detail	
69	62384 12442	   	255.22	DCR|DCR|1VULN|1TLV	1AEBURN|2LIT|3MBVNT|4BEXP|5RAT|6aRCR|7TLV|8FEWX|9VULN
70	65234 22342	   	255.22	DCR|DCR|1VULN|1TLV	1AEBURN|2TLV|3RAT|4MBVNT|5LIT|6DUST|7aRCR|8LHND|9VULN
71	65234 22442	   	255.22	DCR|DCR|1VULN|1TLV	1AEBURN|2TLV|3RAT|4MBVNT|5LIT|6DUST|7aRCR|8FEWX|9VULN
72	65234 22712	   	255.22	DCR|DCR|1VULN|1TLV	1AEBURN|2TLV|3RAT|4MBVNT|5LIT|6DUST|7aRCR|8VULN|9LWND
73	65234 42612	   	255.22	DCR|DCR|1VULN|1TLV	1AEBURN|2TLV|3RAT|4MBVNT|5LIT|6VULN|7aRCR|8BEXP|9LWND
74	65614 22342	   	255.22	DCR|DCR|1VULN|1TLV	1AEBURN|2TLV|3MBVNT|4RAT|5LIT|6DUST|7aRCR|8LHND|9VULN
75	65614 22442	   	255.22	DCR|DCR|1VULN|1TLV	1AEBURN|2TLV|3MBVNT|4RAT|5LIT|6DUST|7aRCR|8FEWX|9VULN
76	42384 12742	   	255.12	DCR|DCR|1VULN|1TLV	1AEPOI|2LIT|3MBVNT|4BEXP|5RAT|6aRCR|7TLV|8DUST|9VULN
77	45234 22642	   	255.12	DCR|DCR|1VULN|1TLV	1AEPOI|2TLV|3RAT|4MBVNT|5LIT|6DUST|7aRCR|8BEXP|9VULN
78	62384 12742	   	255.12	DCR|DCR|1VULN|1TLV	1AEBURN|2LIT|3MBVNT|4BEXP|5RAT|6aRCR|7TLV|8DUST|9VULN
79	65234 22642	   	255.12	DCR|DCR|1VULN|1TLV	1AEBURN|2TLV|3RAT|4MBVNT|5LIT|6DUST|7aRCR|8BEXP|9VULN
80	25155 12213	 * 	253.96	DCR|2VULN|1TLV|2ASPD|1MLV	1aERES|2TLV|3BBNT|4aASPD|5CGEN|6AART|7RCR|8MLV|9aVULN|aBPWR
