0	Index      	 *	Score 	Summary	Detail	
104	15231 41313	   	173.36	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|25VULN|3AART|4aDMG|6CDMG|7DUST|8BELT|9RCR
105	15126 23316	   	173.22	DCR|2AART|2VULN|1DMG|2ASPD	1FEWX|24VULN|39ASPD|57AART|6RCR|8LWND|aDMG
106	13626 22321	   	173.08	DCR|2AART|2VULN|1DMG|1CDMG|1SELL	1FEWX|2SELL|3CDMG|49VULN|5aAART|6RCR|7LHND|8DMG
107	13626 22361	 * 	173.08	DCR|2AART|2DMG|1VULN|1CDMG|1SELL	1FEWX|2SELL|3CDMG|4VULN|5aAART|6RCR|7LHND|89DMG
108	13626 24321	   	172.98	DCR|2VULN|2AART|1DMG|1CDMG|1SELL	1FEWX|2SELL|3CDMG|49VULN|5aAART|6RCR|7LEGI|8DMG
109	15246 23323	 * 	172.83	ACR|3VULN|1AART|1DMG|2DUR	1FEWX|29aVULN|3AART|46DUR|5RCR|7DMG|8NUKE
110	15122 35235	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|24VULN|3ASPD|5ZMB|6DMG|7CGEN|8RCR|9AART|aCDMG
111	15231 23311	   	172.08	DCR|3AART|2VULN|1DMG|1ASPD	1FEWX|25VULN|37aAART|4DMG|6RCR|8LWND|9ASPD
112	15265 23311	   	172.08	DCR|3AART|2VULN|1DMG|1ASPD	1FEWX|24VULN|37aAART|5DMG|6RCR|8LWND|9ASPD
113	15231 22411	   	172.02	DCR|3VULN|1AART|1DMG|1DUR	1FEWX|25aVULN|3AART|4DMG|6RCR|7LHND|8DUR|9RPLT
114	15231 25522	   	172.02	DCR|3VULN|1AART|1DMG|1ASPD	1FEWX|259VULN|3AART|4DMG|6RCR|7BEXP|8MLV|aASPD
115	46332 32413	 * 	171.94	DCR|1AART|1VULN|1DMG|2CDMG|2DUR|1ZMB	1AIRHEA|29CDMG|3aDUR|4DMG|5VULN|6RCR|7ZMB|8AART
116	15231 24411	   	171.92	DCR|3VULN|1AART|1DMG|1DUR	1FEWX|25aVULN|3AART|4DMG|6RCR|7LEGI|8DUR|9RPLT
117	15231 21222	   	171.92	DCR|3VULN|1AART|1DMG|1ASPD	1FEWX|259VULN|3AART|4DMG|6RCR|7DUST|8CGEN|aASPD
118	15231 21522	   	171.92	DCR|3VULN|1AART|1DMG|1ASPD	1FEWX|259VULN|3AART|4DMG|6RCR|7DUST|8MLV|aASPD
119	15231 22322	   	171.92	DCR|3VULN|1AART|1DMG|1ASPD	1FEWX|259VULN|3AART|4DMG|6RCR|7LHND|8NUKE|aASPD
120	15231 22523	   	171.92	DCR|3VULN|1AART|1DMG|1ASPD	1FEWX|259VULN|3AART|4DMG|6RCR|7LHND|8LSRREG|aASPD
121	15231 25323	   	171.92	DCR|3VULN|1AART|1DMG|1DUR	1FEWX|259VULN|3AART|4DMG|6RCR|7BEXP|8NUKE|aDUR
122	15231 26122	   	171.92	DCR|3VULN|1AART|1DMG|1ASPD	1FEWX|258VULN|3AART|4DMG|6RCR|7ERES|9LHND|aASPD
123	15265 21222	   	171.92	DCR|3VULN|1AART|1DMG|1ASPD	1FEWX|249VULN|3AART|5DMG|6RCR|7DUST|8CGEN|aASPD
124	15265 22322	   	171.92	DCR|3VULN|1AART|1DMG|1ASPD	1FEWX|249VULN|3AART|5DMG|6RCR|7LHND|8NUKE|aASPD
125	15231 21113	   	171.82	DCR|3VULN|1AART|1DMG|1ASPD	1FEWX|25aVULN|3AART|4DMG|6RCR|78DUST|9ASPD
126	15265 21113	   	171.82	DCR|3VULN|1AART|1DMG|1ASPD	1FEWX|24aVULN|3AART|5DMG|6RCR|78DUST|9ASPD
