0	Index      	 *	Score 	Summary	Detail	
55	31623 61315	   	183.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2FEWX|3ZMB|4RCR|5RCVC|6ASPD|78VULN|9DMG|aCDMG
56	32325 53143	   	182.78	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1DUR	1AART|2ERES|3DUR|4RCR|5DMG|69VULN|7FEWX|8CDMG|aFLTHEA
57	31626 21315	   	182.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2FEWX|3ZMB|4RCR|5ASPD|6RCVC|78VULN|9DMG|aCDMG
58	31625 21335	   	182.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2FEWX|3ZMB|4RCR|5DMG|6RCVC|78VULN|9ASPD|aCDMG
59	31533 31323	   	182.57	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD|1DUR	14AART|2FEWX|3ASPD|5RCR|6ZMB|78VULN|9DUR|aDMG
60	31633 61323	   	182.57	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD|1DUR	14AART|2FEWX|3ZMB|5RCR|6ASPD|78VULN|9DUR|aDMG
61	31425 21313	   	182.39	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2FEWX|3MLV|4RCR|59DMG|6RCVC|78VULN|aCDMG
62	31125 21313	   	182.29	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2FEWX|3ERES|4RCR|59DMG|6RCVC|78VULN|aCDMG
63	32125 21313	   	182.29	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2ERES|3FEWX|4RCR|59DMG|6RCVC|78VULN|aCDMG
64	32522 46213	   	182.29	ACR|2VULN|2DMG|1AART|1CDMG	1AART|25ERES|35VULN|4RCR|5BPWR|6RCVC|79DMG|8FEWX|aCDMG
65	32522 46113	   	182.19	ACR|2VULN|2DMG|1AART|1CDMG	1AART|25ERES|35VULN|4RCR|5BPWR|6RCVC|79DMG|8DUST|aCDMG
66	32522 46313	   	182.19	ACR|2VULN|2DMG|1AART|1CDMG	1AART|25ERES|35VULN|4RCR|5BPWR|6RCVC|79DMG|8MBVNT|aCDMG
67	32525 31331	   	182.14	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1AART|2ERES|389VULN|4RCR|5DMG|6ZMB|7ASPD|aLIT
68	32525 31332	   	182.14	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1AART|2ERES|389VULN|4RCR|5DMG|6ZMB|7ASPD|aRMIN
69	32525 31335	   	182.14	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1AART|2ERES|389VULN|4RCR|5DMG|6ZMB|7ASPD|aBEXP
70	31425 52313	   	182.09	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2FEWX|3MLV|4RCR|59DMG|68VULN|7RCVC|aCDMG
71	31125 52313	   	181.99	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2FEWX|3ERES|4RCR|59DMG|68VULN|7RCVC|aCDMG
72	32125 52313	   	181.99	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2ERES|3FEWX|4RCR|59DMG|68VULN|7RCVC|aCDMG
