0	Index      	 *	Score 	Summary	Detail	
1	41252 62221	 * 	223.78	DCR|4VULN|3DMG|2AART	156aVULN|24AART|368DMG|6BPWR|7RCR|9RCVC
104	41222 62111	   	195.07	DCR|4VULN|2DMG|1AART	1568VULN|2AART|36DMG|4DMSP|6BPWR|7RCR|9LWND|aFEWX
105	41222 62115	   	195.07	DCR|4VULN|2DMG|1AART	1568VULN|2AART|36DMG|4DMSP|6BPWR|7RCR|9LWND|aRPLT
106	41222 62314	   	195.07	DCR|4VULN|2DMG|1AART	156aVULN|2AART|36DMG|4DMSP|6BPWR|7RCR|8RMIN|9BEXP
107	41222 62511	   	195.07	DCR|4VULN|2DMG|1AART	156aVULN|2AART|36DMG|4DMSP|6BPWR|7RCR|8LHND|9BEXP
108	41222 62531	   	195.07	DCR|4VULN|2DMG|1AART	1569VULN|2AART|36DMG|4DMSP|6BPWR|7RCR|8LHND|aFEWX
109	41222 62113	   	194.97	DCR|4VULN|2DMG|1AART	1568VULN|2AART|36DMG|4DMSP|6BPWR|7RCR|9LWND|aDUST
110	41222 62123	   	194.97	DCR|4VULN|2DMG|1AART	1568VULN|2AART|36DMG|4DMSP|6BPWR|7RCR|9ERES|aBEXP
111	41222 62125	   	194.97	DCR|4VULN|2DMG|1AART	1568VULN|2AART|36DMG|4DMSP|6BPWR|7RCR|9ERES|aLWND
112	41222 62141	   	194.97	DCR|4VULN|2DMG|1AART	1568VULN|2AART|36DMG|4DMSP|6BPWR|7RCR|9DUST|aFEWX
113	41222 62423	   	194.97	DCR|4VULN|2DMG|1AART	156aVULN|2AART|36DMG|4DMSP|6BPWR|7RCR|8BEXP|9ERES
114	41222 62533	   	194.97	DCR|4VULN|2DMG|1AART	1569VULN|2AART|36DMG|4DMSP|6BPWR|7RCR|8LHND|aDUST
115	41222 62121	   	194.87	DCR|4VULN|2DMG|1AART	1568VULN|2AART|36DMG|4DMSP|6BPWR|7RCR|9ERES|aTLV
116	41222 62143	   	194.87	DCR|4VULN|2DMG|1AART	1568VULN|2AART|36DMG|4DMSP|6BPWR|7RCR|9aDUST
117	41222 62316	   	194.62	DCR|3VULN|2DMG|1AART|1CDMG	156VULN|2AART|36DMG|4DMSP|6BPWR|7RCR|8RMIN|9BEXP|aCDMG
118	41222 62332	   	194.52	DCR|3VULN|2DMG|1AART|2ASPD	156VULN|2AART|36DMG|4DMSP|6BPWR|7RCR|8RMIN|9aASPD
119	41222 62632	   	194.42	DCR|3VULN|2DMG|1AART|2ASPD	156VULN|2AART|36DMG|4DMSP|6BPWR|7RCR|8TLV|9aASPD
