0	Index      	 *	Score 	Summary	Detail	
89	23651 23431	   	158.00	ACR|3VULN|1AART|1DMG	1RCVC|2NUKE|368VULN|4ERES|5RCR|7AART|9MBVNT|aDMG
90	43314 34323	   	157.98	ACR|3VULN|1DMG|1ZMB|1DUR|1ASPD	1DUR|2ZMB|3ERES|4ASPD|5RCR|689VULN|7DMG|aDUST
91	43314 34331	   	157.98	ACR|3VULN|1DMG|1ZMB|1ASPD|1DUR	1DUR|2ZMB|3ERES|4ASPD|5RCR|68aVULN|7DMG|9LEGI
92	42123 63132	   	157.96	DCR|2VULN|1AART|1DMG|2DUR	14DUR|2DUST|3LHND|5AART|68VULN|7RCR|9DMG|aBEXP
93	42123 63136	   	157.96	DCR|2VULN|1AART|1DMG|2DUR	14DUR|2DUST|3LHND|5AART|68VULN|7RCR|9DMG|aRMIN
94	42323 63132	   	157.96	DCR|2VULN|1AART|1DMG|2DUR	14DUR|2DUST|3LWND|5AART|68VULN|7RCR|9DMG|aBEXP
95	42323 63136	   	157.96	DCR|2VULN|1AART|1DMG|2DUR	14DUR|2DUST|3LWND|5AART|68VULN|7RCR|9DMG|aRMIN
96	42323 63153	   	157.96	DCR|2VULN|1AART|1DMG|2DUR	14DUR|2DUST|3LWND|5AART|68VULN|7RCR|9BEXP|aDMG
97	42323 63613	   	157.96	DCR|2VULN|1AART|1DMG|2DUR	14DUR|2DUST|3LWND|5AART|69VULN|7RCR|8BEXP|aDMG
98	42123 63131	   	157.86	DCR|2VULN|1AART|1DMG|2DUR	14DUR|2DUST|3LHND|5AART|68VULN|7RCR|9DMG|aDLOT
99	42123 63134	   	157.86	DCR|2VULN|1AART|1DMG|2DUR	14DUR|2DUST|3LHND|5AART|68VULN|7RCR|9DMG|aAIRHEA
100	42123 63135	   	157.86	DCR|2VULN|1AART|1DMG|2DUR	14DUR|2aDUST|3LHND|5AART|68VULN|7RCR|9DMG
101	42323 63131	   	157.86	DCR|2VULN|1AART|1DMG|2DUR	14DUR|2DUST|3LWND|5AART|68VULN|7RCR|9DMG|aDLOT
102	42323 63134	   	157.86	DCR|2VULN|1AART|1DMG|2DUR	14DUR|2DUST|3LWND|5AART|68VULN|7RCR|9DMG|aAIRHEA
103	42323 63135	   	157.86	DCR|2VULN|1AART|1DMG|2DUR	14DUR|2aDUST|3LWND|5AART|68VULN|7RCR|9DMG
104	14442 23331	   	157.85	DCR|3AART|2VULN|1DMG	12CGEN|356AART|4DMG|78VULN|9RCR|aERES
105	14442 23333	   	157.85	DCR|3AART|2VULN|1DMG	12CGEN|356AART|4DMG|78VULN|9RCR|aDUST
106	66311 31312	 * 	157.80	DCR|3VULN|1DMG|1CDMG|1DUR|1ASPD	1TLV|2DUR|3ERES|4ASPD|567VULN|8CDMG|9RCR|aDMG
107	56331 31623	 * 	157.68	DCR|2DMG|1AART|1VULN|1CDMG	1FEWX|29DMSP|36DMG|4AART|5VULN|7RMIN|8RCR|aCDMG
108	56331 31633	   	157.68	DCR|2DMG|1AART|1VULN|1CDMG	19FEWX|2DMSP|36DMG|4AART|5VULN|7RMIN|8RCR|aCDMG
109	51231 36621	 * 	157.58	DCR|2DMG|1AART|1VULN|2ASPD	13FEWX|27ASPD|4AART|5VULN|6aDMG|8RCR|9DMSP
110	25512 53332	   	157.35	DCR|3AART|2VULN|1DMG	1RCVC|2MLV|3CGEN|456AART|78VULN|9RCR|aDMG
111	64212 53332	   	157.25	DCR|3AART|2VULN|1DMG	1TLV|23CGEN|456AART|78VULN|9RCR|aDMG
112	43511 42312	 * 	157.21	DCR|2VULN|1DMG|2ZMB|1CDMG|1DUR|1ASPD	1DUR|27ZMB|3CGEN|4ASPD|58VULN|6CDMG|9RCR|aDMG
113	43161 22421	 * 	157.09	DCR|4VULN|2DUR|1ZMB|1ASPD	19DUR|2ZMB|39DUST|4ASPD|5FEWX|679aVULN|8RCR|9BPWR
114	11612 63123	   	157.07	ACR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1CGEN|2BEXP|3RCR|4ERES|5CDMG|68VULN|7ASPD|9ZMB|aAART
115	16612 43123	   	157.07	ACR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1CGEN|2FEWX|3RCR|4ERES|58VULN|6CDMG|7ASPD|9ZMB|aAART
116	11665 33112	   	156.91	ACR|3VULN|1AART|1ASPD|1DUR	1CGEN|2BEXP|3RCR|4ASPD|5DUR|6LHND|7AART|89aVULN
117	23651 26111	   	156.90	ACR|3VULN|1AART|1DMG	1RCVC|2NUKE|367VULN|4ERES|5RCR|8LWND|9AART|aDMG
118	14441 13223	   	156.49	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB	129CGEN|3AART|4DMG|5CDMG|6RCR|7ZMB|8LHND|aVULN
119	14441 13233	   	156.49	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB	12CGEN|3AART|4DMG|5CDMG|6RCR|7ZMB|8LHND|9RCVC|aVULN
120	14441 13323	   	156.49	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	129CGEN|3AART|4DMG|5CDMG|6RCR|7ZMB|8BEXP|aVULN
121	14441 13333	   	156.49	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	12CGEN|3AART|4DMG|5CDMG|6RCR|7ZMB|8BEXP|9RCVC|aVULN
122	25144 44641	 * 	156.37	DCR|3VULN|1AART|2ZMB	1RCVC|28MLV|3RPLT|4MBVNT|58ZMB|6RCR|78aVULN|8BPWR|9AART
123	45522 12223	   	156.32	DCR|1AART|1VULN|1DMG|1CDMG|2DUR	14DUR|2BASICY|3DMG|5AART|6RCR|7CGEN|8TLV|9VULN|aCDMG
124	21351 33424	   	156.19	ACR|2DMG|1AART|1VULN|1CDMG	1RCVC|2BEXP|36DMG|46ERES|5RCR|6BPWR|7AART|8VULN|9DMSP|aCDMG
125	23651 23361	   	156.09	ACR|2VULN|1AART|1DMG|1CDMG	1RCVC|2NUKE|36VULN|4ERES|5RCR|7AART|8DMG|9CDMG|aLWND
126	23651 23362	   	156.09	ACR|2VULN|1AART|1DMG|1CDMG	1RCVC|2NUKE|36VULN|4ERES|5RCR|7AART|8DMG|9CDMG|aLIT
127	53511 33363	   	155.89	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1FEWX|2ZMB|3CGEN|4ASPD|56VULN|7AART|8DUR|9CDMG|aRCR
128	53511 33513	   	155.89	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1FEWX|2ZMB|3CGEN|4ASPD|56VULN|7AART|8CDMG|9DUR|aRCR
129	22314 32321	 * 	155.82	DCR|2VULN|1DMG|2CDMG|2DUR|1ZMB	1RCVC|29DUR|3DMG|49LWND|5ZMB|68CDMG|79VULN|9BPWR|aRCR
130	46314 32321	   	155.82	DCR|2VULN|1DMG|2CDMG|2DUR|1ZMB	19DUR|2DMSP|3DMG|49LWND|5ZMB|68CDMG|79VULN|9BPWR|aRCR
131	43511 33523	   	155.79	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2ZMB|3CGEN|4ASPD|56VULN|7AART|8CDMG|9DUST|aRCR
132	25651 23212	   	155.72	ACR|2VULN|2DMG|1CDMG|1DUR	1RCVC|2MLV|36VULN|4ERES|5RCR|7DUR|8CDMG|9aDMG
133	25651 23332	   	155.72	ACR|2VULN|2DMG|1CDMG|1DUR	1RCVC|2MLV|36VULN|4ERES|5RCR|7DUR|8aDMG|9CDMG
134	22366 22321	   	155.62	DCR|2VULN|1DMG|2CDMG|2DUR|1ZMB	1RCVC|29DUR|3DMG|49DUST|58CDMG|6ZMB|79VULN|9BPWR|aRCR
135	23651 25212	   	155.62	ACR|2VULN|2DMG|1CDMG|1DUR	1RCVC|2NUKE|36VULN|4ERES|5RCR|7DUR|8CDMG|9aDMG
136	23651 25332	   	155.62	ACR|2VULN|2DMG|1CDMG|1DUR	1RCVC|2NUKE|36VULN|4ERES|5RCR|7DUR|8aDMG|9CDMG
137	21123 52434	   	155.62	DCR|3VULN|1DMG|1ZMB|1DUR	1RCVC|2BEXP|3LHND|479VULN|5DUR|6RCR|8ZMB|aDMG
138	22121 52434	   	155.62	DCR|3VULN|1DMG|1ZMB|1DUR	1RCVC|2DUR|3LHND|479VULN|5FEWX|6RCR|8ZMB|aDMG
139	11613 24113	   	155.48	ACR|2VULN|1AART|1DMG|1DUR	1CGEN|2BEXP|3RCR|4ERES|5AART|6DUR|7FEWX|89VULN|aDMG
140	11613 26113	   	155.48	ACR|2VULN|1AART|1DMG|1DUR	1CGEN|2BEXP|3RCR|4ERES|5AART|6DUR|7LWND|89VULN|aDMG
141	43333 41413	   	155.45	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	18DUR|2ZMB|38ERES|4LHND|5AART|6CDMG|78VULN|8BPWR|9BEXP|aRCR
142	16621 31114	   	155.39	ACR|3VULN|1AART|1CDMG	1CGEN|24FEWX|3RCR|567VULN|8ERES|9AART|aCDMG
143	42123 63115	 * 	155.36	DCR|2VULN|1AART|3DUR|1CDMG	149DUR|2DUST|3LHND|5AART|68VULN|7RCR|aCDMG
144	42323 63115	   	155.36	DCR|2VULN|1AART|3DUR|1CDMG	149DUR|2DUST|3LWND|5AART|68VULN|7RCR|aCDMG
145	16612 34223	 * 	155.16	ACR|1AART|1VULN|1DMG|2ASPD|1CDMG	1CGEN|2FEWX|3RCR|4ERES|5VULN|69ASPD|7DMG|8CDMG|aAART
146	53231 24226	   	155.03	DCR|2DMG|1AART|1VULN|1ZMB	13FEWX|2ZMB|4AART|5VULN|6aDMG|7BELT|8RCR|9RMIN
