0	Index      	 *	Score 	Summary	Detail	
52	12232 26366	   	177.59	ACR|1BASARM|2BEXP|1ASPD	1TLV|2LHND|38BEXP|4FEWX|5RCR|6MDPS|7ASPD|9BASARM|aAME
53	12232 61361	   	177.59	ACR|1BASARM|2BEXP|1ASPD	1TLV|2LHND|38BEXP|4FEWX|5RCR|6ASPD|7MDPS|9BASARM|aERES
54	12232 61366	   	177.59	ACR|1BASARM|2BEXP|1ASPD	1TLV|2LHND|38BEXP|4FEWX|5RCR|6ASPD|7MDPS|9BASARM|aAME
55	12252 36363	   	177.59	ACR|1BASARM|2BEXP|1ASPD	1TLV|2LHND|38BEXP|4LEGI|5RCR|6MDPS|7ASPD|9BASARM|aBELT
56	12252 61363	   	177.59	ACR|1BASARM|2BEXP|1ASPD	1TLV|2LHND|38BEXP|4LEGI|5RCR|6ASPD|7MDPS|9BASARM|aBELT
57	42117 11454	   	177.58	ACR|1BASARM|2VULN|1DMG|1AAC	1RCVC|2MBVNT|38VULN|4DMG|5RCR|6FEWX|7LWND|9BASARM|aAAC
58	42354 12544	 * 	177.58	ACR|1BASARM|1DMG|2CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6aCDMG|7BASARM|8DUR|9DMG
59	12252 36361	   	177.49	ACR|1BASARM|2BEXP|1ASPD	1TLV|2LHND|38BEXP|4LEGI|5RCR|6MDPS|7ASPD|9BASARM|aERES
60	12252 61361	   	177.49	ACR|1BASARM|2BEXP|1ASPD	1TLV|2LHND|38BEXP|4LEGI|5RCR|6ASPD|7MDPS|9BASARM|aERES
61	42117 24812	 * 	176.69	ACR|2ASPD|2DMG|1BEXP|1VULN	1RCVC|2MBVNT|3VULN|4aDMG|5RCR|6BEXP|7ZMB|89ASPD
62	42334 12147	   	176.61	ACR|1BASARM|1DMG|1CDMG|1AART	1RCVC|2MBVNT|3CGEN|4ZMB|5RCR|6CDMG|7BASARM|8LHND|9DMG|aAART
63	42334 12547	   	176.61	ACR|1BASARM|1DMG|1CDMG|1AART	1RCVC|2MBVNT|3CGEN|4ZMB|5RCR|6CDMG|7BASARM|8DUR|9DMG|aAART
64	42814 12147	   	176.61	ACR|1BASARM|1DMG|1CDMG|1AART	1RCVC|2MBVNT|3ZMB|4CGEN|5RCR|6CDMG|7BASARM|8LHND|9DMG|aAART
65	42334 12231	   	176.51	ACR|1BASARM|1DMG|1BEXP|1CDMG	1RCVC|2MBVNT|3CGEN|4ZMB|5RCR|6CDMG|7BASARM|8NUKE|9BEXP|aDMG
66	42334 12462	   	176.51	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1RCVC|2MBVNT|3CGEN|4ZMB|5RCR|6CDMG|7BASARM|8AEFBLL|9ASPD|aBEXP
67	42334 12631	   	176.51	ACR|1BASARM|1DMG|1BEXP|1CDMG	1RCVC|2MBVNT|3CGEN|4ZMB|5RCR|6CDMG|7BASARM|8AME|9BEXP|aDMG
68	42334 12747	   	176.51	ACR|1BASARM|1DMG|1CDMG|1AART	1RCVC|2MBVNT|3CGEN|4ZMB|5RCR|6CDMG|7BASARM|8LEGI|9DMG|aAART
69	42814 12231	   	176.51	ACR|1BASARM|1DMG|1BEXP|1CDMG	1RCVC|2MBVNT|3ZMB|4CGEN|5RCR|6CDMG|7BASARM|8NUKE|9BEXP|aDMG
70	42814 12462	   	176.51	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1RCVC|2MBVNT|3ZMB|4CGEN|5RCR|6CDMG|7BASARM|8AEFBLL|9ASPD|aBEXP
71	42814 12631	   	176.51	ACR|1BASARM|1DMG|1BEXP|1CDMG	1RCVC|2MBVNT|3ZMB|4CGEN|5RCR|6CDMG|7BASARM|8AME|9BEXP|aDMG
72	45126 12231	   	176.38	ACR|1BASARM|2BEXP|1CDMG	1RCVC|2MLV|39BEXP|4RCR|5ZMB|6CDMG|7BASARM|8NUKE|aLHND
73	45126 12233	   	176.38	ACR|1BASARM|2BEXP|1CDMG	1RCVC|2MLV|39BEXP|4RCR|5ZMB|6CDMG|7BASARM|8NUKE|aRMIN
74	45121 33315	   	176.36	ACR|1BASARM|1ASPD|1BEXP|1AAC	1RCVC|28MLV|3BEXP|4RCR|5DUR|6AAC|7ASPD|9LHND|aBASARM
75	12626 12263	   	176.26	ACR|1BASARM|1ASPD|1CDMG|1AAC	1TLV|23LHND|4RCR|5ZMB|6CDMG|7BASARM|8DUR|9ASPD|aAAC
76	12623 53142	   	176.16	ACR|1BASARM|1ASPD|1BEXP|1AAC	1TLV|23LHND|4RCR|5MLV|6BEXP|7ASPD|8DUST|9BASARM|aAAC
77	42117 33326	 * 	176.07	ACR|2ASPD|2DMG|2VULN	1RCVC|2MBVNT|36VULN|48DMG|5RCR|7aASPD|9LWND
78	12626 12334	 * 	176.03	ACR|2BASARM|1CDMG|1AART	1TLV|23LHND|4RCR|5ZMB|6CDMG|79BASARM|8AME|aAART
79	36521 51333	 * 	175.82	ACR|2DMG|2BEXP|3AAC	15aDUR|238AAC|4RCR|6BELT|7aBEXP|9aDMG|aBPWR
80	36523 51333	   	175.82	ACR|2DMG|2BEXP|3AAC	1aDUR|238AAC|4RCR|5DMSP|6BELT|7aBEXP|9aDMG|aBPWR
81	45126 12311	   	175.29	ACR|1BASARM|1AART|1BEXP|1CDMG	1RCVC|2MLV|3BEXP|4RCR|5ZMB|6CDMG|7BASARM|89LIT|aAART
82	45125 23331	 * 	175.10	ACR|2BEXP|1ASPD|1DMG|1AART|1VULN	1RCVC|29MLV|36BEXP|4RCR|5VULN|7ASPD|8DMG|aAART
83	12626 12351	   	174.80	ACR|1BASARM|1DMG|1CDMG|1VULN	1TLV|23LHND|4RCR|5ZMB|6CDMG|7BASARM|8AME|9VULN|aDMG
84	42167 32133	   	174.79	ACR|1BASARM|3VULN|1CDMG	1RCVC|2MBVNT|367VULN|4ZMB|5RCR|8LIT|9BASARM|aCDMG
85	45125 23333	 * 	174.48	ACR|2BEXP|2VULN|1ASPD|1DMG	1RCVC|29MLV|36BEXP|4RCR|5aVULN|7ASPD|8DMG
86	42117 33346	 * 	174.03	ACR|3DMG|2VULN|1ASPD	1RCVC|2MBVNT|36VULN|48aDMG|5RCR|7ASPD|9AEMAG
87	12626 12632	   	174.00	ACR|1BASARM|2AART|1CDMG	1TLV|239LHND|4RCR|5ZMB|6CDMG|7BASARM|8aAART
88	42117 21317	   	173.94	ACR|2DMG|2BEXP|1ASPD|1VULN	1RCVC|2MBVNT|3VULN|48DMG|5RCR|6aBEXP|7LWND|9ASPD
89	12626 12621	 * 	173.90	ACR|1BASARM|3CDMG|1AART	1TLV|23LHND|4RCR|5ZMB|69aCDMG|7BASARM|8AART
90	42117 33364	   	173.89	ACR|3DMG|2VULN|1ASPD|1SELL	1RCVC|2MBVNT|36VULN|48aDMG|5RCR|7ASPD|9SELL
91	12232 51435	 * 	173.88	ACR|1BASARM|2BEXP|2AAC	1TLV|2LHND|39BEXP|4FEWX|5RCR|6RMIN|78AAC|aBASARM
92	42117 11353	   	173.83	ACR|1BASARM|2DMG|1VULN	1RCVC|2MBVNT|3VULN|48DMG|5RCR|6FEWX|7LWND|9BASARM|aRPLT
93	42117 11352	   	173.73	ACR|1BASARM|2DMG|1VULN	1RCVC|2MBVNT|3VULN|48DMG|5RCR|6FEWX|7LWND|9BASARM|aMDPS
94	42354 12483	 * 	173.53	ACR|2BASARM|2AAC|1CDMG	1RCVC|2MBVNT|3CGEN|49AAC|5RCR|6CDMG|7aBASARM|8AEFBLL
95	42117 21313	 * 	172.75	ACR|2DMG|1ASPD|1CDMG|1BEXP|1VULN	1RCVC|2MBVNT|3VULN|48DMG|5RCR|6BEXP|7LWND|9ASPD|aCDMG
96	42354 12482	 * 	172.59	ACR|1BASARM|2AAC|1BEXP|1CDMG	1RCVC|2MBVNT|3CGEN|49AAC|5RCR|6CDMG|7BASARM|8AEFBLL|aBEXP
97	45125 33112	   	172.41	ACR|2ASPD|1DMG|1BEXP|1AAC|1VULN	1RCVC|2MLV|3BEXP|4RCR|5VULN|6AAC|79ASPD|8DUST|aDMG
98	42117 33324	 * 	172.13	ACR|2DMG|2VULN|1ASPD|1AART	1RCVC|2MBVNT|36VULN|48DMG|5RCR|7ASPD|9LWND|aAART
99	42117 33335	   	172.13	ACR|2DMG|2VULN|1ASPD|1AART	1RCVC|2MBVNT|36VULN|48DMG|5RCR|7ASPD|9LIT|aAART
100	42117 33337	 * 	172.13	ACR|2DMG|2VULN|1ASPD|1CDMG	1RCVC|2MBVNT|36VULN|48DMG|5RCR|7ASPD|9LIT|aCDMG
101	42117 33351	   	172.13	ACR|2DMG|2VULN|1ASPD|1AART	1RCVC|2MBVNT|36VULN|48DMG|5RCR|7ASPD|9MLV|aAART
102	21326 21346	 * 	172.06	ACR|3BEXP|2DMG|1AART	17aFEWX|2ZMB|36aBEXP|4MDPS|5RCR|8aDMG|9AART|aBPWR
103	21326 21636	   	172.06	ACR|3BEXP|2DMG|1AART	17aFEWX|2ZMB|36aBEXP|4MDPS|5RCR|8AART|9aDMG|aBPWR
104	42117 33311	   	172.03	ACR|2DMG|2VULN|1ASPD|1AART	1RCVC|2MBVNT|36VULN|48DMG|5RCR|7ASPD|9AME|aAART
105	42117 33347	 * 	172.03	ACR|2DMG|2VULN|1ASPD|1BEXP	1RCVC|2MBVNT|36VULN|48DMG|5RCR|7ASPD|9AEMAG|aBEXP
106	42117 33383	   	172.03	ACR|2DMG|2VULN|1ASPD|1CDMG	1RCVC|2MBVNT|36VULN|48DMG|5RCR|7ASPD|9MDPS|aCDMG
107	42117 34321	   	172.03	ACR|2DMG|2VULN|1ASPD|1AART	1RCVC|2MBVNT|36VULN|48DMG|5RCR|7AME|9ASPD|aAART
108	42117 34336	   	172.03	ACR|2DMG|2VULN|1ASPD|1BEXP	1RCVC|2MBVNT|36VULN|48DMG|5RCR|7AME|9BEXP|aASPD
109	21224 32215	   	171.89	ACR|1BASARM|2ASPD	13FEWX|2ZMB|4RCR|5MDPS|68CGEN|79ASPD|aBASARM
110	21224 32315	   	171.89	ACR|1BASARM|2ASPD	13FEWX|28ZMB|4RCR|5MDPS|6CGEN|79ASPD|aBASARM
111	12625 33331	 * 	171.47	ACR|3VULN|1ASPD|1DMG|1AART	1TLV|23LHND|4RCR|569VULN|7ASPD|8DMG|aAART
112	42334 12543	   	171.26	ACR|1BASARM|1DMG|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4ZMB|5RCR|6CDMG|7BASARM|8DUR|9DMG|aAAC
113	42354 12111	   	171.26	ACR|1BASARM|1DMG|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8LHND|9RMIN|aDMG
114	42354 12142	   	171.26	ACR|1BASARM|1DMG|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8LHND|9DMG|aDUR
115	42354 12143	   	171.26	ACR|1BASARM|1DMG|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8LHND|9DMG|aMLV
116	42354 12146	   	171.26	ACR|1BASARM|1DMG|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8LHND|9DMG|aRPLT
117	42354 12148	   	171.26	ACR|1BASARM|1DMG|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8LHND|9DMG|aLWND
118	42354 12511	   	171.26	ACR|1BASARM|1DMG|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8DUR|9RMIN|aDMG
119	42354 12542	   	171.26	ACR|1BASARM|1DMG|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8aDUR|9DMG
