0	Index      	 *	Score 	Summary	Detail	
63	24234 22532	   	193.24	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1LWND|2ASPD|3ZMB|4AME|5AART|6aDMG|7RCR|8RMIN|9VULN
64	54313 22521	   	193.23	DCR|2DMG|2ASPD|1VULN|2DUR|1ZMB	13DUR|24ASPD|5VULN|6aDMG|7ZMB|8LWND|9RCR
65	24214 22232	   	193.14	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1ZMB	1LWND|2ASPD|3ZMB|4MLV|5AART|6aDMG|7RCR|8AAC|9VULN
66	24234 22232	   	193.14	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1ZMB	1LWND|2ASPD|3ZMB|4AME|5AART|6aDMG|7RCR|8AAC|9VULN
67	32224 23355	 * 	193.12	DCR|4VULN|1MDPS|1AART|1DMG	1LHND|2689VULN|3DLOT|4DMG|5MDPS|7AART|aRCR
68	22511 46311	   	193.06	DCR|2VULN|2DMG|1ASPD|2ZMB	1LWND|26VULN|35ZMB|4FEWX|7RCR|8ASPD|9aDMG
69	54332 21122	   	192.85	DCR|2VULN|2ASPD|1DMG|3DUR	139DUR|25ASPD|45VULN|5BPWR|6DMG|7DMSP|8RCR|aAELBLL
70	54332 21123	   	192.85	DCR|2VULN|2ASPD|1DMG|3DUR	139DUR|25ASPD|45VULN|5BPWR|6DMG|7DMSP|8RCR|aRMIN
71	62226 12362	 * 	192.83	DCR|4VULN|2DMG	1DUST|2589VULN|3DLOT|4aDMG|6ERES|7RCR
72	32222 23562	   	192.78	DCR|3DMG|2VULN|1AART	1LHND|29VULN|3DLOT|456DMG|7AART|8VENFST|aRCR
73	54313 24122	   	192.75	DCR|2VULN|2ASPD|1DMG|3DUR	139DUR|24ASPD|57VULN|6DMG|8RCR|aAELBLL
74	54313 24123	   	192.75	DCR|2VULN|2ASPD|1DMG|3DUR	139DUR|24ASPD|57VULN|6DMG|8RCR|aRMIN
75	54332 21121	   	192.75	DCR|2VULN|2ASPD|1DMG|3DUR|1MSE	139DUR|25ASPD|45VULN|5BPWR|6DMG|7DMSP|8RCR|aMSE
76	54332 21125	   	192.75	DCR|2VULN|2ASPD|1DMG|3DUR	139DUR|25ASPD|45VULN|5BPWR|6DMG|7DMSP|8RCR|aERES
77	54313 24121	   	192.65	DCR|2VULN|2ASPD|1DMG|3DUR|1MSE	139DUR|24ASPD|57VULN|6DMG|8RCR|aMSE
78	24316 32125	 * 	192.57	DCR|3VULN|2ASPD|1CDMG|1DUR	1LWND|26ASPD|3DUR|4FEWX|567VULN|6BPWR|8BEXP|9CDMG|aRCR
79	34316 32125	   	192.57	DCR|3VULN|2ASPD|1CDMG|1DUR	1LHND|26ASPD|3DUR|4FEWX|567VULN|6BPWR|8BEXP|9CDMG|aRCR
80	24214 12316	   	192.12	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1LWND|2ASPD|3ZMB|4MLV|5AART|6ERES|7RCR|8aVULN|9CDMG
81	24234 12316	   	192.12	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1LWND|2ASPD|3ZMB|4AME|5AART|6ERES|7RCR|8aVULN|9CDMG
82	24243 22115	   	192.02	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	1LWND|2ASPD|3ZMB|4AART|5MDPS|6CDMG|7RCR|8aVULN|9ERES
83	24243 22122	   	192.02	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	1LWND|2ASPD|3ZMB|4AART|5MDPS|6CDMG|7RCR|8aVULN|9TLV
84	24243 22232	   	192.02	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	1LWND|2ASPD|3ZMB|4AART|5MDPS|6CDMG|7RCR|8TLV|9aVULN
85	34243 22115	   	192.02	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	1LHND|2ASPD|3ZMB|4AART|5MDPS|6CDMG|7RCR|8aVULN|9ERES
86	34243 22122	   	192.02	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	1LHND|2ASPD|3ZMB|4AART|5MDPS|6CDMG|7RCR|8aVULN|9TLV
87	34243 22232	   	192.02	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	1LHND|2ASPD|3ZMB|4AART|5MDPS|6CDMG|7RCR|8TLV|9aVULN
88	24214 22311	   	191.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1LWND|2ASPD|3ZMB|4MLV|5AART|6DMG|7RCR|8VULN|9CDMG|aRPLT
89	24214 22312	   	191.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1LWND|2ASPD|3ZMB|4MLV|5AART|6DMG|7RCR|8VULN|9CDMG|aBELT
90	24214 22315	   	191.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1aLWND|2ASPD|3ZMB|4MLV|5AART|6DMG|7RCR|8VULN|9CDMG
91	24234 22311	   	191.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1LWND|2ASPD|3ZMB|4AME|5AART|6DMG|7RCR|8VULN|9CDMG|aRPLT
92	24234 22312	   	191.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1LWND|2ASPD|3ZMB|4AME|5AART|6DMG|7RCR|8VULN|9CDMG|aBELT
93	24234 22315	   	191.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1aLWND|2ASPD|3ZMB|4AME|5AART|6DMG|7RCR|8VULN|9CDMG
