0	Index      	 *	Score 	Summary	Detail	
61	41523 32621	   	191.54	ACR|2VULN|1BASARM|1ASPD|1BEXP	13DUST|2CGEN|4RCR|5ASPD|67VULN|8BEXP|9BASARM|aFEWX
62	41523 32622	   	191.54	ACR|2VULN|1BASARM|1ASPD|1BEXP	13DUST|2CGEN|4RCR|5ASPD|67VULN|8BEXP|9BASARM|aLHND
63	41523 32623	   	191.54	ACR|2VULN|1BASARM|1ASPD|1BEXP	13DUST|2CGEN|4RCR|5ASPD|67VULN|8BEXP|9BASARM|aLWND
64	62322 15221	   	191.54	ACR|2VULN|1BASARM|1DMG|1BEXP	13ERES|27VULN|4RCR|5BEXP|6DUR|8DMG|9BASARM|aFEWX
65	62322 15222	   	191.54	ACR|2VULN|1BASARM|1DMG|1BEXP	13ERES|27VULN|4RCR|5BEXP|6DUR|8DMG|9BASARM|aLHND
66	62322 15223	   	191.54	ACR|2VULN|1BASARM|1DMG|1BEXP	13ERES|27VULN|4RCR|5BEXP|6DUR|8DMG|9BASARM|aLWND
67	62322 15225	   	191.54	ACR|2VULN|1BASARM|1DMG|1BEXP	13ERES|27VULN|4RCR|5BEXP|6DUR|8DMG|9BASARM|aCGEN
68	62322 25221	   	191.54	ACR|2VULN|1BASARM|1DMG|1BEXP	13ERES|27VULN|4RCR|5BEXP|6LWND|8DMG|9BASARM|aFEWX
69	62322 25225	   	191.54	ACR|2VULN|1BASARM|1DMG|1BEXP	13ERES|27VULN|4RCR|5BEXP|6LWND|8DMG|9BASARM|aCGEN
70	64221 35221	   	191.54	ACR|2VULN|1BASARM|1DMG|1BEXP	1ERES|2AEFBLL|3LWND|4RCR|57VULN|6BEXP|8DMG|9BASARM|aFEWX
71	66321 15223	   	191.54	ACR|2VULN|1BASARM|1DMG|1BEXP	13ERES|2FEWX|4RCR|57VULN|6DUR|8DMG|9BASARM|aBEXP
72	66321 25223	   	191.54	ACR|2VULN|1BASARM|1DMG|1BEXP	13ERES|2FEWX|4RCR|57VULN|6LWND|8DMG|9BASARM|aBEXP
73	13523 32223	   	191.44	ACR|2VULN|1BASARM|1ASPD|1BEXP	1TLV|23DUST|4RCR|5ASPD|67VULN|8FEWX|9BASARM|aBEXP
74	13523 32621	   	191.44	ACR|2VULN|1BASARM|1ASPD|1BEXP	1TLV|23DUST|4RCR|5ASPD|67VULN|8BEXP|9BASARM|aFEWX
75	13523 32622	   	191.44	ACR|2VULN|1BASARM|1ASPD|1BEXP	1TLV|23DUST|4RCR|5ASPD|67VULN|8BEXP|9BASARM|aLHND
76	13523 32623	   	191.44	ACR|2VULN|1BASARM|1ASPD|1BEXP	1TLV|23DUST|4RCR|5ASPD|67VULN|8BEXP|9BASARM|aLWND
77	13523 32626	   	191.44	ACR|2VULN|1BASARM|1ASPD|1BEXP	1TLV|23DUST|4RCR|5ASPD|67VULN|8BEXP|9BASARM|aDMSP
78	14223 32524	   	191.44	ACR|2VULN|1BASARM|1ASPD|1BEXP	1TLV|2AEFBLL|3LWND|4RCR|5ASPD|67VULN|8DUST|9BASARM|aBEXP
79	14223 32622	   	191.44	ACR|2VULN|1BASARM|1ASPD|1BEXP	1TLV|2AEFBLL|3LWND|4RCR|5ASPD|67VULN|8BEXP|9BASARM|aLEGI
80	46223 32223	   	191.44	ACR|2VULN|1BASARM|1ASPD|1BEXP	1DUST|23AME|4RCR|5ASPD|67VULN|8FEWX|9BASARM|aBEXP
81	46223 32621	   	191.44	ACR|2VULN|1BASARM|1ASPD|1BEXP	1DUST|23AME|4RCR|5ASPD|67VULN|8BEXP|9BASARM|aFEWX
82	46223 32622	   	191.44	ACR|2VULN|1BASARM|1ASPD|1BEXP	1DUST|23AME|4RCR|5ASPD|67VULN|8BEXP|9BASARM|aLHND
83	46223 32623	   	191.44	ACR|2VULN|1BASARM|1ASPD|1BEXP	1DUST|23AME|4RCR|5ASPD|67VULN|8BEXP|9BASARM|aLWND
84	46523 32223	   	191.44	ACR|2VULN|1BASARM|1ASPD|1BEXP	13DUST|2AME|4RCR|5ASPD|67VULN|8FEWX|9BASARM|aBEXP
85	62322 15326	   	191.44	ACR|2VULN|1BASARM|1ASPD|1BEXP	13ERES|27VULN|4RCR|5BEXP|6DUR|8NUKE|9BASARM|aASPD
86	62322 25222	   	191.44	ACR|2VULN|1BASARM|1DMG|1BEXP	13ERES|27VULN|4RCR|5BEXP|6LWND|8DMG|9BASARM|aLEGI
87	62322 25326	   	191.44	ACR|2VULN|1BASARM|1ASPD|1BEXP	13ERES|27VULN|4RCR|5BEXP|6LWND|8NUKE|9BASARM|aASPD
88	62322 46221	   	191.44	ACR|2VULN|1BASARM|1DMG|1BEXP	13ERES|27VULN|4RCR|5BEXP|6MBVNT|8DMG|9BASARM|aFEWX
89	62322 46222	   	191.44	ACR|2VULN|1BASARM|1DMG|1BEXP	13ERES|27VULN|4RCR|5BEXP|6MBVNT|8DMG|9BASARM|aLHND
90	62322 46223	   	191.44	ACR|2VULN|1BASARM|1DMG|1BEXP	13ERES|27VULN|4RCR|5BEXP|6MBVNT|8DMG|9BASARM|aLWND
91	64221 35222	   	191.44	ACR|2VULN|1BASARM|1DMG|1BEXP	1ERES|2AEFBLL|3LWND|4RCR|57VULN|6BEXP|8DMG|9BASARM|aLEGI
92	13523 32625	   	191.34	ACR|2VULN|1BASARM|1ASPD|1BEXP	1TLV|23DUST|4RCR|5ASPD|67VULN|8BEXP|9BASARM|aMDPS
93	62322 33424	   	190.22	ACR|1BASARM|1VULN|2BEXP|1CDMG	13ERES|2VULN|4RCR|5aBEXP|6RPLT|7RCVC|8CDMG|9BASARM
