0	Index      	 *	Score 	Summary	Detail	
82	33161 61151	 * 	216.54	DCR|3DMG|3ZMB|1VULN|1ASPD|2DUR	18DUR|2ASPD|389ZMB|4VULN|5FEWX|6RCR|78aDMG|8BPWR
83	33123 61151	   	216.44	DCR|3DMG|3ZMB|1VULN|1ASPD|2DUR	18DUR|2ASPD|389ZMB|4DUST|5VULN|6RCR|78aDMG|8BPWR
84	33123 61164	   	216.27	DCR|2DMG|1VULN|1AART|1ASPD|2DUR|2ZMB	18DUR|2ASPD|38ZMB|4DUST|5VULN|6RCR|78DMG|8BPWR|9AART|aRMIN
85	32433 61114	   	215.68	DCR|2DMG|2ASPD|1VULN|1CDMG|2DUR|1ZMB	18DUR|2BEXP|38DMG|4ZMB|5VULN|6RCR|78ASPD|8BPWR|9MLV|aCDMG
86	32433 61134	   	215.58	DCR|2DMG|2ASPD|1VULN|1CDMG|2DUR|1ZMB	18DUR|2BEXP|38DMG|4ZMB|5VULN|6RCR|78ASPD|8BPWR|9ERES|aCDMG
87	23436 11214	 * 	215.54	DCR|4VULN|2ASPD|2CDMG	134aVULN|2CGEN|5aASPD|6RCR|7DUST|8LWND|9aCDMG|aBPWR
88	33431 61115	   	214.96	DCR|2VULN|1MDPS|2DMG|1ASPD|2DUR|1ZMB	18DUR|2ASPD|38VULN|4ZMB|5FEWX|6RCR|78DMG|8BPWR|9MLV|aMDPS
89	22432 12345	   	214.90	DCR|3VULN|3DMG|1ASPD	134VULN|2ERES|578DMG|6RCR|9MLV|aASPD
90	33431 61123	   	214.86	DCR|2VULN|2DMG|1MDPS|1ASPD|2DUR|1ZMB|1MSE	18DUR|2ASPD|38VULN|4ZMB|5FEWX|6RCR|78DMG|8BPWR|9MDPS|aMSE
91	33431 61125	   	214.86	DCR|2VULN|2DMG|1MDPS|1ASPD|2DUR|1ZMB	18DUR|2ASPD|38VULN|4ZMB|5FEWX|6RCR|78DMG|8BPWR|9MDPS|aRPLT
92	33431 61126	   	214.86	DCR|2VULN|1MDPS|2DMG|1ASPD|2DUR|1ZMB	18DUR|2ASPD|38VULN|4ZMB|5FEWX|6RCR|78DMG|8BPWR|9MDPS|aTLV
93	33431 61135	   	214.86	DCR|2VULN|1MDPS|2DMG|1ASPD|2DUR|1ZMB	18DUR|2ASPD|38VULN|4ZMB|5FEWX|6RCR|78DMG|8BPWR|9ERES|aMDPS
94	33431 61143	   	214.86	DCR|2VULN|2DMG|1MDPS|1ASPD|2DUR|1ZMB|1MSE	18DUR|2ASPD|38VULN|4ZMB|5FEWX|6RCR|78DMG|8BPWR|9MSE|aMDPS
95	33434 61123	   	214.76	DCR|2VULN|2DMG|1MDPS|1ASPD|2DUR|1ZMB|1MSE	18DUR|2ASPD|38VULN|4ZMB|5DUST|6RCR|78DMG|8BPWR|9MDPS|aMSE
96	26431 61111	   	214.57	DCR|2VULN|2DMG|2ASPD|1ZMB|1DUR	18VULN|2DUR|38DMG|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9MLV|aAME
97	26431 61112	   	214.57	DCR|2VULN|2DMG|2ASPD|1ZMB|1DUR	18VULN|2DUR|38DMG|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9MLV|aRPLT
98	26431 61113	   	214.47	DCR|2VULN|2DMG|2ASPD|1ZMB|1DUR	18VULN|2DUR|38DMG|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9MLV|aTLV
99	26431 61131	   	214.47	DCR|2VULN|2DMG|2ASPD|1ZMB|1DUR	18VULN|2DUR|38DMG|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9ERES|aAME
100	26431 61132	   	214.47	DCR|2VULN|2DMG|2ASPD|1ZMB|1DUR	18VULN|2DUR|38DMG|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9ERES|aRPLT
101	26431 61133	   	214.37	DCR|2VULN|2DMG|2ASPD|1ZMB|1DUR	18VULN|2DUR|38DMG|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9ERES|aTLV
102	64431 12231	   	214.11	DCR|3VULN|2DMG|1CDMG|1AAC|1DUR	17DMG|234VULN|5RMIN|6RCR|8DUR|9CDMG|aAAC
103	33441 12252	 * 	213.59	DCR|3ASPD|2VULN|1AART|1ZMB|1DUR	1DUR|256ASPD|34VULN|7RMIN|8RCR|9ZMB|aAART
104	23432 12232	   	213.57	DCR|3VULN|3DMG|1ZMB|1DUR	134VULN|2CGEN|57aDMG|6RCR|8ZMB|9DUR
105	62332 61111	   	213.56	DCR|3VULN|1MDPS|2DMG|2ASPD|1AAC	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9MLV|aAME
106	62332 61112	   	213.56	DCR|3VULN|2DMG|1MDPS|2ASPD|1AAC	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9MLV|aRPLT
107	62332 61116	   	213.56	DCR|3VULN|1MDPS|2DMG|2ASPD|1AAC	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9MLV|aBEXP
108	64233 61111	   	213.56	DCR|3VULN|1MDPS|2DMG|2ASPD|1AAC	18DMG|248VULN|3MDPS|5AAC|6RCR|78ASPD|8BPWR|9MLV|aAME
109	64233 61112	   	213.56	DCR|3VULN|2DMG|1MDPS|2ASPD|1AAC	18DMG|248VULN|3MDPS|5AAC|6RCR|78ASPD|8BPWR|9MLV|aRPLT
110	21432 51512	   	213.55	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|2ZMB	18VULN|2LEGI|3DMG|48ZMB|5RCVC|6RCR|78DUR|8BPWR|9CDMG|aAART
111	62332 61113	   	213.46	DCR|3VULN|1MDPS|2DMG|2ASPD|1AAC	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9MLV|aTLV
112	62332 61131	   	213.46	DCR|3VULN|1MDPS|2DMG|2ASPD|1AAC	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9ERES|aAME
113	62332 61132	   	213.46	DCR|3VULN|1MDPS|2DMG|2ASPD|1AAC	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9ERES|aRPLT
114	62332 61136	   	213.46	DCR|3VULN|1MDPS|2DMG|2ASPD|1AAC	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9ERES|aBEXP
115	64233 61113	   	213.46	DCR|3VULN|1MDPS|2DMG|2ASPD|1AAC	18DMG|248VULN|3MDPS|5AAC|6RCR|78ASPD|8BPWR|9MLV|aTLV
116	64233 61131	   	213.46	DCR|3VULN|1MDPS|2DMG|2ASPD|1AAC	18DMG|248VULN|3MDPS|5AAC|6RCR|78ASPD|8BPWR|9ERES|aAME
117	64233 61132	   	213.46	DCR|3VULN|1MDPS|2DMG|2ASPD|1AAC	18DMG|248VULN|3MDPS|5AAC|6RCR|78ASPD|8BPWR|9ERES|aRPLT
118	62332 61133	   	213.36	DCR|3VULN|1MDPS|2DMG|2ASPD|1AAC	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9ERES|aTLV
119	62332 61141	   	213.36	DCR|3VULN|2DMG|1MDPS|2ASPD|1AAC|1MSE	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9MSE|aCGEN
120	62332 61142	 * 	213.36	DCR|3VULN|2DMG|1MDPS|2ASPD|1AART|1AAC|1MSE	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9MSE|aAART
121	62332 61143	   	213.36	DCR|3VULN|2DMG|1MDPS|2ASPD|1AAC|1MSE	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9MSE|aRMIN
122	64233 61133	   	213.36	DCR|3VULN|1MDPS|2DMG|2ASPD|1AAC	18DMG|248VULN|3MDPS|5AAC|6RCR|78ASPD|8BPWR|9ERES|aTLV
123	23432 12211	 * 	213.29	DCR|3VULN|2DMG|1AART|1NUKE|1ZMB	134VULN|2CGEN|57DMG|6RCR|8ZMB|9NUKE|aAART
124	22432 12365	 * 	212.50	DCR|3VULN|3DMG|1MDPS|1DUR	134VULN|2ERES|578DMG|6RCR|9DUR|aMDPS
125	64312 32241	 * 	212.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|27VULN|3LIT|4CDMG|5MSLREG|6RCR|8ASPD|9AART|aDUR
126	33123 61165	   	212.11	DCR|2DMG|1VULN|1AART|1ASPD|2ZMB|2DUR	18DUR|2ASPD|38ZMB|4DUST|5VULN|6RCR|78DMG|8BPWR|9AART|aCGEN
127	33161 61161	   	212.11	DCR|2DMG|1VULN|1AART|1ASPD|2DUR|2ZMB	18DUR|2ASPD|38ZMB|4VULN|5FEWX|6RCR|78DMG|8BPWR|9AART|aTLV
128	33161 61163	   	212.11	DCR|2DMG|1VULN|1AART|1ASPD|2ZMB|2DUR	18DUR|2ASPD|38ZMB|4VULN|5FEWX|6RCR|78DMG|8BPWR|9AART|aERES
129	64431 12312	   	212.11	DCR|3VULN|3DMG|1ZMB	178DMG|234VULN|5RMIN|6RCR|9MBVNT|aZMB
130	33123 61161	   	212.01	DCR|2DMG|1VULN|1AART|1ASPD|2DUR|2ZMB	18DUR|2ASPD|38ZMB|4DUST|5VULN|6RCR|78DMG|8BPWR|9AART|aTLV
131	33123 61163	   	212.01	DCR|2DMG|1VULN|1AART|1ASPD|2DUR|2ZMB	18DUR|2ASPD|38ZMB|4DUST|5VULN|6RCR|78DMG|8BPWR|9AART|aERES
132	33123 61166	   	212.01	DCR|2DMG|1VULN|1AART|1ASPD|2DUR|2ZMB	18DUR|2ASPD|38ZMB|4aDUST|5VULN|6RCR|78DMG|8BPWR|9AART
133	21324 63334	   	211.98	DCR|2VULN|2DMG|2ASPD|1CDMG	19VULN|2LEGI|3AME|49ASPD|5DUST|6RCR|7CGEN|89DMG|9BPWR|aCDMG
134	23432 13333	   	211.95	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	134VULN|2CGEN|5DMG|6RCR|7TLV|8ZMB|9CDMG|aAART
135	22432 13333	   	211.85	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	134VULN|2ERES|5DMG|6RCR|7TLV|8ZMB|9CDMG|aAART
136	62362 11114	   	211.69	DCR|3DMG|2VULN|1MDPS|2ASPD|1AAC|1DUR	148DMG|2MDPS|3AAC|5DUR|68VULN|78ASPD|8BPWR|9AELBLL|aRCR
137	36431 52312	   	211.62	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR|1ZMB	12DUR|3ZMB|4VULN|5ASPD|6RCR|7DMG|8RMIN|9CDMG|aAART
138	64111 11231	   	211.61	DCR|3VULN|2DMG|1CDMG|2DUR|1ZMB	18DMG|268VULN|3ZMB|47DUR|58FEWX|8BPWR|9CDMG|aRCR
139	26431 12231	   	211.61	DCR|3VULN|2DMG|1CDMG|2DUR|1ZMB	168VULN|28DUR|37DMG|4ZMB|58FEWX|8BPWR|9CDMG|aRCR
140	32433 12231	   	211.61	DCR|3VULN|2DMG|1CDMG|2DUR|1ZMB	18DUR|28BEXP|37DMG|4ZMB|568VULN|8BPWR|9CDMG|aRCR
141	22432 14334	   	211.48	DCR|4VULN|2DMG|1CDMG	134aVULN|2ERES|5aDMG|6RCR|7CDMG|8FEWX|9aLHND|aBPWR
142	22432 11634	   	211.38	DCR|4VULN|2DMG|1CDMG	134aVULN|2ERES|5aDMG|6RCR|7DUST|8CDMG|9aLHND|aBPWR
143	64432 32332	   	211.16	DCR|3VULN|3DMG|1ASPD	159DMG|234VULN|6ASPD|7LIT|8RMIN|aRCR
144	33123 64162	 * 	210.79	DCR|2VULN|2ASPD|1AART|1NUKE|3DUR|1ZMB	18aDUR|28ASPD|3ZMB|4DUST|58VULN|6RCR|7NUKE|8BPWR|9AART
145	64431 12233	   	210.78	DCR|3VULN|2DMG|1CDMG|1DUR	17DMG|234VULN|5RMIN|6RCR|8DUR|9CDMG|aFEWX
146	64431 12232	   	210.68	DCR|3VULN|2DMG|1CDMG|1DUR	17DMG|234VULN|5RMIN|6RCR|8DUR|9CDMG|aTLV
147	22432 12524	   	210.44	DCR|4VULN|3DMG|1SELL	134aVULN|2aERES|579DMG|6RCR|8SELL|aBPWR
