0	Index      	 *	Score 	Summary	Detail	
126	42143 32612	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1DMG|2TLV|37VULN|4BEXP|56RCR|8RAT|9DUR|aLHND
127	42143 32623	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1DMG|2TLV|37VULN|4BEXP|56RCR|8RAT|9RCVC|aDUR
128	42143 33116	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1DMG|2TLV|38VULN|4BEXP|56RCR|7CGEN|9RCVC|aDUR
129	42143 33132	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1DMG|2TLV|38VULN|4BEXP|56RCR|7CGEN|9BELT|aCDMG
130	42143 33143	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1DMG|2TLV|38VULN|4BEXP|56RCR|7CGEN|9LIT|aDUR
131	42143 33153	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4BEXP|56RCR|7CGEN|9AART|aFEWX
132	42143 35213	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|38VULN|4BEXP|56RCR|7FEWX|9CGEN|aAAC
133	42143 36113	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1DMG|2TLV|3aVULN|48BEXP|56RCR|7RPLT|9DUR
134	42643 32213	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|3LWND|4BEXP|56RCR|78VULN|9CGEN|aAAC
135	41143 31363	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2CGEN|38VULN|4BEXP|56RCR|7AART|9TLV|aFEWX
136	25235 33252	   	255.09	DCR|3VULN|3DUR|2DMG|1AAC	138VULN|28DMG|458DUR|6TBNT|7RCR|8BPWR|9CGEN|aAAC
137	25443 31333	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AART	18VULN|2DMG|3AME|4BEXP|56RCR|7AART|9TLV|aFEWX
138	35453 32213	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DUST|2DMG|3TLV|4LHND|56RCR|78VULN|9CGEN|aAAC
139	41153 31363	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2CGEN|38VULN|4LEGI|56RCR|7AART|9TLV|aFEWX
140	42143 31231	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|3aVULN|4BEXP|56RCR|7AART|8ERES|9BELT
141	42143 31316	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4aBEXP|56RCR|7AART|9AEBURN
142	42143 31322	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4BEXP|56RCR|7AART|9FEWX|aAEPOI
143	42143 31324	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4BEXP|56RCR|7AART|9FEWX|aBBNT
144	42143 31342	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4BEXP|56RCR|7AART|9CGEN|aERES
145	42143 31362	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4BEXP|56RCR|7AART|9RMIN|aERES
146	42143 32131	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1DMG|2TLV|37VULN|4BEXP|56RCR|8LHND|9DUR|aDUST
147	42143 32143	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|37VULN|4BEXP|56RCR|8LHND|9ERES|aAAC
148	42143 32213	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1DMG|2TLV|37VULN|4BEXP|56RCR|8AME|9RCVC|aCDMG
149	42143 32216	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1DMG|2TLV|37VULN|4BEXP|56RCR|8AME|9RCVC|aDUR
150	42143 32232	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1DMG|2TLV|37VULN|4BEXP|56RCR|8AME|9BELT|aCDMG
151	42143 32253	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|37VULN|4BEXP|56RCR|8AME|9AART|aFEWX
152	42143 32512	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR|1AAC|1MSE	1DMG|2TLV|37VULN|4BEXP|56RCR|8AAC|9DUR|aMSE
153	42143 32611	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1DMG|2TLV|37VULN|4BEXP|56RCR|8RAT|9DUR|aDUST
154	42143 33152	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4BEXP|56RCR|7CGEN|9AART|aERES
155	42153 31321	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4LEGI|56RCR|7AART|9FEWX|aLHND
156	42153 31323	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4LEGI|56RCR|7AART|9FEWX|aRAT
157	42153 31325	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4LEGI|56RCR|7AART|9aFEWX
