0	Index      	Bounty	 *	Score 	Summary	Detail	
69	56332 26232	2	   	266.81	DCR|3VULN|3DUR|2DMG	158DUR|249VULN|39LHND|69DMG|7RCR|9BPWR|aDMSP
70	56332 26233	2	   	266.81	DCR|3VULN|3DUR|2DMG	158DUR|249VULN|39LHND|69DMG|7RCR|9BPWR|aLWND
71	53333 26225	1	   	266.74	DCR|4VULN|2DUR|1DMG	18DUR|2459VULN|3LHND|6DMG|7RCR|aLIT
72	53332 26236	1	   	266.57	DCR|3VULN|3DUR|2DMG|1SELL	158DUR|249VULN|39LHND|69DMG|7RCR|9BPWR|aSELL
73	62223 16322	4	 * 	266.15	ACR|4VULN|3DMG|2TLV|2AART	17TLV|247DMG|3678VULN|5RCR|7BPWR|9aAART
74	62233 26322	3	   	266.15	ACR|4VULN|3DMG|2TLV|2AART	17TLV|267DMG|3478VULN|5RCR|7BPWR|9aAART
75	21326 23344	10	   	266.05	DCR|4VULN|2DMG|1ASPD|1AART	1aFEWX|2AART|3RPLT|4ASPD|5aDMG|689aVULN|7RCR|aBPWR
76	11326 23344	10	   	265.85	DCR|4VULN|2DMG|1ASPD|1AART	1aDUST|2AART|3RPLT|4ASPD|5aDMG|689aVULN|7RCR|aBPWR
77	53335 26211	1	   	265.80	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	18DUR|245VULN|35LHND|5BPWR|6DMG|7RCR|9CDMG|aTLV
78	53333 26211	1	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	18DUR|245VULN|3LHND|6DMG|7RCR|9CDMG|aTLV
79	53523 26211	1	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	18DUR|235VULN|4LHND|6DMG|7RCR|9CDMG|aTLV
80	53531 26211	1	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	18DUR|234VULN|5LWND|6DMG|7RCR|9CDMG|aTLV
81	56333 26211	2	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	18DUR|245VULN|3LHND|6DMG|7RCR|9CDMG|aTLV
82	53332 26611	1	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	15DUR|248VULN|3LHND|6DMG|7RCR|9CDMG|aTLV
83	56223 26221	4	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	18aDUR|259VULN|3TLV|4RMIN|6DMG|7RCR
84	56233 26221	4	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	18aDUR|259VULN|3TLV|4MLV|6DMG|7RCR
85	61251 64233	4	   	265.25	DCR|4VULN|2DMG|2TLV	1aTLV|279aVULN|3BELT|4RPLT|5aDMG|6MBVNT|8RCR|aBPWR
86	61631 26221	4	   	265.17	DCR|3VULN|3DUR|1DMG|1TLV	1TLV|239VULN|48aDUR|5ERES|6DMG|7RCR
87	61633 26221	5	   	265.17	DCR|3VULN|3DUR|1DMG|1TLV	1TLV|239VULN|48aDUR|5ERES|6DMG|7RCR
88	62225 23314	8	   	265.15	DCR|4VULN|2DMG|2TLV	19TLV|24DMG|3568VULN|7CGEN|aRCR
89	62223 16311	4	   	264.96	ACR|4VULN|3DMG|2TLV|1DUR	17TLV|247DMG|3678VULN|5RCR|7BPWR|9MLV|aDUR
90	62233 26311	3	   	264.96	ACR|4VULN|3DMG|2TLV|1DUR	17TLV|267DMG|3478VULN|5RCR|7BPWR|9MLV|aDUR
91	31335 21364	8	 * 	264.91	DCR|4VULN|2DMG|2CDMG|1SELL	1SELL|29CDMG|37DMG|4568VULN|aRCR
92	31335 21364	7	 * 	264.91	DCR|4VULN|2DMG|2CDMG|1SELL	1SELL|29CDMG|37DMG|4568VULN|aRCR
93	62223 16361	4	   	264.86	ACR|4VULN|3DMG|2TLV|1DUR	17TLV|247DMG|3678VULN|5RCR|7BPWR|9ERES|aDUR
94	62233 26361	3	   	264.86	ACR|4VULN|3DMG|2TLV|1DUR	17TLV|267DMG|3478VULN|5RCR|7BPWR|9ERES|aDUR
95	11622 34343	1	 * 	264.63	DCR|5VULN|2DMG	1DUST|24DMG|3489aVULN|4BPWR|5FEWX|6TBNT|7RCR
96	11623 34343	1	   	264.63	DCR|5VULN|2DMG	1DUST|24DMG|3489aVULN|4BPWR|5LHND|6TBNT|7RCR
97	53335 26122	1	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	19DUR|245VULN|35LHND|5BPWR|6aDMG|7RCR|8ASPD
98	53333 26122	1	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	19DUR|245VULN|3LHND|6aDMG|7RCR|8ASPD
99	53523 26122	1	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	19DUR|235VULN|4LHND|6aDMG|7RCR|8ASPD
100	56333 26122	2	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	19DUR|245VULN|3LHND|6aDMG|7RCR|8ASPD
101	62214 12511	3	 * 	264.27	DCR|3VULN|2DUR|2TLV|1DMG	1aTLV|2DMG|36aVULN|4CGEN|5RMIN|7LIT|8RCR|9aDUR|aBPWR
102	62135 32226	2	 * 	263.92	DCR|3VULN|2DMG|2ASPD|3TLV	158TLV|2aDMG|3BEXP|45aVULN|5aBPWR|6aASPD|7RPLT|9RCR
103	62233 16132	3	   	263.89	ACR|4VULN|2DMG|2DUR|2TLV	17TLV|27DMG|3467VULN|5RCR|7BPWR|89DUR|aLWND
104	62233 16133	3	   	263.89	ACR|4VULN|2DMG|2DUR|2TLV	17TLV|27DMG|3467VULN|5RCR|7BPWR|89DUR|aBEXP
105	62233 16134	3	   	263.89	ACR|4VULN|2DMG|2DUR|2TLV	17TLV|27DMG|3467VULN|5RCR|7BPWR|89DUR|aCGEN
106	62233 16136	3	   	263.89	ACR|4VULN|2DMG|2DUR|2TLV	17TLV|27DMG|3467VULN|5RCR|7BPWR|89DUR|aLHND
107	62233 16151	3	   	263.89	ACR|4VULN|2DMG|2DUR|2TLV	17TLV|27DMG|3467VULN|5RCR|7BPWR|8aDUR|9MLV
108	53333 26621	1	   	263.39	DCR|5VULN|1DMG|1DUR	1DUR|24589VULN|3LHND|6DMG|7RCR|aBEXP
109	62212 24353	5	   	263.36	DCR|3VULN|2DMG|1TLV|1DUR	1TLV|29DMG|358VULN|4RPLT|6RCR|7DUR|aLIT
110	62212 24413	6	   	263.36	DCR|3VULN|2DMG|1TLV|1DUR	1TLV|26DMG|358VULN|4RPLT|7RCR|9DUR|aLIT
111	62223 26623	7	   	263.32	DCR|3VULN|2DMG|1TLV|2LIT|1AART	1TLV|24DMG|379VULN|56LIT|8RCR|aAART
112	62223 53623	7	   	263.32	DCR|3VULN|2DMG|1TLV|2LIT|1AART	1TLV|24DMG|369VULN|57LIT|8RCR|aAART
113	53333 26623	1	   	263.29	DCR|5VULN|1DMG|1DUR	1DUR|24589VULN|3LHND|6DMG|7RCR|aERES
114	51232 12365	1	   	263.21	DCR|2VULN|3DUR|2DMG|1CDMG|1AART	158DUR|28DMG|3LHND|4ZMB|68VULN|7AART|8BPWR|9RCR|aCDMG
115	51623 22136	1	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	19DUR|24DMG|34aVULN|4BPWR|5LHND|6ZMB|7AART|8RCR
116	51325 23234	10	   	262.99	DCR|2VULN|3DMG|2DUR|1ASPD|1AART	1aDUR|2AART|3RPLT|4ASPD|59aDMG|6aVULN|7RCR|8DMSP|aBPWR
117	55311 62331	8	   	262.99	DCR|4VULN|2DUR|2LIT|1AART	16DUR|25LIT|3CGEN|4679VULN|6BPWR|8AART|aRCR
118	53621 12532	3	   	262.93	DCR|4VULN|2DUR|1TLV	14DUR|2RMIN|346aVULN|4BPWR|5ERES|7LIT|8RCR|9TLV
119	53621 12532	2	   	262.93	DCR|4VULN|2DUR|1TLV	14DUR|2RMIN|346aVULN|4BPWR|5ERES|7LIT|8RCR|9TLV
120	56223 12532	4	   	262.93	DCR|4VULN|2DUR|1TLV	1aDUR|2569VULN|3TLV|4RMIN|7LIT|8RCR
121	53335 26213	1	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	18aDUR|245VULN|35LHND|5BPWR|6DMG|7RCR|9CDMG
122	61313 36422	4	 * 	262.77	DCR|3VULN|3DUR|2TLV|1CDMG	18TLV|268VULN|3LHND|4FEWX|58aDUR|7RCR|8BPWR|9CDMG
123	61623 13621	6	   	262.76	DCR|3VULN|3DMG|1TLV	1TLV|239VULN|4DMSP|5LIT|67aDMG|8RCR
124	53531 26213	1	   	262.67	DCR|3VULN|3DUR|1DMG|1CDMG	18aDUR|234VULN|5LWND|6DMG|7RCR|9CDMG
125	53333 26213	1	   	262.67	DCR|3VULN|3DUR|1DMG|1CDMG	18aDUR|245VULN|3LHND|6DMG|7RCR|9CDMG
126	53523 26213	1	   	262.67	DCR|3VULN|3DUR|1DMG|1CDMG	18aDUR|235VULN|4LHND|6DMG|7RCR|9CDMG
127	56333 26213	2	   	262.67	DCR|3VULN|3DUR|1DMG|1CDMG	18aDUR|245VULN|3LHND|6DMG|7RCR|9CDMG
128	53332 26613	1	   	262.67	DCR|3VULN|3DUR|1DMG|1CDMG	15aDUR|248VULN|3LHND|6DMG|7RCR|9CDMG
