0	Index      	 *	Score 	Summary	Detail	
74	46233 63313	   	194.96	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1LEGI|2TLV|3DMSP|4aDMG|5CDMG|6AART|7ASPD|8VULN|9RCR
75	36261 51113	   	194.76	ACR|3VULN|3ASPD|1AART|1ZMB	1CGEN|2AART|369ASPD|4RCR|567VULN|6BPWR|8BEXP|aZMB
76	13233 16122	   	194.71	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AME|2ERES|3ZMB|4DMG|5CDMG|69VULN|7DUR|8RCR|aASPD
77	33233 16122	   	194.71	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1CGEN|2ERES|3ZMB|4DMG|5CDMG|69VULN|7DUR|8RCR|aASPD
78	52233 16122	   	194.71	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1ERES|2MLV|3ZMB|4DMG|5CDMG|69VULN|7DUR|8RCR|aASPD
79	55233 16122	   	194.71	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1ERES|2CGEN|3ZMB|4DMG|5CDMG|69VULN|7DUR|8RCR|aASPD
80	44213 23622	   	194.27	DCR|3VULN|2ASPD|1CDMG|1DUR	1LEGI|268VULN|3aASPD|4DUR|5ERES|7CDMG|9RCR
81	34132 61512	   	194.11	DCR|3VULN|1ASPD|1DMG|1CDMG	13CGEN|23aVULN|3BPWR|4DMG|5FEWX|6ASPD|7CDMG|8RCR|9LHND
82	54132 13122	   	193.91	DCR|3VULN|1ASPD|1DMG|1CDMG	13ERES|239VULN|3BPWR|4DMG|5FEWX|6LHND|7CDMG|8RCR|aASPD
83	54132 23122	   	193.91	DCR|3VULN|1ASPD|1DMG|1CDMG	13ERES|239VULN|3BPWR|4DMG|5FEWX|6BEXP|7CDMG|8RCR|aASPD
84	54134 13122	   	193.91	DCR|3VULN|1ASPD|1DMG|1CDMG	13ERES|239VULN|3BPWR|4DMG|5BEXP|6LHND|7CDMG|8RCR|aASPD
85	44236 11413	 * 	193.86	DCR|2VULN|2ASPD|1AART|1CDMG|1SELL	1LEGI|29VULN|39ASPD|49LHND|5SELL|6AART|7MBVNT|8RCR|9BPWR|aCDMG
86	44153 23122	   	193.81	DCR|3VULN|1ASPD|1DMG|1CDMG	1LEGI|269VULN|3LWND|4DMG|5ERES|7CDMG|8RCR|aASPD
87	14113 82722	 * 	193.79	DCR|3VULN|2ASPD|1AART	13AME|236VULN|36BPWR|4MBVNT|56ASPD|7CGEN|8LWND|9RCR|aAART
88	34114 21336	 * 	193.73	DCR|3VULN|2AART|1CDMG	13CGEN|239VULN|3BPWR|4MBVNT|5CDMG|6aAART|7FEWX|8RCR
89	34114 21334	 * 	193.50	DCR|4VULN|1AART|1CDMG	13CGEN|239aVULN|3BPWR|4MBVNT|5CDMG|6AART|7FEWX|8RCR
